  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.07    55.56  0.9472     0.9525  0.0528     0.0475     0.0319         0.0318
      2   3.13    41.79  0.9593     0.9651  0.0407     0.0349     0.0280         0.0292
      3   3.16    33.56  0.9671     0.9721  0.0329     0.0279     0.0462         0.0477
      4   3.18    30.25  0.9720     0.9749  0.0280     0.0251     0.0687         0.0737
      5   3.16    36.40  0.9702     0.9709  0.0298     0.0291     0.0750         0.0754
      6   3.17    28.71  0.9742     0.9745  0.0258     0.0255     0.0883         0.0924
      7   3.14    28.86  0.9699     0.9708  0.0301     0.0292     0.1652         0.1697
      8   3.19    25.78  0.9749     0.9769  0.0251     0.0231     0.1578         0.1629
      9   3.13    26.10  0.9682     0.9723  0.0318     0.0277     0.2267         0.2348
     10   3.21    24.02  0.9804     0.9820  0.0196     0.0180     0.2314         0.2390
     11   3.19    29.64  0.9793     0.9799  0.0207     0.0201     0.2264         0.2302
     12   3.20    29.91  0.9805     0.9795  0.0195     0.0205     0.2448         0.2469
     13   3.18    24.13  0.9769     0.9785  0.0231     0.0215     0.2622         0.2665
     14   3.19    22.21  0.9784     0.9801  0.0216     0.0199     0.3232         0.3288
     15   3.21    20.75  0.9818     0.9817  0.0182     0.0183     0.3048         0.3179
     16   3.20    20.13  0.9819     0.9821  0.0181     0.0179     0.4227         0.4376
     17   3.19    25.07  0.9798     0.9813  0.0202     0.0187     0.3630         0.3733
     18   3.18    23.05  0.9785     0.9785  0.0215     0.0215     0.3285         0.3348
     19   3.18    19.61  0.9791     0.9800  0.0209     0.0200     0.3454         0.3574
     20   3.17    19.37  0.9779     0.9800  0.0221     0.0200     0.3428         0.3566
     21   3.16    19.66  0.9777     0.9790  0.0223     0.0210     0.3517         0.3609
     22   3.20    19.42  0.9820     0.9820  0.0180     0.0180     0.3406         0.3494
     23   3.18    18.67  0.9810     0.9814  0.0190     0.0186     0.4225         0.4332
     24   3.18    19.58  0.9803     0.9809  0.0197     0.0191     0.3094         0.3226
     25   3.20    20.48  0.9844     0.9853  0.0156     0.0147     0.4338         0.4409
     26   3.15    19.22  0.9789     0.9798  0.0211     0.0202     0.3740         0.3879
     27   3.18    20.16  0.9816     0.9824  0.0184     0.0176     0.3869         0.3953
     28   3.19    17.67  0.9829     0.9834  0.0171     0.0166     0.4085         0.4213
     29   3.19    18.61  0.9825     0.9827  0.0175     0.0173     0.3895         0.3985
     30   3.20    17.62  0.9833     0.9836  0.0167     0.0164     0.3982         0.4087
     31   3.15    17.38  0.9805     0.9799  0.0195     0.0201     0.4698         0.4801
     32   3.17    18.79  0.9801     0.9802  0.0199     0.0198     0.3401         0.3511
     33   3.19    18.39  0.9827     0.9842  0.0173     0.0158     0.4270         0.4382
     34   3.15    20.55  0.9800     0.9809  0.0200     0.0191     0.3192         0.3254
     35   3.19    17.05  0.9837     0.9847  0.0163     0.0153     0.3848         0.3956
     36   3.20    25.39  0.9847     0.9848  0.0153     0.0152     0.4066         0.4181
     37   3.17    17.22  0.9801     0.9809  0.0199     0.0191     0.3412         0.3497
     38   3.19    19.44  0.9841     0.9840  0.0159     0.0160     0.3785         0.3870
     39   3.19    16.09  0.9832     0.9841  0.0168     0.0159     0.3949         0.4072
     40   3.19    16.54  0.9845     0.9849  0.0155     0.0151     0.3308         0.3402
     41   3.15    17.50  0.9816     0.9835  0.0184     0.0165     0.3653         0.3730
     42   3.19    16.51  0.9844     0.9857  0.0156     0.0143     0.3216         0.3306
     43   3.19    15.72  0.9845     0.9851  0.0155     0.0149     0.3678         0.3767
     44   3.17    16.02  0.9839     0.9838  0.0161     0.0162     0.3852         0.3922
     45   3.19    15.49  0.9845     0.9856  0.0155     0.0144     0.3659         0.3775
     46   3.18    15.57  0.9830     0.9839  0.0170     0.0161     0.3513         0.3589
     47   3.19    15.63  0.9844     0.9849  0.0156     0.0151     0.3546         0.3630
     48   3.16    17.11  0.9820     0.9824  0.0180     0.0176     0.3314         0.3396
     49   3.19    16.83  0.9843     0.9847  0.0157     0.0153     0.3798         0.3874
     50   3.16    16.77  0.9826     0.9833  0.0174     0.0167     0.3849         0.3917
     51   3.18    14.60  0.9845     0.9850  0.0155     0.0150     0.5024         0.5128
     52   3.17    15.97  0.9834     0.9839  0.0166     0.0161     0.3518         0.3577
     53   3.18    16.06  0.9836     0.9838  0.0164     0.0162     0.3501         0.3591
     54   3.17    16.84  0.9827     0.9830  0.0173     0.0170     0.4063         0.4124
     55   3.18    14.65  0.9839     0.9853  0.0161     0.0147     0.4868         0.4970
     56   3.18    15.39  0.9834     0.9841  0.0166     0.0159     0.4341         0.4410
     57   3.17    14.78  0.9837     0.9844  0.0163     0.0156     0.4147         0.4234
     58   3.16    15.49  0.9831     0.9850  0.0169     0.0150     0.3928         0.3987
     59   3.15    16.31  0.9819     0.9823  0.0181     0.0177     0.3746         0.3816
     60   3.17    15.26  0.9837     0.9844  0.0163     0.0156     0.3953         0.4013
     61   3.18    16.88  0.9855     0.9859  0.0145     0.0141     0.3530         0.3606
     62   3.18    15.21  0.9845     0.9856  0.0155     0.0144     0.3434         0.3474
     63   3.18    14.01  0.9844     0.9853  0.0156     0.0147     0.4283         0.4400
     64   3.16    14.91  0.9829     0.9835  0.0171     0.0165     0.3557         0.3657
     65   3.19    19.90  0.9849     0.9848  0.0151     0.0152     0.3171         0.3182
     66   3.18    14.26  0.9857     0.9865  0.0143     0.0135     0.3647         0.3704
     67   3.16    14.62  0.9846     0.9850  0.0154     0.0150     0.4255         0.4303
     68   3.19    15.91  0.9850     0.9848  0.0150     0.0152     0.3444         0.3512
     69   3.17    14.16  0.9839     0.9854  0.0161     0.0146     0.4493         0.4571
     70   3.16    14.65  0.9835     0.9833  0.0165     0.0167     0.3797         0.3839
     71   3.15    15.71  0.9819     0.9824  0.0181     0.0176     0.3187         0.3225
     72   3.19    14.29  0.9852     0.9861  0.0148     0.0139     0.3852         0.3935
     73   3.19    15.50  0.9862     0.9864  0.0138     0.0136     0.4276         0.4313
     74   3.18    14.08  0.9857     0.9859  0.0143     0.0141     0.3755         0.3814
     75   3.17    16.63  0.9851     0.9846  0.0149     0.0154     0.3057         0.3081
     76   3.17    14.46  0.9853     0.9856  0.0147     0.0144     0.3910         0.3952
     77   3.16    14.43  0.9842     0.9847  0.0158     0.0153     0.3923         0.3965
     78   3.16    14.29  0.9839     0.9848  0.0161     0.0152     0.4096         0.4187
     79   3.18    14.55  0.9855     0.9865  0.0145     0.0135     0.4267         0.4326
     80   3.16    14.12  0.9846     0.9845  0.0154     0.0155     0.4028         0.4068
     81   3.17    13.77  0.9860     0.9869  0.0140     0.0131     0.4287         0.4323
     82   3.17    14.03  0.9846     0.9856  0.0154     0.0144     0.4172         0.4239
     83   3.16    14.08  0.9847     0.9855  0.0153     0.0145     0.4475         0.4516
     84   3.18    14.06  0.9862     0.9867  0.0138     0.0133     0.4672         0.4717
     85   3.17    13.17  0.9863     0.9870  0.0137     0.0130     0.4746         0.4786
     86   3.18    13.67  0.9859     0.9867  0.0141     0.0133     0.3973         0.4045
     87   3.15    14.16  0.9843     0.9850  0.0157     0.0150     0.3665         0.3745
     88   3.18    13.97  0.9867     0.9867  0.0133     0.0133     0.4119         0.4172
     89   3.18    13.60  0.9872     0.9872  0.0128     0.0128     0.4097         0.4147
     90   3.18    13.41  0.9864     0.9877  0.0136     0.0123     0.4345         0.4411
     91   3.17    13.41  0.9852     0.9863  0.0148     0.0137     0.4159         0.4212
     92   3.15    13.69  0.9838     0.9845  0.0162     0.0155     0.4425         0.4481
     93   3.17    13.39  0.9842     0.9853  0.0158     0.0147     0.3840         0.3878
     94   3.18    13.50  0.9857     0.9856  0.0143     0.0144     0.3508         0.3554
     95   3.17    13.48  0.9846     0.9860  0.0154     0.0140     0.3650         0.3703
     96   3.17    13.71  0.9862     0.9857  0.0138     0.0143     0.3844         0.3873
     97   3.16    13.69  0.9851     0.9855  0.0149     0.0145     0.3834         0.3859
     98   3.15    12.87  0.9830     0.9860  0.0170     0.0140     0.3906         0.3949
     99   3.15    13.12  0.9828     0.9844  0.0172     0.0156     0.3463         0.3529
    100   3.14    13.95  0.9819     0.9823  0.0181     0.0177     0.3896         0.3936
    101   3.15    13.08  0.9834     0.9846  0.0166     0.0154     0.4463         0.4512
    102   3.16    13.56  0.9839     0.9845  0.0161     0.0155     0.4138         0.4164
    103   3.15    13.19  0.9835     0.9850  0.0165     0.0150     0.4487         0.4548
    104   3.16    13.49  0.9852     0.9852  0.0148     0.0148     0.4582         0.4613
    105   3.16    13.49  0.9849     0.9857  0.0151     0.0143     0.4532         0.4570
    106   3.17    12.90  0.9848     0.9854  0.0152     0.0146     0.4532         0.4592
    107   3.17    13.05  0.9838     0.9849  0.0162     0.0151     0.4224         0.4267
    108   3.16    12.82  0.9845     0.9864  0.0155     0.0136     0.4671         0.4730
    109   3.17    13.87  0.9861     0.9868  0.0139     0.0132     0.4514         0.4543
    110   3.18    13.40  0.9856     0.9871  0.0144     0.0129     0.4005         0.4038
    111   3.18    12.96  0.9859     0.9869  0.0141     0.0131     0.4306         0.4337
    112   3.17    13.14  0.9853     0.9873  0.0147     0.0127     0.4080         0.4105
    113   3.17    13.00  0.9849     0.9869  0.0151     0.0131     0.4340         0.4399
    114   3.17    12.65  0.9854     0.9862  0.0146     0.0138     0.4637         0.4692
    115   3.17    12.79  0.9859     0.9866  0.0141     0.0134     0.4032         0.4072
    116   3.18    13.18  0.9858     0.9865  0.0142     0.0135     0.4028         0.4081
    117   3.18    13.16  0.9869     0.9870  0.0131     0.0130     0.4047         0.4115
    118   3.17    12.81  0.9849     0.9857  0.0151     0.0143     0.4148         0.4201
    119   3.17    13.04  0.9860     0.9862  0.0140     0.0138     0.4454         0.4521
    120   3.17    12.69  0.9851     0.9861  0.0149     0.0139     0.4499         0.4568
