  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.09    56.43  0.9510     0.9560  0.0490     0.0440     0.0287         0.0294
      2   3.13    38.80  0.9614     0.9665  0.0386     0.0335     0.0344         0.0353
      3   3.16    36.47  0.9679     0.9712  0.0321     0.0288     0.0354         0.0372
      4   3.15    37.15  0.9670     0.9682  0.0330     0.0318     0.0459         0.0470
      5   3.09    31.15  0.9585     0.9605  0.0415     0.0395     0.0573         0.0584
      6   3.16    35.10  0.9682     0.9698  0.0318     0.0302     0.0699         0.0723
      7   3.14    26.55  0.9690     0.9711  0.0310     0.0289     0.1229         0.1309
      8   3.20    26.60  0.9784     0.9787  0.0216     0.0213     0.1164         0.1192
      9   3.19    24.61  0.9764     0.9775  0.0236     0.0225     0.1958         0.2059
     10   3.18    24.51  0.9783     0.9789  0.0217     0.0211     0.2043         0.2143
     11   3.19    29.98  0.9777     0.9776  0.0223     0.0224     0.1946         0.1971
     12   3.18    27.65  0.9786     0.9785  0.0214     0.0215     0.3008         0.3086
     13   3.20    22.13  0.9820     0.9828  0.0180     0.0172     0.3446         0.3515
     14   3.20    22.50  0.9810     0.9825  0.0190     0.0175     0.3500         0.3581
     15   3.20    21.75  0.9805     0.9812  0.0195     0.0188     0.3305         0.3388
     16   3.21    20.43  0.9825     0.9836  0.0175     0.0164     0.3417         0.3499
     17   3.16    23.52  0.9769     0.9766  0.0231     0.0234     0.3038         0.3130
     18   3.19    21.29  0.9804     0.9810  0.0196     0.0190     0.3122         0.3224
     19   3.18    19.82  0.9793     0.9799  0.0207     0.0201     0.3964         0.4085
     20   3.19    19.69  0.9807     0.9817  0.0193     0.0183     0.3712         0.3844
     21   3.16    21.34  0.9776     0.9786  0.0224     0.0214     0.3366         0.3555
     22   3.20    19.73  0.9839     0.9843  0.0161     0.0157     0.3728         0.3850
     23   3.21    21.56  0.9843     0.9860  0.0157     0.0140     0.4260         0.4318
     24   3.13    19.35  0.9743     0.9751  0.0257     0.0249     0.4231         0.4384
     25   3.19    18.01  0.9833     0.9845  0.0167     0.0155     0.4755         0.4868
     26   3.19    18.98  0.9806     0.9815  0.0194     0.0185     0.4145         0.4245
     27   3.17    18.48  0.9806     0.9811  0.0194     0.0189     0.4146         0.4235
     28   3.10    21.63  0.9720     0.9737  0.0280     0.0263     0.3506         0.3667
     29   3.18    17.93  0.9826     0.9827  0.0174     0.0173     0.4388         0.4476
