  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.02    48.89  0.9367     0.9461  0.0633     0.0539     0.0300         0.0312
      2   3.13    37.74  0.9583     0.9654  0.0417     0.0346     0.0329         0.0349
      3   3.11    33.86  0.9569     0.9605  0.0431     0.0395     0.0396         0.0398
      4   3.18    31.40  0.9724     0.9736  0.0276     0.0264     0.0489         0.0512
      5   3.18    32.64  0.9731     0.9752  0.0269     0.0248     0.0595         0.0612
      6   3.16    28.21  0.9695     0.9719  0.0305     0.0281     0.0806         0.0843
      7   3.19    26.87  0.9764     0.9785  0.0236     0.0215     0.1196         0.1270
      8   3.20    27.01  0.9774     0.9776  0.0226     0.0224     0.1366         0.1404
      9   3.11    29.31  0.9639     0.9660  0.0361     0.0340     0.1657         0.1709
     10   3.21    24.19  0.9806     0.9824  0.0194     0.0176     0.2260         0.2329
     11   3.19    23.68  0.9784     0.9811  0.0216     0.0189     0.1987         0.2102
     12   3.17    23.54  0.9770     0.9777  0.0230     0.0223     0.2308         0.2430
     13   3.15    22.64  0.9732     0.9750  0.0268     0.0250     0.2460         0.2528
     14   3.14    24.31  0.9722     0.9743  0.0278     0.0257     0.2483         0.2650
     15   3.19    21.15  0.9805     0.9813  0.0195     0.0187     0.3578         0.3699
     16   3.19    20.17  0.9824     0.9826  0.0176     0.0174     0.3555         0.3654
     17   3.18    21.17  0.9779     0.9782  0.0221     0.0218     0.3171         0.3295
     18   3.19    20.42  0.9801     0.9817  0.0199     0.0183     0.3782         0.3900
     19   3.18    19.05  0.9811     0.9814  0.0189     0.0186     0.4010         0.4115
     20   3.16    22.30  0.9751     0.9751  0.0249     0.0249     0.2679         0.2777
     21   3.21    18.27  0.9845     0.9850  0.0155     0.0150     0.3763         0.3905
     22   3.19    19.14  0.9811     0.9828  0.0189     0.0172     0.3457         0.3563
     23   3.21    25.49  0.9834     0.9840  0.0166     0.0160     0.3744         0.3784
     24   3.19    19.21  0.9824     0.9827  0.0176     0.0173     0.3759         0.3886
     25   3.17    19.93  0.9805     0.9812  0.0195     0.0188     0.3932         0.4087
     26   3.17    19.09  0.9793     0.9802  0.0207     0.0198     0.4117         0.4214
     27   3.20    17.49  0.9833     0.9832  0.0167     0.0168     0.4738         0.4840
     28   3.18    18.17  0.9814     0.9834  0.0186     0.0166     0.3662         0.3831
     29   3.21    18.86  0.9849     0.9850  0.0151     0.0150     0.3835         0.3944
     30   3.20    18.90  0.9842     0.9844  0.0158     0.0156     0.3146         0.3246
     31   3.16    17.57  0.9792     0.9800  0.0208     0.0200     0.3910         0.4048
     32   3.17    19.00  0.9806     0.9805  0.0194     0.0195     0.3412         0.3516
     33   3.19    18.30  0.9847     0.9846  0.0153     0.0154     0.4081         0.4174
     34   3.19    19.54  0.9843     0.9854  0.0157     0.0146     0.3744         0.3799
     35   3.19    17.65  0.9833     0.9837  0.0167     0.0163     0.3918         0.4059
     36   3.12    18.43  0.9748     0.9763  0.0252     0.0237     0.3303         0.3433
     37   3.16    18.78  0.9791     0.9810  0.0209     0.0190     0.3336         0.3431
     38   3.19    22.24  0.9824     0.9824  0.0176     0.0176     0.3828         0.3899
     39   3.20    16.98  0.9850     0.9852  0.0150     0.0148     0.4374         0.4477
     40   3.18    18.13  0.9835     0.9838  0.0165     0.0162     0.4481         0.4535
     41   3.18    18.01  0.9819     0.9823  0.0181     0.0177     0.3609         0.3689
     42   3.14    16.17  0.9797     0.9800  0.0203     0.0200     0.3909         0.4018
     43   3.19    15.79  0.9845     0.9845  0.0155     0.0155     0.4079         0.4193
     44   3.18    16.48  0.9835     0.9844  0.0165     0.0156     0.3725         0.3823
     45   3.19    17.34  0.9844     0.9840  0.0156     0.0160     0.2882         0.2922
     46   3.19    15.36  0.9844     0.9846  0.0156     0.0154     0.3718         0.3834
     47   3.16    17.19  0.9820     0.9831  0.0180     0.0169     0.3140         0.3213
     48   3.19    15.61  0.9840     0.9848  0.0160     0.0152     0.3368         0.3471
     49   3.19    16.07  0.9857     0.9852  0.0143     0.0148     0.3720         0.3802
     50   3.19    15.44  0.9866     0.9867  0.0134     0.0133     0.4357         0.4439
     51   3.17    15.46  0.9825     0.9824  0.0175     0.0176     0.3170         0.3248
     52   3.17    17.32  0.9830     0.9834  0.0170     0.0166     0.3388         0.3454
     53   3.19    14.74  0.9855     0.9858  0.0145     0.0142     0.4008         0.4115
     54   3.17    15.75  0.9832     0.9837  0.0168     0.0163     0.4133         0.4188
     55   3.18    14.64  0.9838     0.9844  0.0162     0.0156     0.3983         0.4049
     56   3.18    15.03  0.9831     0.9839  0.0169     0.0161     0.3901         0.3968
     57   3.20    14.81  0.9861     0.9871  0.0139     0.0129     0.4186         0.4224
     58   3.19    14.81  0.9858     0.9862  0.0142     0.0138     0.4598         0.4672
     59   3.16    15.98  0.9823     0.9838  0.0177     0.0162     0.3462         0.3533
     60   3.18    14.55  0.9848     0.9848  0.0152     0.0152     0.4145         0.4253
     61   3.15    14.92  0.9820     0.9835  0.0180     0.0165     0.4084         0.4179
     62   3.16    15.80  0.9830     0.9842  0.0170     0.0158     0.3736         0.3808
     63   3.16    14.99  0.9830     0.9834  0.0170     0.0166     0.3646         0.3707
     64   3.18    14.21  0.9850     0.9864  0.0150     0.0136     0.3950         0.4022
     65   3.19    15.64  0.9858     0.9867  0.0142     0.0133     0.3763         0.3796
     66   3.15    14.44  0.9821     0.9840  0.0179     0.0160     0.3772         0.3861
