t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0378897190093994,49.723968505859375,0.9399999976158142,0.9484999775886536,0.06000000238418579,0.051500022411346436,0.0348999984562397,0.0348999984562397
2,3.1585729122161865,38.96946334838867,0.965399980545044,0.9677000045776367,0.034600019454956055,0.03229999542236328,0.03350000083446503,0.03480000048875809
3,3.165916919708252,34.214908599853516,0.9697999954223633,0.9736999869346619,0.03020000457763672,0.026300013065338135,0.04650000110268593,0.04960000142455101
4,3.1562023162841797,32.5115966796875,0.9670000076293945,0.9696999788284302,0.03299999237060547,0.030300021171569824,0.0560000017285347,0.05730000138282776
5,3.1871016025543213,29.61080551147461,0.9754999876022339,0.9769999980926514,0.024500012397766113,0.023000001907348633,0.057100001722574234,0.0617000013589859
6,3.1797285079956055,27.1268310546875,0.973800003528595,0.9747999906539917,0.02619999647140503,0.0252000093460083,0.07270000129938126,0.07769999653100967
7,3.199357509613037,26.002178192138672,0.9782000184059143,0.9800999760627747,0.021799981594085693,0.019900023937225342,0.10989999771118164,0.11410000175237656
8,3.2041962146759033,25.493881225585938,0.9790999889373779,0.9812999963760376,0.02090001106262207,0.018700003623962402,0.14550000429153442,0.15199999511241913
9,3.1816606521606445,23.792190551757812,0.9764999747276306,0.977400004863739,0.023500025272369385,0.022599995136260986,0.16910000145435333,0.17659999430179596
10,3.1958632469177246,25.14044189453125,0.9797000288963318,0.9811000227928162,0.020299971103668213,0.018899977207183838,0.19539999961853027,0.20550000667572021
11,3.1964356899261475,24.549362182617188,0.9787999987602234,0.98089998960495,0.02120000123977661,0.01910001039505005,0.21870000660419464,0.22349999845027924
12,3.192981004714966,22.566469192504883,0.9797000288963318,0.9797999858856201,0.020299971103668213,0.020200014114379883,0.2563000023365021,0.26759999990463257
13,3.186558723449707,21.71429443359375,0.979200005531311,0.9800000190734863,0.020799994468688965,0.019999980926513672,0.2919999957084656,0.30219998955726624
14,3.1803598403930664,21.956676483154297,0.9778000116348267,0.9776999950408936,0.02219998836517334,0.022300004959106445,0.22380000352859497,0.23810000717639923
15,3.2036826610565186,23.52528953552246,0.9819999933242798,0.9819999933242798,0.018000006675720215,0.018000006675720215,0.30230000615119934,0.30799999833106995
16,3.196509838104248,21.668289184570312,0.9814000129699707,0.9822999835014343,0.018599987030029297,0.017700016498565674,0.3614000082015991,0.37119999527931213
17,3.124116897583008,22.1763858795166,0.9721999764442444,0.9735000133514404,0.027800023555755615,0.02649998664855957,0.3262999951839447,0.3375999927520752
18,3.19673490524292,20.2148494720459,0.982699990272522,0.9824000000953674,0.017300009727478027,0.01759999990463257,0.3952000141143799,0.4133000075817108
19,3.1982028484344482,19.835691452026367,0.9825000166893005,0.982200026512146,0.017499983310699463,0.017799973487854004,0.34049999713897705,0.35510000586509705
20,3.1355373859405518,21.196910858154297,0.9733999967575073,0.974399983882904,0.026600003242492676,0.025600016117095947,0.33149999380111694,0.3434000015258789
