  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.04    49.72  0.9400     0.9485  0.0600     0.0515     0.0349         0.0349
      2   3.16    38.97  0.9654     0.9677  0.0346     0.0323     0.0335         0.0348
      3   3.17    34.21  0.9698     0.9737  0.0302     0.0263     0.0465         0.0496
      4   3.16    32.51  0.9670     0.9697  0.0330     0.0303     0.0560         0.0573
      5   3.19    29.61  0.9755     0.9770  0.0245     0.0230     0.0571         0.0617
      6   3.18    27.13  0.9738     0.9748  0.0262     0.0252     0.0727         0.0777
      7   3.20    26.00  0.9782     0.9801  0.0218     0.0199     0.1099         0.1141
      8   3.20    25.49  0.9791     0.9813  0.0209     0.0187     0.1455         0.1520
      9   3.18    23.79  0.9765     0.9774  0.0235     0.0226     0.1691         0.1766
     10   3.20    25.14  0.9797     0.9811  0.0203     0.0189     0.1954         0.2055
     11   3.20    24.55  0.9788     0.9809  0.0212     0.0191     0.2187         0.2235
     12   3.19    22.57  0.9797     0.9798  0.0203     0.0202     0.2563         0.2676
     13   3.19    21.71  0.9792     0.9800  0.0208     0.0200     0.2920         0.3022
     14   3.18    21.96  0.9778     0.9777  0.0222     0.0223     0.2238         0.2381
     15   3.20    23.53  0.9820     0.9820  0.0180     0.0180     0.3023         0.3080
     16   3.20    21.67  0.9814     0.9823  0.0186     0.0177     0.3614         0.3712
     17   3.12    22.18  0.9722     0.9735  0.0278     0.0265     0.3263         0.3376
     18   3.20    20.21  0.9827     0.9824  0.0173     0.0176     0.3952         0.4133
     19   3.20    19.84  0.9825     0.9822  0.0175     0.0178     0.3405         0.3551
     20   3.14    21.20  0.9734     0.9744  0.0266     0.0256     0.3315         0.3434
     21   3.19    21.54  0.9803     0.9811  0.0197     0.0189     0.3678         0.3749
     22   3.20    20.19  0.9822     0.9825  0.0178     0.0175     0.3194         0.3330
     23   3.20    22.25  0.9821     0.9827  0.0179     0.0173     0.2991         0.3104
     24   3.20    19.09  0.9831     0.9837  0.0169     0.0163     0.3538         0.3638
     25   3.17    21.11  0.9808     0.9810  0.0192     0.0190     0.3708         0.3860
     26   3.13    19.01  0.9748     0.9768  0.0252     0.0232     0.4036         0.4140
     27   3.18    18.68  0.9820     0.9826  0.0180     0.0174     0.4064         0.4176
     28   3.18    20.41  0.9791     0.9797  0.0209     0.0203     0.3837         0.3924
     29   3.21    18.26  0.9845     0.9841  0.0155     0.0159     0.3132         0.3285
     30   3.17    17.98  0.9810     0.9806  0.0190     0.0194     0.3359         0.3460
     31   3.17    17.53  0.9810     0.9816  0.0190     0.0184     0.4220         0.4318
     32   3.20    17.15  0.9848     0.9849  0.0152     0.0151     0.4014         0.4128
     33   3.16    24.38  0.9780     0.9787  0.0220     0.0213     0.3861         0.3925
     34   3.21    17.39  0.9846     0.9857  0.0154     0.0143     0.4001         0.4102
     35   3.16    21.76  0.9806     0.9805  0.0194     0.0195     0.3594         0.3692
     36   3.17    16.79  0.9813     0.9819  0.0187     0.0181     0.4251         0.4438
     37   3.20    16.70  0.9853     0.9848  0.0147     0.0152     0.3946         0.4060
     38   3.19    16.43  0.9844     0.9845  0.0156     0.0155     0.4822         0.4914
     39   3.18    18.44  0.9824     0.9822  0.0176     0.0178     0.4047         0.4116
     40   3.16    19.98  0.9806     0.9803  0.0194     0.0197     0.3131         0.3211
     41   3.20    16.21  0.9847     0.9849  0.0153     0.0151     0.4293         0.4418
     42   3.17    16.61  0.9826     0.9834  0.0174     0.0166     0.3954         0.4106
     43   3.20    16.72  0.9848     0.9847  0.0152     0.0153     0.3852         0.3896
     44   3.18    17.27  0.9843     0.9850  0.0157     0.0150     0.4112         0.4228
     45   3.16    16.57  0.9814     0.9822  0.0186     0.0178     0.4362         0.4451
     46   3.16    15.74  0.9830     0.9831  0.0170     0.0169     0.3825         0.3919
     47   3.19    15.69  0.9846     0.9853  0.0154     0.0147     0.3646         0.3725
     48   3.11    16.33  0.9773     0.9787  0.0227     0.0213     0.3953         0.4033
     49   3.18    16.74  0.9839     0.9846  0.0161     0.0154     0.3667         0.3733
     50   3.20    16.41  0.9840     0.9849  0.0160     0.0151     0.4145         0.4240
     51   3.18    15.23  0.9844     0.9845  0.0156     0.0155     0.4038         0.4113
     52   3.18    14.91  0.9829     0.9844  0.0171     0.0156     0.3612         0.3754
     53   3.19    15.46  0.9833     0.9838  0.0167     0.0162     0.3715         0.3819
     54   3.18    14.57  0.9844     0.9853  0.0156     0.0147     0.4272         0.4407
     55   3.20    15.28  0.9861     0.9866  0.0139     0.0134     0.4297         0.4343
     56   3.19    15.04  0.9858     0.9868  0.0142     0.0132     0.4160         0.4212
     57   3.14    17.90  0.9785     0.9802  0.0215     0.0198     0.3367         0.3417
     58   3.18    16.14  0.9849     0.9854  0.0151     0.0146     0.3057         0.3146
     59   3.19    15.25  0.9866     0.9874  0.0134     0.0126     0.3874         0.3944
     60   3.18    16.80  0.9841     0.9850  0.0159     0.0150     0.4360         0.4427
     61   3.19    14.88  0.9856     0.9861  0.0144     0.0139     0.4871         0.4943
     62   3.18    16.01  0.9853     0.9857  0.0147     0.0143     0.4342         0.4431
     63   3.19    15.67  0.9858     0.9867  0.0142     0.0133     0.4332         0.4388
     64   3.20    15.01  0.9871     0.9877  0.0129     0.0123     0.4473         0.4547
     65   3.18    14.39  0.9855     0.9863  0.0145     0.0137     0.4592         0.4639
     66   3.19    14.09  0.9870     0.9870  0.0130     0.0130     0.4976         0.5056
     67   3.19    14.68  0.9868     0.9870  0.0132     0.0130     0.4493         0.4544
     68   3.20    13.93  0.9869     0.9871  0.0131     0.0129     0.4524         0.4611
     69   3.13    18.18  0.9800     0.9796  0.0200     0.0204     0.2916         0.2961
     70   3.16    16.13  0.9820     0.9826  0.0180     0.0174     0.3437         0.3486
     71   3.16    14.12  0.9837     0.9847  0.0163     0.0153     0.4820         0.4910
     72   3.18    14.08  0.9847     0.9863  0.0153     0.0137     0.4379         0.4437
     73   3.15    18.92  0.9818     0.9821  0.0182     0.0179     0.4259         0.4293
     74   3.19    14.58  0.9873     0.9874  0.0127     0.0126     0.4323         0.4355
     75   3.19    14.89  0.9866     0.9870  0.0134     0.0130     0.4499         0.4542
     76   3.19    14.39  0.9864     0.9871  0.0136     0.0129     0.4628         0.4669
     77   3.19    14.56  0.9867     0.9869  0.0133     0.0131     0.4187         0.4228
     78   3.18    16.98  0.9859     0.9866  0.0141     0.0134     0.4480         0.4526
     79   2.89    23.55  0.9571     0.9578  0.0429     0.0422     0.3530         0.3549
     80   3.16    13.47  0.9837     0.9850  0.0163     0.0150     0.4278         0.4352
     81   3.14    14.14  0.9827     0.9838  0.0173     0.0162     0.4084         0.4181
     82   3.18    14.12  0.9863     0.9863  0.0137     0.0137     0.4837         0.4851
     83   3.18    13.52  0.9869     0.9860  0.0131     0.0140     0.4882         0.4966
     84   3.18    13.66  0.9861     0.9863  0.0139     0.0137     0.4835         0.4901
     85   3.19    14.76  0.9871     0.9863  0.0129     0.0137     0.4665         0.4708
     86   3.19    13.44  0.9847     0.9856  0.0153     0.0144     0.4850         0.4868
     87   3.13    14.17  0.9820     0.9822  0.0180     0.0178     0.4268         0.4319
     88   3.16    14.33  0.9846     0.9855  0.0154     0.0145     0.4383         0.4408
     89   3.17    13.48  0.9852     0.9860  0.0148     0.0140     0.4310         0.4362
     90   3.17    14.61  0.9855     0.9851  0.0145     0.0149     0.4929         0.4950
     91   3.18    13.49  0.9857     0.9864  0.0143     0.0136     0.4452         0.4515
     92   3.18    13.03  0.9846     0.9863  0.0154     0.0137     0.5035         0.5106
     93   3.18    13.33  0.9857     0.9864  0.0143     0.0136     0.4744         0.4809
     94   3.18    14.48  0.9855     0.9860  0.0145     0.0140     0.4719         0.4748
     95   3.14    13.52  0.9826     0.9833  0.0174     0.0167     0.4459         0.4514
     96   3.16    13.36  0.9851     0.9859  0.0149     0.0141     0.4647         0.4677
     97   3.18    13.19  0.9857     0.9854  0.0143     0.0146     0.4251         0.4298
     98   3.18    13.26  0.9861     0.9865  0.0139     0.0135     0.4311         0.4361
     99   3.17    13.07  0.9857     0.9864  0.0143     0.0136     0.4595         0.4643
    100   3.15    13.52  0.9832     0.9847  0.0168     0.0153     0.4370         0.4403
    101   3.15    14.26  0.9838     0.9854  0.0162     0.0146     0.4932         0.4960
    102   3.16    13.22  0.9850     0.9858  0.0150     0.0142     0.4840         0.4912
    103   3.17    13.61  0.9865     0.9868  0.0135     0.0132     0.4549         0.4580
    104   3.16    13.12  0.9855     0.9865  0.0145     0.0135     0.4887         0.4950
    105   3.17    13.39  0.9853     0.9860  0.0147     0.0140     0.5054         0.5085
    106   3.16    13.16  0.9850     0.9854  0.0150     0.0146     0.4891         0.4944
    107   3.16    13.05  0.9863     0.9870  0.0137     0.0130     0.4734         0.4781
    108   3.18    13.26  0.9851     0.9865  0.0149     0.0135     0.4837         0.4858
    109   3.17    13.27  0.9857     0.9871  0.0143     0.0129     0.4519         0.4543
    110   3.17    13.33  0.9854     0.9864  0.0146     0.0136     0.4672         0.4713
    111   3.18    14.65  0.9847     0.9861  0.0153     0.0139     0.4457         0.4483
    112   3.17    12.95  0.9862     0.9863  0.0138     0.0137     0.4588         0.4645
    113   3.17    13.43  0.9854     0.9860  0.0146     0.0140     0.4659         0.4720
    114   3.17    13.62  0.9858     0.9870  0.0142     0.0130     0.4484         0.4507
    115   3.18    13.17  0.9865     0.9869  0.0135     0.0131     0.4671         0.4728
    116   3.18    13.36  0.9863     0.9868  0.0137     0.0132     0.4724         0.4771
    117   3.17    13.03  0.9858     0.9865  0.0142     0.0135     0.4870         0.4896
    118   3.17    13.14  0.9866     0.9866  0.0134     0.0134     0.4685         0.4718
    119   3.18    13.75  0.9863     0.9864  0.0137     0.0136     0.4648         0.4701
    120   3.16    13.04  0.9862     0.9869  0.0138     0.0131     0.4463         0.4503
    121   3.17    12.69  0.9860     0.9871  0.0140     0.0129     0.4811         0.4891
    122   3.18    12.82  0.9861     0.9872  0.0139     0.0128     0.4950         0.4999
    123   3.16    12.78  0.9854     0.9865  0.0146     0.0135     0.5101         0.5164
    124   3.17    13.42  0.9854     0.9864  0.0146     0.0136     0.4889         0.4937
    125   3.18    12.79  0.9868     0.9877  0.0132     0.0123     0.4665         0.4728
    126   3.18    13.12  0.9870     0.9879  0.0130     0.0121     0.4492         0.4555
    127   3.18    12.63  0.9876     0.9876  0.0124     0.0124     0.4367         0.4423
    128   3.19    13.01  0.9861     0.9875  0.0139     0.0125     0.4195         0.4260
    129   3.18    14.04  0.9860     0.9874  0.0140     0.0126     0.4290         0.4354
    130   3.16    12.74  0.9850     0.9858  0.0150     0.0142     0.4572         0.4607
    131   3.17    12.93  0.9856     0.9862  0.0144     0.0138     0.4232         0.4254
    132   3.16    12.82  0.9854     0.9861  0.0146     0.0139     0.4368         0.4437
    133   3.18    12.79  0.9865     0.9866  0.0135     0.0134     0.4448         0.4510
    134   3.18    12.95  0.9867     0.9868  0.0133     0.0132     0.4987         0.5041
    135   3.17    12.63  0.9855     0.9866  0.0145     0.0134     0.4841         0.4937
    136   3.17    12.60  0.9862     0.9869  0.0138     0.0131     0.4908         0.4939
    137   3.18    12.96  0.9860     0.9870  0.0140     0.0130     0.4815         0.4871
    138   3.17    13.10  0.9866     0.9875  0.0134     0.0125     0.4973         0.4996
    139   3.18    12.72  0.9861     0.9871  0.0139     0.0129     0.4973         0.5036
    140   3.16    13.28  0.9847     0.9866  0.0153     0.0134     0.4762         0.4808
    141   3.18    12.79  0.9865     0.9873  0.0135     0.0127     0.4911         0.4947
    142   3.17    12.96  0.9857     0.9870  0.0143     0.0130     0.5228         0.5252
    143   3.18    12.87  0.9871     0.9872  0.0129     0.0128     0.5018         0.5059
    144   3.18    12.70  0.9862     0.9870  0.0138     0.0130     0.5081         0.5111
    145   3.17    12.69  0.9863     0.9872  0.0137     0.0128     0.5334         0.5357
    146   3.18    13.43  0.9865     0.9867  0.0135     0.0133     0.5440         0.5516
    147   3.16    12.51  0.9859     0.9862  0.0141     0.0138     0.5614         0.5669
    148   3.17    12.86  0.9857     0.9872  0.0143     0.0128     0.5626         0.5666
    149   3.18    12.89  0.9865     0.9871  0.0135     0.0129     0.5490         0.5541
    150   3.17    12.63  0.9850     0.9871  0.0150     0.0129     0.5670         0.5722
    151   3.16    12.61  0.9858     0.9867  0.0142     0.0133     0.5410         0.5457
    152   3.17    12.94  0.9855     0.9867  0.0145     0.0133     0.5300         0.5352
    153   3.16    12.57  0.9853     0.9860  0.0147     0.0140     0.5627         0.5689
    154   3.17    12.76  0.9864     0.9865  0.0136     0.0135     0.5362         0.5407
    155   3.17    13.09  0.9848     0.9858  0.0152     0.0142     0.5285         0.5296
    156   3.17    12.62  0.9853     0.9868  0.0147     0.0132     0.5448         0.5490
    157   3.16    12.46  0.9860     0.9862  0.0140     0.0138     0.5274         0.5304
    158   3.16    12.34  0.9863     0.9863  0.0137     0.0137     0.5445         0.5505
    159   3.17    14.18  0.9862     0.9869  0.0138     0.0131     0.5193         0.5234
    160   3.16    12.31  0.9854     0.9863  0.0146     0.0137     0.5078         0.5150
    161   3.17    12.94  0.9866     0.9867  0.0134     0.0133     0.5231         0.5282
    162   3.17    12.58  0.9852     0.9871  0.0148     0.0129     0.5169         0.5208
    163   3.17    12.30  0.9866     0.9871  0.0134     0.0129     0.5229         0.5300
    164   3.17    12.66  0.9864     0.9868  0.0136     0.0132     0.5372         0.5448
    165   3.17    12.66  0.9862     0.9871  0.0138     0.0129     0.5253         0.5332
    166   3.17    12.77  0.9859     0.9871  0.0141     0.0129     0.5109         0.5130
    167   3.18    12.76  0.9861     0.9869  0.0139     0.0131     0.5057         0.5103
    168   3.16    12.68  0.9848     0.9866  0.0152     0.0134     0.5140         0.5199
    169   3.18    12.38  0.9862     0.9869  0.0138     0.0131     0.5336         0.5384
    170   3.17    12.55  0.9862     0.9870  0.0138     0.0130     0.5297         0.5333
    171   3.18    12.33  0.9857     0.9872  0.0143     0.0128     0.5189         0.5211
    172   3.17    12.99  0.9849     0.9869  0.0151     0.0131     0.5112         0.5165
    173   3.16    12.48  0.9852     0.9866  0.0148     0.0134     0.5359         0.5414
    174   3.17    12.58  0.9856     0.9863  0.0144     0.0137     0.5560         0.5589
    175   3.16    12.34  0.9855     0.9868  0.0145     0.0132     0.5502         0.5560
    176   3.18    12.68  0.9865     0.9870  0.0135     0.0130     0.5736         0.5775
    177   3.17    12.54  0.9872     0.9874  0.0128     0.0126     0.5621         0.5672
    178   3.16    12.56  0.9853     0.9871  0.0147     0.0129     0.5803         0.5865
    179   3.18    12.71  0.9858     0.9871  0.0142     0.0129     0.5692         0.5752
    180   3.18    12.50  0.9863     0.9869  0.0137     0.0131     0.5750         0.5828
    181   3.16    12.52  0.9853     0.9863  0.0147     0.0137     0.5800         0.5861
    182   3.18    12.39  0.9870     0.9872  0.0130     0.0128     0.5693         0.5738
    183   3.18    12.64  0.9871     0.9870  0.0129     0.0130     0.5615         0.5686
    184   3.17    12.74  0.9861     0.9867  0.0139     0.0133     0.5396         0.5445
    185   3.18    12.95  0.9858     0.9870  0.0142     0.0130     0.5636         0.5708
    186   3.17    12.61  0.9860     0.9867  0.0140     0.0133     0.5538         0.5586
    187   3.16    12.37  0.9851     0.9864  0.0149     0.0136     0.5712         0.5804
    188   3.17    12.29  0.9858     0.9871  0.0142     0.0129     0.5935         0.5986
    189   3.17    12.69  0.9864     0.9874  0.0136     0.0126     0.5961         0.6053
    190   3.17    12.62  0.9859     0.9865  0.0141     0.0135     0.5840         0.5888
    191   3.18    12.40  0.9861     0.9866  0.0139     0.0134     0.5899         0.5973
    192   3.17    12.75  0.9866     0.9872  0.0134     0.0128     0.5974         0.6016
    193   3.17    12.49  0.9864     0.9872  0.0136     0.0128     0.5847         0.5890
    194   3.18    12.51  0.9865     0.9869  0.0135     0.0131     0.6029         0.6069
    195   3.18    12.65  0.9864     0.9875  0.0136     0.0125     0.5822         0.5893
    196   3.17    12.58  0.9852     0.9866  0.0148     0.0134     0.6030         0.6068
    197   3.18    12.21  0.9861     0.9870  0.0139     0.0130     0.5958         0.6028
    198   3.18    12.99  0.9859     0.9865  0.0141     0.0135     0.5759         0.5827
    199   3.16    12.15  0.9854     0.9864  0.0146     0.0136     0.5883         0.5959
    200   3.16    12.32  0.9846     0.9867  0.0154     0.0133     0.5875         0.5937
The log/output/model have been saved to: ./logs/new_train.py-multi_zetas{'num_epochs': 200, 'use_stoch': [False, False, True], 'betas': None}-esy-04-04-01:41 + .csv/.out/.cpt
