  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.09    51.18  0.9524     0.9569  0.0476     0.0431     0.0258         0.0254
      2   3.15    39.41  0.9641     0.9686  0.0359     0.0314     0.0270         0.0275
      3   3.17    36.38  0.9700     0.9724  0.0300     0.0276     0.0344         0.0336
      4   3.19    30.34  0.9743     0.9752  0.0257     0.0248     0.0588         0.0616
      5   3.15    30.48  0.9653     0.9687  0.0347     0.0313     0.0703         0.0737
      6   3.20    27.23  0.9780     0.9803  0.0220     0.0197     0.0948         0.0998
      7   3.20    26.53  0.9782     0.9794  0.0218     0.0206     0.1260         0.1307
      8   3.18    26.01  0.9753     0.9775  0.0247     0.0225     0.1280         0.1336
      9   3.17    24.83  0.9741     0.9759  0.0259     0.0241     0.1631         0.1674
     10   3.21    23.62  0.9812     0.9827  0.0188     0.0173     0.1867         0.1927
     11   3.18    23.62  0.9758     0.9783  0.0242     0.0217     0.2206         0.2281
     12   3.19    29.95  0.9787     0.9790  0.0213     0.0210     0.2479         0.2532
     13   3.20    22.39  0.9804     0.9821  0.0196     0.0179     0.2802         0.2949
     14   3.16    23.49  0.9746     0.9767  0.0254     0.0233     0.2990         0.3132
     15   3.21    21.71  0.9834     0.9824  0.0166     0.0176     0.3265         0.3404
     16   3.18    22.90  0.9788     0.9795  0.0212     0.0205     0.3151         0.3259
     17   3.17    20.51  0.9763     0.9778  0.0237     0.0222     0.2972         0.3044
     18   3.19    21.91  0.9811     0.9802  0.0189     0.0198     0.3374         0.3482
     19   3.19    19.73  0.9809     0.9828  0.0191     0.0172     0.3316         0.3444
     20   3.20    23.67  0.9822     0.9826  0.0178     0.0174     0.3872         0.3911
     21   3.21    21.83  0.9840     0.9842  0.0160     0.0158     0.3553         0.3623
     22   3.19    20.06  0.9807     0.9821  0.0193     0.0179     0.3241         0.3341
     23   3.20    19.68  0.9814     0.9831  0.0186     0.0169     0.3600         0.3680
     24   3.12    20.09  0.9734     0.9748  0.0266     0.0252     0.3242         0.3352
     25   3.17    18.44  0.9796     0.9812  0.0204     0.0188     0.4126         0.4258
     26   3.19    19.10  0.9829     0.9832  0.0171     0.0168     0.3788         0.3887
     27   3.18    18.58  0.9832     0.9840  0.0168     0.0160     0.4028         0.4129
     28   3.19    18.09  0.9843     0.9845  0.0157     0.0155     0.3758         0.3830
     29   3.19    18.64  0.9832     0.9838  0.0168     0.0162     0.3302         0.3397
     30   3.20    18.62  0.9832     0.9837  0.0168     0.0163     0.3568         0.3634
     31   3.20    16.92  0.9842     0.9849  0.0158     0.0151     0.3307         0.3404
     32   3.13    19.46  0.9787     0.9791  0.0213     0.0209     0.3099         0.3149
     33   3.18    17.03  0.9808     0.9820  0.0192     0.0180     0.3962         0.4005
     34   3.20    17.51  0.9844     0.9857  0.0156     0.0143     0.3745         0.3831
     35   3.19    17.38  0.9849     0.9854  0.0151     0.0146     0.3542         0.3653
     36   3.19    21.29  0.9831     0.9835  0.0169     0.0165     0.3715         0.3811
     37   3.19    16.32  0.9838     0.9853  0.0162     0.0147     0.4163         0.4253
     38   3.18    16.42  0.9834     0.9840  0.0166     0.0160     0.4327         0.4409
