  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.08    54.61  0.9489     0.9536  0.0511     0.0464     0.0294         0.0302
      2   3.15    40.21  0.9650     0.9683  0.0350     0.0317     0.0351         0.0355
      3   3.13    41.79  0.9605     0.9635  0.0395     0.0365     0.0328         0.0330
      4   3.17    32.16  0.9705     0.9746  0.0295     0.0254     0.0403         0.0418
      5   3.20    30.71  0.9754     0.9776  0.0246     0.0224     0.0481         0.0496
      6   3.19    26.87  0.9759     0.9794  0.0241     0.0206     0.0917         0.0970
      7   3.21    27.82  0.9793     0.9807  0.0207     0.0193     0.1250         0.1286
      8   3.21    27.61  0.9785     0.9792  0.0215     0.0208     0.1575         0.1599
      9   3.21    25.92  0.9791     0.9806  0.0209     0.0194     0.1885         0.1946
     10   3.20    24.87  0.9797     0.9808  0.0203     0.0192     0.2851         0.2929
     11   3.19    24.48  0.9776     0.9771  0.0224     0.0229     0.2389         0.2447
     12   3.19    22.25  0.9796     0.9807  0.0204     0.0193     0.2804         0.2889
     13   3.21    21.87  0.9818     0.9827  0.0182     0.0173     0.2916         0.3004
     14   3.21    22.14  0.9838     0.9837  0.0162     0.0163     0.3395         0.3506
     15   3.19    22.26  0.9804     0.9810  0.0196     0.0190     0.3415         0.3515
     16   3.20    23.93  0.9821     0.9826  0.0179     0.0174     0.3165         0.3262
     17   3.17    20.38  0.9796     0.9806  0.0204     0.0194     0.3677         0.3832
     18   3.21    20.46  0.9833     0.9835  0.0167     0.0165     0.3083         0.3231
     19   3.20    21.51  0.9844     0.9840  0.0156     0.0160     0.2982         0.3108
     20   3.22    24.38  0.9843     0.9844  0.0157     0.0156     0.4181         0.4244
     21   3.19    27.38  0.9810     0.9816  0.0190     0.0184     0.3377         0.3452
     22   3.18    19.31  0.9812     0.9818  0.0188     0.0182     0.3333         0.3444
     23   3.19    21.02  0.9821     0.9837  0.0179     0.0163     0.3807         0.3990
     24   3.19    20.06  0.9831     0.9830  0.0169     0.0170     0.3791         0.3865
     25   3.16    18.36  0.9785     0.9797  0.0215     0.0203     0.3966         0.4067
     26   3.19    19.54  0.9819     0.9826  0.0181     0.0174     0.3762         0.3868
     27   3.19    18.78  0.9828     0.9836  0.0172     0.0164     0.3405         0.3500
     28   3.18    18.54  0.9809     0.9824  0.0191     0.0176     0.4109         0.4281
     29   3.15    16.94  0.9794     0.9808  0.0206     0.0192     0.4461         0.4583
     30   3.18    18.62  0.9816     0.9830  0.0184     0.0170     0.4013         0.4090
     31   3.17    17.66  0.9806     0.9811  0.0194     0.0189     0.4306         0.4450
     32   3.19    18.14  0.9825     0.9833  0.0175     0.0167     0.3898         0.4027
     33   3.16    17.48  0.9773     0.9791  0.0227     0.0209     0.3819         0.3942
     34   3.19    19.95  0.9845     0.9835  0.0155     0.0165     0.3636         0.3737
     35   3.15    16.90  0.9794     0.9804  0.0206     0.0196     0.3975         0.4097
     36   3.20    16.73  0.9861     0.9858  0.0139     0.0142     0.4161         0.4263
     37   3.16    16.80  0.9801     0.9805  0.0199     0.0195     0.3537         0.3641
     38   3.14    18.26  0.9778     0.9792  0.0222     0.0208     0.3312         0.3397
     39   3.19    16.06  0.9847     0.9853  0.0153     0.0147     0.3853         0.3956
     40   3.19    15.69  0.9845     0.9853  0.0155     0.0147     0.4759         0.4840
     41   3.17    18.11  0.9808     0.9824  0.0192     0.0176     0.3757         0.3857
     42   3.19    16.19  0.9853     0.9861  0.0147     0.0139     0.4735         0.4793
     43   3.17    19.12  0.9813     0.9824  0.0187     0.0176     0.3391         0.3464
     44   3.19    16.79  0.9838     0.9834  0.0162     0.0166     0.3843         0.3915
     45   3.18    15.24  0.9849     0.9859  0.0151     0.0141     0.4818         0.4926
     46   3.18    15.85  0.9838     0.9846  0.0162     0.0154     0.4682         0.4768
     47   3.20    18.17  0.9867     0.9868  0.0133     0.0132     0.4636         0.4703
     48   3.18    15.68  0.9841     0.9849  0.0159     0.0151     0.4228         0.4324
     49   3.17    16.16  0.9830     0.9834  0.0170     0.0166     0.2859         0.2967
     50   3.17    16.34  0.9825     0.9832  0.0175     0.0168     0.3185         0.3329
     51   3.13    15.23  0.9795     0.9799  0.0205     0.0201     0.4040         0.4113
     52   3.16    20.30  0.9814     0.9823  0.0186     0.0177     0.3687         0.3779
     53   3.17    16.91  0.9830     0.9848  0.0170     0.0152     0.3532         0.3589
     54   3.17    15.47  0.9832     0.9844  0.0168     0.0156     0.3675         0.3770
     55   3.15    15.65  0.9817     0.9824  0.0183     0.0176     0.4575         0.4628
     56   3.11    15.41  0.9784     0.9794  0.0216     0.0206     0.4909         0.4988
     57   3.17    14.68  0.9845     0.9855  0.0155     0.0145     0.4331         0.4416
     58   3.19    15.13  0.9865     0.9869  0.0135     0.0131     0.4431         0.4492
     59   3.16    17.47  0.9816     0.9817  0.0184     0.0183     0.3126         0.3170
     60   3.17    14.79  0.9828     0.9838  0.0172     0.0162     0.3279         0.3353
     61   3.17    14.86  0.9836     0.9841  0.0164     0.0159     0.3642         0.3720
     62   3.15    15.92  0.9811     0.9815  0.0189     0.0185     0.3684         0.3776
     63   3.18    14.83  0.9849     0.9850  0.0151     0.0150     0.5072         0.5139
     64   3.19    15.25  0.9856     0.9861  0.0144     0.0139     0.4509         0.4565
     65   3.18    14.88  0.9848     0.9850  0.0152     0.0150     0.4458         0.4507
     66   3.18    13.99  0.9857     0.9865  0.0143     0.0135     0.4664         0.4766
     67   3.19    17.20  0.9867     0.9872  0.0133     0.0128     0.4376         0.4396
     68   3.19    14.17  0.9864     0.9875  0.0136     0.0125     0.4838         0.4934
     69   3.18    14.47  0.9849     0.9864  0.0151     0.0136     0.3575         0.3641
     70   3.17    14.17  0.9855     0.9859  0.0145     0.0141     0.4304         0.4348
     71   3.17    13.95  0.9854     0.9858  0.0146     0.0142     0.4876         0.4950
     72   3.18    14.51  0.9857     0.9858  0.0143     0.0142     0.4779         0.4830
     73   3.19    14.13  0.9865     0.9874  0.0135     0.0126     0.4617         0.4685
     74   3.19    13.71  0.9861     0.9870  0.0139     0.0130     0.4635         0.4677
     75   3.18    13.70  0.9856     0.9867  0.0144     0.0133     0.4405         0.4467
     76   3.17    14.21  0.9856     0.9866  0.0144     0.0134     0.4538         0.4598
     77   3.18    13.94  0.9848     0.9865  0.0152     0.0135     0.4686         0.4777
     78   3.18    14.05  0.9858     0.9864  0.0142     0.0136     0.4654         0.4714
     79   3.19    13.41  0.9869     0.9874  0.0131     0.0126     0.4699         0.4785
     80   3.17    14.01  0.9845     0.9856  0.0155     0.0144     0.4402         0.4467
     81   3.17    14.02  0.9848     0.9858  0.0152     0.0142     0.4982         0.5024
     82   3.17    15.22  0.9848     0.9860  0.0152     0.0140     0.5151         0.5224
     83   3.15    14.69  0.9833     0.9835  0.0167     0.0165     0.4468         0.4520
     84   3.18    14.85  0.9869     0.9868  0.0131     0.0132     0.5292         0.5327
     85   3.18    13.46  0.9857     0.9867  0.0143     0.0133     0.5035         0.5091
     86   3.19    13.99  0.9871     0.9870  0.0129     0.0130     0.4604         0.4666
     87   3.15    14.87  0.9825     0.9840  0.0175     0.0160     0.4463         0.4505
     88   3.17    13.65  0.9840     0.9853  0.0160     0.0147     0.4337         0.4364
     89   3.13    13.82  0.9826     0.9833  0.0174     0.0167     0.4176         0.4207
     90   3.17    13.25  0.9861     0.9860  0.0139     0.0140     0.4546         0.4608
     91   3.18    13.32  0.9864     0.9869  0.0136     0.0131     0.4665         0.4702
     92   3.17    13.86  0.9854     0.9865  0.0146     0.0135     0.4473         0.4522
     93   3.17    15.44  0.9853     0.9865  0.0147     0.0135     0.4377         0.4390
     94   3.18    13.17  0.9850     0.9866  0.0150     0.0134     0.4494         0.4553
     95   3.17    13.42  0.9852     0.9864  0.0148     0.0136     0.4663         0.4682
     96   3.18    13.35  0.9862     0.9864  0.0138     0.0136     0.4593         0.4632
     97   3.16    13.16  0.9840     0.9852  0.0160     0.0148     0.4924         0.5001
     98   3.17    13.64  0.9853     0.9856  0.0147     0.0144     0.4527         0.4579
     99   3.18    13.20  0.9860     0.9863  0.0140     0.0137     0.5164         0.5210
    100   3.17    12.72  0.9851     0.9870  0.0149     0.0130     0.5682         0.5734
    101   3.18    12.99  0.9857     0.9868  0.0143     0.0132     0.5537         0.5609
    102   3.17    13.43  0.9844     0.9856  0.0156     0.0144     0.4793         0.4835
    103   3.18    13.35  0.9862     0.9869  0.0138     0.0131     0.5207         0.5243
    104   3.18    13.42  0.9859     0.9875  0.0141     0.0125     0.5159         0.5174
    105   3.18    13.59  0.9859     0.9871  0.0141     0.0129     0.5166         0.5192
    106   3.18    13.48  0.9856     0.9873  0.0144     0.0127     0.5162         0.5197
    107   3.18    12.92  0.9865     0.9866  0.0135     0.0134     0.4897         0.4932
    108   3.18    12.86  0.9854     0.9883  0.0146     0.0117     0.5337         0.5386
    109   3.18    13.37  0.9844     0.9851  0.0156     0.0149     0.5048         0.5130
    110   3.17    13.02  0.9859     0.9861  0.0141     0.0139     0.5310         0.5356
    111   3.18    13.29  0.9855     0.9865  0.0145     0.0135     0.5213         0.5257
    112   3.18    13.19  0.9862     0.9869  0.0138     0.0131     0.5180         0.5212
    113   3.18    12.85  0.9860     0.9872  0.0140     0.0128     0.5007         0.5014
