t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.097970485687256,49.55542755126953,0.9537000060081482,0.9574000239372253,0.04629999399185181,0.04259997606277466,0.026900000870227814,0.02669999934732914
2,3.129239320755005,38.647674560546875,0.9613000154495239,0.9664000272750854,0.038699984550476074,0.03359997272491455,0.03970000147819519,0.04100000113248825
3,3.1547939777374268,33.17694091796875,0.9664000272750854,0.9718999862670898,0.03359997272491455,0.028100013732910156,0.03590000048279762,0.03779999911785126
4,3.110330104827881,33.96238708496094,0.9585999846458435,0.9610000252723694,0.041400015354156494,0.038999974727630615,0.04919999837875366,0.049800001084804535
5,3.173091173171997,30.7799072265625,0.9713000059127808,0.9740999937057495,0.02869999408721924,0.02590000629425049,0.06790000200271606,0.0714000016450882
6,3.1982455253601074,28.93985939025879,0.9769999980926514,0.9787999987602234,0.023000001907348633,0.02120000123977661,0.10779999941587448,0.11100000143051147
7,3.1633896827697754,27.795429229736328,0.972100019454956,0.9739999771118164,0.027899980545043945,0.026000022888183594,0.12330000102519989,0.12809999287128448
8,3.162166118621826,28.304170608520508,0.9717000126838684,0.9714000225067139,0.028299987316131592,0.028599977493286133,0.15700000524520874,0.16279999911785126
9,3.1954712867736816,25.324668884277344,0.977400004863739,0.978600025177002,0.022599995136260986,0.021399974822998047,0.19470000267028809,0.1981000006198883
10,3.189600706100464,25.77225685119629,0.9769999980926514,0.9764000177383423,0.023000001907348633,0.023599982261657715,0.2013999968767166,0.20659999549388885
11,3.2014541625976562,24.14529800415039,0.9793999791145325,0.9807999730110168,0.02060002088546753,0.019200026988983154,0.250900000333786,0.25859999656677246
12,3.1736316680908203,23.612152099609375,0.9757000207901001,0.9758999943733215,0.024299979209899902,0.024100005626678467,0.23499999940395355,0.24379999935626984
13,3.1928436756134033,22.32959747314453,0.9782999753952026,0.9793000221252441,0.021700024604797363,0.02069997787475586,0.26809999346733093,0.27880001068115234
14,3.1830174922943115,23.304969787597656,0.9776999950408936,0.9793999791145325,0.022300004959106445,0.02060002088546753,0.2955999970436096,0.30329999327659607
15,3.180359125137329,21.913318634033203,0.9782000184059143,0.978600025177002,0.021799981594085693,0.021399974822998047,0.3140000104904175,0.32679998874664307
16,3.1760809421539307,21.767688751220703,0.9789999723434448,0.9786999821662903,0.021000027656555176,0.021300017833709717,0.3057999908924103,0.3154999911785126
17,3.1688334941864014,21.585901260375977,0.9764999747276306,0.9783999919891357,0.023500025272369385,0.021600008010864258,0.2953999936580658,0.3093000054359436
18,3.2039756774902344,20.60760498046875,0.9821000099182129,0.9825000166893005,0.01789999008178711,0.017499983310699463,0.31220000982284546,0.3244999945163727
19,3.171754837036133,30.512866973876953,0.9768999814987183,0.9764999747276306,0.02310001850128174,0.023500025272369385,0.2644999921321869,0.26820001006126404
20,3.173110246658325,24.009082794189453,0.977400004863739,0.9790999889373779,0.022599995136260986,0.02090001106262207,0.26109999418258667,0.27149999141693115
21,3.1842567920684814,22.920129776000977,0.9800999760627747,0.9800000190734863,0.019900023937225342,0.019999980926513672,0.2628999948501587,0.27090001106262207
22,3.179131031036377,21.233001708984375,0.9801999926567078,0.9801999926567078,0.019800007343292236,0.019800007343292236,0.3393000066280365,0.35109999775886536
23,3.1867728233337402,19.01384735107422,0.9810000061988831,0.9821000099182129,0.018999993801116943,0.01789999008178711,0.36629998683929443,0.375900000333786
24,3.1613407135009766,20.7081298828125,0.9782000184059143,0.9790999889373779,0.021799981594085693,0.02090001106262207,0.3343000113964081,0.3515999913215637
25,3.150362730026245,18.50826644897461,0.9789000153541565,0.9787999987602234,0.021099984645843506,0.02120000123977661,0.39430001378059387,0.40639999508857727
26,3.1771247386932373,20.634963989257812,0.9797999858856201,0.9807000160217285,0.020200014114379883,0.019299983978271484,0.3472999930381775,0.3562999963760376
27,3.1769895553588867,20.668018341064453,0.9807000160217285,0.9818999767303467,0.019299983978271484,0.01810002326965332,0.3547999858856201,0.3671000003814697
28,3.175030469894409,20.153263092041016,0.9801999926567078,0.9807999730110168,0.019800007343292236,0.019200026988983154,0.3199999928474426,0.33230000734329224
29,3.194021224975586,20.186031341552734,0.9825000166893005,0.983299970626831,0.017499983310699463,0.016700029373168945,0.3709999918937683,0.37619999051094055
30,3.1866748332977295,17.57654571533203,0.9814000129699707,0.9821000099182129,0.018599987030029297,0.01789999008178711,0.37119999527931213,0.3849000036716461
31,3.188748598098755,17.818679809570312,0.982699990272522,0.9836000204086304,0.017300009727478027,0.01639997959136963,0.4250999987125397,0.43459999561309814
32,3.1991682052612305,16.17843246459961,0.9836999773979187,0.9850999712944031,0.0163000226020813,0.014900028705596924,0.4717000126838684,0.48649999499320984
33,3.2113025188446045,17.19227409362793,0.9860000014305115,0.9865999817848206,0.013999998569488525,0.013400018215179443,0.4618000090122223,0.4722999930381775
34,3.171096086502075,18.269981384277344,0.9796000123023987,0.9800000190734863,0.02039998769760132,0.019999980926513672,0.3172999918460846,0.32829999923706055
35,3.181389331817627,17.457660675048828,0.9822999835014343,0.982200026512146,0.017700016498565674,0.017799973487854004,0.3978999853134155,0.412200003862381
36,3.1845011711120605,16.45218276977539,0.9825000166893005,0.9836999773979187,0.017499983310699463,0.0163000226020813,0.3905999958515167,0.4034000039100647
37,3.15926194190979,19.275846481323242,0.9793999791145325,0.9797999858856201,0.02060002088546753,0.020200014114379883,0.29660001397132874,0.30399999022483826
38,3.151918649673462,17.962430953979492,0.9794999957084656,0.9804999828338623,0.020500004291534424,0.019500017166137695,0.38339999318122864,0.397599995136261
39,3.1467068195343018,17.047449111938477,0.9786999821662903,0.9785000085830688,0.021300017833709717,0.021499991416931152,0.4323999881744385,0.4408000111579895
40,3.1840033531188965,16.407323837280273,0.9836999773979187,0.9842000007629395,0.0163000226020813,0.015799999237060547,0.39649999141693115,0.4041999876499176
41,3.179945707321167,16.208696365356445,0.9830999970436096,0.9837999939918518,0.01690000295639038,0.016200006008148193,0.3813999891281128,0.3930000066757202
42,3.199287176132202,17.606712341308594,0.9847000241279602,0.9854000210762024,0.015299975872039795,0.014599978923797607,0.420199990272522,0.42809998989105225
43,3.18251633644104,16.473190307617188,0.9843000173568726,0.9840999841690063,0.01569998264312744,0.015900015830993652,0.4036000072956085,0.4099000096321106
44,3.190960645675659,15.649700164794922,0.9851999878883362,0.9864000082015991,0.014800012111663818,0.013599991798400879,0.3635999858379364,0.3756999969482422
45,3.185988664627075,16.538021087646484,0.9853000044822693,0.9857000112533569,0.014699995517730713,0.014299988746643066,0.37779998779296875,0.387800008058548
46,3.193148374557495,17.197925567626953,0.9847000241279602,0.98580002784729,0.015299975872039795,0.014199972152709961,0.4609000086784363,0.4674000144004822
47,3.1862399578094482,16.446767807006836,0.9840999841690063,0.9843000173568726,0.015900015830993652,0.01569998264312744,0.41510000824928284,0.4239000082015991
48,3.1695594787597656,15.892057418823242,0.982699990272522,0.9836000204086304,0.017300009727478027,0.01639997959136963,0.3425999879837036,0.35580000281333923
49,3.12644624710083,16.027423858642578,0.977400004863739,0.9785000085830688,0.022599995136260986,0.021499991416931152,0.4113999903202057,0.420199990272522
50,3.183903217315674,14.658768653869629,0.9840999841690063,0.9850000143051147,0.015900015830993652,0.014999985694885254,0.4359000027179718,0.4440999925136566
51,3.1560754776000977,16.381694793701172,0.9818999767303467,0.9812999963760376,0.01810002326965332,0.018700003623962402,0.27160000801086426,0.27970001101493835
