  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10    49.56  0.9537     0.9574  0.0463     0.0426     0.0269         0.0267
      2   3.13    38.65  0.9613     0.9664  0.0387     0.0336     0.0397         0.0410
      3   3.15    33.18  0.9664     0.9719  0.0336     0.0281     0.0359         0.0378
      4   3.11    33.96  0.9586     0.9610  0.0414     0.0390     0.0492         0.0498
      5   3.17    30.78  0.9713     0.9741  0.0287     0.0259     0.0679         0.0714
      6   3.20    28.94  0.9770     0.9788  0.0230     0.0212     0.1078         0.1110
      7   3.16    27.80  0.9721     0.9740  0.0279     0.0260     0.1233         0.1281
      8   3.16    28.30  0.9717     0.9714  0.0283     0.0286     0.1570         0.1628
      9   3.20    25.32  0.9774     0.9786  0.0226     0.0214     0.1947         0.1981
     10   3.19    25.77  0.9770     0.9764  0.0230     0.0236     0.2014         0.2066
     11   3.20    24.15  0.9794     0.9808  0.0206     0.0192     0.2509         0.2586
     12   3.17    23.61  0.9757     0.9759  0.0243     0.0241     0.2350         0.2438
     13   3.19    22.33  0.9783     0.9793  0.0217     0.0207     0.2681         0.2788
     14   3.18    23.30  0.9777     0.9794  0.0223     0.0206     0.2956         0.3033
     15   3.18    21.91  0.9782     0.9786  0.0218     0.0214     0.3140         0.3268
     16   3.18    21.77  0.9790     0.9787  0.0210     0.0213     0.3058         0.3155
     17   3.17    21.59  0.9765     0.9784  0.0235     0.0216     0.2954         0.3093
     18   3.20    20.61  0.9821     0.9825  0.0179     0.0175     0.3122         0.3245
     19   3.17    30.51  0.9769     0.9765  0.0231     0.0235     0.2645         0.2682
     20   3.17    24.01  0.9774     0.9791  0.0226     0.0209     0.2611         0.2715
     21   3.18    22.92  0.9801     0.9800  0.0199     0.0200     0.2629         0.2709
     22   3.18    21.23  0.9802     0.9802  0.0198     0.0198     0.3393         0.3511
     23   3.19    19.01  0.9810     0.9821  0.0190     0.0179     0.3663         0.3759
     24   3.16    20.71  0.9782     0.9791  0.0218     0.0209     0.3343         0.3516
     25   3.15    18.51  0.9789     0.9788  0.0211     0.0212     0.3943         0.4064
     26   3.18    20.63  0.9798     0.9807  0.0202     0.0193     0.3473         0.3563
     27   3.18    20.67  0.9807     0.9819  0.0193     0.0181     0.3548         0.3671
     28   3.18    20.15  0.9802     0.9808  0.0198     0.0192     0.3200         0.3323
     29   3.19    20.19  0.9825     0.9833  0.0175     0.0167     0.3710         0.3762
     30   3.19    17.58  0.9814     0.9821  0.0186     0.0179     0.3712         0.3849
     31   3.19    17.82  0.9827     0.9836  0.0173     0.0164     0.4251         0.4346
     32   3.20    16.18  0.9837     0.9851  0.0163     0.0149     0.4717         0.4865
     33   3.21    17.19  0.9860     0.9866  0.0140     0.0134     0.4618         0.4723
     34   3.17    18.27  0.9796     0.9800  0.0204     0.0200     0.3173         0.3283
     35   3.18    17.46  0.9823     0.9822  0.0177     0.0178     0.3979         0.4122
     36   3.18    16.45  0.9825     0.9837  0.0175     0.0163     0.3906         0.4034
     37   3.16    19.28  0.9794     0.9798  0.0206     0.0202     0.2966         0.3040
     38   3.15    17.96  0.9795     0.9805  0.0205     0.0195     0.3834         0.3976
     39   3.15    17.05  0.9787     0.9785  0.0213     0.0215     0.4324         0.4408
     40   3.18    16.41  0.9837     0.9842  0.0163     0.0158     0.3965         0.4042
     41   3.18    16.21  0.9831     0.9838  0.0169     0.0162     0.3814         0.3930
     42   3.20    17.61  0.9847     0.9854  0.0153     0.0146     0.4202         0.4281
     43   3.18    16.47  0.9843     0.9841  0.0157     0.0159     0.4036         0.4099
     44   3.19    15.65  0.9852     0.9864  0.0148     0.0136     0.3636         0.3757
     45   3.19    16.54  0.9853     0.9857  0.0147     0.0143     0.3778         0.3878
     46   3.19    17.20  0.9847     0.9858  0.0153     0.0142     0.4609         0.4674
     47   3.19    16.45  0.9841     0.9843  0.0159     0.0157     0.4151         0.4239
     48   3.17    15.89  0.9827     0.9836  0.0173     0.0164     0.3426         0.3558
     49   3.13    16.03  0.9774     0.9785  0.0226     0.0215     0.4114         0.4202
     50   3.18    14.66  0.9841     0.9850  0.0159     0.0150     0.4359         0.4441
     51   3.16    16.38  0.9819     0.9813  0.0181     0.0187     0.2716         0.2797
     52   3.19    19.34  0.9855     0.9861  0.0145     0.0139     0.3526         0.3565
     53   3.17    15.40  0.9843     0.9850  0.0157     0.0150     0.3812         0.3845
     54   3.19    15.09  0.9845     0.9851  0.0155     0.0149     0.4229         0.4307
     55   3.15    15.04  0.9825     0.9833  0.0175     0.0167     0.4228         0.4334
     56   3.18    15.14  0.9848     0.9850  0.0152     0.0150     0.4016         0.4054
     57   3.18    15.09  0.9842     0.9844  0.0158     0.0156     0.4366         0.4442
     58   3.17    15.92  0.9833     0.9843  0.0167     0.0157     0.3970         0.4043
     59   3.15    15.83  0.9822     0.9826  0.0178     0.0174     0.3614         0.3683
     60   3.19    14.60  0.9849     0.9851  0.0151     0.0149     0.4092         0.4155
     61   3.18    14.42  0.9851     0.9850  0.0149     0.0150     0.3617         0.3652
     62   3.18    14.74  0.9843     0.9849  0.0157     0.0151     0.3776         0.3849
     63   3.17    14.75  0.9843     0.9847  0.0157     0.0153     0.3567         0.3647
     64   3.18    14.58  0.9844     0.9848  0.0156     0.0152     0.4310         0.4348
     65   3.19    14.30  0.9862     0.9868  0.0138     0.0132     0.4396         0.4468
     66   3.20    14.83  0.9865     0.9868  0.0135     0.0132     0.4354         0.4412
     67   3.18    14.31  0.9866     0.9867  0.0134     0.0133     0.4611         0.4671
     68   3.14    16.14  0.9818     0.9816  0.0182     0.0184     0.4030         0.4079
     69   3.19    16.13  0.9864     0.9870  0.0136     0.0130     0.4676         0.4733
     70   3.19    14.00  0.9867     0.9873  0.0133     0.0127     0.4520         0.4560
     71   3.19    13.99  0.9870     0.9875  0.0130     0.0125     0.4248         0.4296
     72   3.19    14.27  0.9866     0.9873  0.0134     0.0127     0.3941         0.4007
     73   3.20    13.76  0.9863     0.9879  0.0137     0.0121     0.4061         0.4086
     74   3.19    13.83  0.9867     0.9872  0.0133     0.0128     0.4220         0.4247
     75   3.17    14.03  0.9842     0.9849  0.0158     0.0151     0.3301         0.3364
     76   3.16    14.07  0.9833     0.9842  0.0167     0.0158     0.3330         0.3371
     77   3.18    14.15  0.9854     0.9858  0.0146     0.0142     0.3785         0.3809
     78   3.18    14.41  0.9861     0.9865  0.0139     0.0135     0.4363         0.4393
     79   3.14    14.53  0.9818     0.9818  0.0182     0.0182     0.3266         0.3303
