t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0627193450927734,52.84768295288086,0.945900022983551,0.9528999924659729,0.054099977016448975,0.0471000075340271,0.02969999983906746,0.03020000085234642
2,3.1266660690307617,38.15258026123047,0.9613999724388123,0.9643999934196472,0.038600027561187744,0.03560000658035278,0.03550000116229057,0.037700001150369644
3,3.1646432876586914,35.647125244140625,0.9684000015258789,0.9703999757766724,0.031599998474121094,0.029600024223327637,0.032099999487400055,0.03229999914765358
4,3.139977216720581,31.282588958740234,0.9649999737739563,0.9671000242233276,0.0350000262260437,0.03289997577667236,0.0544000007212162,0.05620000138878822
5,3.1505613327026367,30.111526489257812,0.96670001745224,0.9700999855995178,0.03329998254776001,0.029900014400482178,0.0737999975681305,0.0771000012755394
6,3.1701838970184326,34.43452835083008,0.9728000164031982,0.9735999703407288,0.027199983596801758,0.02640002965927124,0.07190000265836716,0.07349999994039536
7,3.1978397369384766,28.431270599365234,0.9753000140190125,0.9765999913215637,0.02469998598098755,0.02340000867843628,0.11540000140666962,0.11949999630451202
8,3.1882693767547607,27.732404708862305,0.9761999845504761,0.9771000146865845,0.023800015449523926,0.022899985313415527,0.12929999828338623,0.1354999989271164
9,3.1847734451293945,24.742168426513672,0.9765999913215637,0.978600025177002,0.02340000867843628,0.021399974822998047,0.2222999930381775,0.2296999990940094
10,3.199645757675171,24.249483108520508,0.9787999987602234,0.9797999858856201,0.02120000123977661,0.020200014114379883,0.21570000052452087,0.22259999811649323
11,3.1441521644592285,28.276355743408203,0.9702000021934509,0.9721999764442444,0.029799997806549072,0.027800023555755615,0.23829999566078186,0.24449999630451202
12,3.190861225128174,24.551040649414062,0.9782000184059143,0.9790999889373779,0.021799981594085693,0.02090001106262207,0.2493000030517578,0.2542000114917755
13,3.2026805877685547,24.998262405395508,0.9783999919891357,0.9799000024795532,0.021600008010864258,0.020099997520446777,0.18400000035762787,0.18790000677108765
14,3.200624942779541,21.131336212158203,0.98089998960495,0.982200026512146,0.01910001039505005,0.017799973487854004,0.323199987411499,0.33559998869895935
15,3.1956164836883545,20.72733497619629,0.9811000227928162,0.9811000227928162,0.018899977207183838,0.018899977207183838,0.32420000433921814,0.33559998869895935
16,3.1627402305603027,34.115699768066406,0.974399983882904,0.9764000177383423,0.025600016117095947,0.023599982261657715,0.30869999527931213,0.31200000643730164
17,3.1644086837768555,23.313888549804688,0.9764000177383423,0.9778000116348267,0.023599982261657715,0.02219998836517334,0.3061999976634979,0.31119999289512634
