  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.06    52.85  0.9459     0.9529  0.0541     0.0471     0.0297         0.0302
      2   3.13    38.15  0.9614     0.9644  0.0386     0.0356     0.0355         0.0377
      3   3.16    35.65  0.9684     0.9704  0.0316     0.0296     0.0321         0.0323
      4   3.14    31.28  0.9650     0.9671  0.0350     0.0329     0.0544         0.0562
      5   3.15    30.11  0.9667     0.9701  0.0333     0.0299     0.0738         0.0771
      6   3.17    34.43  0.9728     0.9736  0.0272     0.0264     0.0719         0.0735
      7   3.20    28.43  0.9753     0.9766  0.0247     0.0234     0.1154         0.1195
      8   3.19    27.73  0.9762     0.9771  0.0238     0.0229     0.1293         0.1355
      9   3.18    24.74  0.9766     0.9786  0.0234     0.0214     0.2223         0.2297
     10   3.20    24.25  0.9788     0.9798  0.0212     0.0202     0.2157         0.2226
     11   3.14    28.28  0.9702     0.9722  0.0298     0.0278     0.2383         0.2445
     12   3.19    24.55  0.9782     0.9791  0.0218     0.0209     0.2493         0.2542
     13   3.20    25.00  0.9784     0.9799  0.0216     0.0201     0.1840         0.1879
     14   3.20    21.13  0.9809     0.9822  0.0191     0.0178     0.3232         0.3356
     15   3.20    20.73  0.9811     0.9811  0.0189     0.0189     0.3242         0.3356
     16   3.16    34.12  0.9744     0.9764  0.0256     0.0236     0.3087         0.3120
     17   3.16    23.31  0.9764     0.9778  0.0236     0.0222     0.3062         0.3112
     18   3.20    20.54  0.9828     0.9828  0.0172     0.0172     0.3426         0.3538
     19   3.17    23.91  0.9762     0.9772  0.0238     0.0228     0.2775         0.2835
     20   3.15    24.71  0.9758     0.9770  0.0242     0.0230     0.3421         0.3596
     21   3.18    22.25  0.9797     0.9803  0.0203     0.0197     0.3404         0.3491
     22   3.19    18.67  0.9820     0.9818  0.0180     0.0182     0.3416         0.3547
     23   3.18    28.92  0.9798     0.9793  0.0202     0.0207     0.2555         0.2608
     24   3.13    20.75  0.9743     0.9760  0.0257     0.0240     0.2950         0.3079
     25   3.19    18.81  0.9815     0.9815  0.0185     0.0185     0.3571         0.3673
     26   3.19    18.10  0.9818     0.9828  0.0182     0.0172     0.4173         0.4321
     27   3.15    19.28  0.9770     0.9779  0.0230     0.0221     0.3553         0.3663
     28   3.18    17.82  0.9815     0.9828  0.0185     0.0172     0.3657         0.3829
     29   3.19    23.30  0.9830     0.9836  0.0170     0.0164     0.4142         0.4214
     30   3.18    17.02  0.9823     0.9835  0.0177     0.0165     0.4321         0.4470
     31   3.19    19.94  0.9831     0.9832  0.0169     0.0168     0.4596         0.4661
     32   3.15    20.66  0.9776     0.9779  0.0224     0.0221     0.4061         0.4144
     33   3.18    17.24  0.9818     0.9809  0.0182     0.0191     0.3790         0.3939
     34   3.17    18.35  0.9811     0.9833  0.0189     0.0167     0.4216         0.4286
     35   3.17    16.70  0.9815     0.9824  0.0185     0.0176     0.3876         0.4026
     36   3.18    17.26  0.9824     0.9825  0.0176     0.0175     0.4218         0.4352
     37   3.18    17.65  0.9819     0.9821  0.0181     0.0179     0.2672         0.2787
     38   3.20    17.21  0.9846     0.9852  0.0154     0.0148     0.4334         0.4426
     39   3.14    17.53  0.9776     0.9786  0.0224     0.0214     0.3885         0.4006
     40   3.18    17.72  0.9821     0.9820  0.0179     0.0180     0.3621         0.3703
     41   3.19    16.21  0.9846     0.9851  0.0154     0.0149     0.4274         0.4362
     42   3.19    15.79  0.9847     0.9855  0.0153     0.0145     0.3872         0.3973
     43   3.17    16.33  0.9826     0.9829  0.0174     0.0171     0.3866         0.3960
     44   3.17    15.74  0.9821     0.9820  0.0179     0.0180     0.4289         0.4428
     45   3.15    16.48  0.9816     0.9819  0.0184     0.0181     0.3823         0.3895
     46   3.16    16.55  0.9823     0.9833  0.0177     0.0167     0.3906         0.3995
     47   3.14    15.92  0.9802     0.9820  0.0198     0.0180     0.3923         0.4000
     48   3.17    14.90  0.9837     0.9842  0.0163     0.0158     0.4185         0.4321
     49   3.17    15.43  0.9838     0.9839  0.0162     0.0161     0.3841         0.3889
     50   3.20    19.80  0.9857     0.9852  0.0143     0.0148     0.3257         0.3309
     51   3.18    15.53  0.9842     0.9849  0.0158     0.0151     0.3605         0.3698
     52   3.20    15.46  0.9856     0.9860  0.0144     0.0140     0.4238         0.4312
     53   3.18    14.06  0.9851     0.9860  0.0149     0.0140     0.4784         0.4908
     54   3.19    14.68  0.9867     0.9866  0.0133     0.0134     0.4798         0.4854
     55   3.20    13.95  0.9869     0.9872  0.0131     0.0128     0.5196         0.5320
     56   3.13    20.81  0.9752     0.9759  0.0248     0.0241     0.2320         0.2360
     57   3.15    14.62  0.9807     0.9819  0.0193     0.0181     0.3380         0.3442
     58   3.17    15.05  0.9836     0.9848  0.0164     0.0152     0.3778         0.3809
     59   3.13    15.79  0.9794     0.9798  0.0206     0.0202     0.3191         0.3228
     60   3.18    15.16  0.9852     0.9852  0.0148     0.0148     0.3977         0.4043
     61   3.15    16.17  0.9825     0.9827  0.0175     0.0173     0.4706         0.4755
     62   3.14    14.57  0.9821     0.9822  0.0179     0.0178     0.4362         0.4447
     63   3.16    15.26  0.9829     0.9842  0.0171     0.0158     0.4541         0.4595
     64   3.16    15.13  0.9837     0.9845  0.0163     0.0155     0.4497         0.4581
     65   3.15    14.43  0.9816     0.9835  0.0184     0.0165     0.4096         0.4174
     66   3.17    14.52  0.9840     0.9848  0.0160     0.0152     0.4336         0.4405
     67   3.17    14.74  0.9842     0.9841  0.0158     0.0159     0.3752         0.3808
     68   3.19    14.83  0.9858     0.9863  0.0142     0.0137     0.3947         0.3988
     69   3.19    13.41  0.9861     0.9863  0.0139     0.0137     0.4428         0.4495
     70   3.19    13.91  0.9856     0.9867  0.0144     0.0133     0.4436         0.4502
     71   3.18    15.28  0.9860     0.9864  0.0140     0.0136     0.4670         0.4731
     72   3.18    13.73  0.9850     0.9863  0.0150     0.0137     0.4054         0.4111
     73   3.15    14.41  0.9833     0.9845  0.0167     0.0155     0.3247         0.3309
     74   3.15    14.44  0.9816     0.9825  0.0184     0.0175     0.3535         0.3565
     75   3.17    13.66  0.9849     0.9846  0.0151     0.0154     0.3907         0.3978
     76   3.17    13.68  0.9851     0.9854  0.0149     0.0146     0.4189         0.4266
     77   3.18    15.32  0.9853     0.9862  0.0147     0.0138     0.4257         0.4304
     78   3.18    15.66  0.9855     0.9857  0.0145     0.0143     0.4102         0.4123
     79   3.14    15.06  0.9818     0.9824  0.0182     0.0176     0.3269         0.3307
     80   3.17    14.79  0.9842     0.9852  0.0158     0.0148     0.3304         0.3327
     81   3.14    14.82  0.9832     0.9833  0.0168     0.0167     0.3218         0.3261
     82   3.16    13.69  0.9849     0.9843  0.0151     0.0157     0.3545         0.3604
     83   3.15    14.75  0.9832     0.9841  0.0168     0.0159     0.3511         0.3537
     84   3.17    13.70  0.9848     0.9855  0.0152     0.0145     0.3549         0.3621
     85   3.18    13.46  0.9849     0.9856  0.0151     0.0144     0.3712         0.3753
     86   3.18    13.43  0.9852     0.9859  0.0148     0.0141     0.4101         0.4135
     87   3.17    13.18  0.9843     0.9845  0.0157     0.0155     0.4253         0.4314
     88   3.18    14.34  0.9852     0.9860  0.0148     0.0140     0.4570         0.4606
     89   3.14    13.99  0.9831     0.9832  0.0169     0.0168     0.4349         0.4389
     90   3.14    13.83  0.9825     0.9831  0.0175     0.0169     0.4266         0.4317
     91   3.17    13.53  0.9847     0.9861  0.0153     0.0139     0.4505         0.4548
     92   3.17    13.57  0.9854     0.9863  0.0146     0.0137     0.4232         0.4282
     93   3.18    13.45  0.9852     0.9868  0.0148     0.0132     0.4387         0.4425
     94   3.18    15.55  0.9857     0.9859  0.0143     0.0141     0.4216         0.4252
     95   3.18    13.33  0.9856     0.9856  0.0144     0.0144     0.4046         0.4095
     96   3.17    13.50  0.9838     0.9854  0.0162     0.0146     0.3813         0.3843
     97   3.11    13.78  0.9806     0.9810  0.0194     0.0190     0.3355         0.3414
     98   3.16    15.02  0.9843     0.9861  0.0157     0.0139     0.3858         0.3902
     99   3.16    14.38  0.9856     0.9859  0.0144     0.0141     0.4185         0.4241
    100   3.17    15.82  0.9866     0.9867  0.0134     0.0133     0.4032         0.4054
    101   3.17    13.29  0.9859     0.9867  0.0141     0.0133     0.3888         0.3969
    102   3.18    14.91  0.9862     0.9866  0.0138     0.0134     0.3965         0.3970
    103   3.18    13.00  0.9853     0.9862  0.0147     0.0138     0.4239         0.4286
    104   3.15    13.65  0.9834     0.9848  0.0166     0.0152     0.4082         0.4112
    105   3.17    13.39  0.9842     0.9849  0.0158     0.0151     0.4029         0.4086
    106   3.15    13.81  0.9838     0.9840  0.0162     0.0160     0.3787         0.3844
    107   3.16    13.30  0.9846     0.9846  0.0154     0.0154     0.4187         0.4221
    108   3.16    13.13  0.9856     0.9855  0.0144     0.0145     0.4312         0.4347
    109   3.16    13.01  0.9847     0.9851  0.0153     0.0149     0.4408         0.4475
    110   3.17    13.44  0.9853     0.9858  0.0147     0.0142     0.4137         0.4178
    111   3.18    13.17  0.9848     0.9858  0.0152     0.0142     0.4265         0.4324
    112   3.17    13.14  0.9855     0.9861  0.0145     0.0139     0.4146         0.4212
    113   3.18    13.09  0.9855     0.9852  0.0145     0.0148     0.4197         0.4251
    114   3.16    13.18  0.9840     0.9858  0.0160     0.0142     0.4414         0.4459
    115   3.17    13.95  0.9860     0.9869  0.0140     0.0131     0.4581         0.4627
    116   3.18    13.42  0.9874     0.9871  0.0126     0.0129     0.4514         0.4572
    117   3.16    12.92  0.9847     0.9854  0.0153     0.0146     0.4712         0.4769
    118   3.16    13.27  0.9855     0.9860  0.0145     0.0140     0.4463         0.4505
    119   3.17    13.71  0.9854     0.9866  0.0146     0.0134     0.4624         0.4660
    120   3.17    12.74  0.9864     0.9877  0.0136     0.0123     0.4760         0.4797
    121   3.17    13.62  0.9864     0.9862  0.0136     0.0138     0.4519         0.4590
    122   3.18    13.65  0.9863     0.9869  0.0137     0.0131     0.4662         0.4687
    123   3.18    13.32  0.9860     0.9861  0.0140     0.0139     0.4531         0.4569
    124   3.17    13.08  0.9864     0.9868  0.0136     0.0132     0.4712         0.4775
    125   3.17    13.17  0.9853     0.9864  0.0147     0.0136     0.4414         0.4477
    126   3.18    13.71  0.9867     0.9865  0.0133     0.0135     0.4231         0.4276
    127   3.17    12.76  0.9855     0.9864  0.0145     0.0136     0.4717         0.4770
    128   3.17    13.07  0.9845     0.9849  0.0155     0.0151     0.4314         0.4361
    129   3.17    13.69  0.9854     0.9859  0.0146     0.0141     0.4205         0.4237
    130   3.16    12.82  0.9854     0.9859  0.0146     0.0141     0.4437         0.4493
    131   3.18    13.14  0.9854     0.9872  0.0146     0.0128     0.4243         0.4290
    132   3.17    13.27  0.9855     0.9864  0.0145     0.0136     0.4505         0.4553
    133   3.17    12.86  0.9845     0.9866  0.0155     0.0134     0.4111         0.4177
    134   3.17    12.77  0.9852     0.9864  0.0148     0.0136     0.4457         0.4494
    135   3.18    12.97  0.9870     0.9863  0.0130     0.0137     0.4603         0.4679
