  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.01    50.03  0.9373     0.9445  0.0627     0.0555     0.0324         0.0319
      2   3.12    39.56  0.9584     0.9636  0.0416     0.0364     0.0324         0.0326
      3   3.14    36.83  0.9633     0.9663  0.0367     0.0337     0.0365         0.0377
      4   3.19    45.72  0.9748     0.9762  0.0252     0.0238     0.0284         0.0289
      5   3.21    32.73  0.9789     0.9800  0.0211     0.0200     0.0470         0.0501
      6   3.19    29.54  0.9760     0.9775  0.0240     0.0225     0.0791         0.0817
      7   3.21    27.70  0.9777     0.9797  0.0223     0.0203     0.1291         0.1347
      8   3.20    27.77  0.9764     0.9785  0.0236     0.0215     0.1866         0.1924
      9   3.20    24.65  0.9792     0.9803  0.0208     0.0197     0.2046         0.2116
     10   3.20    26.45  0.9789     0.9783  0.0211     0.0217     0.1589         0.1629
     11   3.19    26.49  0.9794     0.9807  0.0206     0.0193     0.2525         0.2594
     12   3.18    22.36  0.9776     0.9778  0.0224     0.0222     0.2814         0.2883
     13   3.19    22.48  0.9783     0.9806  0.0217     0.0194     0.3048         0.3124
     14   3.14    22.69  0.9726     0.9731  0.0274     0.0269     0.2533         0.2620
     15   3.19    20.48  0.9821     0.9820  0.0179     0.0180     0.3647         0.3761
     16   3.18    20.57  0.9794     0.9806  0.0206     0.0194     0.3133         0.3261
     17   3.19    21.27  0.9796     0.9811  0.0204     0.0189     0.2820         0.2882
     18   3.15    22.21  0.9762     0.9762  0.0238     0.0238     0.2591         0.2718
     19   3.19    20.29  0.9818     0.9826  0.0182     0.0174     0.3581         0.3700
     20   3.18    19.62  0.9809     0.9822  0.0191     0.0178     0.3795         0.3929
     21   3.20    20.48  0.9831     0.9843  0.0169     0.0157     0.3907         0.4008
     22   3.18    18.80  0.9826     0.9829  0.0174     0.0171     0.3711         0.3800
     23   3.19    18.91  0.9811     0.9821  0.0189     0.0179     0.3832         0.3955
     24   3.16    18.59  0.9792     0.9798  0.0208     0.0202     0.3229         0.3362
     25   3.17    22.17  0.9798     0.9819  0.0202     0.0181     0.2871         0.2995
     26   3.19    19.35  0.9816     0.9820  0.0184     0.0180     0.3397         0.3503
     27   3.18    18.18  0.9808     0.9818  0.0192     0.0182     0.3600         0.3742
     28   3.19    18.27  0.9826     0.9840  0.0174     0.0160     0.3308         0.3390
     29   3.18    18.09  0.9814     0.9816  0.0186     0.0184     0.4297         0.4450
     30   3.19    18.11  0.9833     0.9835  0.0167     0.0165     0.3975         0.4095
     31   3.16    17.79  0.9792     0.9796  0.0208     0.0204     0.3606         0.3807
     32   3.19    17.88  0.9829     0.9832  0.0171     0.0168     0.3411         0.3562
     33   3.18    17.74  0.9836     0.9834  0.0164     0.0166     0.3982         0.4080
     34   3.19    17.32  0.9849     0.9853  0.0151     0.0147     0.4437         0.4536
     35   3.18    18.32  0.9821     0.9827  0.0179     0.0173     0.3589         0.3685
     36   3.18    18.09  0.9837     0.9839  0.0163     0.0161     0.4550         0.4622
     37   3.19    16.39  0.9848     0.9861  0.0152     0.0139     0.4444         0.4548
     38   3.09    19.40  0.9733     0.9738  0.0267     0.0262     0.2856         0.2946
     39   3.17    20.11  0.9814     0.9823  0.0186     0.0177     0.3790         0.3876
     40   3.18    17.50  0.9833     0.9830  0.0167     0.0170     0.4009         0.4139
     41   3.17    16.89  0.9829     0.9834  0.0171     0.0166     0.4109         0.4202
     42   3.16    16.50  0.9819     0.9819  0.0181     0.0181     0.4185         0.4309
     43   3.18    15.50  0.9829     0.9842  0.0171     0.0158     0.4451         0.4571
     44   3.17    16.36  0.9835     0.9847  0.0165     0.0153     0.4480         0.4612
     45   3.18    15.49  0.9852     0.9864  0.0148     0.0136     0.4381         0.4467
