t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0776283740997314,53.708465576171875,0.9502999782562256,0.9541000127792358,0.049700021743774414,0.04589998722076416,0.029100000858306885,0.029100000858306885
2,3.1318602561950684,38.433807373046875,0.9599999785423279,0.963100016117096,0.04000002145767212,0.03689998388290405,0.03370000049471855,0.03350000083446503
3,3.128615617752075,33.599822998046875,0.9620000123977661,0.9657999873161316,0.03799998760223389,0.03420001268386841,0.03999999910593033,0.041200000792741776
4,3.173017740249634,31.02035140991211,0.9697999954223633,0.9733999967575073,0.03020000457763672,0.026600003242492676,0.050599999725818634,0.053300000727176666
5,3.1801984310150146,29.12635040283203,0.9725000262260437,0.9747999906539917,0.0274999737739563,0.0252000093460083,0.05620000138878822,0.05810000002384186
6,3.188016176223755,28.00303077697754,0.9747999906539917,0.9767000079154968,0.0252000093460083,0.023299992084503174,0.07800000160932541,0.07989999651908875
7,3.163668394088745,29.12188720703125,0.9693999886512756,0.9702000021934509,0.030600011348724365,0.029799997806549072,0.09759999811649323,0.09950000047683716
8,3.193462371826172,29.329174041748047,0.9782000184059143,0.9782999753952026,0.021799981594085693,0.021700024604797363,0.10320000350475311,0.10570000112056732
9,3.1815924644470215,25.249553680419922,0.974399983882904,0.9764999747276306,0.025600016117095947,0.023500025272369385,0.1574999988079071,0.16439999639987946
10,3.198089361190796,22.800580978393555,0.9776999950408936,0.9779000282287598,0.022300004959106445,0.022099971771240234,0.1906999945640564,0.19789999723434448
11,3.1813182830810547,26.996129989624023,0.974399983882904,0.9753999710083008,0.025600016117095947,0.02460002899169922,0.19249999523162842,0.19670000672340393
12,3.175823450088501,24.334636688232422,0.9761999845504761,0.9764999747276306,0.023800015449523926,0.023500025272369385,0.25769999623298645,0.26899999380111694
13,3.1974101066589355,22.480894088745117,0.979200005531311,0.9793000221252441,0.020799994468688965,0.02069997787475586,0.24940000474452972,0.25999999046325684
14,3.1417479515075684,23.076305389404297,0.9729999899864197,0.973800003528595,0.027000010013580322,0.02619999647140503,0.2712000012397766,0.27730000019073486
15,3.20867919921875,21.23863983154297,0.9811000227928162,0.9818000197410583,0.018899977207183838,0.01819998025894165,0.2797999978065491,0.2879999876022339
16,3.1933908462524414,21.052955627441406,0.9800000190734863,0.9810000061988831,0.019999980926513672,0.018999993801116943,0.314300000667572,0.3230000138282776
17,3.182539224624634,22.039588928222656,0.9794999957084656,0.9804999828338623,0.020500004291534424,0.019500017166137695,0.3467000126838684,0.3582000136375427
18,3.1950435638427734,20.23041534423828,0.9830999970436096,0.9839000105857849,0.01690000295639038,0.016099989414215088,0.3659000098705292,0.3783999979496002
