  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13   681.47  0.9588     0.9590  0.0412     0.0410     0.0213         0.0213
      2   3.15   692.25  0.9642     0.9643  0.0358     0.0357     0.0185         0.0185
      3   3.19   688.04  0.9722     0.9723  0.0278     0.0277     0.0136         0.0136
      4   3.18   698.59  0.9696     0.9696  0.0304     0.0304     0.0188         0.0186
      5   3.20   714.55  0.9743     0.9745  0.0257     0.0255     0.0215         0.0214
      6   3.19   728.05  0.9726     0.9726  0.0274     0.0274     0.0218         0.0218
      7   3.20   722.43  0.9764     0.9764  0.0236     0.0236     0.0257         0.0257
      8   3.20   718.94  0.9748     0.9750  0.0252     0.0250     0.0359         0.0357
      9   3.21   745.20  0.9781     0.9782  0.0219     0.0218     0.0526         0.0522
     10   3.21   727.43  0.9786     0.9786  0.0214     0.0214     0.0531         0.0530
     11   3.21   768.21  0.9795     0.9796  0.0205     0.0204     0.0559         0.0562
     12   3.20   739.73  0.9769     0.9769  0.0231     0.0231     0.0832         0.0831
     13   3.11   774.84  0.9683     0.9683  0.0317     0.0317     0.1216         0.1218
     14   3.21   760.52  0.9802     0.9802  0.0198     0.0198     0.0491         0.0489
     15   3.22   774.76  0.9824     0.9824  0.0176     0.0176     0.0854         0.0854
     16   3.19   761.54  0.9783     0.9783  0.0217     0.0217     0.0674         0.0673
     17   3.21   757.50  0.9802     0.9802  0.0198     0.0198     0.0744         0.0744
     18   3.21   757.27  0.9827     0.9827  0.0173     0.0173     0.0812         0.0815
     19   3.20   797.96  0.9805     0.9806  0.0195     0.0194     0.1303         0.1309
     20   3.22   782.01  0.9846     0.9846  0.0154     0.0154     0.0928         0.0927
     21   3.22   758.36  0.9835     0.9835  0.0165     0.0165     0.1248         0.1247
     22   3.19   789.25  0.9800     0.9801  0.0200     0.0199     0.1599         0.1605
     23   3.21   793.45  0.9801     0.9801  0.0199     0.0199     0.1393         0.1390
     24   3.20   798.14  0.9809     0.9810  0.0191     0.0190     0.1391         0.1393
     25   3.18   807.79  0.9782     0.9782  0.0218     0.0218     0.1840         0.1838
     26   3.20   840.16  0.9838     0.9838  0.0162     0.0162     0.1910         0.1915
     27   3.22   790.02  0.9837     0.9836  0.0163     0.0164     0.1736         0.1734
     28   3.20   778.31  0.9823     0.9822  0.0177     0.0178     0.1903         0.1904
     29   3.15   802.79  0.9769     0.9768  0.0231     0.0232     0.2153         0.2154
     30   3.21   797.64  0.9839     0.9841  0.0161     0.0159     0.1698         0.1700
     31   3.22   806.23  0.9856     0.9856  0.0144     0.0144     0.1794         0.1796
     32   3.21   801.83  0.9833     0.9833  0.0167     0.0167     0.1639         0.1636
     33   3.21   829.13  0.9846     0.9845  0.0154     0.0155     0.2165         0.2170
     34   3.22   820.42  0.9850     0.9850  0.0150     0.0150     0.2537         0.2540
     35   3.18   807.31  0.9795     0.9796  0.0205     0.0204     0.1635         0.1640
     36   3.22   814.57  0.9849     0.9850  0.0151     0.0150     0.1709         0.1710
