  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.06   122.87      77.72  0.9462     0.9504  0.0538     0.0496     0.0333         0.0338
      2   3.02    65.54      60.95  0.9390     0.9593  0.0610     0.0407     0.0851         0.0980
      3   3.10    65.27      48.57  0.9545     0.9616  0.0455     0.0384     0.0662         0.0754
      4   3.14    53.67      44.30  0.9664     0.9711  0.0336     0.0289     0.0833         0.0949
      5   3.18    59.22      51.16  0.9724     0.9730  0.0276     0.0270     0.0692         0.0774
      6   3.17    57.03      46.64  0.9730     0.9737  0.0270     0.0263     0.1024         0.1102
      7   3.17    40.95      38.55  0.9725     0.9776  0.0275     0.0224     0.1787         0.2116
      8   3.17    51.99      44.56  0.9737     0.9752  0.0263     0.0248     0.1657         0.1751
      9   3.17    39.61      36.62  0.9758     0.9767  0.0242     0.0233     0.2515         0.2885
     10   3.16    35.15      36.45  0.9734     0.9757  0.0266     0.0243     0.2862         0.3433
     11   3.16    33.36      35.09  0.9766     0.9792  0.0234     0.0208     0.3411         0.3942
     12   3.18    29.96      31.89  0.9757     0.9796  0.0243     0.0204     0.3564         0.4080
     13   3.15    33.08      33.60  0.9735     0.9758  0.0265     0.0242     0.3272         0.3753
     14   3.17    32.11      30.84  0.9776     0.9797  0.0224     0.0203     0.3894         0.4337
     15   3.18    29.40      30.82  0.9793     0.9804  0.0207     0.0196     0.4338         0.4841
     16   3.14    30.51      30.24  0.9723     0.9753  0.0277     0.0247     0.4232         0.4729
     17   3.17    32.03      30.82  0.9781     0.9806  0.0219     0.0194     0.4904         0.5226
     18   3.15    36.78      35.19  0.9768     0.9779  0.0232     0.0221     0.4454         0.4597
     19   3.21    35.84      33.02  0.9842     0.9850  0.0158     0.0150     0.4897         0.5109
     20   3.19    40.11      37.75  0.9818     0.9824  0.0182     0.0176     0.4997         0.5110
     21   3.19    39.05      37.62  0.9808     0.9819  0.0192     0.0181     0.5128         0.5253
     22   3.16    24.14      30.10  0.9766     0.9839  0.0234     0.0161     0.5155         0.6106
     23   3.10    26.08      26.46  0.9718     0.9735  0.0282     0.0265     0.4867         0.5319
     24   3.15    25.88      25.60  0.9769     0.9802  0.0231     0.0198     0.5036         0.5620
     25   3.17    23.87      25.22  0.9794     0.9805  0.0206     0.0195     0.5450         0.5879
     26   3.16    25.13      24.38  0.9798     0.9822  0.0202     0.0178     0.5879         0.6415
     27   3.15    22.95      23.39  0.9776     0.9795  0.0224     0.0205     0.5647         0.6113
     28   3.13    24.30      23.88  0.9778     0.9792  0.0222     0.0208     0.5968         0.6354
     29   3.20    24.30      24.50  0.9858     0.9862  0.0142     0.0138     0.5883         0.6216
     30   3.15    28.22      26.64  0.9788     0.9804  0.0212     0.0196     0.5462         0.5661
     31   3.17    21.47      21.82  0.9821     0.9839  0.0179     0.0161     0.6219         0.6718
     32   3.16    28.36      26.57  0.9817     0.9822  0.0183     0.0178     0.5645         0.5784
     33   3.16    22.40      22.88  0.9832     0.9835  0.0168     0.0165     0.5719         0.6063
     34   3.12    22.47      21.89  0.9754     0.9789  0.0246     0.0211     0.5260         0.5753
     35   3.18    20.65      21.73  0.9820     0.9829  0.0180     0.0171     0.6280         0.6625
     36   3.14    21.47      21.32  0.9794     0.9809  0.0206     0.0191     0.5633         0.6055
     37   3.17    22.42      22.23  0.9817     0.9836  0.0183     0.0164     0.6141         0.6395
     38   3.17    22.90      21.86  0.9820     0.9831  0.0180     0.0169     0.5697         0.5953
     39   3.12    22.53      21.63  0.9787     0.9807  0.0213     0.0193     0.5275         0.5580
     40   3.15    18.51      19.46  0.9775     0.9820  0.0225     0.0180     0.5994         0.6466
     41   3.15    19.64      20.06  0.9794     0.9829  0.0206     0.0171     0.5543         0.5895
     42   3.15    20.94      19.80  0.9800     0.9820  0.0200     0.0180     0.5400         0.5684
     43   3.14    18.29      19.01  0.9800     0.9825  0.0200     0.0175     0.6045         0.6423
     44   3.16    18.97      18.88  0.9817     0.9848  0.0183     0.0152     0.5734         0.6019
     45   3.16    19.55      19.84  0.9828     0.9844  0.0172     0.0156     0.5624         0.5868
     46   3.17    23.62      22.70  0.9829     0.9836  0.0171     0.0164     0.5233         0.5344
     47   3.14    19.14      19.59  0.9791     0.9805  0.0209     0.0195     0.5837         0.6064
     48   3.16    17.94      18.52  0.9809     0.9848  0.0191     0.0152     0.5579         0.5875
     49   3.16    18.66      18.57  0.9814     0.9826  0.0186     0.0174     0.5384         0.5547
     50   3.15    18.12      17.97  0.9815     0.9842  0.0185     0.0158     0.5063         0.5423
     51   3.16    19.69      19.70  0.9834     0.9843  0.0166     0.0157     0.5375         0.5513
     52   3.15    18.32      18.66  0.9825     0.9834  0.0175     0.0166     0.5371         0.5568
     53   3.15    16.80      17.49  0.9823     0.9848  0.0177     0.0152     0.5300         0.5647
     54   3.16    17.24      17.63  0.9835     0.9851  0.0165     0.0149     0.5331         0.5606
     55   3.17    18.60      19.14  0.9845     0.9860  0.0155     0.0140     0.5039         0.5186
     56   3.11    18.73      18.44  0.9776     0.9792  0.0224     0.0208     0.4528         0.4691
     57   3.13    16.40      17.28  0.9798     0.9829  0.0202     0.0171     0.5306         0.5533
     58   3.15    16.83      17.19  0.9830     0.9839  0.0170     0.0161     0.4978         0.5161
     59   3.17    17.86      17.68  0.9822     0.9841  0.0178     0.0159     0.4511         0.4656
     60   3.10    18.32      17.61  0.9776     0.9791  0.0224     0.0209     0.4417         0.4586
     61   3.14    16.24      16.56  0.9827     0.9838  0.0173     0.0162     0.5128         0.5371
     62   3.16    15.62      16.69  0.9829     0.9853  0.0171     0.0147     0.4611         0.4886
     63   3.13    16.02      16.48  0.9807     0.9827  0.0193     0.0173     0.4536         0.4794
     64   3.13    16.56      16.64  0.9807     0.9832  0.0193     0.0168     0.4779         0.4986
     65   3.12    15.11      16.30  0.9796     0.9829  0.0204     0.0171     0.5177         0.5458
     66   3.13    17.50      16.68  0.9814     0.9832  0.0186     0.0168     0.4792         0.4998
     67   3.16    17.60      18.28  0.9837     0.9846  0.0163     0.0154     0.4572         0.4675
     68   3.15    15.59      16.22  0.9825     0.9847  0.0175     0.0153     0.5029         0.5178
     69   3.14    16.81      16.65  0.9812     0.9831  0.0188     0.0169     0.4276         0.4384
     70   3.16    15.42      16.27  0.9848     0.9869  0.0152     0.0131     0.4319         0.4500
     71   3.12    16.94      16.49  0.9795     0.9816  0.0205     0.0184     0.4186         0.4331
     72   3.15    15.06      15.75  0.9811     0.9847  0.0189     0.0153     0.4766         0.4919
     73   3.12    15.14      16.12  0.9789     0.9829  0.0211     0.0171     0.4318         0.4584
     74   3.16    14.88      15.57  0.9838     0.9858  0.0162     0.0142     0.4451         0.4623
     75   3.16    14.40      15.81  0.9841     0.9852  0.0159     0.0148     0.4601         0.4716
     76   3.15    15.18      16.20  0.9827     0.9842  0.0173     0.0158     0.4219         0.4355
     77   3.17    14.00      15.21  0.9831     0.9850  0.0169     0.0150     0.4685         0.4837
     78   3.17    15.20      16.45  0.9838     0.9859  0.0162     0.0141     0.4636         0.4748
     79   3.09    14.79      15.47  0.9766     0.9793  0.0234     0.0207     0.3834         0.3960
     80   3.13    16.21      16.37  0.9826     0.9828  0.0174     0.0172     0.4182         0.4266
     81   3.16    14.37      15.57  0.9854     0.9858  0.0146     0.0142     0.4612         0.4747
     82   3.15    14.65      15.66  0.9838     0.9859  0.0162     0.0141     0.4457         0.4579
     83   3.14    14.77      15.41  0.9821     0.9839  0.0179     0.0161     0.4136         0.4256
     84   3.17    14.75      15.71  0.9856     0.9863  0.0144     0.0137     0.4164         0.4270
     85   3.17    14.69      15.44  0.9855     0.9872  0.0145     0.0128     0.3884         0.3971
     86   3.17    14.00      15.40  0.9850     0.9866  0.0150     0.0134     0.3954         0.4063
     87   3.15    14.04      15.09  0.9833     0.9856  0.0167     0.0144     0.4071         0.4197
     88   3.18    14.83      16.59  0.9858     0.9869  0.0142     0.0131     0.3860         0.3911
     89   3.15    13.40      14.53  0.9827     0.9860  0.0173     0.0140     0.4159         0.4295
     90   3.17    15.62      16.52  0.9858     0.9872  0.0142     0.0128     0.3939         0.4013
     91   3.11    14.03      14.96  0.9791     0.9820  0.0209     0.0180     0.3921         0.4035
     92   3.14    17.86      17.30  0.9829     0.9837  0.0171     0.0163     0.3545         0.3570
     93   3.16    14.21      15.61  0.9847     0.9854  0.0153     0.0146     0.4347         0.4428
     94   3.15    14.72      15.50  0.9841     0.9854  0.0159     0.0146     0.4151         0.4250
     95   3.15    13.85      15.03  0.9839     0.9849  0.0161     0.0151     0.4511         0.4590
     96   3.14    12.94      14.62  0.9832     0.9858  0.0168     0.0142     0.4645         0.4734
     97   3.16    13.63      14.99  0.9851     0.9863  0.0149     0.0137     0.4340         0.4423
     98   3.15    13.23      14.71  0.9840     0.9860  0.0160     0.0140     0.4361         0.4447
     99   3.13    12.93      14.76  0.9821     0.9843  0.0179     0.0157     0.4394         0.4488
    100   3.16    13.21      14.52  0.9837     0.9858  0.0163     0.0142     0.4275         0.4354
    101   3.14    13.59      15.15  0.9839     0.9853  0.0161     0.0147     0.3750         0.3795
    102   3.12    12.76      14.42  0.9811     0.9833  0.0189     0.0167     0.4494         0.4598
    103   3.15    13.55      14.60  0.9839     0.9859  0.0161     0.0141     0.4138         0.4253
    104   3.15    13.13      14.76  0.9831     0.9857  0.0169     0.0143     0.4206         0.4295
    105   3.17    13.83      15.24  0.9850     0.9857  0.0150     0.0143     0.4269         0.4347
    106   3.14    12.93      14.31  0.9840     0.9856  0.0160     0.0144     0.4167         0.4250
    107   3.16    13.75      15.48  0.9848     0.9861  0.0152     0.0139     0.4041         0.4105
    108   3.16    13.89      15.16  0.9844     0.9857  0.0156     0.0143     0.3661         0.3731
    109   3.15    12.31      14.31  0.9834     0.9850  0.0166     0.0150     0.3969         0.4063
    110   3.13    13.80      14.64  0.9829     0.9844  0.0171     0.0156     0.3997         0.4071
    111   3.10    12.59      13.93  0.9783     0.9823  0.0217     0.0177     0.3928         0.4017
    112   3.14    12.41      14.00  0.9833     0.9852  0.0167     0.0148     0.4128         0.4215
    113   3.15    12.65      14.31  0.9844     0.9868  0.0156     0.0132     0.4232         0.4291
    114   3.15    12.78      14.44  0.9836     0.9853  0.0164     0.0147     0.4100         0.4174
    115   3.14    13.68      14.59  0.9847     0.9860  0.0153     0.0140     0.3631         0.3703
    116   3.15    12.27      14.15  0.9843     0.9867  0.0157     0.0133     0.3878         0.3979
    117   3.16    12.40      14.24  0.9838     0.9860  0.0162     0.0140     0.3845         0.3915
    118   3.15    12.34      13.78  0.9842     0.9868  0.0158     0.0132     0.3863         0.3935
    119   3.12    12.12      13.92  0.9823     0.9852  0.0177     0.0148     0.4141         0.4244
    120   3.15    12.16      13.92  0.9840     0.9858  0.0160     0.0142     0.4072         0.4149
    121   3.13    12.50      14.03  0.9832     0.9854  0.0168     0.0146     0.4039         0.4134
    122   3.15    11.92      13.87  0.9845     0.9863  0.0155     0.0137     0.3953         0.4046
    123   3.14    11.88      13.84  0.9829     0.9856  0.0171     0.0144     0.4187         0.4262
