  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.95    90.12      63.81  0.9226     0.9399  0.0774     0.0601     0.0642         0.0669
      2   3.06    76.17      52.84  0.9494     0.9561  0.0506     0.0439     0.0576         0.0649
      3   3.14    85.28      62.41  0.9661     0.9689  0.0339     0.0311     0.0374         0.0395
      4   3.14    60.19      48.42  0.9659     0.9682  0.0341     0.0318     0.0802         0.0886
      5   3.15    48.22      43.58  0.9684     0.9726  0.0316     0.0274     0.1135         0.1337
      6   3.10    42.76      42.43  0.9605     0.9687  0.0395     0.0313     0.1423         0.1758
      7   3.18    46.72      41.95  0.9728     0.9753  0.0272     0.0247     0.1637         0.1792
      8   3.17    47.81      42.82  0.9732     0.9747  0.0268     0.0253     0.1603         0.1727
      9   3.16    37.21      36.48  0.9737     0.9760  0.0263     0.0240     0.2311         0.2604
     10   3.22   144.31     100.84  0.9821     0.9823  0.0179     0.0177     0.1694         0.1687
     11   3.14    39.61      34.85  0.9733     0.9753  0.0267     0.0247     0.3098         0.3426
     12   3.18    32.51      32.04  0.9781     0.9800  0.0219     0.0200     0.3154         0.3654
     13   3.19    33.35      31.97  0.9793     0.9793  0.0207     0.0207     0.3943         0.4292
     14   3.20    44.55      39.80  0.9807     0.9815  0.0193     0.0185     0.3699         0.3811
     15   3.15    27.52      29.36  0.9744     0.9766  0.0256     0.0234     0.3753         0.4355
     16   3.20    37.91      36.43  0.9825     0.9826  0.0175     0.0174     0.4645         0.4784
     17   3.17    30.11      29.65  0.9776     0.9803  0.0224     0.0197     0.4598         0.5107
     18   3.13    32.92      41.88  0.9699     0.9793  0.0301     0.0207     0.4640         0.5474
     19   3.19    27.00      28.90  0.9806     0.9833  0.0194     0.0167     0.5166         0.5631
     20   3.17    28.97      27.62  0.9789     0.9807  0.0211     0.0193     0.4795         0.5278
     21   3.16    25.54      26.41  0.9788     0.9819  0.0212     0.0181     0.5166         0.5659
     22   3.19    26.47      26.26  0.9803     0.9825  0.0197     0.0175     0.5474         0.5824
     23   3.16    27.86      27.54  0.9783     0.9802  0.0217     0.0198     0.5331         0.5592
     24   3.16    24.86      25.74  0.9801     0.9816  0.0199     0.0184     0.5738         0.6155
     25   3.17    29.23      27.37  0.9810     0.9821  0.0190     0.0179     0.5363         0.5550
     26   3.16    25.34      24.76  0.9795     0.9819  0.0205     0.0181     0.5525         0.5938
     27   3.18    28.66      26.42  0.9836     0.9843  0.0164     0.0157     0.5888         0.6129
     28   3.19    22.98      24.38  0.9829     0.9854  0.0171     0.0146     0.6521         0.6796
     29   3.16    23.68      23.87  0.9809     0.9813  0.0191     0.0187     0.5880         0.6197
     30   3.17    24.55      24.84  0.9826     0.9831  0.0174     0.0169     0.5969         0.6173
     31   3.13    26.06      24.05  0.9770     0.9785  0.0230     0.0215     0.5230         0.5515
     32   3.15    22.26      22.80  0.9795     0.9815  0.0205     0.0185     0.5707         0.5959
     33   3.15    21.09      21.73  0.9778     0.9798  0.0222     0.0202     0.5694         0.6022
     34   3.17    22.12      22.65  0.9818     0.9825  0.0182     0.0175     0.5881         0.6137
     35   3.15    25.68      24.88  0.9794     0.9803  0.0206     0.0197     0.5317         0.5458
     36   3.16    22.23      22.24  0.9815     0.9830  0.0185     0.0170     0.5900         0.6142
     37   3.15    22.88      22.19  0.9810     0.9820  0.0190     0.0180     0.6255         0.6492
     38   3.16    20.21      20.64  0.9813     0.9846  0.0187     0.0154     0.6259         0.6653
     39   3.15    24.69      24.47  0.9797     0.9806  0.0203     0.0194     0.5118         0.5274
