  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.97   111.35      73.17  0.9264     0.9312  0.0736     0.0688     0.0533         0.0552
      2   3.10    89.33      60.33  0.9545     0.9585  0.0455     0.0415     0.0406         0.0425
      3   3.18   105.36      73.46  0.9707     0.9725  0.0293     0.0275     0.0343         0.0349
      4   3.17    77.94      57.05  0.9728     0.9728  0.0272     0.0272     0.0610         0.0633
      5   3.13    48.85      44.24  0.9648     0.9684  0.0352     0.0316     0.1163         0.1361
      6   3.20    85.93      73.01  0.9761     0.9761  0.0239     0.0239     0.0851         0.0861
      7   3.17    44.53      38.95  0.9730     0.9763  0.0270     0.0237     0.1656         0.1944
      8   3.18    39.82      37.49  0.9742     0.9787  0.0258     0.0213     0.2002         0.2346
      9   3.14    38.78      37.29  0.9691     0.9741  0.0309     0.0259     0.2214         0.2581
     10   3.16    35.25      36.20  0.9736     0.9763  0.0264     0.0237     0.2667         0.3170
     11   3.09    38.17      35.51  0.9627     0.9669  0.0373     0.0331     0.2705         0.3001
     12   3.15    30.82      34.14  0.9729     0.9792  0.0271     0.0208     0.3328         0.4017
     13   3.15    35.23      33.65  0.9739     0.9754  0.0261     0.0246     0.3756         0.4121
     14   3.15    28.87      30.69  0.9755     0.9782  0.0245     0.0218     0.3982         0.4543
     15   3.16    30.32      30.45  0.9758     0.9782  0.0242     0.0218     0.4257         0.4833
     16   3.18    35.55      34.48  0.9789     0.9790  0.0211     0.0210     0.4685         0.4908
     17   3.18    31.89      31.03  0.9807     0.9809  0.0193     0.0191     0.5200         0.5556
     18   3.18    30.02      28.88  0.9787     0.9802  0.0213     0.0198     0.4790         0.5239
     19   3.17    26.24      27.17  0.9798     0.9817  0.0202     0.0183     0.5622         0.6238
     20   3.16    33.04      31.56  0.9773     0.9774  0.0227     0.0226     0.5383         0.5590
     21   3.14    28.33      27.53  0.9761     0.9797  0.0239     0.0203     0.5288         0.5767
     22   3.17    25.91      25.96  0.9809     0.9822  0.0191     0.0178     0.5728         0.6128
     23   3.14    23.80      24.69  0.9784     0.9823  0.0216     0.0177     0.5664         0.6283
     24   3.14    22.69      25.34  0.9755     0.9809  0.0245     0.0191     0.5731         0.6458
     25   3.18    30.75      29.71  0.9810     0.9816  0.0190     0.0184     0.5670         0.5913
     26   3.13    23.85      25.19  0.9773     0.9793  0.0227     0.0207     0.5264         0.5868
     27   3.16    25.14      24.50  0.9819     0.9825  0.0181     0.0175     0.5915         0.6330
     28   3.13    23.52      23.20  0.9765     0.9782  0.0235     0.0218     0.5982         0.6385
     29   3.16    24.09      23.74  0.9796     0.9813  0.0204     0.0187     0.5961         0.6266
     30   3.17    22.55      22.84  0.9811     0.9830  0.0189     0.0170     0.5908         0.6388
     31   3.16    24.48      23.99  0.9788     0.9818  0.0212     0.0182     0.5765         0.6097
     32   3.18    21.90      22.08  0.9827     0.9847  0.0173     0.0153     0.6224         0.6700
     33   3.15    22.16      22.38  0.9805     0.9828  0.0195     0.0172     0.5974         0.6361
     34   3.15    23.66      22.39  0.9794     0.9811  0.0206     0.0189     0.5925         0.6203
     35   3.15    21.12      21.11  0.9793     0.9820  0.0207     0.0180     0.5968         0.6323
     36   3.18    21.84      22.77  0.9834     0.9841  0.0166     0.0159     0.6156         0.6394
     37   3.16    22.65      22.91  0.9818     0.9832  0.0182     0.0168     0.5899         0.6130
     38   3.17    20.52      20.61  0.9808     0.9834  0.0192     0.0166     0.5540         0.5888
     39   3.16    18.57      19.86  0.9823     0.9849  0.0177     0.0151     0.6042         0.6444
     40   3.13    20.01      20.06  0.9786     0.9819  0.0214     0.0181     0.5382         0.5835
     41   3.16    20.00      19.77  0.9801     0.9838  0.0199     0.0162     0.5761         0.6125
     42   3.17    19.55      19.41  0.9824     0.9846  0.0176     0.0154     0.5771         0.6113
     43   3.16    20.76      19.40  0.9807     0.9832  0.0193     0.0168     0.5181         0.5538
     44   3.17    17.92      18.91  0.9808     0.9842  0.0192     0.0158     0.6224         0.6577
     45   3.16    19.37      18.68  0.9820     0.9842  0.0180     0.0158     0.5590         0.5878
     46   3.16    21.80      21.17  0.9823     0.9830  0.0177     0.0170     0.5556         0.5709
     47   3.07    18.05      18.84  0.9735     0.9770  0.0265     0.0230     0.5206         0.5469
     48   3.14    21.48      21.08  0.9819     0.9823  0.0181     0.0177     0.5833         0.5942
     49   3.18    20.63      19.99  0.9840     0.9845  0.0160     0.0155     0.5180         0.5322
     50   3.13    18.34      18.35  0.9797     0.9807  0.0203     0.0193     0.5454         0.5716
     51   3.10    17.77      18.08  0.9760     0.9787  0.0240     0.0213     0.5749         0.6027
     52   3.15    17.71      18.23  0.9822     0.9829  0.0178     0.0171     0.5640         0.5870
     53   3.14    18.38      18.34  0.9812     0.9823  0.0188     0.0177     0.5492         0.5740
     54   3.16    17.69      17.91  0.9825     0.9841  0.0175     0.0159     0.5536         0.5771
     55   3.15    19.34      19.13  0.9810     0.9817  0.0190     0.0183     0.5141         0.5298
     56   3.16    18.27      17.56  0.9831     0.9846  0.0169     0.0154     0.5163         0.5342
     57   3.16    17.16      17.61  0.9819     0.9840  0.0181     0.0160     0.5240         0.5437
     58   3.17    16.96      18.12  0.9846     0.9855  0.0154     0.0145     0.5276         0.5469
     59   3.14    16.03      17.31  0.9817     0.9841  0.0183     0.0159     0.5013         0.5219
     60   3.16    16.34      17.39  0.9847     0.9853  0.0153     0.0147     0.5053         0.5197
     61   3.16    16.08      17.25  0.9829     0.9853  0.0171     0.0147     0.4653         0.4818
     62   3.16    15.75      16.77  0.9830     0.9842  0.0170     0.0158     0.4714         0.4839
     63   3.15    17.45      18.43  0.9828     0.9838  0.0172     0.0162     0.4442         0.4547
     64   3.11    17.93      17.97  0.9784     0.9801  0.0216     0.0199     0.4582         0.4716
     65   3.17    16.89      18.12  0.9849     0.9862  0.0151     0.0138     0.4966         0.5095
     66   3.16    16.02      16.47  0.9832     0.9848  0.0168     0.0152     0.4573         0.4754
     67   3.13    15.12      16.02  0.9804     0.9824  0.0196     0.0176     0.4849         0.5003
     68   3.15    15.54      16.32  0.9829     0.9853  0.0171     0.0147     0.4801         0.4979
     69   3.15    15.40      16.23  0.9831     0.9851  0.0169     0.0149     0.4989         0.5150
     70   3.15    17.43      17.00  0.9822     0.9833  0.0178     0.0167     0.4271         0.4378
     71   3.13    16.81      17.54  0.9810     0.9829  0.0190     0.0171     0.4661         0.4736
     72   3.15    14.72      15.93  0.9832     0.9858  0.0168     0.0142     0.4847         0.5008
     73   3.17    15.13      16.35  0.9842     0.9855  0.0158     0.0145     0.4309         0.4417
     74   3.15    15.58      16.64  0.9839     0.9848  0.0161     0.0152     0.4274         0.4352
     75   3.13    15.17      15.93  0.9815     0.9835  0.0185     0.0165     0.4852         0.4991
     76   3.15    15.26      16.19  0.9832     0.9852  0.0168     0.0148     0.4801         0.4881
     77   3.15    14.34      15.62  0.9832     0.9850  0.0168     0.0150     0.5062         0.5213
     78   3.14    14.20      15.39  0.9834     0.9841  0.0166     0.0159     0.5024         0.5177
     79   3.15    15.42      16.18  0.9847     0.9855  0.0153     0.0145     0.4356         0.4455
     80   3.15    14.60      15.62  0.9824     0.9845  0.0176     0.0155     0.4402         0.4505
     81   3.15    13.71      15.23  0.9826     0.9850  0.0174     0.0150     0.4505         0.4614
     82   3.16    14.90      15.59  0.9841     0.9859  0.0159     0.0141     0.4097         0.4206
     83   3.15    14.73      15.75  0.9833     0.9842  0.0167     0.0158     0.4189         0.4266
     84   3.15    13.95      15.07  0.9834     0.9858  0.0166     0.0142     0.4672         0.4790
     85   3.15    13.74      14.98  0.9826     0.9854  0.0174     0.0146     0.4264         0.4412
     86   3.16    13.08      15.11  0.9835     0.9859  0.0165     0.0141     0.4348         0.4504
