  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.00   102.62      62.57  0.9347     0.9436  0.0653     0.0564     0.0479         0.0491
      2   3.12    94.98      64.00  0.9605     0.9635  0.0395     0.0365     0.0403         0.0418
      3   3.07    63.83      50.73  0.9497     0.9584  0.0503     0.0416     0.0837         0.0948
      4   3.16    53.39      44.86  0.9709     0.9739  0.0291     0.0261     0.0817         0.0973
      5   3.15    56.56      46.34  0.9664     0.9683  0.0336     0.0317     0.0750         0.0839
      6   3.12    43.26      46.79  0.9631     0.9711  0.0369     0.0289     0.1371         0.1688
      7   3.11    36.89      40.84  0.9646     0.9721  0.0354     0.0279     0.1703         0.2024
      8   3.19    37.63      36.83  0.9778     0.9792  0.0222     0.0208     0.1761         0.2066
      9   3.21    44.20      40.24  0.9801     0.9802  0.0199     0.0198     0.2168         0.2307
     10   3.17    37.85      36.00  0.9761     0.9785  0.0239     0.0215     0.2623         0.3053
     11   3.18    36.53      34.69  0.9787     0.9796  0.0213     0.0204     0.3177         0.3475
     12   3.13    35.05      34.34  0.9714     0.9712  0.0286     0.0288     0.2885         0.3157
     13   3.17    33.34      32.54  0.9756     0.9787  0.0244     0.0213     0.3578         0.3944
     14   3.19    33.56      31.25  0.9805     0.9818  0.0195     0.0182     0.4101         0.4488
     15   3.17    27.71      29.01  0.9785     0.9818  0.0215     0.0182     0.4446         0.4922
     16   3.15    27.64      29.70  0.9755     0.9794  0.0245     0.0206     0.4197         0.4835
     17   3.16    27.62      28.17  0.9766     0.9788  0.0234     0.0212     0.4804         0.5246
     18   3.17    27.16      28.95  0.9761     0.9803  0.0239     0.0197     0.4770         0.5368
     19   3.14    26.44      26.61  0.9729     0.9760  0.0271     0.0240     0.4700         0.5216
     20   3.17    26.92      26.76  0.9783     0.9811  0.0217     0.0189     0.5210         0.5623
     21   3.16    33.17      29.18  0.9790     0.9807  0.0210     0.0193     0.5174         0.5535
     22   3.17    24.42      25.38  0.9798     0.9820  0.0202     0.0180     0.5761         0.6290
     23   3.18    27.19      27.09  0.9815     0.9827  0.0185     0.0173     0.5876         0.6154
     24   3.16    26.52      25.64  0.9789     0.9807  0.0211     0.0193     0.5316         0.5665
     25   3.17    22.66      24.28  0.9788     0.9835  0.0212     0.0165     0.6047         0.6708
     26   3.19    23.89      24.25  0.9830     0.9844  0.0170     0.0156     0.5783         0.6139
     27   3.15    25.00      24.32  0.9772     0.9801  0.0228     0.0199     0.5637         0.6009
     28   3.14    39.20      38.56  0.9774     0.9772  0.0226     0.0228     0.4926         0.4975
     29   3.17    22.20      22.61  0.9830     0.9853  0.0170     0.0147     0.6173         0.6550
     30   3.18    23.73      24.05  0.9834     0.9837  0.0166     0.0163     0.5960         0.6239
     31   3.17    24.06      22.82  0.9798     0.9827  0.0202     0.0173     0.5794         0.6069
     32   3.17    24.47      23.42  0.9814     0.9829  0.0186     0.0171     0.5610         0.5879
     33   3.18    24.58      23.99  0.9826     0.9841  0.0174     0.0159     0.6212         0.6452
     34   3.16    20.34      20.68  0.9798     0.9824  0.0202     0.0176     0.6127         0.6592
     35   3.15    21.53      20.65  0.9786     0.9809  0.0214     0.0191     0.5727         0.6118
     36   3.16    24.53      23.98  0.9818     0.9822  0.0182     0.0178     0.5912         0.6100
     37   3.14    21.03      22.09  0.9789     0.9811  0.0211     0.0189     0.5982         0.6181
     38   3.12    20.86      20.46  0.9771     0.9786  0.0229     0.0214     0.5460         0.5766
     39   3.18    20.93      21.30  0.9825     0.9848  0.0175     0.0152     0.5471         0.5724
     40   3.17    22.10      21.61  0.9840     0.9846  0.0160     0.0154     0.6140         0.6327
     41   3.13    20.41      20.31  0.9787     0.9807  0.0213     0.0193     0.5844         0.6125
     42   3.19    24.24      23.44  0.9848     0.9849  0.0152     0.0151     0.5288         0.5367
