t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.9905781745910645,103.06065368652344,58.58250427246094,0.9337999820709229,0.946399986743927,0.06620001792907715,0.053600013256073,0.059300001710653305,0.06199999898672104
2,3.08459210395813,86.2651138305664,57.209903717041016,0.9549999833106995,0.9613000154495239,0.04500001668930054,0.038699984550476074,0.04230000078678131,0.04749999940395355
3,3.1566715240478516,89.02806854248047,62.33042907714844,0.9667999744415283,0.9695000052452087,0.03320002555847168,0.03049999475479126,0.03799999877810478,0.04019999876618385
4,3.151517391204834,55.97179412841797,46.3525276184082,0.967199981212616,0.9732000231742859,0.03280001878738403,0.02679997682571411,0.09440000355243683,0.10980000346899033
5,3.1683549880981445,48.7996826171875,43.94025802612305,0.9739000201225281,0.9769999980926514,0.026099979877471924,0.023000001907348633,0.11240000277757645,0.13220000267028809
6,3.166652202606201,47.29941940307617,40.72831726074219,0.9729999899864197,0.9763000011444092,0.027000010013580322,0.02369999885559082,0.13689999282360077,0.16449999809265137
7,3.197230100631714,83.54911804199219,71.55908966064453,0.975600004196167,0.9761999845504761,0.024399995803833008,0.023800015449523926,0.11089999973773956,0.11159999668598175
8,3.158980131149292,36.22857666015625,38.68560028076172,0.972100019454956,0.9778000116348267,0.027899980545043945,0.02219998836517334,0.23749999701976776,0.28929999470710754
9,3.1787185668945312,37.11714172363281,34.882568359375,0.977400004863739,0.9800000190734863,0.022599995136260986,0.019999980926513672,0.26910001039505005,0.3059000074863434
10,3.1592772006988525,37.03605270385742,36.304603576660156,0.9729999899864197,0.9758999943733215,0.027000010013580322,0.024100005626678467,0.27230000495910645,0.3179999887943268
11,3.171882390975952,31.195106506347656,33.16577911376953,0.9769999980926514,0.9804999828338623,0.023000001907348633,0.019500017166137695,0.33230000734329224,0.39559999108314514
12,3.1437199115753174,34.32228088378906,34.238250732421875,0.9728000164031982,0.9772999882698059,0.027199983596801758,0.022700011730194092,0.3528999984264374,0.4075999855995178
13,3.1906604766845703,33.37225341796875,31.364046096801758,0.9805999994277954,0.9835000038146973,0.01940000057220459,0.016499996185302734,0.43529999256134033,0.4848000109195709
14,3.130685329437256,32.62489318847656,31.165512084960938,0.9708999991416931,0.9731000065803528,0.029100000858306885,0.026899993419647217,0.42410001158714294,0.47850000858306885
15,3.162012815475464,30.264564514160156,28.93328094482422,0.9785000085830688,0.9794999957084656,0.021499991416931152,0.020500004291534424,0.4683000147342682,0.5184999704360962
16,3.151344060897827,32.918663024902344,29.450206756591797,0.9768000245094299,0.9778000116348267,0.02319997549057007,0.02219998836517334,0.4611999988555908,0.5060999989509583
17,3.1438047885894775,30.08318519592285,28.53691864013672,0.9754999876022339,0.9771999716758728,0.024500012397766113,0.022800028324127197,0.486299991607666,0.5364000201225281
18,3.116476535797119,28.668190002441406,28.144332885742188,0.9722999930381775,0.9754999876022339,0.02770000696182251,0.024500012397766113,0.47380000352859497,0.5378000140190125
19,3.185262680053711,29.541189193725586,28.61330795288086,0.9807999730110168,0.9819999933242798,0.019200026988983154,0.018000006675720215,0.5275999903678894,0.5638999938964844
20,3.1967175006866455,38.608917236328125,36.47804260253906,0.9828000068664551,0.982200026512146,0.017199993133544922,0.017799973487854004,0.5314000248908997,0.541700005531311
21,3.128784656524658,27.241262435913086,27.07265853881836,0.9743000268936157,0.9765999913215637,0.025699973106384277,0.02340000867843628,0.4778999984264374,0.5342000126838684
22,3.116598129272461,32.07072067260742,27.394939422607422,0.9739999771118164,0.9758999943733215,0.026000022888183594,0.024100005626678467,0.5320000052452087,0.5618000030517578
23,3.1418182849884033,26.05600929260254,25.065534591674805,0.9757999777793884,0.9790999889373779,0.024200022220611572,0.02090001106262207,0.5374000072479248,0.5971999764442444
24,3.189539909362793,26.536712646484375,24.610681533813477,0.9830999970436096,0.9847000241279602,0.01690000295639038,0.015299975872039795,0.5781000256538391,0.6331999897956848
25,3.178619861602783,27.081480026245117,26.07088851928711,0.9819999933242798,0.9837999939918518,0.018000006675720215,0.016200006008148193,0.5613999962806702,0.6026999950408936
26,3.1420884132385254,26.200613021850586,24.664505004882812,0.9775999784469604,0.9797999858856201,0.02240002155303955,0.020200014114379883,0.5454999804496765,0.5835999846458435
27,3.142815351486206,25.4670352935791,24.207305908203125,0.978600025177002,0.9800000190734863,0.021399974822998047,0.019999980926513672,0.5705000162124634,0.608299970626831
28,3.1629810333251953,26.985855102539062,24.568954467773438,0.9797000288963318,0.9810000061988831,0.020299971103668213,0.018999993801116943,0.5863000154495239,0.6255999803543091
29,3.1871235370635986,27.808795928955078,25.250717163085938,0.9824000000953674,0.983299970626831,0.01759999990463257,0.016700029373168945,0.598800003528595,0.6272000074386597
30,3.1575019359588623,25.63640785217285,22.807167053222656,0.9799000024795532,0.9818000197410583,0.020099997520446777,0.01819998025894165,0.625,0.6715999841690063
31,3.1674962043762207,24.665748596191406,22.992244720458984,0.982200026512146,0.9835000038146973,0.017799973487854004,0.016499996185302734,0.6097999811172485,0.6442999839782715
32,3.1679670810699463,24.2393798828125,22.525524139404297,0.9819999933242798,0.9835000038146973,0.018000006675720215,0.016499996185302734,0.6090999841690063,0.6504999995231628
33,3.128549575805664,33.296390533447266,29.288196563720703,0.979200005531311,0.9793999791145325,0.020799994468688965,0.02060002088546753,0.5468000173568726,0.557200014591217
34,3.1522092819213867,24.302104949951172,21.86608123779297,0.9801999926567078,0.9818000197410583,0.019800007343292236,0.01819998025894165,0.567300021648407,0.5963000059127808
