  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.99   103.06      58.58  0.9338     0.9464  0.0662     0.0536     0.0593         0.0620
      2   3.08    86.27      57.21  0.9550     0.9613  0.0450     0.0387     0.0423         0.0475
      3   3.16    89.03      62.33  0.9668     0.9695  0.0332     0.0305     0.0380         0.0402
      4   3.15    55.97      46.35  0.9672     0.9732  0.0328     0.0268     0.0944         0.1098
      5   3.17    48.80      43.94  0.9739     0.9770  0.0261     0.0230     0.1124         0.1322
      6   3.17    47.30      40.73  0.9730     0.9763  0.0270     0.0237     0.1369         0.1645
      7   3.20    83.55      71.56  0.9756     0.9762  0.0244     0.0238     0.1109         0.1116
      8   3.16    36.23      38.69  0.9721     0.9778  0.0279     0.0222     0.2375         0.2893
      9   3.18    37.12      34.88  0.9774     0.9800  0.0226     0.0200     0.2691         0.3059
     10   3.16    37.04      36.30  0.9730     0.9759  0.0270     0.0241     0.2723         0.3180
     11   3.17    31.20      33.17  0.9770     0.9805  0.0230     0.0195     0.3323         0.3956
     12   3.14    34.32      34.24  0.9728     0.9773  0.0272     0.0227     0.3529         0.4076
     13   3.19    33.37      31.36  0.9806     0.9835  0.0194     0.0165     0.4353         0.4848
     14   3.13    32.62      31.17  0.9709     0.9731  0.0291     0.0269     0.4241         0.4785
     15   3.16    30.26      28.93  0.9785     0.9795  0.0215     0.0205     0.4683         0.5185
     16   3.15    32.92      29.45  0.9768     0.9778  0.0232     0.0222     0.4612         0.5061
     17   3.14    30.08      28.54  0.9755     0.9772  0.0245     0.0228     0.4863         0.5364
     18   3.12    28.67      28.14  0.9723     0.9755  0.0277     0.0245     0.4738         0.5378
     19   3.19    29.54      28.61  0.9808     0.9820  0.0192     0.0180     0.5276         0.5639
     20   3.20    38.61      36.48  0.9828     0.9822  0.0172     0.0178     0.5314         0.5417
     21   3.13    27.24      27.07  0.9743     0.9766  0.0257     0.0234     0.4779         0.5342
     22   3.12    32.07      27.39  0.9740     0.9759  0.0260     0.0241     0.5320         0.5618
     23   3.14    26.06      25.07  0.9758     0.9791  0.0242     0.0209     0.5374         0.5972
     24   3.19    26.54      24.61  0.9831     0.9847  0.0169     0.0153     0.5781         0.6332
     25   3.18    27.08      26.07  0.9820     0.9838  0.0180     0.0162     0.5614         0.6027
     26   3.14    26.20      24.66  0.9776     0.9798  0.0224     0.0202     0.5455         0.5836
     27   3.14    25.47      24.21  0.9786     0.9800  0.0214     0.0200     0.5705         0.6083
     28   3.16    26.99      24.57  0.9797     0.9810  0.0203     0.0190     0.5863         0.6256
     29   3.19    27.81      25.25  0.9824     0.9833  0.0176     0.0167     0.5988         0.6272
     30   3.16    25.64      22.81  0.9799     0.9818  0.0201     0.0182     0.6250         0.6716
     31   3.17    24.67      22.99  0.9822     0.9835  0.0178     0.0165     0.6098         0.6443
