t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.006718158721924,105.78195190429688,64.29830932617188,0.9352999925613403,0.9458000063896179,0.06470000743865967,0.05419999361038208,0.04809999838471413,0.05000000074505806
2,3.085526943206787,74.55999755859375,56.93735122680664,0.9531000256538391,0.9585000276565552,0.04689997434616089,0.041499972343444824,0.06129999831318855,0.07020000368356705
3,3.15387225151062,68.29702758789062,50.05580139160156,0.9664999842643738,0.9702000021934509,0.03350001573562622,0.029799997806549072,0.06260000169277191,0.06809999793767929
4,3.114985227584839,55.8784294128418,48.6096076965332,0.9607999920845032,0.9650999903678894,0.039200007915496826,0.034900009632110596,0.07859999686479568,0.09040000289678574
5,3.1631271839141846,48.59576416015625,44.67137908935547,0.9703999757766724,0.9735000133514404,0.029600024223327637,0.02649998664855957,0.09019999951124191,0.10440000146627426
6,3.1524839401245117,41.08846664428711,41.755069732666016,0.9708999991416931,0.9764999747276306,0.029100000858306885,0.023500025272369385,0.1469999998807907,0.1818999946117401
7,3.166299343109131,39.3513298034668,38.890323638916016,0.9736999869346619,0.975600004196167,0.026300013065338135,0.024399995803833008,0.1776999980211258,0.20600000023841858
8,3.15657639503479,42.25432205200195,38.071067810058594,0.972599983215332,0.9753999710083008,0.02740001678466797,0.02460002899169922,0.2190999984741211,0.24560000002384186
9,3.1777093410491943,36.303077697753906,36.01039123535156,0.974399983882904,0.9769999980926514,0.025600016117095947,0.023000001907348633,0.24639999866485596,0.2800999879837036
10,3.143702983856201,38.70976257324219,35.13418960571289,0.9715999960899353,0.9739000201225281,0.028400003910064697,0.026099979877471924,0.2583000063896179,0.28700000047683716
11,3.157329797744751,35.88568878173828,35.034149169921875,0.9743000268936157,0.9765999913215637,0.025699973106384277,0.02340000867843628,0.31029999256134033,0.34220001101493835
12,3.138855457305908,30.253929138183594,35.45759201049805,0.9710999727249146,0.9771000146865845,0.02890002727508545,0.022899985313415527,0.3546000123023987,0.42080000042915344
13,3.1694931983947754,31.75638198852539,32.383148193359375,0.9761000275611877,0.9793999791145325,0.023899972438812256,0.02060002088546753,0.3977999985218048,0.43810001015663147
14,3.146179437637329,29.007953643798828,30.722352981567383,0.9746999740600586,0.9782999753952026,0.025300025939941406,0.021700024604797363,0.4169999957084656,0.4634999930858612
15,3.1420817375183105,29.90485954284668,30.67934799194336,0.9722999930381775,0.9775000214576721,0.02770000696182251,0.02249997854232788,0.4296000003814697,0.49079999327659607
16,3.1444900035858154,30.778141021728516,30.24279022216797,0.9731000065803528,0.9768000245094299,0.026899993419647217,0.02319997549057007,0.42890000343322754,0.4754999876022339
17,3.1860620975494385,29.10673713684082,29.522462844848633,0.9803000092506409,0.9815999865531921,0.01969999074935913,0.01840001344680786,0.4867999851703644,0.527899980545044
18,3.1838529109954834,47.73757553100586,46.999874114990234,0.9803000092506409,0.980400025844574,0.01969999074935913,0.019599974155426025,0.5056999921798706,0.5088000297546387
19,3.1493873596191406,35.10772705078125,31.8164119720459,0.9764000177383423,0.9768000245094299,0.023599982261657715,0.02319997549057007,0.5385000109672546,0.5547999739646912
20,3.1793885231018066,29.83652114868164,29.78468132019043,0.9818999767303467,0.9828000068664551,0.01810002326965332,0.017199993133544922,0.5706999897956848,0.595300018787384
21,3.1450438499450684,26.952232360839844,31.41443634033203,0.9736999869346619,0.9797999858856201,0.026300013065338135,0.020200014114379883,0.5117999911308289,0.583299994468689
22,3.186448097229004,26.786624908447266,26.385255813598633,0.9815000295639038,0.9839000105857849,0.01849997043609619,0.016099989414215088,0.574400007724762,0.6046000123023987
23,3.1532952785491943,26.967538833618164,26.90713882446289,0.9761000275611877,0.9786999821662903,0.023899972438812256,0.021300017833709717,0.5282999873161316,0.566100001335144
24,3.167665719985962,25.410358428955078,25.88723373413086,0.9803000092506409,0.9822999835014343,0.01969999074935913,0.017700016498565674,0.5644999742507935,0.6055999994277954
