  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.01   105.78      64.30  0.9353     0.9458  0.0647     0.0542     0.0481         0.0500
      2   3.09    74.56      56.94  0.9531     0.9585  0.0469     0.0415     0.0613         0.0702
      3   3.15    68.30      50.06  0.9665     0.9702  0.0335     0.0298     0.0626         0.0681
      4   3.11    55.88      48.61  0.9608     0.9651  0.0392     0.0349     0.0786         0.0904
      5   3.16    48.60      44.67  0.9704     0.9735  0.0296     0.0265     0.0902         0.1044
      6   3.15    41.09      41.76  0.9709     0.9765  0.0291     0.0235     0.1470         0.1819
      7   3.17    39.35      38.89  0.9737     0.9756  0.0263     0.0244     0.1777         0.2060
      8   3.16    42.25      38.07  0.9726     0.9754  0.0274     0.0246     0.2191         0.2456
      9   3.18    36.30      36.01  0.9744     0.9770  0.0256     0.0230     0.2464         0.2801
     10   3.14    38.71      35.13  0.9716     0.9739  0.0284     0.0261     0.2583         0.2870
     11   3.16    35.89      35.03  0.9743     0.9766  0.0257     0.0234     0.3103         0.3422
     12   3.14    30.25      35.46  0.9711     0.9771  0.0289     0.0229     0.3546         0.4208
     13   3.17    31.76      32.38  0.9761     0.9794  0.0239     0.0206     0.3978         0.4381
     14   3.15    29.01      30.72  0.9747     0.9783  0.0253     0.0217     0.4170         0.4635
     15   3.14    29.90      30.68  0.9723     0.9775  0.0277     0.0225     0.4296         0.4908
     16   3.14    30.78      30.24  0.9731     0.9768  0.0269     0.0232     0.4289         0.4755
     17   3.19    29.11      29.52  0.9803     0.9816  0.0197     0.0184     0.4868         0.5279
     18   3.18    47.74      47.00  0.9803     0.9804  0.0197     0.0196     0.5057         0.5088
     19   3.15    35.11      31.82  0.9764     0.9768  0.0236     0.0232     0.5385         0.5548
     20   3.18    29.84      29.78  0.9819     0.9828  0.0181     0.0172     0.5707         0.5953
     21   3.15    26.95      31.41  0.9737     0.9798  0.0263     0.0202     0.5118         0.5833
     22   3.19    26.79      26.39  0.9815     0.9839  0.0185     0.0161     0.5744         0.6046
     23   3.15    26.97      26.91  0.9761     0.9787  0.0239     0.0213     0.5283         0.5661
     24   3.17    25.41      25.89  0.9803     0.9823  0.0197     0.0177     0.5645         0.6056
     25   3.14    26.36      25.05  0.9775     0.9786  0.0225     0.0214     0.5572         0.5965
     26   3.16    23.88      24.83  0.9802     0.9830  0.0198     0.0170     0.5996         0.6424
