  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.04   106.65      66.55  0.9437     0.9523  0.0563     0.0477     0.0429         0.0446
      2   3.07    71.91      56.20  0.9500     0.9576  0.0500     0.0424     0.0598         0.0663
      3   3.12    64.44      50.52  0.9589     0.9641  0.0411     0.0359     0.0665         0.0740
      4   3.15   103.46      70.92  0.9684     0.9689  0.0316     0.0311     0.0406         0.0434
      5   3.18    54.05      46.10  0.9747     0.9761  0.0253     0.0239     0.0919         0.1041
      6   3.18    47.21      41.21  0.9754     0.9780  0.0246     0.0220     0.1128         0.1267
      7   3.17    42.20      40.45  0.9736     0.9762  0.0264     0.0238     0.1924         0.2256
      8   3.13    39.69      45.33  0.9691     0.9749  0.0309     0.0251     0.2045         0.2444
      9   3.15    36.96      37.79  0.9725     0.9757  0.0275     0.0243     0.2705         0.3153
     10   3.18    34.29      34.10  0.9766     0.9796  0.0234     0.0204     0.2705         0.3079
     11   3.17    41.79      38.72  0.9771     0.9795  0.0229     0.0205     0.3572         0.3768
     12   3.19    35.62      35.28  0.9796     0.9808  0.0204     0.0192     0.3758         0.4099
     13   3.15    30.71      32.72  0.9746     0.9789  0.0254     0.0211     0.3933         0.4556
     14   3.20    35.14      34.09  0.9802     0.9810  0.0198     0.0190     0.4352         0.4585
     15   3.17    31.50      29.89  0.9774     0.9795  0.0226     0.0205     0.4465         0.4896
     16   3.14    26.65      29.29  0.9729     0.9788  0.0271     0.0212     0.4588         0.5378
     17   3.13    34.06      31.27  0.9720     0.9732  0.0280     0.0268     0.4219         0.4462
     18   3.15    27.66      29.94  0.9759     0.9818  0.0241     0.0182     0.5008         0.5639
     19   3.16    35.80      36.75  0.9778     0.9785  0.0222     0.0215     0.5386         0.5535
     20   3.18    28.84      27.20  0.9798     0.9812  0.0202     0.0188     0.5445         0.5813
     21   3.14    26.13      31.92  0.9750     0.9818  0.0250     0.0182     0.5781         0.6471
     22   3.17    27.95      26.42  0.9771     0.9792  0.0229     0.0208     0.5659         0.6006
     23   3.18    28.99      26.52  0.9798     0.9806  0.0202     0.0194     0.5180         0.5525
     24   3.16    27.20      26.93  0.9795     0.9808  0.0205     0.0192     0.5348         0.5637
     25   3.18    25.84      25.69  0.9830     0.9842  0.0170     0.0158     0.5910         0.6187
     26   3.13    26.96      25.46  0.9763     0.9784  0.0237     0.0216     0.5510         0.5823
     27   3.15    28.04      26.64  0.9796     0.9799  0.0204     0.0201     0.6090         0.6328
     28   3.13    26.74      26.59  0.9764     0.9785  0.0236     0.0215     0.5342         0.5542
     29   3.17    26.57      25.43  0.9811     0.9828  0.0189     0.0172     0.6066         0.6265
     30   3.17    23.91      23.32  0.9820     0.9834  0.0180     0.0166     0.6271         0.6603
     31   3.18    24.05      23.37  0.9831     0.9834  0.0169     0.0166     0.6466         0.6738
     32   3.18    27.07      26.64  0.9832     0.9838  0.0168     0.0162     0.6127         0.6280
     33   3.16    21.09      21.33  0.9802     0.9827  0.0198     0.0173     0.6095         0.6452
     34   3.10    27.69      27.47  0.9725     0.9737  0.0275     0.0263     0.5254         0.5400
     35   3.18    20.73      21.41  0.9825     0.9840  0.0175     0.0160     0.6055         0.6370
     36   3.14    21.34      21.50  0.9788     0.9803  0.0212     0.0197     0.6016         0.6298
     37   3.18    21.04      21.55  0.9828     0.9836  0.0172     0.0164     0.6367         0.6654
     38   3.17    19.27      20.35  0.9816     0.9849  0.0184     0.0151     0.6233         0.6657
     39   3.15    21.21      21.12  0.9803     0.9824  0.0197     0.0176     0.6014         0.6326
     40   3.14    24.59      25.93  0.9794     0.9805  0.0206     0.0195     0.6129         0.6272
     41   3.17    18.39      20.11  0.9834     0.9855  0.0166     0.0145     0.6499         0.6764
     42   3.14    22.15      21.06  0.9797     0.9803  0.0203     0.0197     0.5672         0.5884
     43   3.18    18.56      19.82  0.9842     0.9855  0.0158     0.0145     0.6262         0.6521
     44   3.14    19.08      19.05  0.9811     0.9826  0.0189     0.0174     0.5619         0.5931
     45   3.12    18.36      18.81  0.9787     0.9822  0.0213     0.0178     0.6129         0.6458
     46   3.17    18.50      19.41  0.9851     0.9857  0.0149     0.0143     0.6192         0.6406
     47   3.15    18.85      19.62  0.9809     0.9827  0.0191     0.0173     0.6047         0.6189
     48   3.15    17.39      18.13  0.9807     0.9835  0.0193     0.0165     0.5762         0.6016
     49   3.16    17.66      18.69  0.9830     0.9853  0.0170     0.0147     0.6421         0.6626
     50   3.14    21.27      19.72  0.9820     0.9832  0.0180     0.0168     0.4766         0.4869
     51   3.08    18.29      18.29  0.9744     0.9764  0.0256     0.0236     0.5239         0.5385
     52   3.16    17.74      17.99  0.9820     0.9841  0.0180     0.0159     0.5607         0.5869
     53   3.17    19.72      19.15  0.9851     0.9856  0.0149     0.0144     0.5284         0.5380
     54   3.15    19.67      20.47  0.9823     0.9833  0.0177     0.0167     0.5092         0.5170
     55   3.15    19.58      18.94  0.9816     0.9835  0.0184     0.0165     0.4964         0.5088
     56   3.10    17.08      17.74  0.9759     0.9814  0.0241     0.0186     0.5188         0.5477
     57   3.15    17.02      18.19  0.9823     0.9836  0.0177     0.0164     0.5421         0.5535
     58   3.13    16.62      16.90  0.9797     0.9824  0.0203     0.0176     0.4855         0.5026
     59   3.16    15.37      16.76  0.9819     0.9861  0.0181     0.0139     0.5584         0.5828
     60   3.16    15.48      16.83  0.9829     0.9847  0.0171     0.0153     0.5292         0.5497
     61   3.15    17.58      18.26  0.9816     0.9825  0.0184     0.0175     0.4834         0.4902
     62   3.15    19.18      19.89  0.9821     0.9826  0.0179     0.0174     0.4621         0.4695
     63   3.17    15.76      17.01  0.9836     0.9853  0.0164     0.0147     0.5335         0.5451
     64   3.12    17.28      17.68  0.9796     0.9806  0.0204     0.0194     0.4572         0.4683
     65   3.15    15.65      16.27  0.9812     0.9846  0.0188     0.0154     0.4749         0.4890
     66   3.16    17.69      18.15  0.9838     0.9844  0.0162     0.0156     0.3992         0.4069
     67   3.16    15.99      17.63  0.9845     0.9854  0.0155     0.0146     0.4173         0.4226
     68   3.17    15.17      16.69  0.9856     0.9865  0.0144     0.0135     0.3959         0.4071
     69   3.17    14.98      16.25  0.9847     0.9864  0.0153     0.0136     0.4223         0.4274
     70   3.15    16.07      16.41  0.9838     0.9851  0.0162     0.0149     0.3979         0.4058
     71   3.11    15.70      16.82  0.9797     0.9817  0.0203     0.0183     0.3821         0.3883
     72   3.12    14.96      15.79  0.9807     0.9828  0.0193     0.0172     0.3824         0.3906
     73   3.15    15.70      16.38  0.9834     0.9852  0.0166     0.0148     0.4543         0.4635
     74   3.15    15.06      15.90  0.9829     0.9837  0.0171     0.0163     0.4671         0.4798
     75   3.16    13.83      15.50  0.9841     0.9859  0.0159     0.0141     0.4676         0.4801
     76   3.14    14.30      15.69  0.9824     0.9845  0.0176     0.0155     0.4644         0.4740
     77   3.08    15.15      15.64  0.9778     0.9803  0.0222     0.0197     0.4449         0.4544
     78   3.15    14.50      15.50  0.9834     0.9856  0.0166     0.0144     0.4647         0.4779
     79   3.16    14.01      15.42  0.9852     0.9864  0.0148     0.0136     0.4673         0.4760
     80   3.14    14.23      15.23  0.9826     0.9854  0.0174     0.0146     0.4437         0.4568
     81   3.14    13.91      15.58  0.9829     0.9849  0.0171     0.0151     0.3934         0.3995
     82   3.15    13.94      15.20  0.9840     0.9859  0.0160     0.0141     0.4544         0.4654
     83   3.15    14.30      15.97  0.9832     0.9850  0.0168     0.0150     0.3693         0.3804
     84   3.11    13.52      14.91  0.9774     0.9810  0.0226     0.0190     0.4199         0.4287
     85   3.19    17.19      17.65  0.9862     0.9874  0.0138     0.0126     0.3691         0.3724
     86   3.16    13.63      14.77  0.9849     0.9869  0.0151     0.0131     0.4312         0.4430
     87   3.17    14.52      15.90  0.9844     0.9859  0.0156     0.0141     0.3765         0.3818
     88   3.16    13.39      14.93  0.9857     0.9872  0.0143     0.0128     0.3928         0.3991
     89   3.14    13.82      15.25  0.9831     0.9841  0.0169     0.0159     0.3998         0.4071
     90   3.15    13.57      14.69  0.9816     0.9834  0.0184     0.0166     0.3909         0.4004
     91   3.13    13.35      15.11  0.9828     0.9841  0.0172     0.0159     0.3959         0.4043
     92   3.15    13.53      15.22  0.9842     0.9849  0.0158     0.0151     0.4003         0.4083
     93   3.13    13.13      15.22  0.9830     0.9845  0.0170     0.0155     0.4081         0.4158
     94   3.15    13.54      15.48  0.9837     0.9851  0.0163     0.0149     0.3901         0.3954
     95   3.13    12.49      14.38  0.9809     0.9830  0.0191     0.0170     0.4240         0.4342
     96   3.14    12.83      14.78  0.9826     0.9850  0.0174     0.0150     0.4573         0.4644
     97   3.14    12.83      14.62  0.9835     0.9851  0.0165     0.0149     0.4549         0.4627
     98   3.16    12.82      14.73  0.9849     0.9864  0.0151     0.0136     0.4431         0.4495
     99   3.15    12.57      14.34  0.9841     0.9869  0.0159     0.0131     0.4463         0.4547
    100   3.16    13.06      14.57  0.9847     0.9859  0.0153     0.0141     0.3851         0.3922
    101   3.16    12.36      14.05  0.9839     0.9861  0.0161     0.0139     0.4028         0.4100
    102   3.16    12.63      14.72  0.9844     0.9854  0.0156     0.0146     0.3735         0.3813
    103   3.15    12.54      14.39  0.9815     0.9838  0.0185     0.0162     0.3579         0.3653
    104   3.15    12.89      14.83  0.9851     0.9858  0.0149     0.0142     0.3922         0.3992
    105   3.15    12.69      14.72  0.9844     0.9862  0.0156     0.0138     0.4160         0.4247
    106   3.16    13.92      16.15  0.9852     0.9866  0.0148     0.0134     0.3845         0.3911
    107   3.14    12.69      14.12  0.9823     0.9846  0.0177     0.0154     0.3990         0.4082
    108   3.15    12.33      14.63  0.9845     0.9851  0.0155     0.0149     0.3934         0.4002
    109   3.15    12.18      14.28  0.9844     0.9856  0.0156     0.0144     0.3720         0.3793
    110   3.15    12.79      14.93  0.9851     0.9860  0.0149     0.0140     0.3523         0.3579
    111   3.12    12.05      14.06  0.9817     0.9843  0.0183     0.0157     0.3656         0.3731
    112   3.13    11.72      14.23  0.9837     0.9858  0.0163     0.0142     0.4558         0.4675
    113   3.15    12.04      14.17  0.9846     0.9861  0.0154     0.0139     0.4161         0.4223
    114   3.16    13.26      14.84  0.9849     0.9860  0.0151     0.0140     0.3703         0.3745
    115   3.16    11.52      13.78  0.9832     0.9861  0.0168     0.0139     0.3975         0.4048
    116   3.15    11.74      14.10  0.9842     0.9861  0.0158     0.0139     0.3839         0.3910
    117   3.14    12.22      13.95  0.9836     0.9857  0.0164     0.0143     0.3349         0.3407
    118   3.16    12.45      14.52  0.9852     0.9861  0.0148     0.0139     0.3403         0.3467
    119   3.12    12.29      14.14  0.9816     0.9837  0.0184     0.0163     0.3257         0.3291
    120   3.14    12.41      14.22  0.9841     0.9855  0.0159     0.0145     0.3250         0.3307
    121   3.15    11.88      13.85  0.9840     0.9849  0.0160     0.0151     0.3374         0.3430
    122   3.14    11.65      14.01  0.9854     0.9855  0.0146     0.0145     0.3609         0.3664
    123   3.15    11.94      14.31  0.9838     0.9857  0.0162     0.0143     0.3757         0.3782
    124   3.14    11.44      13.76  0.9837     0.9856  0.0163     0.0144     0.3877         0.3946
    125   3.15    13.74      15.37  0.9853     0.9867  0.0147     0.0133     0.3312         0.3351
    126   3.15    11.42      13.92  0.9834     0.9862  0.0166     0.0138     0.3573         0.3638
    127   3.09    11.45      13.93  0.9790     0.9816  0.0210     0.0184     0.3228         0.3305
    128   3.15    11.45      13.83  0.9838     0.9855  0.0162     0.0145     0.3503         0.3560
    129   3.13    11.05      13.51  0.9824     0.9845  0.0176     0.0155     0.3355         0.3437
    130   3.14    11.35      13.70  0.9820     0.9854  0.0180     0.0146     0.3138         0.3196
    131   3.16    11.83      14.18  0.9845     0.9859  0.0155     0.0141     0.3306         0.3343
    132   3.15    12.10      14.24  0.9843     0.9866  0.0157     0.0134     0.2940         0.2978
    133   3.13    11.04      13.82  0.9833     0.9854  0.0167     0.0146     0.3525         0.3580
    134   3.14    11.12      13.53  0.9838     0.9863  0.0162     0.0137     0.3547         0.3634
    135   3.15    12.52      14.91  0.9852     0.9863  0.0148     0.0137     0.3137         0.3171
    136   3.14    11.36      13.40  0.9835     0.9852  0.0165     0.0148     0.3748         0.3811
    137   3.15    10.93      13.45  0.9841     0.9864  0.0159     0.0136     0.3839         0.3907
    138   3.13    11.62      13.76  0.9838     0.9853  0.0162     0.0147     0.3790         0.3856
    139   3.15    11.76      14.15  0.9841     0.9847  0.0159     0.0153     0.3637         0.3682
    140   3.15    11.36      14.11  0.9838     0.9860  0.0162     0.0140     0.3423         0.3490
    141   3.14    11.02      13.43  0.9833     0.9857  0.0167     0.0143     0.3777         0.3831
    142   3.14    11.06      13.63  0.9836     0.9857  0.0164     0.0143     0.3502         0.3558
    143   3.15    10.88      13.47  0.9838     0.9856  0.0162     0.0144     0.3933         0.4001
    144   3.15    11.83      13.81  0.9837     0.9860  0.0163     0.0140     0.3338         0.3402
    145   3.15    10.82      13.53  0.9834     0.9865  0.0166     0.0135     0.3827         0.3888
    146   3.14    11.13      14.10  0.9846     0.9850  0.0154     0.0150     0.3582         0.3644
    147   3.14    11.96      14.23  0.9835     0.9856  0.0165     0.0144     0.3226         0.3265
    148   3.15    11.40      13.83  0.9844     0.9858  0.0156     0.0142     0.3204         0.3245
    149   3.14    11.14      13.39  0.9838     0.9855  0.0162     0.0145     0.3528         0.3612
    150   3.15    11.25      13.53  0.9844     0.9859  0.0156     0.0141     0.3055         0.3118
    151   3.14    11.21      13.23  0.9844     0.9860  0.0156     0.0140     0.3275         0.3337
    152   3.13    10.84      13.31  0.9823     0.9847  0.0177     0.0153     0.3269         0.3331
    153   3.14    10.65      13.49  0.9844     0.9854  0.0156     0.0146     0.3501         0.3570
    154   3.16    11.01      13.58  0.9848     0.9865  0.0152     0.0135     0.3286         0.3306
    155   3.15    10.54      13.32  0.9846     0.9856  0.0154     0.0144     0.3392         0.3474
    156   3.14    11.11      13.83  0.9838     0.9854  0.0162     0.0146     0.3059         0.3094
    157   3.14    11.10      13.63  0.9839     0.9859  0.0161     0.0141     0.3253         0.3301
    158   3.14    11.04      13.77  0.9841     0.9853  0.0159     0.0147     0.3577         0.3649
    159   3.15    10.73      13.49  0.9845     0.9859  0.0155     0.0141     0.3651         0.3740
    160   3.14    10.97      13.20  0.9841     0.9864  0.0159     0.0136     0.3584         0.3656
    161   3.13    10.42      13.17  0.9829     0.9859  0.0171     0.0141     0.3951         0.4061
    162   3.15    10.76      13.43  0.9841     0.9852  0.0159     0.0148     0.3414         0.3479
    163   3.13    10.94      13.10  0.9840     0.9861  0.0160     0.0139     0.3435         0.3510
    164   3.14    10.54      13.08  0.9846     0.9866  0.0154     0.0134     0.3330         0.3423
    165   3.15    10.76      13.36  0.9862     0.9870  0.0138     0.0130     0.3456         0.3548
    166   3.15    10.74      13.22  0.9844     0.9863  0.0156     0.0137     0.3422         0.3502
    167   3.15    10.52      13.08  0.9848     0.9868  0.0152     0.0132     0.3694         0.3794
    168   3.14    10.66      13.18  0.9841     0.9852  0.0159     0.0148     0.3470         0.3549
    169   3.15    10.74      13.40  0.9850     0.9866  0.0150     0.0134     0.3501         0.3586
    170   3.15    10.74      13.18  0.9847     0.9868  0.0153     0.0132     0.3659         0.3703
    171   3.15    11.22      13.64  0.9855     0.9865  0.0145     0.0135     0.3325         0.3390
    172   3.15    10.70      13.40  0.9854     0.9876  0.0146     0.0124     0.3883         0.3957
    173   3.16    11.14      13.95  0.9855     0.9875  0.0145     0.0125     0.3438         0.3507
    174   3.15    10.86      13.41  0.9848     0.9869  0.0152     0.0131     0.3320         0.3358
    175   3.14    10.64      13.05  0.9840     0.9862  0.0160     0.0138     0.3437         0.3516
    176   3.15    10.51      13.23  0.9843     0.9867  0.0157     0.0133     0.3390         0.3519
    177   3.14    10.84      13.37  0.9853     0.9868  0.0147     0.0132     0.3245         0.3311
    178   3.14    10.47      13.35  0.9847     0.9854  0.0153     0.0146     0.3420         0.3498
    179   3.15    10.44      13.17  0.9853     0.9872  0.0147     0.0128     0.3567         0.3650
    180   3.16    10.51      13.42  0.9851     0.9866  0.0149     0.0134     0.3561         0.3641
    181   3.14    10.24      13.23  0.9836     0.9859  0.0164     0.0141     0.3717         0.3802
    182   3.15    10.36      13.26  0.9845     0.9862  0.0155     0.0138     0.3608         0.3686
    183   3.15    10.36      13.19  0.9848     0.9863  0.0152     0.0137     0.3505         0.3581
    184   3.15    10.52      13.28  0.9856     0.9862  0.0144     0.0138     0.3591         0.3680
    185   3.15    10.51      12.98  0.9855     0.9872  0.0145     0.0128     0.3439         0.3543
    186   3.14    10.38      13.25  0.9842     0.9864  0.0158     0.0136     0.3659         0.3753
    187   3.15    10.31      13.01  0.9846     0.9865  0.0154     0.0135     0.3534         0.3615
    188   3.15    10.55      13.29  0.9854     0.9872  0.0146     0.0128     0.3650         0.3728
    189   3.15    10.25      13.18  0.9840     0.9861  0.0160     0.0139     0.4012         0.4108
    190   3.15    10.32      12.85  0.9839     0.9860  0.0161     0.0140     0.4058         0.4161
    191   3.14    10.53      13.02  0.9840     0.9868  0.0160     0.0132     0.3669         0.3767
    192   3.14    10.57      13.23  0.9842     0.9860  0.0158     0.0140     0.3555         0.3666
    193   3.14    10.70      13.56  0.9844     0.9855  0.0156     0.0145     0.3607         0.3719
    194   3.15    11.32      13.67  0.9857     0.9862  0.0143     0.0138     0.3377         0.3445
    195   3.15    10.49      13.09  0.9837     0.9857  0.0163     0.0143     0.3377         0.3482
    196   3.15    10.53      13.08  0.9855     0.9859  0.0145     0.0141     0.3568         0.3643
    197   3.15    10.43      13.07  0.9842     0.9861  0.0158     0.0139     0.3505         0.3582
    198   3.15    10.28      13.22  0.9850     0.9866  0.0150     0.0134     0.3483         0.3548
    199   3.15    10.26      13.14  0.9848     0.9862  0.0152     0.0138     0.3441         0.3526
    200   3.13    10.15      12.95  0.9835     0.9858  0.0165     0.0142     0.3462         0.3566
The log/output/model have been saved to: ./logs/new_train.py-multi_zetas{'num_epochs': 200, 'use_stoch': [False, True, True], 'betas': None}-sdx-04-04-04:34 + .csv/.out/.cpt
