  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.00   100.87      61.52  0.9339     0.9454  0.0661     0.0546     0.0534         0.0531
      2   3.12    91.44      59.75  0.9608     0.9644  0.0392     0.0356     0.0390         0.0409
      3   3.14    63.23      49.75  0.9660     0.9693  0.0340     0.0307     0.0778         0.0898
      4   3.10    54.81      45.50  0.9578     0.9644  0.0422     0.0356     0.1030         0.1210
      5   3.16    52.53      43.70  0.9703     0.9745  0.0297     0.0255     0.1033         0.1190
      6   3.17    45.98      44.21  0.9730     0.9750  0.0270     0.0250     0.1410         0.1716
      7   3.14    45.97      40.58  0.9683     0.9708  0.0317     0.0292     0.1698         0.1908
      8   3.17    37.61      40.32  0.9754     0.9791  0.0246     0.0209     0.2238         0.2697
      9   3.18    37.98      37.32  0.9755     0.9763  0.0245     0.0237     0.2647         0.3031
     10   3.18    40.59      40.49  0.9771     0.9776  0.0229     0.0224     0.2977         0.3218
     11   3.14    36.14      35.19  0.9722     0.9754  0.0278     0.0246     0.3256         0.3674
     12   3.16    44.26      39.33  0.9746     0.9759  0.0254     0.0241     0.3311         0.3633
     13   3.15    30.65      31.77  0.9747     0.9783  0.0253     0.0217     0.3752         0.4344
     14   3.19    36.25      33.51  0.9799     0.9816  0.0201     0.0184     0.4354         0.4660
     15   3.19    30.94      31.04  0.9810     0.9817  0.0190     0.0183     0.4646         0.5121
     16   3.17    29.91      29.23  0.9788     0.9802  0.0212     0.0198     0.4453         0.4955
     17   3.21    36.05      34.51  0.9834     0.9846  0.0166     0.0154     0.4689         0.4934
     18   3.17    25.45      27.01  0.9775     0.9814  0.0225     0.0186     0.4726         0.5337
     19   3.16    27.18      28.12  0.9776     0.9811  0.0224     0.0189     0.4999         0.5662
     20   3.19    28.47      28.80  0.9816     0.9827  0.0184     0.0173     0.5731         0.6115
     21   3.17    25.91      26.96  0.9800     0.9818  0.0200     0.0182     0.5660         0.6318
     22   3.16    28.84      26.62  0.9786     0.9805  0.0214     0.0195     0.5490         0.5819
     23   3.19    24.55      25.86  0.9822     0.9848  0.0178     0.0152     0.5578         0.6373
     24   3.14    27.24      27.91  0.9766     0.9798  0.0234     0.0202     0.5464         0.6106
     25   3.18    24.53      24.83  0.9809     0.9826  0.0191     0.0174     0.5875         0.6307
     26   3.18    24.43      24.35  0.9799     0.9820  0.0201     0.0180     0.5917         0.6380
     27   3.20    30.81      31.78  0.9844     0.9846  0.0156     0.0154     0.6413         0.6566
     28   3.16    24.59      23.97  0.9786     0.9808  0.0214     0.0192     0.6153         0.6552
     29   3.18    23.99      23.86  0.9832     0.9846  0.0168     0.0154     0.6458         0.6822
     30   3.16    22.58      22.69  0.9786     0.9822  0.0214     0.0178     0.5879         0.6322
     31   3.16    22.19      22.61  0.9802     0.9821  0.0198     0.0179     0.6522         0.6931
     32   3.19    31.51      30.66  0.9836     0.9843  0.0164     0.0157     0.5785         0.5876
     33   3.17    27.21      26.12  0.9818     0.9827  0.0182     0.0173     0.6077         0.6241
