t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.994899272918701,103.0106430053711,60.80210876464844,0.9319000244140625,0.9448999762535095,0.0680999755859375,0.05510002374649048,0.04919999837875366,0.04910000041127205
2,3.105100393295288,68.88265228271484,55.838565826416016,0.9581000208854675,0.9641000032424927,0.04189997911453247,0.035899996757507324,0.057500001043081284,0.06279999762773514
3,3.0749573707580566,56.612037658691406,59.239349365234375,0.9545000195503235,0.9675999879837036,0.045499980449676514,0.03240001201629639,0.09719999879598618,0.11620000004768372
4,3.134538173675537,60.916534423828125,49.53899002075195,0.964900016784668,0.9686999917030334,0.03509998321533203,0.03130000829696655,0.07930000126361847,0.08969999849796295
5,3.1578710079193115,50.06241989135742,44.080482482910156,0.9692000150680542,0.9739000201225281,0.0307999849319458,0.026099979877471924,0.11559999734163284,0.13249999284744263
6,3.1665737628936768,45.180381774902344,40.44929504394531,0.9715999960899353,0.9747999906539917,0.028400003910064697,0.0252000093460083,0.15839999914169312,0.18770000338554382
7,3.189879894256592,60.883060455322266,49.30558776855469,0.9763000011444092,0.9765999913215637,0.02369999885559082,0.02340000867843628,0.12839999794960022,0.13410000503063202
8,3.137640953063965,37.327781677246094,41.95311737060547,0.9700999855995178,0.9764000177383423,0.029900014400482178,0.023599982261657715,0.19750000536441803,0.24500000476837158
9,3.098464250564575,37.78290557861328,38.948333740234375,0.9639999866485596,0.9699000120162964,0.03600001335144043,0.030099987983703613,0.21570000052452087,0.26080000400543213
10,3.1699001789093018,43.37621307373047,38.288089752197266,0.9739000201225281,0.9761000275611877,0.026099979877471924,0.023899972438812256,0.24089999496936798,0.263700008392334
11,3.189777135848999,39.209259033203125,36.339256286621094,0.9782000184059143,0.9789999723434448,0.021799981594085693,0.021000027656555176,0.2913999855518341,0.32170000672340393
12,3.180628538131714,41.02971267700195,36.20335388183594,0.9790999889373779,0.9786999821662903,0.02090001106262207,0.021300017833709717,0.382999986410141,0.4140999913215637
13,3.190553665161133,43.13796615600586,39.1824951171875,0.9782999753952026,0.9797999858856201,0.021700024604797363,0.020200014114379883,0.35600000619888306,0.3765999972820282
14,3.1805946826934814,33.87140655517578,30.24679946899414,0.9769999980926514,0.9797999858856201,0.023000001907348633,0.020200014114379883,0.37139999866485596,0.4162999987602234
