  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.99   103.01      60.80  0.9319     0.9449  0.0681     0.0551     0.0492         0.0491
      2   3.11    68.88      55.84  0.9581     0.9641  0.0419     0.0359     0.0575         0.0628
      3   3.07    56.61      59.24  0.9545     0.9676  0.0455     0.0324     0.0972         0.1162
      4   3.13    60.92      49.54  0.9649     0.9687  0.0351     0.0313     0.0793         0.0897
      5   3.16    50.06      44.08  0.9692     0.9739  0.0308     0.0261     0.1156         0.1325
      6   3.17    45.18      40.45  0.9716     0.9748  0.0284     0.0252     0.1584         0.1877
      7   3.19    60.88      49.31  0.9763     0.9766  0.0237     0.0234     0.1284         0.1341
      8   3.14    37.33      41.95  0.9701     0.9764  0.0299     0.0236     0.1975         0.2450
      9   3.10    37.78      38.95  0.9640     0.9699  0.0360     0.0301     0.2157         0.2608
     10   3.17    43.38      38.29  0.9739     0.9761  0.0261     0.0239     0.2409         0.2637
     11   3.19    39.21      36.34  0.9782     0.9790  0.0218     0.0210     0.2914         0.3217
     12   3.18    41.03      36.20  0.9791     0.9787  0.0209     0.0213     0.3830         0.4141
     13   3.19    43.14      39.18  0.9783     0.9798  0.0217     0.0202     0.3560         0.3766
     14   3.18    33.87      30.25  0.9770     0.9798  0.0230     0.0202     0.3714         0.4163
     15   3.19    36.53      31.72  0.9790     0.9805  0.0210     0.0195     0.3902         0.4261
     16   3.18    30.37      29.25  0.9809     0.9819  0.0191     0.0181     0.4798         0.5350
     17   3.17    27.81      28.48  0.9790     0.9811  0.0210     0.0189     0.4566         0.5242
     18   3.15    27.06      28.12  0.9754     0.9790  0.0246     0.0210     0.4645         0.5394
     19   3.18    25.87      26.49  0.9793     0.9834  0.0207     0.0166     0.5196         0.5820
     20   3.17    26.39      26.50  0.9786     0.9792  0.0214     0.0208     0.5171         0.5691
     21   3.20    29.47      28.71  0.9820     0.9828  0.0180     0.0172     0.5239         0.5597
     22   3.16    28.11      25.86  0.9766     0.9790  0.0234     0.0210     0.5118         0.5658
     23   3.18    31.14      30.00  0.9787     0.9799  0.0213     0.0201     0.5125         0.5399
     24   3.14    23.84      24.31  0.9762     0.9797  0.0238     0.0203     0.5065         0.5655
     25   3.15    24.72      26.43  0.9762     0.9808  0.0238     0.0192     0.5131         0.5830
     26   3.16    26.49      25.58  0.9791     0.9811  0.0209     0.0189     0.5819         0.6343
     27   3.17    27.69      27.16  0.9799     0.9802  0.0201     0.0198     0.5793         0.6102
     28   3.15    22.98      22.68  0.9778     0.9805  0.0222     0.0195     0.5765         0.6324
     29   3.19    26.40      25.29  0.9835     0.9842  0.0165     0.0158     0.6152         0.6519
     30   3.17    24.54      23.65  0.9811     0.9821  0.0189     0.0179     0.5831         0.6214
     31   3.16    21.94      21.91  0.9807     0.9832  0.0193     0.0168     0.5714         0.6240
     32   3.14    25.57      24.07  0.9791     0.9799  0.0209     0.0201     0.5668         0.5995
     33   3.16    24.28      24.86  0.9806     0.9817  0.0194     0.0183     0.5697         0.5980
     34   3.14    30.08      30.80  0.9798     0.9799  0.0202     0.0201     0.5509         0.5634
     35   3.17    22.70      22.28  0.9813     0.9829  0.0187     0.0171     0.6444         0.6818
     36   3.10    21.17      21.54  0.9773     0.9788  0.0227     0.0212     0.5771         0.6285
     37   3.11    21.06      20.64  0.9751     0.9785  0.0249     0.0215     0.5590         0.6052
     38   3.13    25.79      25.97  0.9783     0.9799  0.0217     0.0201     0.5954         0.6112
     39   3.18    22.59      22.77  0.9833     0.9830  0.0167     0.0170     0.5472         0.5704
     40   3.10    19.78      20.54  0.9764     0.9790  0.0236     0.0210     0.5449         0.5860
     41   3.16    19.63      19.78  0.9825     0.9853  0.0175     0.0147     0.5806         0.6171
     42   3.12    20.04      20.09  0.9764     0.9782  0.0236     0.0218     0.5717         0.6100
     43   3.14    20.85      20.22  0.9800     0.9814  0.0200     0.0186     0.5635         0.5881
     44   3.14    18.08      19.08  0.9790     0.9836  0.0210     0.0164     0.6022         0.6559
     45   3.11    22.01      20.41  0.9780     0.9804  0.0220     0.0196     0.5126         0.5422
     46   3.15    21.62      21.96  0.9819     0.9822  0.0181     0.0178     0.6015         0.6200
     47   3.15    18.23      18.80  0.9806     0.9833  0.0194     0.0167     0.5335         0.5636
     48   3.16    19.05      19.52  0.9828     0.9853  0.0172     0.0147     0.5888         0.6131
     49   3.16    18.17      18.42  0.9813     0.9841  0.0187     0.0159     0.5951         0.6293
     50   3.15    18.44      18.34  0.9804     0.9827  0.0196     0.0173     0.5409         0.5689
     51   3.11    19.37      18.91  0.9775     0.9802  0.0225     0.0198     0.5205         0.5442
     52   3.12    18.90      18.83  0.9791     0.9814  0.0209     0.0186     0.5837         0.6010
     53   3.15    18.16      17.94  0.9817     0.9839  0.0183     0.0161     0.4870         0.5109
     54   3.16    18.79      18.74  0.9839     0.9850  0.0161     0.0150     0.5413         0.5557
     55   3.15    18.11      18.21  0.9837     0.9843  0.0163     0.0157     0.5101         0.5266
     56   3.14    20.12      19.11  0.9813     0.9825  0.0187     0.0175     0.4752         0.4910
     57   3.16    16.43      16.98  0.9832     0.9851  0.0168     0.0149     0.5077         0.5291
     58   3.11    17.72      17.57  0.9779     0.9794  0.0221     0.0206     0.4347         0.4505
     59   3.18    16.59      17.35  0.9843     0.9870  0.0157     0.0130     0.5389         0.5581
     60   3.20    17.47      18.59  0.9861     0.9862  0.0139     0.0138     0.4834         0.4974
     61   3.19    17.92      18.29  0.9877     0.9884  0.0123     0.0116     0.4631         0.4732
     62   3.15    15.70      16.75  0.9816     0.9839  0.0184     0.0161     0.4813         0.4985
     63   3.14    16.71      17.61  0.9822     0.9843  0.0178     0.0157     0.5662         0.5811
     64   3.15    15.16      16.69  0.9834     0.9852  0.0166     0.0148     0.5448         0.5649
     65   3.14    16.22      16.75  0.9813     0.9837  0.0187     0.0163     0.4934         0.5091
     66   3.13    16.24      16.63  0.9818     0.9844  0.0182     0.0156     0.4843         0.4986
     67   3.16    16.08      16.38  0.9835     0.9846  0.0165     0.0154     0.4931         0.5070
     68   3.16    15.57      16.22  0.9814     0.9846  0.0186     0.0154     0.4991         0.5130
     69   3.15    15.15      16.17  0.9835     0.9851  0.0165     0.0149     0.4799         0.4959
     70   3.15    17.99      17.84  0.9837     0.9846  0.0163     0.0154     0.4545         0.4623
     71   3.18    14.76      16.50  0.9852     0.9868  0.0148     0.0132     0.5314         0.5491
     72   3.15    15.12      16.12  0.9830     0.9847  0.0170     0.0153     0.4393         0.4492
     73   3.16    14.87      16.41  0.9834     0.9857  0.0166     0.0143     0.5068         0.5209
     74   3.17    14.55      16.37  0.9850     0.9860  0.0150     0.0140     0.5383         0.5505
     75   3.17    16.31      16.23  0.9853     0.9862  0.0147     0.0138     0.4271         0.4365
     76   3.18    14.52      15.97  0.9849     0.9870  0.0151     0.0130     0.4813         0.4918
     77   3.00    15.46      15.94  0.9701     0.9724  0.0299     0.0276     0.4127         0.4251
     78   3.12    16.51      16.20  0.9823     0.9839  0.0177     0.0161     0.4346         0.4421
     79   3.18    15.11      16.47  0.9869     0.9873  0.0131     0.0127     0.4388         0.4462
     80   3.17    17.32      18.05  0.9864     0.9862  0.0136     0.0138     0.3737         0.3806
     81   3.14    13.88      15.44  0.9831     0.9868  0.0169     0.0132     0.4525         0.4621
     82   3.15    14.30      15.09  0.9844     0.9863  0.0156     0.0137     0.4858         0.5004
     83   3.16    14.36      15.30  0.9838     0.9866  0.0162     0.0134     0.4596         0.4720
     84   3.16    14.16      16.02  0.9839     0.9853  0.0161     0.0147     0.4498         0.4610
     85   3.17    14.18      15.68  0.9857     0.9871  0.0143     0.0129     0.4108         0.4209
     86   3.16    13.54      14.70  0.9831     0.9857  0.0169     0.0143     0.4456         0.4621
     87   3.12    13.41      15.01  0.9799     0.9840  0.0201     0.0160     0.4503         0.4660
     88   3.15    13.32      14.71  0.9839     0.9858  0.0161     0.0142     0.4459         0.4592
     89   3.11    13.68      14.78  0.9801     0.9818  0.0199     0.0182     0.3643         0.3755
     90   3.16    15.66      16.39  0.9848     0.9855  0.0152     0.0145     0.4216         0.4297
     91   3.17    15.95      17.03  0.9847     0.9857  0.0153     0.0143     0.4738         0.4765
     92   3.17    12.54      14.52  0.9854     0.9881  0.0146     0.0119     0.4979         0.5108
     93   3.16    13.63      15.01  0.9858     0.9865  0.0142     0.0135     0.4302         0.4385
     94   3.16    12.65      14.47  0.9851     0.9867  0.0149     0.0133     0.4512         0.4653
     95   3.17    12.60      14.66  0.9853     0.9868  0.0147     0.0132     0.4271         0.4403
     96   3.16    12.72      14.62  0.9853     0.9866  0.0147     0.0134     0.3951         0.4086
     97   3.16    13.19      14.45  0.9862     0.9871  0.0138     0.0129     0.3607         0.3720
     98   3.17    12.61      14.33  0.9844     0.9865  0.0156     0.0135     0.4313         0.4417
     99   3.17    13.02      14.35  0.9848     0.9872  0.0152     0.0128     0.4160         0.4272
    100   3.15    18.03      17.83  0.9835     0.9846  0.0165     0.0154     0.3642         0.3701
    101   3.16    12.86      14.28  0.9855     0.9872  0.0145     0.0128     0.4692         0.4787
    102   3.17    13.38      14.82  0.9858     0.9868  0.0142     0.0132     0.4069         0.4152
    103   3.16    12.28      14.53  0.9850     0.9866  0.0150     0.0134     0.4225         0.4296
    104   3.17    12.14      14.05  0.9847     0.9867  0.0153     0.0133     0.4245         0.4357
    105   3.16    12.88      14.72  0.9854     0.9874  0.0146     0.0126     0.4123         0.4216
    106   3.16    13.20      14.49  0.9858     0.9872  0.0142     0.0128     0.3494         0.3579
    107   3.17    12.42      14.18  0.9850     0.9874  0.0150     0.0126     0.3628         0.3749
    108   3.16    13.42      14.64  0.9858     0.9872  0.0142     0.0128     0.3641         0.3677
    109   3.15    12.95      14.31  0.9841     0.9856  0.0159     0.0144     0.3715         0.3785
    110   3.16    12.59      14.56  0.9859     0.9863  0.0141     0.0137     0.4097         0.4179
    111   3.15    12.16      14.18  0.9838     0.9863  0.0162     0.0137     0.4443         0.4487
    112   3.14    12.19      14.30  0.9842     0.9865  0.0158     0.0135     0.4378         0.4455
    113   3.17    14.64      15.47  0.9866     0.9869  0.0134     0.0131     0.4001         0.4039
    114   3.15    12.49      14.04  0.9832     0.9855  0.0168     0.0145     0.4378         0.4482
    115   3.17    14.60      14.61  0.9863     0.9874  0.0137     0.0126     0.3956         0.4001
    116   3.16    11.97      13.89  0.9854     0.9869  0.0146     0.0131     0.4142         0.4208
    117   3.17    13.36      15.24  0.9865     0.9875  0.0135     0.0125     0.3959         0.4027
