  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.88    90.13      62.65  0.9068     0.9346  0.0932     0.0654     0.0811         0.0836
      2   3.10    72.77      56.38  0.9565     0.9619  0.0435     0.0381     0.0690         0.0764
      3   3.13    59.41      52.08  0.9635     0.9684  0.0365     0.0316     0.0911         0.1063
      4   3.12    51.48      48.20  0.9624     0.9692  0.0376     0.0308     0.1200         0.1433
      5   3.18    60.40      46.96  0.9733     0.9761  0.0267     0.0239     0.0967         0.1107
      6   3.18    46.81      43.23  0.9750     0.9756  0.0250     0.0244     0.1537         0.1702
      7   3.15    39.05      38.98  0.9719     0.9761  0.0281     0.0239     0.1916         0.2369
      8   3.16    43.65      38.26  0.9741     0.9769  0.0259     0.0231     0.2277         0.2593
      9   3.12    35.47      36.58  0.9698     0.9727  0.0302     0.0273     0.2613         0.3061
     10   3.16    37.33      36.13  0.9748     0.9766  0.0252     0.0234     0.2858         0.3316
     11   3.17    44.60      42.93  0.9776     0.9784  0.0224     0.0216     0.3210         0.3390
     12   3.11    32.93      34.09  0.9674     0.9700  0.0326     0.0300     0.3804         0.4351
     13   3.19    46.13      41.62  0.9809     0.9807  0.0191     0.0193     0.4122         0.4226
     14   3.16    32.60      31.83  0.9756     0.9777  0.0244     0.0223     0.4117         0.4555
     15   3.15    29.24      29.68  0.9752     0.9785  0.0248     0.0215     0.4346         0.5006
     16   3.17    29.40      29.05  0.9776     0.9799  0.0224     0.0201     0.4419         0.4939
     17   3.19    32.54      31.78  0.9815     0.9822  0.0185     0.0178     0.5098         0.5424
     18   3.15    34.61      33.75  0.9743     0.9760  0.0257     0.0240     0.4776         0.5041
     19   3.11    28.66      28.33  0.9732     0.9737  0.0268     0.0263     0.4570         0.5113
     20   3.16    26.42      26.92  0.9796     0.9799  0.0204     0.0201     0.5661         0.6081
     21   3.09    26.61      27.63  0.9696     0.9728  0.0304     0.0272     0.5340         0.5911
     22   3.17    26.13      25.92  0.9798     0.9817  0.0202     0.0183     0.5543         0.5978
     23   3.15    26.63      26.80  0.9769     0.9792  0.0231     0.0208     0.5405         0.5881
     24   3.16    23.47      25.44  0.9784     0.9814  0.0216     0.0186     0.5937         0.6598
     25   3.15    23.80      23.93  0.9787     0.9808  0.0213     0.0192     0.5721         0.6247
     26   3.18    24.48      24.40  0.9829     0.9847  0.0171     0.0153     0.5961         0.6391
     27   3.18    21.67      23.31  0.9805     0.9851  0.0195     0.0149     0.5936         0.6571
     28   3.15    26.71      24.34  0.9800     0.9810  0.0200     0.0190     0.5828         0.6243
     29   3.17    24.05      24.26  0.9825     0.9831  0.0175     0.0169     0.6105         0.6497
     30   3.15    21.89      22.71  0.9801     0.9822  0.0199     0.0178     0.5375         0.5911
     31   3.19    31.17      29.80  0.9831     0.9839  0.0169     0.0161     0.5923         0.6032
     32   3.18    24.68      24.79  0.9838     0.9833  0.0162     0.0167     0.6384         0.6632
     33   3.17    21.77      21.90  0.9806     0.9843  0.0194     0.0157     0.5636         0.6106
     34   3.15    22.92      21.75  0.9796     0.9811  0.0204     0.0189     0.5725         0.6053
     35   3.18    22.28      22.36  0.9837     0.9846  0.0163     0.0154     0.5713         0.5986
     36   3.18    30.64      30.81  0.9833     0.9830  0.0167     0.0170     0.5551         0.5627
     37   3.17    22.04      22.14  0.9831     0.9847  0.0169     0.0153     0.5728         0.6089
     38   3.16    19.82      20.18  0.9802     0.9832  0.0198     0.0168     0.5604         0.5981
     39   3.16    20.20      20.79  0.9804     0.9826  0.0196     0.0174     0.6051         0.6347
     40   3.11    18.95      20.14  0.9735     0.9774  0.0265     0.0226     0.5257         0.5672
     41   3.14    21.89      21.89  0.9806     0.9822  0.0194     0.0178     0.5700         0.5894
     42   3.17    20.69      20.08  0.9824     0.9852  0.0176     0.0148     0.5190         0.5474
     43   3.15    18.72      19.33  0.9810     0.9834  0.0190     0.0166     0.5874         0.6134
     44   3.16    21.88      21.73  0.9824     0.9823  0.0176     0.0177     0.4665         0.4809
     45   3.15    18.30      18.94  0.9808     0.9829  0.0192     0.0171     0.5044         0.5322
     46   3.13    19.63      19.65  0.9812     0.9825  0.0188     0.0175     0.5511         0.5775
     47   3.17    18.23      18.95  0.9828     0.9846  0.0172     0.0154     0.5513         0.5697
     48   3.14    17.84      18.36  0.9818     0.9841  0.0182     0.0159     0.5245         0.5507
     49   3.16    17.77      18.29  0.9821     0.9838  0.0179     0.0162     0.5169         0.5468
     50   3.14    18.08      17.99  0.9788     0.9834  0.0212     0.0166     0.5028         0.5384
     51   3.17    21.72      20.68  0.9834     0.9846  0.0166     0.0154     0.4905         0.5012
     52   3.18    23.35      22.71  0.9854     0.9858  0.0146     0.0142     0.4238         0.4304
     53   3.15    19.85      19.96  0.9818     0.9827  0.0182     0.0173     0.3979         0.4074
     54   3.17    17.69      18.39  0.9834     0.9840  0.0166     0.0160     0.4741         0.4892
     55   3.16    19.36      19.23  0.9829     0.9843  0.0171     0.0157     0.4207         0.4349
     56   3.14    17.31      17.73  0.9803     0.9825  0.0197     0.0175     0.4609         0.4805
     57   3.12    18.90      18.94  0.9787     0.9803  0.0213     0.0197     0.4121         0.4238
     58   3.14    19.20      18.28  0.9801     0.9819  0.0199     0.0181     0.3933         0.4028
     59   3.14    16.83      17.23  0.9799     0.9825  0.0201     0.0175     0.4680         0.4868
     60   3.17    16.61      17.47  0.9843     0.9857  0.0157     0.0143     0.4895         0.5031
     61   3.16    19.18      20.29  0.9818     0.9830  0.0182     0.0170     0.4435         0.4495
     62   3.13    16.54      17.09  0.9783     0.9812  0.0217     0.0188     0.4045         0.4252
     63   3.18    15.85      17.30  0.9847     0.9864  0.0153     0.0136     0.4715         0.4826
     64   3.14    17.09      17.39  0.9802     0.9830  0.0198     0.0170     0.3812         0.3952
     65   3.15    15.64      16.42  0.9835     0.9866  0.0165     0.0134     0.4651         0.4847
     66   3.16    15.63      16.95  0.9840     0.9857  0.0160     0.0143     0.4252         0.4380
     67   3.17    20.21      20.10  0.9850     0.9855  0.0150     0.0145     0.3644         0.3688
     68   3.16    17.11      17.02  0.9830     0.9847  0.0170     0.0153     0.3634         0.3723
     69   3.14    16.28      16.31  0.9819     0.9830  0.0181     0.0170     0.4067         0.4180
     70   3.14    15.47      16.45  0.9829     0.9848  0.0171     0.0152     0.4229         0.4390
     71   3.16    15.75      15.72  0.9850     0.9866  0.0150     0.0134     0.4330         0.4488
     72   3.16    14.30      15.28  0.9830     0.9853  0.0170     0.0147     0.5133         0.5305
     73   3.14    14.76      16.22  0.9822     0.9842  0.0178     0.0158     0.4757         0.4854
     74   3.12    14.95      16.06  0.9809     0.9828  0.0191     0.0172     0.4708         0.4833
     75   3.18    14.67      15.99  0.9846     0.9870  0.0154     0.0130     0.4353         0.4462
     76   3.13    14.82      15.53  0.9819     0.9841  0.0181     0.0159     0.3855         0.3970
     77   3.14    14.67      15.55  0.9831     0.9848  0.0169     0.0152     0.4477         0.4564
