  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10  1333.36     683.00  0.9541     0.9542  0.0459     0.0458     0.0209         0.0211
      2   3.16  1299.91     689.83  0.9647     0.9648  0.0353     0.0352     0.0193         0.0193
      3   3.18  1280.89     690.61  0.9702     0.9703  0.0298     0.0297     0.0167         0.0167
      4   3.18  1268.02     699.85  0.9702     0.9703  0.0298     0.0297     0.0160         0.0161
      5   3.13  1266.55     709.35  0.9594     0.9592  0.0406     0.0408     0.0253         0.0253
      6   3.23  1261.92     716.47  0.9810     0.9811  0.0190     0.0189     0.0214         0.0216
      7   3.20  1251.08     712.85  0.9756     0.9757  0.0244     0.0243     0.0367         0.0367
      8   3.22  1255.03     733.66  0.9813     0.9816  0.0187     0.0184     0.0533         0.0534
      9   3.19  1256.28     737.24  0.9769     0.9768  0.0231     0.0232     0.0578         0.0576
     10   3.20  1265.02     754.96  0.9786     0.9785  0.0214     0.0215     0.0910         0.0907
     11   3.19  1250.84     738.25  0.9762     0.9762  0.0238     0.0238     0.0645         0.0643
     12   3.22  1257.57     761.47  0.9822     0.9823  0.0178     0.0177     0.1014         0.1019
     13   3.18  1262.65     766.76  0.9758     0.9758  0.0242     0.0242     0.0984         0.0978
     14   3.18  1249.96     752.67  0.9772     0.9772  0.0228     0.0228     0.1282         0.1279
     15   3.22  1260.43     783.28  0.9829     0.9829  0.0171     0.0171     0.1270         0.1269
     16   3.19  1245.73     752.78  0.9795     0.9793  0.0205     0.0207     0.1163         0.1164
     17   3.19  1239.05     748.05  0.9783     0.9783  0.0217     0.0217     0.0972         0.0976
     18   3.20  1244.83     776.07  0.9804     0.9804  0.0196     0.0196     0.1668         0.1668
     19   3.19  1234.65     740.41  0.9788     0.9787  0.0212     0.0213     0.0984         0.0985
