  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.89   165.88     133.12      68.93  0.9100     0.9239  0.0900     0.0761     0.0642         0.0642
      2   2.98   143.13     114.31      57.32  0.9296     0.9404  0.0704     0.0596     0.0694         0.0691
      3   2.97   111.16      91.28      55.20  0.9332     0.9483  0.0668     0.0517     0.1080         0.1179
      4   3.04   103.07      86.98      47.86  0.9443     0.9567  0.0557     0.0433     0.0872         0.0938
      5   3.05    97.63      87.46      43.89  0.9487     0.9563  0.0513     0.0437     0.0840         0.0898
      6   3.05    85.38      72.64      43.34  0.9490     0.9624  0.0510     0.0376     0.1109         0.1234
      7   3.12    90.83      79.08      41.08  0.9618     0.9646  0.0382     0.0354     0.0956         0.1019
      8   3.05    78.34      64.62      38.53  0.9503     0.9669  0.0497     0.0331     0.1481         0.1685
      9   3.12    82.18      68.83      35.83  0.9651     0.9715  0.0349     0.0285     0.1321         0.1466
     10   3.09    77.89      61.92      33.63  0.9609     0.9681  0.0391     0.0319     0.1555         0.1699
     11   3.10    74.92      59.95      31.74  0.9612     0.9700  0.0388     0.0300     0.1714         0.1853
     12   3.14    80.54      66.75      32.89  0.9674     0.9712  0.0326     0.0288     0.1599         0.1684
     13   3.03    65.71      53.76      31.30  0.9517     0.9661  0.0483     0.0339     0.2377         0.2644
     14   3.10    67.45      53.45      26.84  0.9641     0.9679  0.0359     0.0321     0.2048         0.2226
     15   3.10    63.31      51.20      24.80  0.9647     0.9736  0.0353     0.0264     0.2481         0.2688
     16   3.12    62.84      51.09      24.53  0.9701     0.9749  0.0299     0.0251     0.2198         0.2363
     17   3.14    62.85      56.92      26.15  0.9708     0.9735  0.0292     0.0265     0.2155         0.2243
     18   3.13    58.42      44.44      22.14  0.9681     0.9762  0.0319     0.0238     0.2795         0.2981
     19   3.12    63.18      46.36      21.43  0.9697     0.9728  0.0303     0.0272     0.2861         0.2990
     20   3.13    62.48      51.60      21.52  0.9722     0.9753  0.0278     0.0247     0.3070         0.3156
     21   3.17    65.18      54.19      22.09  0.9767     0.9792  0.0233     0.0208     0.2775         0.2831
     22   3.12    56.94      40.62      20.12  0.9722     0.9764  0.0278     0.0236     0.3240         0.3401
     23   3.12    54.56      38.91      19.70  0.9710     0.9766  0.0290     0.0234     0.3102         0.3229
     24   3.12    57.58      43.50      18.78  0.9729     0.9753  0.0271     0.0247     0.2850         0.2960
     25   3.11    52.67      37.10      18.74  0.9704     0.9759  0.0296     0.0241     0.3097         0.3212
     26   3.10    53.04      35.98      18.35  0.9681     0.9752  0.0319     0.0248     0.3522         0.3691
     27   3.12    56.11      44.20      18.31  0.9738     0.9763  0.0262     0.0237     0.2588         0.2660
     28   3.10    50.14      34.72      17.88  0.9712     0.9747  0.0288     0.0253     0.2917         0.3023
     29   3.11    48.32      33.70      17.44  0.9724     0.9778  0.0276     0.0222     0.3285         0.3457
     30   3.11    48.04      32.63      17.30  0.9719     0.9774  0.0281     0.0226     0.3111         0.3208
     31   3.12    49.77      32.73      16.66  0.9747     0.9788  0.0253     0.0212     0.2939         0.3057
     32   3.11    49.51      36.42      16.11  0.9741     0.9767  0.0259     0.0233     0.2915         0.3018
     33   3.12    45.53      32.60      16.11  0.9754     0.9782  0.0246     0.0218     0.2758         0.2840
     34   3.09    43.77      30.41      16.46  0.9712     0.9770  0.0288     0.0230     0.2806         0.2901
     35   3.08    49.64      32.77      17.37  0.9710     0.9735  0.0290     0.0265     0.2321         0.2373
     36   3.12    44.13      29.61      15.60  0.9742     0.9794  0.0258     0.0206     0.2713         0.2809
     37   3.09    42.94      28.66      15.66  0.9705     0.9767  0.0295     0.0233     0.2606         0.2693
     38   3.11    43.79      29.88      15.17  0.9746     0.9780  0.0254     0.0220     0.2538         0.2609
     39   3.13    48.06      31.72      15.61  0.9776     0.9795  0.0224     0.0205     0.2516         0.2587
     40   3.04    48.44      27.71      15.19  0.9651     0.9708  0.0349     0.0292     0.2558         0.2666
     41   3.11    52.22      31.37      16.33  0.9770     0.9787  0.0230     0.0213     0.2296         0.2329
     42   3.15    44.82      29.05      15.31  0.9774     0.9798  0.0226     0.0202     0.2201         0.2252
     43   3.12    44.67      28.90      15.13  0.9762     0.9793  0.0238     0.0207     0.1901         0.1941
     44   3.11    49.04      26.75      14.61  0.9747     0.9787  0.0253     0.0213     0.2127         0.2179
     45   3.14    43.08      30.24      14.17  0.9794     0.9823  0.0206     0.0177     0.1907         0.1953
     46   3.13    52.81      34.73      15.41  0.9799     0.9809  0.0201     0.0191     0.1773         0.1793
     47   3.12    39.95      29.31      14.82  0.9755     0.9778  0.0245     0.0222     0.1666         0.1700
     48   3.08    41.75      25.26      14.06  0.9697     0.9768  0.0303     0.0232     0.2364         0.2456
     49   3.10    40.87      26.05      13.83  0.9742     0.9788  0.0258     0.0212     0.1997         0.2078
     50   3.10    45.06      30.90      13.69  0.9760     0.9786  0.0240     0.0214     0.1739         0.1781
     51   3.11    44.51      30.66      13.77  0.9771     0.9790  0.0229     0.0210     0.1748         0.1780
     52   3.11    39.27      24.31      14.02  0.9745     0.9800  0.0255     0.0200     0.2039         0.2101
     53   3.13    40.59      24.52      13.92  0.9766     0.9818  0.0234     0.0182     0.2010         0.2074
     54   3.07    38.98      25.14      13.60  0.9714     0.9761  0.0286     0.0239     0.1705         0.1744
     55   3.11    39.42      23.89      14.21  0.9752     0.9795  0.0248     0.0205     0.1758         0.1804
     56   3.08    40.92      23.05      13.68  0.9734     0.9771  0.0266     0.0229     0.2127         0.2181
     57   3.11    39.36      23.93      13.43  0.9759     0.9788  0.0241     0.0212     0.1823         0.1868
     58   3.08    37.43      24.28      13.43  0.9743     0.9800  0.0257     0.0200     0.1759         0.1806
     59   3.11    38.30      23.21      13.60  0.9763     0.9792  0.0237     0.0208     0.1794         0.1839
     60   3.11    41.83      25.38      13.46  0.9785     0.9805  0.0215     0.0195     0.1730         0.1740
     61   3.12    42.74      27.72      13.94  0.9795     0.9817  0.0205     0.0183     0.1759         0.1764
     62   3.11    36.25      21.84      12.89  0.9759     0.9807  0.0241     0.0193     0.1898         0.1926
