  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.97   221.71     213.33     116.85  0.9238     0.9247  0.0762     0.0753     0.0409         0.0402
      2   3.00   143.62     114.07      54.85  0.9361     0.9465  0.0639     0.0535     0.0526         0.0523
      3   3.02   117.81      93.09      49.04  0.9399     0.9538  0.0601     0.0462     0.0654         0.0698
      4   3.11   122.99     105.44      53.34  0.9577     0.9599  0.0423     0.0401     0.0498         0.0515
      5   3.04    91.88      78.19      43.79  0.9476     0.9565  0.0524     0.0435     0.0950         0.1039
      6   3.02    92.15      76.65      42.35  0.9404     0.9545  0.0596     0.0455     0.0955         0.1056
      7   3.08    86.36      69.00      38.15  0.9565     0.9647  0.0435     0.0353     0.1063         0.1153
      8   3.09    81.50      67.37      37.08  0.9588     0.9656  0.0412     0.0344     0.1036         0.1141
      9   3.09    79.58      64.25      34.29  0.9580     0.9674  0.0420     0.0326     0.1315         0.1483
     10   3.11    86.26      63.40      33.59  0.9626     0.9673  0.0374     0.0327     0.1280         0.1406
     11   3.14    74.49      58.83      31.75  0.9690     0.9744  0.0310     0.0256     0.1533         0.1658
     12   3.11    76.40      57.76      30.01  0.9637     0.9695  0.0363     0.0305     0.1636         0.1763
     13   3.09    67.82      50.89      27.96  0.9599     0.9708  0.0401     0.0292     0.1778         0.1961
     14   3.10    66.13      49.58      26.68  0.9644     0.9698  0.0356     0.0302     0.2150         0.2406
     15   3.10    66.76      48.00      25.26  0.9616     0.9712  0.0384     0.0288     0.2247         0.2442
     16   3.09    67.13      49.14      24.83  0.9626     0.9684  0.0374     0.0316     0.2179         0.2322
     17   3.12    61.94      46.04      23.93  0.9685     0.9754  0.0315     0.0246     0.2512         0.2713
     18   3.15    70.74      51.03      23.86  0.9738     0.9765  0.0262     0.0235     0.2744         0.2832
     19   3.15    65.74      48.27      22.65  0.9744     0.9769  0.0256     0.0231     0.2748         0.2836
     20   3.09    57.08      42.30      21.43  0.9659     0.9705  0.0341     0.0295     0.2607         0.2694
     21   3.14    56.53      43.18      20.66  0.9740     0.9792  0.0260     0.0208     0.3020         0.3157
     22   3.12    53.54      38.67      19.99  0.9703     0.9767  0.0297     0.0233     0.3142         0.3288
     23   3.07    52.55      38.26      19.89  0.9652     0.9726  0.0348     0.0274     0.2736         0.2834
     24   3.12    51.78      38.59      18.37  0.9715     0.9773  0.0285     0.0227     0.3034         0.3159
     25   3.04    52.02      36.48      18.27  0.9611     0.9693  0.0389     0.0307     0.2781         0.2888
     26   3.11    51.00      36.64      18.25  0.9697     0.9755  0.0303     0.0245     0.2754         0.2820
     27   3.07    49.70      35.74      18.83  0.9655     0.9744  0.0345     0.0256     0.2967         0.3100
     28   3.11    47.53      32.87      17.06  0.9714     0.9773  0.0286     0.0227     0.3313         0.3483
     29   3.08    49.53      33.74      18.03  0.9675     0.9720  0.0325     0.0280     0.2778         0.2870
     30   3.14    52.30      35.12      16.99  0.9750     0.9797  0.0250     0.0203     0.2970         0.3089
     31   3.03    45.23      31.76      16.78  0.9615     0.9678  0.0385     0.0322     0.2663         0.2803
     32   3.12    51.07      32.39      16.44  0.9739     0.9783  0.0261     0.0217     0.2868         0.2953
     33   3.16    52.91      43.93      16.92  0.9801     0.9815  0.0199     0.0185     0.2329         0.2366
     34   3.13    45.77      31.57      16.40  0.9760     0.9792  0.0240     0.0208     0.2660         0.2735
     35   3.12    46.77      29.63      15.71  0.9731     0.9774  0.0269     0.0226     0.2706         0.2800
     36   3.12    47.13      31.37      16.34  0.9729     0.9762  0.0271     0.0238     0.2675         0.2741
     37   3.09    47.19      29.26      15.58  0.9733     0.9773  0.0267     0.0227     0.2659         0.2762
     38   3.10    49.58      31.38      15.26  0.9720     0.9755  0.0280     0.0245     0.2430         0.2490
     39   3.09    43.72      29.40      15.11  0.9715     0.9763  0.0285     0.0237     0.2232         0.2309
     40   3.05    45.70      29.83      15.09  0.9695     0.9748  0.0305     0.0252     0.2273         0.2349
     41   3.11    42.74      27.63      15.07  0.9739     0.9791  0.0261     0.0209     0.2298         0.2373
     42   3.11    46.00      29.50      14.59  0.9751     0.9791  0.0249     0.0209     0.2022         0.2072
     43   3.09    46.80      28.00      14.35  0.9723     0.9777  0.0277     0.0223     0.1921         0.1979
     44   3.09    42.24      28.95      14.11  0.9737     0.9780  0.0263     0.0220     0.2157         0.2248
     45   3.11    43.62      27.18      14.43  0.9759     0.9784  0.0241     0.0216     0.2001         0.2055
     46   3.10    46.01      27.83      14.33  0.9743     0.9778  0.0257     0.0222     0.1697         0.1732
     47   3.11    43.33      29.06      15.04  0.9758     0.9786  0.0242     0.0214     0.1642         0.1669
     48   3.11    43.20      26.96      14.15  0.9754     0.9810  0.0246     0.0190     0.1702         0.1775
     49   3.12    41.72      26.79      13.57  0.9778     0.9813  0.0222     0.0187     0.1679         0.1727
     50   3.06    39.75      25.93      13.71  0.9708     0.9747  0.0292     0.0253     0.1775         0.1828
     51   3.10    41.04      26.06      14.35  0.9749     0.9791  0.0251     0.0209     0.1646         0.1673
     52   3.12    41.63      26.95      13.92  0.9777     0.9806  0.0223     0.0194     0.1580         0.1617
     53   3.08    42.83      25.32      14.16  0.9734     0.9775  0.0266     0.0225     0.1724         0.1754
     54   3.10    39.87      27.38      13.87  0.9778     0.9798  0.0222     0.0202     0.1562         0.1590
     55   3.13    40.44      25.86      14.40  0.9799     0.9808  0.0201     0.0192     0.1594         0.1629
     56   3.10    41.62      24.89      13.79  0.9760     0.9790  0.0240     0.0210     0.1752         0.1796
     57   3.06    36.88      23.87      13.36  0.9730     0.9774  0.0270     0.0226     0.1669         0.1718
     58   3.07    38.40      23.97      13.70  0.9733     0.9763  0.0267     0.0237     0.1578         0.1619
     59   3.11    48.94      26.22      13.05  0.9767     0.9805  0.0233     0.0195     0.1383         0.1413
     60   3.11    37.91      23.84      13.17  0.9766     0.9799  0.0234     0.0201     0.1572         0.1601
     61   3.10    38.47      23.59      13.58  0.9771     0.9803  0.0229     0.0197     0.1630         0.1665
     62   3.07    36.75      22.84      13.53  0.9750     0.9780  0.0250     0.0220     0.1347         0.1413
     63   3.10    36.95      22.57      13.19  0.9785     0.9808  0.0215     0.0192     0.1647         0.1702
