  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.96   188.08     180.63      92.87  0.9274     0.9348  0.0726     0.0652     0.0414         0.0420
      2   2.96   124.72     107.09      56.87  0.9312     0.9445  0.0688     0.0555     0.0716         0.0762
      3   3.08   131.67     113.44      56.09  0.9540     0.9576  0.0460     0.0424     0.0522         0.0526
      4   3.04   105.70      87.22      48.65  0.9475     0.9577  0.0525     0.0423     0.0773         0.0821
      5   2.96    96.49      75.10      55.51  0.9301     0.9559  0.0699     0.0441     0.1361         0.1513
      6   3.07    86.76      77.51      42.56  0.9522     0.9627  0.0478     0.0373     0.1032         0.1138
      7   3.09    89.57      72.98      39.01  0.9578     0.9664  0.0422     0.0336     0.1195         0.1307
      8   3.06    76.28      64.76      37.00  0.9516     0.9628  0.0484     0.0372     0.1063         0.1143
      9   3.10    81.17      68.12      35.58  0.9617     0.9678  0.0383     0.0322     0.1176         0.1271
     10   3.11    73.21      62.85      33.06  0.9629     0.9708  0.0371     0.0292     0.1207         0.1357
     11   3.12    74.22      60.78      31.55  0.9650     0.9721  0.0350     0.0279     0.1478         0.1637
     12   3.12    68.65      58.36      29.11  0.9668     0.9730  0.0332     0.0270     0.1477         0.1603
     13   3.11    72.97      63.48      29.09  0.9626     0.9696  0.0374     0.0304     0.1364         0.1447
     14   3.12    64.29      55.76      26.90  0.9681     0.9723  0.0319     0.0277     0.1679         0.1791
     15   3.09    64.39      51.24      26.45  0.9627     0.9697  0.0373     0.0303     0.1943         0.2119
     16   3.15    67.44      58.41      25.72  0.9729     0.9756  0.0271     0.0244     0.1942         0.2019
     17   3.14    56.41      47.04      24.62  0.9721     0.9770  0.0279     0.0230     0.2022         0.2149
     18   3.14    55.71      47.41      22.48  0.9719     0.9783  0.0281     0.0217     0.2013         0.2166
     19   3.08    56.75      44.27      23.01  0.9634     0.9712  0.0366     0.0288     0.2322         0.2502
     20   3.07    58.63      42.84      22.25  0.9642     0.9713  0.0358     0.0287     0.2605         0.2836
     21   3.12    53.76      40.44      21.35  0.9683     0.9782  0.0317     0.0218     0.2888         0.3103
     22   3.10    53.09      39.62      20.24  0.9703     0.9753  0.0297     0.0247     0.2862         0.3049
     23   3.13    51.99      41.67      19.21  0.9716     0.9766  0.0284     0.0234     0.2450         0.2554
     24   3.10    58.90      41.52      19.56  0.9695     0.9740  0.0305     0.0260     0.2993         0.3099
     25   3.12    56.31      43.51      19.13  0.9717     0.9762  0.0283     0.0238     0.2817         0.2888
     26   3.06    52.28      36.38      19.19  0.9659     0.9722  0.0341     0.0278     0.3097         0.3296
     27   3.13    58.04      38.63      18.19  0.9755     0.9776  0.0245     0.0224     0.2947         0.3028
     28   3.06    51.22      35.06      17.43  0.9637     0.9702  0.0363     0.0298     0.2629         0.2721
     29   3.11    51.15      34.19      17.32  0.9731     0.9772  0.0269     0.0228     0.2973         0.3121
     30   3.13    52.94      36.72      17.33  0.9741     0.9771  0.0259     0.0229     0.2627         0.2724
     31   3.11    49.28      32.38      17.27  0.9726     0.9770  0.0274     0.0230     0.2803         0.2901
     32   3.13    46.36      33.01      16.80  0.9746     0.9778  0.0254     0.0222     0.2400         0.2463
     33   3.13    53.16      33.13      16.27  0.9749     0.9784  0.0251     0.0216     0.2112         0.2169
     34   3.14    45.03      31.42      16.26  0.9767     0.9803  0.0233     0.0197     0.1899         0.1987
     35   3.09    46.81      31.50      16.74  0.9715     0.9747  0.0285     0.0253     0.2030         0.2103
     36   3.10    45.43      29.01      15.91  0.9713     0.9761  0.0287     0.0239     0.2117         0.2228
     37   3.12    46.52      30.01      16.08  0.9726     0.9764  0.0274     0.0236     0.1901         0.1943
     38   3.09    43.89      28.18      15.93  0.9727     0.9758  0.0273     0.0242     0.2019         0.2065
     39   3.13    47.91      29.10      15.78  0.9772     0.9790  0.0228     0.0210     0.1957         0.2000
     40   3.11    44.52      28.97      14.92  0.9753     0.9779  0.0247     0.0221     0.1845         0.1896
     41   3.08    48.41      26.92      14.81  0.9704     0.9767  0.0296     0.0233     0.2160         0.2284
     42   3.13    50.83      31.17      16.14  0.9786     0.9811  0.0214     0.0189     0.1754         0.1781
     43   3.08    46.86      27.57      14.79  0.9697     0.9745  0.0303     0.0255     0.1739         0.1776
     44   3.11    46.88      27.98      14.68  0.9750     0.9780  0.0250     0.0220     0.1627         0.1682
     45   3.11    43.76      25.62      14.55  0.9759     0.9800  0.0241     0.0200     0.1611         0.1642
     46   3.09    43.93      25.39      14.73  0.9746     0.9790  0.0254     0.0210     0.1587         0.1615
     47   3.09    43.11      24.81      14.76  0.9719     0.9777  0.0281     0.0223     0.1540         0.1592
     48   3.11    37.38      23.59      13.82  0.9728     0.9784  0.0272     0.0216     0.1754         0.1827
     49   3.11    46.13      27.45      14.07  0.9767     0.9784  0.0233     0.0216     0.1719         0.1746
     50   3.11    40.48      24.12      14.00  0.9753     0.9789  0.0247     0.0211     0.1513         0.1560
     51   3.13    47.70      31.01      14.50  0.9785     0.9799  0.0215     0.0201     0.1302         0.1322
     52   3.08    38.95      22.99      13.72  0.9697     0.9750  0.0303     0.0250     0.1652         0.1716
     53   3.09    43.56      23.94      13.95  0.9763     0.9782  0.0237     0.0218     0.1453         0.1510
     54   3.12    40.20      24.75      13.82  0.9767     0.9803  0.0233     0.0197     0.1212         0.1239
     55   3.08    39.66      23.34      13.97  0.9708     0.9776  0.0292     0.0224     0.1573         0.1613
     56   3.11    41.57      22.52      13.71  0.9758     0.9800  0.0242     0.0200     0.1494         0.1537
     57   3.12    38.11      22.36      13.51  0.9777     0.9814  0.0223     0.0186     0.1491         0.1521
     58   3.10    36.23      21.85      13.38  0.9738     0.9794  0.0262     0.0206     0.1550         0.1572
     59   3.08    36.87      21.86      13.38  0.9738     0.9780  0.0262     0.0220     0.1461         0.1511
     60   3.11    38.88      21.78      13.64  0.9742     0.9785  0.0258     0.0215     0.1572         0.1618
     61   3.11    38.97      21.73      13.45  0.9766     0.9802  0.0234     0.0198     0.1406         0.1443
     62   3.08    37.41      21.22      13.58  0.9733     0.9780  0.0267     0.0220     0.1573         0.1609
     63   3.10    37.44      21.74      13.35  0.9754     0.9791  0.0246     0.0209     0.1196         0.1217
     64   3.10    36.97      21.10      13.25  0.9756     0.9797  0.0244     0.0203     0.1493         0.1531
     65   3.06    41.62      20.60      13.26  0.9731     0.9758  0.0269     0.0242     0.1627         0.1684
     66   3.10    36.26      20.75      13.37  0.9757     0.9791  0.0243     0.0209     0.1490         0.1527
     67   3.09    38.83      22.76      13.21  0.9767     0.9791  0.0233     0.0209     0.1254         0.1277
     68   3.10    36.73      20.29      13.08  0.9764     0.9797  0.0236     0.0203     0.1358         0.1391
     69   3.10    37.25      22.06      14.29  0.9781     0.9790  0.0219     0.0210     0.1176         0.1176
     70   3.09    35.33      20.62      12.60  0.9764     0.9809  0.0236     0.0191     0.1425         0.1441
     71   3.13    36.16      20.63      13.23  0.9783     0.9839  0.0217     0.0161     0.1383         0.1423
     72   3.13    34.66      19.83      12.72  0.9776     0.9822  0.0224     0.0178     0.1435         0.1483
     73   3.09    34.43      18.83      12.77  0.9759     0.9798  0.0241     0.0202     0.1583         0.1605
     74   3.09    34.56      20.21      12.59  0.9756     0.9798  0.0244     0.0202     0.1176         0.1172
     75   3.10    37.07      19.21      12.95  0.9777     0.9798  0.0223     0.0202     0.1394         0.1424
     76   3.11    32.56      19.36      12.87  0.9774     0.9810  0.0226     0.0190     0.1271         0.1303
     77   3.10    33.30      18.79      12.51  0.9748     0.9796  0.0252     0.0204     0.1644         0.1665
     78   3.11    35.14      19.57      12.53  0.9791     0.9813  0.0209     0.0187     0.1433         0.1431
     79   3.07    32.53      18.81      12.46  0.9759     0.9795  0.0241     0.0205     0.1663         0.1697
     80   3.10    34.80      18.89      12.67  0.9764     0.9794  0.0236     0.0206     0.1638         0.1660
     81   3.09    32.15      18.89      12.49  0.9766     0.9804  0.0234     0.0196     0.1338         0.1345
     82   3.09    32.20      18.04      12.32  0.9760     0.9805  0.0240     0.0195     0.1566         0.1593
     83   3.10    32.87      18.31      12.20  0.9760     0.9794  0.0240     0.0206     0.1519         0.1551
     84   3.10    33.06      18.94      12.46  0.9755     0.9794  0.0245     0.0206     0.1431         0.1432
     85   3.09    31.48      18.12      12.36  0.9753     0.9786  0.0247     0.0214     0.1459         0.1494
     86   3.11    32.94      19.44      12.36  0.9780     0.9812  0.0220     0.0188     0.1369         0.1387
     87   3.13    32.58      18.64      12.39  0.9790     0.9815  0.0210     0.0185     0.1357         0.1396
     88   3.09    31.21      18.09      12.01  0.9759     0.9791  0.0241     0.0209     0.1476         0.1501
     89   3.09    33.33      17.76      11.80  0.9727     0.9801  0.0273     0.0199     0.1424         0.1436
     90   3.12    31.56      18.25      12.11  0.9786     0.9813  0.0214     0.0187     0.1422         0.1424
     91   3.10    32.61      18.54      12.02  0.9771     0.9804  0.0229     0.0196     0.1360         0.1368
     92   3.08    33.11      18.42      12.16  0.9763     0.9792  0.0237     0.0208     0.1485         0.1498
     93   3.07    31.21      18.07      12.21  0.9758     0.9797  0.0242     0.0203     0.1273         0.1273
     94   3.10    32.81      18.37      12.16  0.9791     0.9812  0.0209     0.0188     0.1453         0.1473
     95   3.11    31.78      17.46      12.17  0.9770     0.9800  0.0230     0.0200     0.1308         0.1349
     96   3.12    30.35      18.19      12.20  0.9788     0.9809  0.0212     0.0191     0.1338         0.1356
     97   3.06    30.30      17.04      11.73  0.9726     0.9786  0.0274     0.0214     0.1461         0.1500
     98   3.09    29.93      17.62      11.80  0.9761     0.9810  0.0239     0.0190     0.1392         0.1428
     99   3.07    30.11      17.54      11.83  0.9746     0.9791  0.0254     0.0209     0.1493         0.1519
    100   3.11    29.48      17.55      11.86  0.9762     0.9807  0.0238     0.0193     0.1428         0.1438
    101   3.08    30.82      17.24      11.85  0.9738     0.9792  0.0262     0.0208     0.1537         0.1553
    102   3.11    32.75      18.53      12.16  0.9801     0.9825  0.0199     0.0175     0.1300         0.1291
    103   3.11    30.24      17.02      11.90  0.9797     0.9821  0.0203     0.0179     0.1519         0.1526
    104   3.11    30.22      17.15      11.81  0.9795     0.9822  0.0205     0.0178     0.1334         0.1333
    105   3.10    29.31      16.78      11.87  0.9782     0.9817  0.0218     0.0183     0.1514         0.1538
    106   3.10    30.07      16.72      11.70  0.9785     0.9813  0.0215     0.0187     0.1703         0.1717
    107   3.09    29.93      17.86      11.84  0.9759     0.9791  0.0241     0.0209     0.1221         0.1240
    108   3.11    28.89      17.48      11.71  0.9767     0.9802  0.0233     0.0198     0.1443         0.1457
    109   3.10    29.81      16.78      11.69  0.9774     0.9804  0.0226     0.0196     0.1505         0.1529
    110   3.08    30.65      16.90      11.72  0.9761     0.9805  0.0239     0.0195     0.1502         0.1540
    111   3.11    27.75      16.63      12.14  0.9798     0.9814  0.0202     0.0186     0.1438         0.1440
    112   3.09    27.24      16.45      11.72  0.9755     0.9804  0.0245     0.0196     0.1453         0.1457
    113   3.10    28.50      16.58      11.73  0.9773     0.9819  0.0227     0.0181     0.1613         0.1650
    114   3.10    31.42      16.46      11.57  0.9777     0.9813  0.0223     0.0187     0.1350         0.1384
    115   3.12    29.31      16.88      12.00  0.9788     0.9813  0.0212     0.0187     0.1503         0.1510
    116   3.09    28.40      16.86      11.48  0.9784     0.9813  0.0216     0.0187     0.1422         0.1446
    117   3.12    27.86      16.74      11.76  0.9794     0.9810  0.0206     0.0190     0.1516         0.1516
    118   3.07    29.19      16.84      11.72  0.9778     0.9814  0.0222     0.0186     0.1418         0.1431
    119   3.08    27.98      16.49      11.83  0.9777     0.9815  0.0223     0.0185     0.1414         0.1418
    120   3.09    27.97      16.03      11.42  0.9764     0.9815  0.0236     0.0185     0.1525         0.1557
    121   3.11    27.40      15.86      11.62  0.9773     0.9803  0.0227     0.0197     0.1437         0.1453
    122   3.11    27.70      16.27      11.49  0.9785     0.9824  0.0215     0.0176     0.1653         0.1678
    123   3.10    27.83      15.98      11.84  0.9793     0.9818  0.0207     0.0182     0.1486         0.1505
    124   3.08    28.23      15.84      11.48  0.9768     0.9808  0.0232     0.0192     0.1565         0.1588
    125   3.09    26.65      16.03      11.50  0.9761     0.9806  0.0239     0.0194     0.1502         0.1535
    126   3.08    28.43      15.53      11.48  0.9766     0.9799  0.0234     0.0201     0.1677         0.1709
    127   3.08    27.52      15.83      11.33  0.9748     0.9796  0.0252     0.0204     0.1520         0.1566
    128   3.09    28.30      15.82      11.54  0.9774     0.9810  0.0226     0.0190     0.1527         0.1550
    129   3.09    27.18      15.93      11.45  0.9778     0.9819  0.0222     0.0181     0.1577         0.1603
    130   3.10    27.75      15.65      11.68  0.9783     0.9811  0.0217     0.0189     0.1543         0.1556
    131   3.09    27.40      15.61      11.82  0.9792     0.9811  0.0208     0.0189     0.1481         0.1479
    132   3.08    26.21      15.59      11.58  0.9779     0.9809  0.0221     0.0191     0.1589         0.1597
    133   3.11    26.90      15.55      11.73  0.9796     0.9816  0.0204     0.0184     0.1503         0.1514
    134   3.10    27.86      16.65      11.54  0.9776     0.9814  0.0224     0.0186     0.1376         0.1398
    135   3.10    26.53      15.67      11.49  0.9783     0.9807  0.0217     0.0193     0.1503         0.1535
    136   3.10    27.01      15.77      11.61  0.9774     0.9807  0.0226     0.0193     0.1387         0.1429
    137   3.08    26.07      15.45      11.25  0.9756     0.9809  0.0244     0.0191     0.1429         0.1445
    138   3.10    28.07      15.90      11.39  0.9797     0.9820  0.0203     0.0180     0.1448         0.1466
    139   3.10    26.23      15.31      11.25  0.9766     0.9814  0.0234     0.0186     0.1539         0.1571
    140   3.10    26.53      14.91      11.41  0.9775     0.9805  0.0225     0.0195     0.1601         0.1637
    141   3.10    26.35      15.13      11.28  0.9781     0.9819  0.0219     0.0181     0.1708         0.1750
    142   3.12    27.23      15.29      11.16  0.9793     0.9826  0.0207     0.0174     0.1640         0.1647
    143   3.08    26.32      15.00      11.31  0.9745     0.9792  0.0255     0.0208     0.1635         0.1677
    144   3.10    26.67      15.23      11.42  0.9795     0.9821  0.0205     0.0179     0.1615         0.1614
    145   3.10    26.40      15.14      11.39  0.9783     0.9831  0.0217     0.0169     0.1557         0.1550
    146   3.11    25.43      15.08      11.19  0.9782     0.9816  0.0218     0.0184     0.1540         0.1544
    147   3.10    26.35      15.14      11.54  0.9784     0.9824  0.0216     0.0176     0.1515         0.1529
