t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.697021484375,155.7371063232422,121.68106079101562,63.649681091308594,0.8673999905586243,0.8913999795913696,0.13260000944137573,0.10860002040863037,0.1046999990940094,0.1062999963760376
2,2.986704111099243,132.71934509277344,114.28810119628906,57.461395263671875,0.9301999807357788,0.9415000081062317,0.06980001926422119,0.05849999189376831,0.07190000265836716,0.07400000095367432
3,3.0281450748443604,122.86390686035156,105.88648986816406,54.8607177734375,0.9409000277519226,0.95169997215271,0.05909997224807739,0.04830002784729004,0.06239999830722809,0.06340000033378601
4,2.949082374572754,105.12373352050781,81.42076110839844,54.98143768310547,0.9269999861717224,0.9531000256538391,0.07300001382827759,0.04689997434616089,0.10450000315904617,0.11509999632835388
5,3.093930244445801,99.65972137451172,84.6673583984375,44.96316146850586,0.9575999975204468,0.9646000266075134,0.04240000247955322,0.03539997339248657,0.07209999859333038,0.0754999965429306
6,2.903075933456421,84.68976593017578,70.36248779296875,48.54717254638672,0.9178000092506409,0.9527000188827515,0.08219999074935913,0.047299981117248535,0.12849999964237213,0.14920000731945038
7,3.139724016189575,99.73265838623047,88.26142883300781,45.665924072265625,0.9674000144004822,0.9686999917030334,0.03259998559951782,0.03130000829696655,0.09179999679327011,0.09719999879598618
8,3.1481268405914307,94.19328308105469,91.62518310546875,47.66604232788086,0.9686999917030334,0.9714999794960022,0.03130000829696655,0.028500020503997803,0.07119999825954437,0.0763000026345253
9,3.120147466659546,78.74945831298828,64.19863891601562,35.01049041748047,0.964900016784668,0.9717000126838684,0.03509998321533203,0.028299987316131592,0.13330000638961792,0.14890000224113464
10,3.1060144901275635,77.65910339355469,65.6022720336914,34.28767776489258,0.9643999934196472,0.9684000015258789,0.03560000658035278,0.031599998474121094,0.16599999368190765,0.18449999392032623
11,3.0539050102233887,70.5719985961914,56.065147399902344,30.99772834777832,0.9527000188827515,0.96670001745224,0.047299981117248535,0.03329998254776001,0.17239999771118164,0.19539999961853027
12,3.0730817317962646,67.6507339477539,54.568870544433594,30.046457290649414,0.9585000276565552,0.9696999788284302,0.041499972343444824,0.030300021171569824,0.20389999449253082,0.2282000035047531
13,3.1098787784576416,68.24539184570312,52.70112228393555,27.478351593017578,0.9656000137329102,0.9731000065803528,0.034399986267089844,0.026899993419647217,0.20260000228881836,0.2272000014781952
14,3.1003193855285645,66.056884765625,52.183406829833984,27.646141052246094,0.9635000228881836,0.9726999998092651,0.036499977111816406,0.027300000190734863,0.22169999778270721,0.25060001015663147
15,3.1361169815063477,70.81389617919922,57.26926040649414,25.512287139892578,0.9706000089645386,0.9751999974250793,0.029399991035461426,0.024800002574920654,0.21860000491142273,0.23229999840259552
16,3.1069600582122803,67.22737121582031,52.20392608642578,24.047847747802734,0.9685999751091003,0.9715999960899353,0.03140002489089966,0.028400003910064697,0.2694000005722046,0.2935999929904938
