  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.70   155.74     121.68      63.65  0.8674     0.8914  0.1326     0.1086     0.1047         0.1063
      2   2.99   132.72     114.29      57.46  0.9302     0.9415  0.0698     0.0585     0.0719         0.0740
      3   3.03   122.86     105.89      54.86  0.9409     0.9517  0.0591     0.0483     0.0624         0.0634
      4   2.95   105.12      81.42      54.98  0.9270     0.9531  0.0730     0.0469     0.1045         0.1151
      5   3.09    99.66      84.67      44.96  0.9576     0.9646  0.0424     0.0354     0.0721         0.0755
      6   2.90    84.69      70.36      48.55  0.9178     0.9527  0.0822     0.0473     0.1285         0.1492
      7   3.14    99.73      88.26      45.67  0.9674     0.9687  0.0326     0.0313     0.0918         0.0972
      8   3.15    94.19      91.63      47.67  0.9687     0.9715  0.0313     0.0285     0.0712         0.0763
      9   3.12    78.75      64.20      35.01  0.9649     0.9717  0.0351     0.0283     0.1333         0.1489
     10   3.11    77.66      65.60      34.29  0.9644     0.9684  0.0356     0.0316     0.1660         0.1845
     11   3.05    70.57      56.07      31.00  0.9527     0.9667  0.0473     0.0333     0.1724         0.1954
     12   3.07    67.65      54.57      30.05  0.9585     0.9697  0.0415     0.0303     0.2039         0.2282
     13   3.11    68.25      52.70      27.48  0.9656     0.9731  0.0344     0.0269     0.2026         0.2272
     14   3.10    66.06      52.18      27.65  0.9635     0.9727  0.0365     0.0273     0.2217         0.2506
     15   3.14    70.81      57.27      25.51  0.9706     0.9752  0.0294     0.0248     0.2186         0.2323
     16   3.11    67.23      52.20      24.05  0.9686     0.9716  0.0314     0.0284     0.2694         0.2936
     17   3.15    65.75      54.81      24.43  0.9733     0.9774  0.0267     0.0226     0.2244         0.2352
     18   3.10    62.47      47.80      22.63  0.9676     0.9739  0.0324     0.0261     0.2490         0.2609
     19   3.09    60.26      47.97      23.02  0.9668     0.9705  0.0332     0.0295     0.2477         0.2617
     20   3.10    60.25      43.15      21.95  0.9670     0.9730  0.0330     0.0270     0.2874         0.3080
     21   3.11    57.93      43.96      21.22  0.9699     0.9756  0.0301     0.0244     0.2851         0.2983
     22   3.11    59.57      41.89      20.03  0.9719     0.9753  0.0281     0.0247     0.3343         0.3490
     23   3.11    55.07      39.50      19.87  0.9691     0.9747  0.0309     0.0253     0.2824         0.2953
     24   3.10    52.95      38.54      19.40  0.9689     0.9755  0.0311     0.0245     0.2402         0.2545
     25   3.12    51.25      37.51      19.40  0.9728     0.9775  0.0272     0.0225     0.2930         0.3080
     26   3.07    55.48      39.57      18.91  0.9656     0.9706  0.0344     0.0294     0.2420         0.2527
     27   3.15    51.27      36.76      18.76  0.9774     0.9795  0.0226     0.0205     0.2873         0.2977
     28   3.06    52.00      33.97      18.10  0.9640     0.9729  0.0360     0.0271     0.2888         0.3027
     29   3.11    50.96      34.89      17.25  0.9728     0.9766  0.0272     0.0234     0.2735         0.2813
     30   3.14    54.82      36.63      17.63  0.9773     0.9796  0.0227     0.0204     0.2627         0.2704
     31   3.12    48.24      33.51      16.56  0.9737     0.9792  0.0263     0.0208     0.2434         0.2498
     32   3.09    47.88      32.06      17.48  0.9705     0.9762  0.0295     0.0238     0.2761         0.2873
     33   3.08    49.50      30.96      15.93  0.9710     0.9749  0.0290     0.0251     0.2555         0.2641
     34   3.10    48.64      31.45      15.96  0.9720     0.9769  0.0280     0.0231     0.2247         0.2318
     35   3.11    49.57      29.47      15.80  0.9743     0.9794  0.0257     0.0206     0.2569         0.2661
     36   3.08    50.30      34.53      15.68  0.9715     0.9741  0.0285     0.0259     0.1596         0.1638
     37   3.08    44.06      30.34      15.39  0.9702     0.9738  0.0298     0.0262     0.1772         0.1813
