  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.68   148.53     112.31      68.01  0.8678     0.9097  0.1322     0.0903     0.1134         0.1164
      2   2.92   129.91     104.60      54.15  0.9186     0.9429  0.0814     0.0571     0.0799         0.0824
      3   2.88   108.88      84.85      53.56  0.9106     0.9389  0.0894     0.0611     0.0970         0.1017
      4   3.01    96.67      85.10      49.33  0.9392     0.9540  0.0608     0.0460     0.1102         0.1187
      5   3.07    95.90      81.66      44.25  0.9500     0.9587  0.0500     0.0413     0.0780         0.0838
      6   3.09    89.18      74.40      40.34  0.9571     0.9678  0.0429     0.0322     0.1093         0.1180
      7   3.14   109.22      86.26      43.93  0.9677     0.9696  0.0323     0.0304     0.0685         0.0718
      8   3.18   112.94     118.01      58.25  0.9729     0.9743  0.0271     0.0257     0.0422         0.0431
      9   3.11    78.20      65.49      35.07  0.9638     0.9709  0.0362     0.0291     0.1296         0.1439
     10   3.08    74.13      61.35      36.14  0.9567     0.9709  0.0433     0.0291     0.1552         0.1747
     11   3.13    72.44      63.61      32.11  0.9678     0.9736  0.0322     0.0264     0.1485         0.1626
     12   3.05    63.87      55.79      29.77  0.9532     0.9685  0.0468     0.0315     0.1850         0.2090
     13   3.10    64.82      54.29      28.87  0.9660     0.9732  0.0340     0.0268     0.2009         0.2229
     14   3.12    68.12      58.07      27.69  0.9681     0.9713  0.0319     0.0287     0.2028         0.2187
     15   3.09    58.91      50.76      25.96  0.9599     0.9699  0.0401     0.0301     0.1853         0.2016
     16   3.14    61.64      52.85      25.57  0.9713     0.9753  0.0287     0.0247     0.2065         0.2204
     17   3.10    58.21      48.05      24.07  0.9640     0.9714  0.0360     0.0286     0.1769         0.1884
     18   3.10    56.84      46.32      24.30  0.9624     0.9741  0.0376     0.0259     0.2364         0.2578
     19   3.14    58.43      46.58      23.43  0.9703     0.9758  0.0297     0.0242     0.2381         0.2515
     20   3.12    53.41      43.54      22.03  0.9677     0.9750  0.0323     0.0250     0.2590         0.2724
     21   3.14    62.41      48.34      22.30  0.9729     0.9772  0.0271     0.0228     0.2656         0.2751
     22   3.13    55.74      45.77      20.03  0.9725     0.9762  0.0275     0.0238     0.2795         0.2926
     23   3.12    52.25      40.09      20.07  0.9705     0.9771  0.0295     0.0229     0.2816         0.2940
     24   3.10    59.40      44.24      19.80  0.9697     0.9736  0.0303     0.0264     0.2568         0.2669
     25   3.15    62.48      49.51      21.00  0.9774     0.9794  0.0226     0.0206     0.2360         0.2425
     26   3.14    56.93      46.23      20.37  0.9750     0.9775  0.0250     0.0225     0.2199         0.2276
     27   3.12    51.60      37.19      18.67  0.9732     0.9773  0.0268     0.0227     0.2724         0.2879
     28   3.12    48.88      36.61      18.21  0.9729     0.9788  0.0271     0.0212     0.2623         0.2720
     29   3.14    49.40      35.99      17.43  0.9750     0.9784  0.0250     0.0216     0.2723         0.2902
     30   3.13    48.49      35.05      17.81  0.9770     0.9806  0.0230     0.0194     0.2600         0.2684
     31   3.14    49.79      38.49      17.44  0.9749     0.9774  0.0251     0.0226     0.1930         0.1963
     32   3.12    46.20      33.74      16.92  0.9719     0.9778  0.0281     0.0222     0.2534         0.2676
     33   3.11    48.49      33.58      16.49  0.9721     0.9775  0.0279     0.0225     0.2199         0.2305
     34   3.10    48.30      33.31      17.06  0.9724     0.9763  0.0276     0.0237     0.2035         0.2146
     35   3.10    45.99      32.35      15.95  0.9724     0.9769  0.0276     0.0231     0.2105         0.2184
     36   3.11    44.56      32.76      15.88  0.9741     0.9770  0.0259     0.0230     0.1884         0.1965
     37   3.11    45.39      31.03      16.53  0.9727     0.9777  0.0273     0.0223     0.2066         0.2127
     38   3.13    43.55      31.55      15.87  0.9765     0.9809  0.0235     0.0191     0.1814         0.1885
     39   3.15    44.67      31.34      15.97  0.9787     0.9805  0.0213     0.0195     0.1972         0.2004
     40   3.12    46.26      32.37      15.10  0.9749     0.9781  0.0251     0.0219     0.1629         0.1707
     41   3.11    42.57      29.21      16.05  0.9735     0.9762  0.0265     0.0238     0.1699         0.1784
     42   3.13    48.61      32.86      16.41  0.9765     0.9791  0.0235     0.0209     0.1553         0.1580
     43   3.08    44.45      28.92      15.45  0.9715     0.9753  0.0285     0.0247     0.1650         0.1700
     44   3.13    50.76      35.85      16.23  0.9781     0.9797  0.0219     0.0203     0.1388         0.1412
     45   3.10    40.30      27.84      14.89  0.9722     0.9783  0.0278     0.0217     0.1874         0.1930
     46   3.12    41.61      27.92      14.48  0.9754     0.9809  0.0246     0.0191     0.1541         0.1592
     47   3.10    43.39      27.22      14.79  0.9747     0.9767  0.0253     0.0233     0.1686         0.1751
     48   3.11    41.30      27.31      14.75  0.9752     0.9782  0.0248     0.0218     0.1522         0.1591
     49   3.11    40.79      26.61      14.66  0.9745     0.9785  0.0255     0.0215     0.1616         0.1659
     50   3.08    39.22      26.00      13.97  0.9700     0.9763  0.0300     0.0237     0.1609         0.1674
     51   3.13    41.55      29.13      14.27  0.9778     0.9804  0.0222     0.0196     0.1418         0.1437
     52   3.13    38.98      25.58      14.28  0.9778     0.9808  0.0222     0.0192     0.1503         0.1560
     53   3.12    37.95      25.20      14.16  0.9744     0.9780  0.0256     0.0220     0.1308         0.1346
     54   3.08    39.52      24.55      14.20  0.9723     0.9775  0.0277     0.0225     0.1600         0.1656
     55   3.12    37.33      24.52      14.13  0.9755     0.9799  0.0245     0.0201     0.1425         0.1443
     56   3.09    37.90      24.43      14.34  0.9714     0.9767  0.0286     0.0233     0.1552         0.1592
     57   3.11    39.16      23.97      14.01  0.9760     0.9799  0.0240     0.0201     0.1377         0.1409
     58   3.10    37.15      22.93      13.78  0.9758     0.9792  0.0242     0.0208     0.1609         0.1666
     59   3.10    36.50      24.13      13.71  0.9746     0.9792  0.0254     0.0208     0.1190         0.1204
     60   3.11    36.64      23.32      13.88  0.9765     0.9794  0.0235     0.0206     0.1082         0.1120
     61   3.12    36.45      22.69      13.80  0.9767     0.9811  0.0233     0.0189     0.1261         0.1282
     62   3.08    37.96      22.87      13.71  0.9726     0.9774  0.0274     0.0226     0.1521         0.1585
     63   3.10    36.56      21.62      13.80  0.9749     0.9792  0.0251     0.0208     0.1290         0.1311
     64   3.11    35.92      21.86      13.32  0.9770     0.9797  0.0230     0.0203     0.1287         0.1301
     65   3.10    36.57      20.89      13.48  0.9751     0.9800  0.0249     0.0200     0.1151         0.1181
     66   3.09    36.73      21.59      13.20  0.9753     0.9788  0.0247     0.0212     0.1149         0.1194
     67   3.12    33.72      20.48      13.33  0.9754     0.9803  0.0246     0.0197     0.1222         0.1256
     68   3.08    36.31      20.30      13.52  0.9757     0.9780  0.0243     0.0220     0.1297         0.1321
     69   3.10    33.87      20.03      12.94  0.9763     0.9814  0.0237     0.0186     0.1410         0.1435
     70   3.13    33.64      20.45      13.15  0.9776     0.9814  0.0224     0.0186     0.1178         0.1205
     71   3.12    35.83      19.96      13.62  0.9774     0.9805  0.0226     0.0195     0.1408         0.1431
     72   3.10    33.36      20.03      12.91  0.9739     0.9797  0.0261     0.0203     0.1116         0.1139
     73   3.10    33.34      20.16      13.01  0.9774     0.9812  0.0226     0.0188     0.1239         0.1242
     74   3.10    35.94      19.35      13.31  0.9749     0.9794  0.0251     0.0206     0.1225         0.1239
     75   3.08    34.28      18.98      12.78  0.9743     0.9783  0.0257     0.0217     0.1309         0.1323
     76   3.11    32.72      19.48      12.77  0.9770     0.9799  0.0230     0.0201     0.1193         0.1193
     77   3.10    34.32      18.65      12.53  0.9743     0.9779  0.0257     0.0221     0.1408         0.1422
     78   3.12    33.97      18.91      12.89  0.9781     0.9819  0.0219     0.0181     0.1135         0.1145
     79   3.10    32.31      18.56      12.29  0.9755     0.9792  0.0245     0.0208     0.1140         0.1135
     80   3.08    32.81      18.15      12.44  0.9748     0.9784  0.0252     0.0216     0.1242         0.1261
     81   3.11    32.54      18.02      12.81  0.9784     0.9808  0.0216     0.0192     0.1261         0.1283
     82   3.09    33.00      18.33      12.51  0.9754     0.9792  0.0246     0.0208     0.1377         0.1400
     83   3.10    31.08      18.17      12.28  0.9768     0.9797  0.0232     0.0203     0.1229         0.1234
     84   3.08    32.95      18.02      12.82  0.9748     0.9768  0.0252     0.0232     0.1304         0.1300
     85   3.12    32.43      17.94      12.32  0.9783     0.9807  0.0217     0.0193     0.1259         0.1236
     86   3.10    36.28      19.61      12.31  0.9769     0.9803  0.0231     0.0197     0.1032         0.1035
     87   3.07    33.65      17.42      12.24  0.9732     0.9770  0.0268     0.0230     0.1292         0.1296
     88   3.10    31.29      17.18      12.71  0.9789     0.9814  0.0211     0.0186     0.1211         0.1216
     89   3.11    33.91      17.83      12.18  0.9759     0.9806  0.0241     0.0194     0.1190         0.1182
     90   3.09    32.94      18.24      12.38  0.9769     0.9800  0.0231     0.0200     0.1173         0.1183
     91   3.09    30.06      17.86      12.32  0.9751     0.9782  0.0249     0.0218     0.1064         0.1059
     92   3.11    33.16      17.92      12.75  0.9786     0.9812  0.0214     0.0188     0.1221         0.1206
     93   3.09    31.80      17.66      12.32  0.9761     0.9804  0.0239     0.0196     0.1163         0.1166
     94   3.11    29.81      17.28      12.10  0.9776     0.9814  0.0224     0.0186     0.1143         0.1154
     95   3.12    30.72      17.18      12.06  0.9791     0.9827  0.0209     0.0173     0.1199         0.1214
     96   3.10    28.89      17.05      11.72  0.9758     0.9796  0.0242     0.0204     0.1140         0.1158
     97   3.10    30.70      17.17      12.04  0.9769     0.9809  0.0231     0.0191     0.1213         0.1217
     98   3.09    29.90      17.17      12.00  0.9766     0.9807  0.0234     0.0193     0.1110         0.1108
     99   3.10    30.27      16.17      12.11  0.9766     0.9822  0.0234     0.0178     0.1431         0.1464
    100   3.10    28.67      17.00      12.12  0.9755     0.9796  0.0245     0.0204     0.1247         0.1250
    101   3.09    28.26      16.99      11.75  0.9754     0.9795  0.0246     0.0205     0.1105         0.1098
    102   3.11    29.61      16.65      11.93  0.9772     0.9824  0.0228     0.0176     0.1158         0.1151
    103   3.11    28.53      16.56      12.30  0.9791     0.9825  0.0209     0.0175     0.1116         0.1114
    104   3.11    29.64      16.55      11.75  0.9789     0.9814  0.0211     0.0186     0.1099         0.1107
    105   3.10    28.27      16.19      11.91  0.9785     0.9823  0.0215     0.0177     0.1232         0.1251
    106   3.11    30.55      17.30      12.15  0.9805     0.9817  0.0195     0.0183     0.1076         0.1067
    107   3.09    29.40      16.00      11.72  0.9772     0.9809  0.0228     0.0191     0.1221         0.1228
    108   3.10    28.70      16.03      11.75  0.9790     0.9822  0.0210     0.0178     0.1188         0.1193
    109   3.09    28.14      16.21      11.92  0.9774     0.9810  0.0226     0.0190     0.1146         0.1154
    110   3.10    28.99      15.68      12.00  0.9782     0.9807  0.0218     0.0193     0.1346         0.1348
    111   3.13    28.48      16.22      11.74  0.9803     0.9836  0.0197     0.0164     0.1213         0.1199
    112   3.12    29.38      15.36      11.88  0.9782     0.9815  0.0218     0.0185     0.1249         0.1248
    113   3.11    29.25      15.35      11.79  0.9777     0.9817  0.0223     0.0183     0.1463         0.1470
    114   3.11    30.74      17.47      11.79  0.9781     0.9817  0.0219     0.0183     0.1097         0.1107
    115   3.10    29.09      15.39      11.71  0.9774     0.9813  0.0226     0.0187     0.1216         0.1207
    116   3.10    27.62      15.36      11.58  0.9766     0.9814  0.0234     0.0186     0.1204         0.1200
    117   3.11    28.41      14.85      11.91  0.9786     0.9819  0.0214     0.0181     0.1262         0.1268
    118   3.11    29.79      14.77      11.86  0.9776     0.9808  0.0224     0.0192     0.1224         0.1220
