  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.85   174.68     138.96      66.83  0.8991     0.9156  0.1009     0.0844     0.0714         0.0723
      2   2.92   131.81     103.88      56.63  0.9188     0.9385  0.0812     0.0615     0.0784         0.0799
      3   3.08   130.95     111.76      53.06  0.9559     0.9612  0.0441     0.0388     0.0541         0.0549
      4   3.06   111.35      98.58      48.53  0.9509     0.9585  0.0491     0.0415     0.0755         0.0798
      5   2.98    91.03      75.41      45.96  0.9354     0.9587  0.0646     0.0413     0.1030         0.1121
      6   3.10    94.57      83.71      44.81  0.9575     0.9635  0.0425     0.0365     0.0836         0.0887
      7   3.14   104.90      93.23      47.77  0.9679     0.9680  0.0321     0.0320     0.0750         0.0779
      8   3.08    78.80      64.57      37.61  0.9546     0.9665  0.0454     0.0335     0.1148         0.1270
      9   3.09    89.03      69.66      36.50  0.9596     0.9648  0.0404     0.0352     0.1037         0.1100
     10   3.13    78.66      63.03      33.76  0.9681     0.9732  0.0319     0.0268     0.1286         0.1387
     11   3.15    88.32      70.02      35.47  0.9698     0.9743  0.0302     0.0257     0.1381         0.1457
     12   3.09    71.22      52.42      29.51  0.9593     0.9716  0.0407     0.0284     0.1891         0.2092
     13   3.06    73.05      51.26      30.59  0.9544     0.9686  0.0456     0.0314     0.2202         0.2423
     14   3.14    74.03      59.97      30.94  0.9690     0.9725  0.0310     0.0275     0.1744         0.1807
     15   3.13    66.32      50.67      25.90  0.9688     0.9743  0.0312     0.0257     0.2047         0.2154
     16   3.11    63.11      48.06      24.44  0.9662     0.9717  0.0338     0.0283     0.2264         0.2426
     17   3.14    64.35      46.97      22.97  0.9714     0.9778  0.0286     0.0222     0.2552         0.2719
     18   3.12    58.32      42.69      23.34  0.9682     0.9774  0.0318     0.0226     0.2588         0.2762
     19   3.12    58.69      42.13      21.92  0.9697     0.9755  0.0303     0.0245     0.2802         0.2901
     20   3.10    61.56      41.48      20.62  0.9679     0.9747  0.0321     0.0253     0.3125         0.3295
     21   3.08    56.24      40.56      20.21  0.9641     0.9716  0.0359     0.0284     0.3123         0.3256
     22   3.13    57.33      42.60      20.52  0.9725     0.9777  0.0275     0.0223     0.2969         0.3102
     23   3.11    54.97      39.14      20.16  0.9690     0.9756  0.0310     0.0244     0.2616         0.2742
     24   3.14    56.07      39.41      18.54  0.9730     0.9787  0.0270     0.0213     0.3337         0.3429
     25   3.15    57.06      40.03      20.73  0.9764     0.9794  0.0236     0.0206     0.2952         0.3032
     26   3.07    55.77      37.88      17.46  0.9658     0.9696  0.0342     0.0304     0.2954         0.3052
     27   3.05    52.60      35.69      18.34  0.9627     0.9693  0.0373     0.0307     0.2841         0.2997
     28   3.11    50.59      34.61      17.86  0.9715     0.9770  0.0285     0.0230     0.2993         0.3191
     29   3.13    48.72      35.81      17.93  0.9739     0.9778  0.0261     0.0222     0.2757         0.2856
     30   3.09    55.95      33.61      16.97  0.9715     0.9758  0.0285     0.0242     0.2814         0.2938
     31   3.09    48.50      31.76      16.65  0.9698     0.9754  0.0302     0.0246     0.2891         0.3057
     32   3.12    47.61      32.92      16.42  0.9724     0.9796  0.0276     0.0204     0.2622         0.2737
     33   3.06    45.59      31.90      16.13  0.9650     0.9715  0.0350     0.0285     0.2200         0.2282
     34   3.14    55.32      34.55      17.04  0.9785     0.9801  0.0215     0.0199     0.2322         0.2364
     35   3.13    49.00      31.77      16.61  0.9774     0.9798  0.0226     0.0202     0.2559         0.2626
     36   3.13    46.36      30.22      16.55  0.9763     0.9793  0.0237     0.0207     0.2312         0.2373
     37   3.11    50.43      32.04      15.63  0.9767     0.9798  0.0233     0.0202     0.2187         0.2260
     38   3.11    47.24      30.64      15.41  0.9747     0.9787  0.0253     0.0213     0.2033         0.2074
     39   3.11    48.92      28.96      15.40  0.9740     0.9789  0.0260     0.0211     0.2267         0.2345
     40   3.11    45.15      28.36      15.27  0.9733     0.9769  0.0267     0.0231     0.1949         0.2021
     41   3.14    52.55      30.34      15.31  0.9798     0.9819  0.0202     0.0181     0.1756         0.1810
     42   3.12    50.16      29.05      14.77  0.9744     0.9784  0.0256     0.0216     0.1894         0.1934
     43   3.13    45.02      28.58      14.87  0.9779     0.9808  0.0221     0.0192     0.1906         0.1960
     44   3.13    44.33      26.78      15.17  0.9774     0.9805  0.0226     0.0195     0.1972         0.2051
     45   3.14    44.68      26.69      15.37  0.9786     0.9821  0.0214     0.0179     0.2049         0.2083
     46   3.12    43.39      26.58      14.86  0.9770     0.9793  0.0230     0.0207     0.1672         0.1712
     47   3.08    46.19      25.85      14.44  0.9721     0.9773  0.0279     0.0227     0.1960         0.2029
     48   3.08    47.64      27.31      14.33  0.9743     0.9778  0.0257     0.0222     0.1629         0.1657
     49   3.11    44.87      26.35      13.84  0.9757     0.9805  0.0243     0.0195     0.1706         0.1754
     50   3.13    45.09      25.88      14.38  0.9788     0.9806  0.0212     0.0194     0.1690         0.1741
     51   3.12    44.21      25.09      14.16  0.9761     0.9809  0.0239     0.0191     0.1570         0.1621
     52   3.08    41.43      25.15      13.97  0.9736     0.9771  0.0264     0.0229     0.1470         0.1493
     53   3.11    39.46      24.52      13.90  0.9749     0.9796  0.0251     0.0204     0.1605         0.1660
     54   3.12    43.67      25.15      13.56  0.9785     0.9817  0.0215     0.0183     0.1560         0.1601
     55   3.10    41.97      24.30      13.66  0.9749     0.9804  0.0251     0.0196     0.1705         0.1782
     56   3.10    40.45      24.20      14.06  0.9758     0.9793  0.0242     0.0207     0.1510         0.1521
     57   3.09    42.10      24.29      14.28  0.9740     0.9779  0.0260     0.0221     0.1619         0.1682
     58   3.11    43.25      24.10      13.34  0.9773     0.9805  0.0227     0.0195     0.1508         0.1553
     59   3.11    43.02      23.98      13.34  0.9762     0.9791  0.0238     0.0209     0.1508         0.1543
     60   3.09    38.54      23.06      13.18  0.9753     0.9782  0.0247     0.0218     0.1494         0.1549
