  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.87   174.76     138.95      65.86  0.9083     0.9204  0.0917     0.0796     0.0734         0.0742
      2   2.89   136.10      98.17      57.62  0.9133     0.9377  0.0867     0.0623     0.0911         0.0918
      3   3.08   119.78     103.45      54.84  0.9516     0.9584  0.0484     0.0416     0.0558         0.0577
      4   3.04   111.42      91.83      48.64  0.9439     0.9524  0.0561     0.0476     0.0633         0.0676
      5   3.05    93.42      81.64      44.08  0.9486     0.9614  0.0514     0.0386     0.0901         0.0997
      6   3.11    91.58      83.44      42.54  0.9600     0.9672  0.0400     0.0328     0.0807         0.0865
      7   3.11    88.20      75.70      39.59  0.9598     0.9666  0.0402     0.0334     0.0790         0.0862
      8   3.09    77.70      65.86      37.49  0.9560     0.9682  0.0440     0.0318     0.1076         0.1213
      9   3.12    78.69      69.04      35.34  0.9643     0.9679  0.0357     0.0321     0.1152         0.1253
     10   3.15    84.87      72.46      35.68  0.9705     0.9744  0.0295     0.0256     0.1160         0.1225
     11   3.13    80.61      64.09      31.73  0.9675     0.9716  0.0325     0.0284     0.1452         0.1581
     12   3.13    77.38      63.40      31.65  0.9672     0.9708  0.0328     0.0292     0.1336         0.1447
     13   3.08    65.13      52.77      28.68  0.9600     0.9701  0.0400     0.0299     0.1800         0.1978
     14   3.10    68.79      53.02      27.76  0.9636     0.9700  0.0364     0.0300     0.1825         0.1949
     15   3.16    71.16      59.97      29.46  0.9732     0.9766  0.0268     0.0234     0.2186         0.2258
     16   3.15    65.18      52.45      26.65  0.9728     0.9764  0.0272     0.0236     0.2289         0.2421
     17   3.10    59.47      44.04      24.63  0.9663     0.9737  0.0337     0.0263     0.2228         0.2389
     18   3.14    56.78      44.36      22.98  0.9737     0.9778  0.0263     0.0222     0.3041         0.3294
     19   3.13    61.09      45.69      21.92  0.9729     0.9768  0.0271     0.0232     0.2742         0.2951
     20   3.14    59.60      41.60      21.88  0.9715     0.9766  0.0285     0.0234     0.2866         0.3006
     21   3.09    54.67      39.74      21.57  0.9657     0.9766  0.0343     0.0234     0.2949         0.3188
     22   3.11    54.91      39.65      19.87  0.9688     0.9738  0.0312     0.0262     0.2919         0.3087
     23   3.09    54.53      38.46      20.27  0.9665     0.9748  0.0335     0.0252     0.3160         0.3400
     24   3.09    54.38      37.72      20.13  0.9663     0.9725  0.0337     0.0275     0.3039         0.3152
     25   3.10    54.62      36.14      19.20  0.9700     0.9759  0.0300     0.0241     0.2899         0.3066
     26   3.14    54.18      41.47      18.28  0.9768     0.9807  0.0232     0.0193     0.2998         0.3110
