  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.60   151.47     113.38      71.25  0.8477     0.9023  0.1523     0.0977     0.1326         0.1372
      2   2.92   140.22     104.43      56.96  0.9163     0.9359  0.0837     0.0641     0.0856         0.0877
      3   3.04   113.29     102.54      51.14  0.9448     0.9527  0.0552     0.0473     0.0652         0.0669
      4   3.10   114.62      99.06      50.43  0.9566     0.9612  0.0434     0.0388     0.0614         0.0623
      5   3.00    89.45      74.85      44.18  0.9393     0.9582  0.0607     0.0418     0.1081         0.1201
      6   3.15   131.66     124.55      61.53  0.9664     0.9680  0.0336     0.0320     0.0486         0.0493
      7   3.02    86.02      73.96      41.62  0.9463     0.9557  0.0537     0.0443     0.1222         0.1340
      8   3.15    88.14      79.93      42.78  0.9698     0.9717  0.0302     0.0283     0.0867         0.0911
      9   3.10    78.49      63.43      35.27  0.9647     0.9701  0.0353     0.0299     0.1298         0.1406
     10   3.11    76.53      59.04      32.15  0.9655     0.9716  0.0345     0.0284     0.1694         0.1883
     11   3.12    75.90      61.73      33.04  0.9668     0.9711  0.0332     0.0289     0.1833         0.1976
     12   3.13    71.64      56.01      29.74  0.9669     0.9738  0.0331     0.0262     0.1822         0.1924
     13   3.10    75.45      54.94      30.18  0.9649     0.9684  0.0351     0.0316     0.2169         0.2253
     14   3.07    68.87      49.74      30.52  0.9580     0.9709  0.0420     0.0291     0.2663         0.2903
     15   3.11    65.49      47.96      26.37  0.9653     0.9705  0.0347     0.0295     0.2270         0.2376
     16   3.06    67.24      46.59      25.30  0.9575     0.9661  0.0425     0.0339     0.2418         0.2554
     17   3.06    60.87      44.16      26.54  0.9581     0.9718  0.0419     0.0282     0.2775         0.2999
     18   3.10    64.05      43.33      23.01  0.9657     0.9734  0.0343     0.0266     0.2434         0.2505
     19   3.06    64.96      42.68      22.34  0.9573     0.9674  0.0427     0.0326     0.2621         0.2753
     20   3.05    64.15      42.27      22.50  0.9585     0.9654  0.0415     0.0346     0.2185         0.2255
     21   3.13    59.64      41.65      22.01  0.9725     0.9774  0.0275     0.0226     0.2248         0.2308
     22   3.12    59.64      40.10      20.99  0.9715     0.9770  0.0285     0.0230     0.2983         0.3114
     23   3.16    59.36      43.44      21.87  0.9771     0.9796  0.0229     0.0204     0.3139         0.3213
     24   3.10    59.85      37.48      19.48  0.9680     0.9739  0.0320     0.0261     0.2688         0.2772
     25   3.05    55.62      36.84      20.19  0.9633     0.9720  0.0367     0.0280     0.2848         0.2990
     26   3.09    61.55      40.21      19.25  0.9699     0.9723  0.0301     0.0277     0.2633         0.2697
     27   3.13    49.97      37.09      18.73  0.9717     0.9779  0.0283     0.0221     0.2180         0.2226
     28   3.14    53.15      34.96      18.48  0.9744     0.9775  0.0256     0.0225     0.2704         0.2806
     29   3.11    52.65      35.53      17.89  0.9729     0.9750  0.0271     0.0250     0.2492         0.2570
     30   3.12    51.00      33.41      17.69  0.9715     0.9780  0.0285     0.0220     0.2710         0.2794
     31   3.12    55.47      34.66      17.58  0.9738     0.9790  0.0262     0.0210     0.2280         0.2334
     32   3.11    46.73      32.17      16.90  0.9710     0.9779  0.0290     0.0221     0.2129         0.2189
     33   3.14    48.38      31.62      16.70  0.9769     0.9809  0.0231     0.0191     0.2254         0.2333
     34   3.13    50.64      33.98      16.83  0.9758     0.9791  0.0242     0.0209     0.1787         0.1842
     35   3.11    52.07      31.48      16.80  0.9751     0.9785  0.0249     0.0215     0.1723         0.1757
     36   3.09    48.76      31.94      16.55  0.9713     0.9749  0.0287     0.0251     0.1747         0.1789
     37   3.13    48.41      31.26      16.52  0.9762     0.9795  0.0238     0.0205     0.1586         0.1607
     38   3.11    49.80      31.29      16.70  0.9740     0.9765  0.0260     0.0235     0.1731         0.1754
     39   3.08    46.71      29.18      15.94  0.9689     0.9734  0.0311     0.0266     0.1649         0.1700
     40   3.10    48.89      28.86      15.57  0.9728     0.9769  0.0272     0.0231     0.1962         0.2033
     41   3.10    46.73      29.25      15.68  0.9709     0.9781  0.0291     0.0219     0.1847         0.1908
     42   3.09    46.65      27.47      15.64  0.9716     0.9758  0.0284     0.0242     0.2017         0.2120
     43   3.12    45.73      29.65      15.98  0.9774     0.9798  0.0226     0.0202     0.1428         0.1430
     44   3.11    43.17      26.81      15.26  0.9745     0.9782  0.0255     0.0218     0.1618         0.1647
     45   3.14    42.66      26.41      14.82  0.9760     0.9816  0.0240     0.0184     0.1642         0.1697
     46   3.11    42.39      26.39      15.09  0.9769     0.9805  0.0231     0.0195     0.1435         0.1461
     47   3.10    45.40      26.63      14.81  0.9735     0.9783  0.0265     0.0217     0.1559         0.1606
     48   3.06    44.63      27.55      15.13  0.9700     0.9722  0.0300     0.0278     0.1442         0.1472
     49   3.10    43.66      25.96      14.42  0.9737     0.9787  0.0263     0.0213     0.1664         0.1727
     50   3.11    42.41      25.26      14.43  0.9746     0.9799  0.0254     0.0201     0.1690         0.1762
     51   3.08    41.66      25.17      14.12  0.9723     0.9771  0.0277     0.0229     0.1504         0.1532
     52   3.12    43.73      24.97      14.28  0.9761     0.9796  0.0239     0.0204     0.1575         0.1638
     53   3.11    42.73      24.59      14.81  0.9759     0.9795  0.0241     0.0205     0.1692         0.1744
     54   3.08    46.05      25.12      14.38  0.9743     0.9775  0.0257     0.0225     0.1476         0.1512
     55   3.15    43.78      25.32      14.19  0.9815     0.9839  0.0185     0.0161     0.1486         0.1532
     56   3.09    39.51      23.93      14.09  0.9754     0.9783  0.0246     0.0217     0.1477         0.1516
     57   3.09    44.12      23.80      13.81  0.9736     0.9770  0.0264     0.0230     0.1454         0.1506
     58   3.11    42.50      23.65      14.12  0.9771     0.9786  0.0229     0.0214     0.1322         0.1357
     59   3.12    39.29      22.85      14.18  0.9777     0.9802  0.0223     0.0198     0.1277         0.1307
     60   3.12    38.19      22.19      14.22  0.9789     0.9813  0.0211     0.0187     0.1467         0.1511
     61   3.11    39.05      23.67      13.80  0.9759     0.9793  0.0241     0.0207     0.1353         0.1373
     62   3.06    39.55      21.16      13.83  0.9691     0.9736  0.0309     0.0264     0.1515         0.1547
     63   3.11    37.38      21.50      13.53  0.9774     0.9806  0.0226     0.0194     0.1502         0.1536
     64   3.11    39.03      22.75      13.80  0.9782     0.9793  0.0218     0.0207     0.1302         0.1311
     65   3.11    39.66      21.44      13.49  0.9777     0.9801  0.0223     0.0199     0.1647         0.1687
     66   3.12    37.56      20.76      13.57  0.9762     0.9811  0.0238     0.0189     0.1458         0.1506
     67   3.10    38.65      21.02      13.80  0.9764     0.9800  0.0236     0.0200     0.1481         0.1517
     68   3.13    39.96      23.52      14.10  0.9802     0.9827  0.0198     0.0173     0.1364         0.1380
     69   3.11    39.59      20.26      13.38  0.9762     0.9816  0.0238     0.0184     0.1693         0.1739
     70   3.11    38.39      21.69      13.53  0.9772     0.9801  0.0228     0.0199     0.1431         0.1471
     71   3.12    44.46      22.11      13.67  0.9778     0.9799  0.0222     0.0201     0.1264         0.1268
     72   3.10    37.72      21.47      13.43  0.9778     0.9800  0.0222     0.0200     0.1285         0.1292
     73   3.12    37.57      22.46      13.85  0.9782     0.9804  0.0218     0.0196     0.1104         0.1126
     74   3.12    33.94      19.69      13.20  0.9788     0.9814  0.0212     0.0186     0.1446         0.1471
     75   3.09    36.85      20.32      13.04  0.9754     0.9788  0.0246     0.0212     0.1388         0.1407
     76   3.07    38.29      19.05      13.03  0.9730     0.9774  0.0270     0.0226     0.1589         0.1620
     77   3.11    33.32      18.70      12.86  0.9765     0.9806  0.0235     0.0194     0.1532         0.1562
     78   3.12    36.63      20.70      13.24  0.9779     0.9804  0.0221     0.0196     0.1332         0.1359
     79   3.09    35.32      18.28      12.72  0.9770     0.9800  0.0230     0.0200     0.1750         0.1794
