  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.89   176.23     132.97      66.39  0.9109     0.9258  0.0891     0.0742     0.0655         0.0661
      2   3.07   163.03     148.34      72.57  0.9526     0.9545  0.0474     0.0455     0.0356         0.0361
      3   3.05   140.74     113.68      58.04  0.9483     0.9561  0.0517     0.0439     0.0565         0.0586
      4   3.05   105.74      90.73      47.31  0.9446     0.9598  0.0554     0.0402     0.0839         0.0875
      5   3.08   101.81      83.16      43.88  0.9533     0.9619  0.0467     0.0381     0.0881         0.0951
      6   3.06    86.30      72.36      40.75  0.9481     0.9651  0.0519     0.0349     0.0962         0.1045
      7   3.00    80.87      66.86      43.35  0.9416     0.9625  0.0584     0.0375     0.1269         0.1432
      8   3.12    85.06      69.39      36.25  0.9644     0.9710  0.0356     0.0290     0.0874         0.0951
      9   3.11    85.78      66.83      34.71  0.9624     0.9680  0.0376     0.0320     0.1080         0.1139
     10   3.12    82.55      67.55      33.40  0.9684     0.9724  0.0316     0.0276     0.1513         0.1614
     11   3.12    74.61      59.80      29.74  0.9625     0.9719  0.0375     0.0281     0.1418         0.1570
     12   3.10    70.56      55.39      29.33  0.9620     0.9707  0.0380     0.0293     0.1547         0.1687
     13   3.12    73.97      56.63      27.86  0.9667     0.9718  0.0333     0.0282     0.1637         0.1789
     14   3.10    67.47      53.70      26.45  0.9628     0.9697  0.0372     0.0303     0.1683         0.1810
     15   3.11    67.31      55.06      25.49  0.9669     0.9724  0.0331     0.0276     0.1917         0.2039
     16   3.13    68.75      51.65      24.83  0.9693     0.9749  0.0307     0.0251     0.2139         0.2279
     17   3.11    62.88      47.72      23.87  0.9683     0.9746  0.0317     0.0254     0.2734         0.2977
     18   3.12    63.54      47.89      22.84  0.9695     0.9743  0.0305     0.0257     0.2634         0.2782
     19   3.15    61.27      47.95      22.42  0.9744     0.9776  0.0256     0.0224     0.2756         0.2884
     20   3.14    61.11      46.35      21.38  0.9752     0.9774  0.0248     0.0226     0.3010         0.3193
     21   3.13    56.19      43.58      20.75  0.9726     0.9766  0.0274     0.0234     0.2924         0.3045
     22   3.13    57.18      41.88      20.08  0.9697     0.9764  0.0303     0.0236     0.2951         0.3117
     23   2.99    52.52      39.91      20.27  0.9500     0.9598  0.0500     0.0402     0.2609         0.2789
     24   3.12    58.45      40.61      20.16  0.9733     0.9759  0.0267     0.0241     0.2758         0.2853
     25   3.09    56.92      39.50      18.43  0.9686     0.9744  0.0314     0.0256     0.2797         0.2940
     26   3.10    52.64      38.35      18.25  0.9707     0.9769  0.0293     0.0231     0.3304         0.3491
     27   3.08    49.20      37.62      18.85  0.9660     0.9733  0.0340     0.0267     0.3004         0.3127
     28   3.12    50.47      37.45      17.40  0.9744     0.9790  0.0256     0.0210     0.3033         0.3135
     29   3.13    50.65      38.93      17.53  0.9744     0.9782  0.0256     0.0218     0.2793         0.2892
     30   3.07    51.26      35.31      17.46  0.9644     0.9720  0.0356     0.0280     0.2383         0.2461
