  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.80   150.06     125.28      65.56  0.8916     0.9155  0.1084     0.0845     0.0783         0.0802
      2   2.85   123.88      95.22      59.89  0.8998     0.9303  0.1002     0.0697     0.1038         0.1087
      3   3.04   139.62     111.66      55.45  0.9440     0.9498  0.0560     0.0502     0.0487         0.0494
      4   2.95   102.17      84.52      49.87  0.9276     0.9455  0.0724     0.0545     0.0982         0.1080
      5   3.01    91.95      76.43      45.82  0.9387     0.9559  0.0613     0.0441     0.1091         0.1187
      6   3.09    91.93      73.17      41.34  0.9563     0.9660  0.0437     0.0340     0.0897         0.0942
      7   3.01    89.94      72.23      40.10  0.9414     0.9539  0.0586     0.0461     0.0869         0.0973
      8   3.14    92.53      77.88      40.27  0.9663     0.9698  0.0337     0.0302     0.0909         0.0935
      9   3.13    87.60      67.80      36.01  0.9686     0.9720  0.0314     0.0280     0.1049         0.1141
     10   3.04    77.90      62.61      32.97  0.9526     0.9612  0.0474     0.0388     0.1172         0.1311
     11   3.09    73.36      57.25      31.79  0.9600     0.9667  0.0400     0.0333     0.1466         0.1652
     12   3.10    71.31      54.51      29.83  0.9639     0.9725  0.0361     0.0275     0.1776         0.1961
     13   3.15    78.41      64.72      29.46  0.9735     0.9753  0.0265     0.0247     0.1722         0.1826
     14   3.11    69.19      51.71      27.56  0.9639     0.9731  0.0361     0.0269     0.1978         0.2223
     15   3.12    67.89      49.62      26.10  0.9681     0.9750  0.0319     0.0250     0.1981         0.2100
     16   3.13    65.33      51.26      24.96  0.9697     0.9742  0.0303     0.0258     0.2136         0.2261
     17   3.14    66.18      47.48      25.06  0.9719     0.9766  0.0281     0.0234     0.2376         0.2534
     18   3.10    67.79      49.37      23.51  0.9671     0.9707  0.0329     0.0293     0.2033         0.2131
     19   3.07    61.56      46.37      23.27  0.9614     0.9661  0.0386     0.0339     0.2438         0.2556
     20   3.14    60.39      43.84      21.10  0.9743     0.9774  0.0257     0.0226     0.2722         0.2886
     21   3.09    60.69      41.75      21.32  0.9658     0.9717  0.0342     0.0283     0.2822         0.2930
     22   3.10    56.21      39.10      20.46  0.9693     0.9743  0.0307     0.0257     0.2693         0.2815
     23   3.12    56.88      39.34      19.63  0.9704     0.9773  0.0296     0.0227     0.2525         0.2626
     24   3.11    56.18      38.90      19.49  0.9711     0.9745  0.0289     0.0255     0.2924         0.3043
     25   3.13    52.26      36.88      19.29  0.9746     0.9783  0.0254     0.0217     0.2844         0.2939
     26   3.10    59.71      37.15      18.60  0.9690     0.9736  0.0310     0.0264     0.2707         0.2806
     27   3.10    49.25      33.98      17.86  0.9683     0.9760  0.0317     0.0240     0.2700         0.2790
     28   3.12    50.85      33.93      17.66  0.9705     0.9759  0.0295     0.0241     0.2339         0.2429
     29   3.07    53.01      33.61      18.03  0.9655     0.9720  0.0345     0.0280     0.2290         0.2416
     30   3.10    49.30      33.22      17.41  0.9737     0.9768  0.0263     0.0232     0.1987         0.2070
     31   3.06    48.74      32.79      16.77  0.9682     0.9730  0.0318     0.0270     0.2256         0.2408
     32   3.09    49.53      30.52      16.80  0.9707     0.9758  0.0293     0.0242     0.2327         0.2462
     33   3.13    49.94      30.16      16.66  0.9747     0.9787  0.0253     0.0213     0.2342         0.2431
     34   3.09    47.00      30.40      16.23  0.9721     0.9763  0.0279     0.0237     0.1985         0.2041
     35   3.10    46.84      29.86      16.16  0.9734     0.9756  0.0266     0.0244     0.2250         0.2283
     36   3.09    46.29      28.38      15.69  0.9702     0.9746  0.0298     0.0254     0.2035         0.2095
     37   3.11    46.74      29.10      15.34  0.9733     0.9793  0.0267     0.0207     0.2186         0.2280
     38   3.08    43.65      28.44      15.27  0.9688     0.9744  0.0312     0.0256     0.1742         0.1781
     39   3.10    48.06      28.67      15.89  0.9741     0.9769  0.0259     0.0231     0.2170         0.2240
     40   3.06    45.57      28.60      15.25  0.9687     0.9734  0.0313     0.0266     0.1821         0.1883
     41   3.10    42.69      26.68      14.93  0.9729     0.9773  0.0271     0.0227     0.1885         0.1956
     42   3.12    45.21      27.16      14.92  0.9759     0.9794  0.0241     0.0206     0.1905         0.1993
     43   3.13    46.47      28.40      14.56  0.9774     0.9794  0.0226     0.0206     0.1708         0.1744
     44   3.10    42.23      27.55      14.62  0.9758     0.9789  0.0242     0.0211     0.1394         0.1451
     45   3.09    45.75      27.77      14.26  0.9741     0.9771  0.0259     0.0229     0.1691         0.1727
     46   3.07    48.78      27.66      14.35  0.9730     0.9766  0.0270     0.0234     0.1678         0.1723
     47   3.08    45.87      27.04      14.42  0.9724     0.9761  0.0276     0.0239     0.1487         0.1521
     48   3.10    49.50      31.42      14.95  0.9758     0.9786  0.0242     0.0214     0.1392         0.1403
     49   3.08    41.85      24.85      14.30  0.9729     0.9771  0.0271     0.0229     0.1771         0.1819
     50   3.11    40.87      26.77      14.26  0.9761     0.9793  0.0239     0.0207     0.1491         0.1519
