  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  2511.27    1352.73     673.80  0.9580     0.9580  0.0420     0.0420     0.0211         0.0211
      2   3.16  2466.02    1308.32     675.48  0.9631     0.9632  0.0369     0.0368     0.0211         0.0211
      3   3.21  2453.56    1304.67     693.99  0.9736     0.9735  0.0264     0.0265     0.0143         0.0143
      4   3.21  2449.53    1303.06     711.04  0.9751     0.9751  0.0249     0.0249     0.0142         0.0141
      5   3.23  2439.28    1300.40     715.58  0.9818     0.9818  0.0182     0.0182     0.0139         0.0138
      6   3.21  2429.53    1296.14     721.99  0.9774     0.9774  0.0226     0.0226     0.0172         0.0172
      7   3.20  2435.94    1307.96     757.79  0.9767     0.9768  0.0233     0.0232     0.0493         0.0492
      8   3.22  2413.72    1278.23     715.06  0.9783     0.9785  0.0217     0.0215     0.0378         0.0377
      9   3.23  2422.82    1287.63     730.26  0.9818     0.9818  0.0182     0.0182     0.0458         0.0461
     10   3.21  2419.50    1288.69     735.91  0.9791     0.9788  0.0209     0.0212     0.0498         0.0494
     11   3.21  2427.93    1304.57     768.84  0.9798     0.9796  0.0202     0.0204     0.0676         0.0676
     12   3.20  2421.01    1294.09     758.31  0.9790     0.9787  0.0210     0.0213     0.0423         0.0422
     13   3.20  2418.19    1306.01     779.86  0.9779     0.9780  0.0221     0.0220     0.0700         0.0697
     14   3.22  2412.06    1289.16     752.20  0.9812     0.9813  0.0188     0.0187     0.0536         0.0539
     15   3.21  2418.64    1314.70     807.29  0.9806     0.9805  0.0194     0.0195     0.0904         0.0903
     16   3.16  2416.25    1306.24     790.95  0.9724     0.9724  0.0276     0.0276     0.0942         0.0936
     17   3.20  2412.03    1306.85     789.01  0.9791     0.9791  0.0209     0.0209     0.0997         0.0994
     18   3.21  2417.27    1310.35     797.86  0.9809     0.9808  0.0191     0.0192     0.1199         0.1201
     19   3.21  2422.95    1309.84     795.80  0.9829     0.9829  0.0171     0.0171     0.1178         0.1181
     20   3.17  2412.95    1314.12     817.11  0.9761     0.9762  0.0239     0.0238     0.1484         0.1478
     21   3.21  2414.39    1302.34     795.54  0.9812     0.9812  0.0188     0.0188     0.1386         0.1382
     22   3.21  2422.28    1323.55     846.45  0.9838     0.9839  0.0162     0.0161     0.1397         0.1400
     23   3.19  2421.34    1315.02     828.16  0.9809     0.9809  0.0191     0.0191     0.1360         0.1363
     24   3.22  2423.98    1312.70     822.67  0.9824     0.9825  0.0176     0.0175     0.1765         0.1763
     25   3.17  2425.49    1316.80     821.47  0.9771     0.9771  0.0229     0.0229     0.1708         0.1700
     26   3.17  2424.63    1315.38     824.86  0.9765     0.9766  0.0235     0.0234     0.1825         0.1834
     27   3.21  2428.48    1327.97     856.77  0.9833     0.9833  0.0167     0.0167     0.1900         0.1888
     28   3.20  2426.01    1326.35     854.18  0.9823     0.9824  0.0177     0.0176     0.2072         0.2075
     29   3.19  2429.71    1331.12     857.19  0.9815     0.9815  0.0185     0.0185     0.1985         0.1979
     30   3.19  2427.22    1315.18     807.82  0.9769     0.9769  0.0231     0.0231     0.1902         0.1904
     31   3.21  2429.61    1333.60     875.19  0.9840     0.9840  0.0160     0.0160     0.2066         0.2075
     32   3.20  2430.99    1333.50     851.43  0.9828     0.9828  0.0172     0.0172     0.1670         0.1668
     33   3.21  2425.63    1324.80     837.48  0.9854     0.9856  0.0146     0.0144     0.2019         0.2017
     34   3.20  2439.76    1353.89     905.93  0.9838     0.9838  0.0162     0.0162     0.2063         0.2069
     35   3.17  2434.57    1352.22     896.08  0.9805     0.9806  0.0195     0.0194     0.2254         0.2250
     36   3.21  2431.14    1329.45     823.59  0.9833     0.9833  0.0167     0.0167     0.1659         0.1657
     37   3.21  2440.18    1345.20     867.95  0.9848     0.9850  0.0152     0.0150     0.1889         0.1893
     38   3.20  2445.23    1352.43     885.09  0.9838     0.9838  0.0162     0.0162     0.1589         0.1583
     39   3.18  2444.40    1370.94     914.26  0.9830     0.9832  0.0170     0.0168     0.2171         0.2176
     40   3.20  2444.90    1349.88     867.33  0.9828     0.9828  0.0172     0.0172     0.2290         0.2291
     41   3.22  2453.10    1378.55     934.85  0.9861     0.9860  0.0139     0.0140     0.2403         0.2406
     42   3.22  2455.00    1389.59     964.26  0.9861     0.9863  0.0139     0.0137     0.2541         0.2539
     43   3.22  2456.78    1398.12     986.04  0.9864     0.9864  0.0136     0.0136     0.2570         0.2563
     44   3.21  2458.55    1406.11    1007.39  0.9869     0.9868  0.0131     0.0132     0.2501         0.2507
     45   3.21  2460.08    1413.49    1026.82  0.9867     0.9867  0.0133     0.0133     0.2465         0.2464
     46   3.21  2461.82    1421.35    1048.20  0.9866     0.9867  0.0134     0.0133     0.2446         0.2455
     47   3.20  2463.47    1429.30    1069.95  0.9865     0.9865  0.0135     0.0135     0.2428         0.2423
     48   3.20  2465.13    1437.10    1092.35  0.9865     0.9865  0.0135     0.0135     0.2386         0.2390
     49   3.20  2466.45    1443.90    1112.53  0.9863     0.9864  0.0137     0.0136     0.2348         0.2356
     50   3.20  2468.02    1451.50    1134.21  0.9863     0.9862  0.0137     0.0138     0.2336         0.2331
     51   3.19  2469.95    1460.14    1159.13  0.9863     0.9863  0.0137     0.0137     0.2328         0.2332
     52   3.19  2471.99    1469.13    1184.95  0.9860     0.9859  0.0140     0.0141     0.2272         0.2281
     53   3.19  2473.75    1477.12    1208.48  0.9860     0.9860  0.0140     0.0140     0.2307         0.2303
     54   3.18  2475.53    1485.57    1234.40  0.9862     0.9862  0.0138     0.0138     0.2223         0.2218
     55   3.18  2478.49    1497.37    1266.88  0.9863     0.9862  0.0137     0.0138     0.2192         0.2199
     56   3.18  2480.09    1505.77    1292.46  0.9865     0.9864  0.0135     0.0136     0.2145         0.2143
     57   3.17  2482.09    1515.12    1319.97  0.9865     0.9866  0.0135     0.0134     0.2088         0.2092
     58   3.17  2483.86    1523.90    1346.65  0.9865     0.9865  0.0135     0.0135     0.2023         0.2020
     59   3.17  2486.07    1534.14    1376.91  0.9866     0.9865  0.0134     0.0135     0.2049         0.2052
     60   3.16  2489.14    1547.31    1413.67  0.9863     0.9862  0.0137     0.0138     0.1984         0.1987
     61   3.16  2490.31    1554.19    1436.04  0.9866     0.9867  0.0134     0.0133     0.2028         0.2012
     62   3.15  2492.48    1564.26    1467.05  0.9864     0.9865  0.0136     0.0135     0.1950         0.1951
     63   3.15  2493.79    1571.78    1491.26  0.9865     0.9865  0.0135     0.0135     0.1887         0.1892
     64   3.15  2495.10    1579.03    1515.03  0.9867     0.9867  0.0133     0.0133     0.1914         0.1903
     65   3.15  2496.63    1587.21    1540.83  0.9865     0.9865  0.0135     0.0135     0.1873         0.1875
     66   3.14  2497.98    1594.27    1564.03  0.9865     0.9867  0.0135     0.0133     0.1883         0.1885
     67   3.14  2498.76    1599.69    1583.05  0.9869     0.9867  0.0131     0.0133     0.1841         0.1843
     68   3.14  2499.12    1603.00    1596.76  0.9866     0.9868  0.0134     0.0132     0.1825         0.1836
     69   3.14  2499.65    1606.68    1609.62  0.9866     0.9867  0.0134     0.0133     0.1826         0.1831
     70   3.14  2499.60    1608.17    1617.69  0.9867     0.9867  0.0133     0.0133     0.1840         0.1841
     71   3.14  2499.26    1608.56    1621.98  0.9867     0.9867  0.0133     0.0133     0.1788         0.1789
     72   3.14  2498.66    1607.50    1621.62  0.9865     0.9866  0.0135     0.0134     0.1719         0.1718
     73   3.14  2497.83    1604.57    1615.43  0.9869     0.9869  0.0131     0.0131     0.1725         0.1724
     74   3.14  2497.05    1602.47    1610.23  0.9865     0.9865  0.0135     0.0135     0.1697         0.1693
     75   3.14  2495.83    1597.52    1597.46  0.9867     0.9866  0.0133     0.0134     0.1637         0.1638
     76   3.14  2494.39    1591.50    1580.07  0.9868     0.9867  0.0132     0.0133     0.1644         0.1633
     77   3.14  2492.85    1584.80    1560.25  0.9870     0.9870  0.0130     0.0130     0.1536         0.1536
     78   3.14  2490.92    1576.79    1536.71  0.9869     0.9869  0.0131     0.0131     0.1521         0.1526
     79   3.14  2489.26    1569.93    1516.59  0.9869     0.9870  0.0131     0.0130     0.1465         0.1468
     80   3.15  2487.22    1561.28    1490.07  0.9870     0.9870  0.0130     0.0130     0.1391         0.1387
     81   3.15  2485.45    1553.23    1466.86  0.9869     0.9869  0.0131     0.0131     0.1368         0.1371
     82   3.15  2483.42    1544.68    1441.56  0.9869     0.9869  0.0131     0.0131     0.1267         0.1267
     83   3.15  2481.71    1537.66    1419.79  0.9872     0.9872  0.0128     0.0128     0.1227         0.1226
     84   3.15  2480.46    1531.51    1401.02  0.9867     0.9867  0.0133     0.0133     0.1153         0.1150
     85   3.15  2478.39    1523.27    1377.40  0.9871     0.9870  0.0129     0.0130     0.1055         0.1054
     86   3.15  2476.91    1517.21    1359.76  0.9871     0.9871  0.0129     0.0129     0.0916         0.0927
     87   3.16  2475.36    1511.09    1341.95  0.9871     0.9871  0.0129     0.0129     0.0880         0.0880
     88   3.16  2473.90    1504.97    1324.53  0.9869     0.9869  0.0131     0.0131     0.0807         0.0800
     89   3.16  2472.54    1499.51    1308.90  0.9870     0.9869  0.0130     0.0131     0.0758         0.0762
