  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   177.46  0.9541     0.9549  0.0459     0.0451     0.0226         0.0227
      2   3.14   128.33  0.9587     0.9599  0.0413     0.0401     0.0245         0.0242
      3   3.16   103.53  0.9667     0.9676  0.0333     0.0324     0.0248         0.0250
      4   3.16    90.82  0.9658     0.9663  0.0342     0.0337     0.0326         0.0333
      5   3.21    80.87  0.9764     0.9769  0.0236     0.0231     0.0290         0.0294
      6   3.19    87.34  0.9713     0.9725  0.0287     0.0275     0.0306         0.0306
      7   3.21    79.57  0.9781     0.9784  0.0219     0.0216     0.0248         0.0260
      8   3.23    75.90  0.9803     0.9806  0.0197     0.0194     0.0285         0.0295
      9   3.19    69.13  0.9784     0.9777  0.0216     0.0223     0.0436         0.0456
     10   3.23    67.29  0.9838     0.9841  0.0162     0.0159     0.0398         0.0412
     11   3.22    63.13  0.9809     0.9811  0.0191     0.0189     0.0495         0.0526
     12   3.20    70.09  0.9779     0.9781  0.0221     0.0219     0.0384         0.0406
     13   3.21    61.42  0.9788     0.9795  0.0212     0.0205     0.0499         0.0528
     14   3.22    54.21  0.9826     0.9826  0.0174     0.0174     0.0511         0.0552
     15   3.19    57.72  0.9759     0.9758  0.0241     0.0242     0.0487         0.0504
     16   3.21    57.47  0.9813     0.9821  0.0187     0.0179     0.0530         0.0546
     17   3.20    50.63  0.9778     0.9788  0.0222     0.0212     0.0674         0.0715
     18   3.22    52.04  0.9823     0.9823  0.0177     0.0177     0.0709         0.0761
     19   3.22    47.72  0.9842     0.9844  0.0158     0.0156     0.0761         0.0817
     20   3.20    51.03  0.9815     0.9814  0.0185     0.0186     0.0752         0.0806
     21   3.20    45.12  0.9798     0.9808  0.0202     0.0192     0.0844         0.0882
     22   3.20    47.06  0.9821     0.9819  0.0179     0.0181     0.0869         0.0929
     23   3.21    45.76  0.9818     0.9822  0.0182     0.0178     0.0823         0.0853
     24   3.21    40.56  0.9839     0.9844  0.0161     0.0156     0.1076         0.1129
     25   3.20    46.12  0.9806     0.9805  0.0194     0.0195     0.1029         0.1070
     26   3.19    53.47  0.9780     0.9783  0.0220     0.0217     0.0923         0.0959
     27   3.21    47.31  0.9829     0.9830  0.0171     0.0170     0.1116         0.1153
     28   3.16    46.91  0.9768     0.9779  0.0232     0.0221     0.1046         0.1083
     29   3.21    39.40  0.9834     0.9838  0.0166     0.0162     0.1539         0.1600
     30   3.20    39.32  0.9823     0.9826  0.0177     0.0174     0.1383         0.1437
     31   3.20    40.24  0.9825     0.9828  0.0175     0.0172     0.1289         0.1332
     32   3.21    34.45  0.9839     0.9845  0.0161     0.0155     0.1618         0.1657
     33   3.22    39.31  0.9844     0.9847  0.0156     0.0153     0.1107         0.1148
     34   3.19    43.09  0.9808     0.9808  0.0192     0.0192     0.1103         0.1137
     35   3.21    36.65  0.9842     0.9837  0.0158     0.0163     0.1527         0.1571
     36   3.20    34.44  0.9832     0.9836  0.0168     0.0164     0.1496         0.1542
     37   3.16    44.63  0.9769     0.9770  0.0231     0.0230     0.1321         0.1344
     38   3.20    38.69  0.9847     0.9846  0.0153     0.0154     0.1546         0.1577
     39   3.20    32.90  0.9829     0.9827  0.0171     0.0173     0.2079         0.2133
     40   3.21    53.24  0.9818     0.9823  0.0182     0.0177     0.1081         0.1083
     41   3.22    31.47  0.9851     0.9853  0.0149     0.0147     0.2103         0.2140
     42   3.20    34.94  0.9847     0.9850  0.0153     0.0150     0.1723         0.1769
     43   3.18    34.52  0.9821     0.9824  0.0179     0.0176     0.1868         0.1932
     44   3.20    32.32  0.9838     0.9838  0.0162     0.0162     0.1753         0.1787
     45   3.20    37.86  0.9834     0.9838  0.0166     0.0162     0.1895         0.1926
     46   3.20    30.63  0.9845     0.9845  0.0155     0.0155     0.2126         0.2176
     47   3.19    37.10  0.9816     0.9815  0.0184     0.0185     0.1512         0.1574
     48   3.19    33.17  0.9830     0.9825  0.0170     0.0175     0.1514         0.1541
     49   3.21    30.01  0.9859     0.9861  0.0141     0.0139     0.1673         0.1700
     50   3.21    28.13  0.9859     0.9858  0.0141     0.0142     0.2320         0.2351
     51   3.21    27.19  0.9860     0.9861  0.0140     0.0139     0.2645         0.2699
     52   3.20    26.99  0.9865     0.9867  0.0135     0.0133     0.2853         0.2906
     53   3.20    27.02  0.9863     0.9865  0.0137     0.0135     0.2905         0.2937
     54   3.20    25.85  0.9862     0.9868  0.0138     0.0132     0.2861         0.2896
     55   3.14    99.73  0.9711     0.9711  0.0289     0.0289     0.0629         0.0652
     56   3.18    34.42  0.9810     0.9805  0.0190     0.0195     0.0978         0.1022
     57   3.21    28.87  0.9851     0.9854  0.0149     0.0146     0.1463         0.1499
     58   3.21    26.58  0.9855     0.9860  0.0145     0.0140     0.1715         0.1769
     59   3.21    26.50  0.9866     0.9864  0.0134     0.0136     0.1867         0.1894
     60   3.21    25.83  0.9863     0.9858  0.0137     0.0142     0.2075         0.2113
     61   3.21    24.99  0.9863     0.9864  0.0137     0.0136     0.2540         0.2581
     62   3.21    27.54  0.9867     0.9872  0.0133     0.0128     0.2282         0.2313
     63   3.21    24.61  0.9869     0.9870  0.0131     0.0130     0.2623         0.2642
     64   3.21    23.88  0.9860     0.9858  0.0140     0.0142     0.3018         0.3049
     65   3.19    36.13  0.9831     0.9829  0.0169     0.0171     0.1307         0.1369
     66   3.20    29.19  0.9846     0.9850  0.0154     0.0150     0.1672         0.1723
     67   3.20    26.73  0.9852     0.9856  0.0148     0.0144     0.1592         0.1631
     68   3.18    28.22  0.9824     0.9826  0.0176     0.0174     0.1738         0.1776
     69   3.20    24.95  0.9850     0.9851  0.0150     0.0149     0.2224         0.2271
     70   3.20    26.14  0.9853     0.9858  0.0147     0.0142     0.1935         0.1961
     71   3.20    26.95  0.9848     0.9851  0.0152     0.0149     0.1816         0.1876
     72   3.19    25.87  0.9860     0.9859  0.0140     0.0141     0.2303         0.2343
     73   3.20    24.47  0.9863     0.9866  0.0137     0.0134     0.2564         0.2604
     74   3.19    32.80  0.9833     0.9838  0.0167     0.0162     0.1624         0.1666
     75   3.19    27.42  0.9843     0.9842  0.0157     0.0158     0.1743         0.1779
     76   3.20    26.36  0.9854     0.9854  0.0146     0.0146     0.2073         0.2112
     77   3.19    27.41  0.9834     0.9836  0.0166     0.0164     0.2006         0.2059
     78   3.20    25.70  0.9851     0.9853  0.0149     0.0147     0.1879         0.1916
     79   3.20    24.28  0.9855     0.9857  0.0145     0.0143     0.2219         0.2259
     80   3.19    26.73  0.9854     0.9853  0.0146     0.0147     0.2007         0.2044
     81   3.20    24.41  0.9854     0.9855  0.0146     0.0145     0.2629         0.2687
     82   3.20    23.53  0.9856     0.9863  0.0144     0.0137     0.2976         0.3029
     83   3.20    24.81  0.9864     0.9865  0.0136     0.0135     0.2827         0.2855
     84   3.19    23.08  0.9851     0.9862  0.0149     0.0138     0.3122         0.3174
     85   3.19    29.57  0.9840     0.9845  0.0160     0.0155     0.1687         0.1733
     86   3.20    24.30  0.9861     0.9864  0.0139     0.0136     0.2140         0.2185
     87   3.20    23.55  0.9861     0.9864  0.0139     0.0136     0.2434         0.2493
     88   3.20    26.30  0.9866     0.9861  0.0134     0.0139     0.2565         0.2606
     89   3.20    24.07  0.9867     0.9869  0.0133     0.0131     0.2791         0.2830
     90   3.19    22.42  0.9861     0.9865  0.0139     0.0135     0.3073         0.3140
     91   3.20    22.98  0.9868     0.9865  0.0132     0.0135     0.3111         0.3170
     92   3.19    24.44  0.9872     0.9867  0.0128     0.0133     0.3198         0.3233
     93   3.19    23.34  0.9863     0.9860  0.0137     0.0140     0.2993         0.3024
     94   3.13    37.28  0.9779     0.9783  0.0221     0.0217     0.1951         0.1985
     95   3.18    23.66  0.9855     0.9857  0.0145     0.0143     0.2358         0.2391
