  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   229.50  0.9532     0.9537  0.0468     0.0463     0.0257         0.0255
      2   3.18   191.63  0.9682     0.9683  0.0318     0.0317     0.0172         0.0172
      3   3.08   169.17  0.9481     0.9494  0.0519     0.0506     0.0277         0.0279
      4   3.19   137.03  0.9738     0.9752  0.0262     0.0248     0.0190         0.0186
      5   3.22   124.72  0.9769     0.9782  0.0231     0.0218     0.0191         0.0188
      6   3.21   119.45  0.9763     0.9773  0.0237     0.0227     0.0214         0.0208
      7   3.20   117.85  0.9752     0.9749  0.0248     0.0251     0.0245         0.0240
      8   3.22   103.53  0.9801     0.9794  0.0199     0.0206     0.0249         0.0259
      9   3.18    99.73  0.9739     0.9742  0.0261     0.0258     0.0382         0.0395
     10   3.19    91.86  0.9771     0.9770  0.0229     0.0230     0.0440         0.0455
     11   3.21    88.78  0.9802     0.9801  0.0198     0.0199     0.0336         0.0336
     12   3.22    82.74  0.9814     0.9819  0.0186     0.0181     0.0412         0.0439
     13   3.22    82.76  0.9815     0.9812  0.0185     0.0188     0.0472         0.0491
     14   3.21    79.15  0.9805     0.9805  0.0195     0.0195     0.0466         0.0481
     15   3.22    78.47  0.9816     0.9820  0.0184     0.0180     0.0389         0.0392
     16   3.20    73.67  0.9789     0.9794  0.0211     0.0206     0.0523         0.0538
     17   3.22    74.61  0.9827     0.9829  0.0173     0.0171     0.0404         0.0418
     18   3.17    82.50  0.9769     0.9767  0.0231     0.0233     0.0634         0.0698
     19   3.21    69.26  0.9830     0.9830  0.0170     0.0170     0.0718         0.0752
     20   3.20    70.34  0.9796     0.9802  0.0204     0.0198     0.0497         0.0516
     21   3.22    59.75  0.9835     0.9840  0.0165     0.0160     0.0712         0.0731
     22   3.21    65.28  0.9826     0.9830  0.0174     0.0170     0.0612         0.0641
     23   3.19    57.74  0.9800     0.9800  0.0200     0.0200     0.0831         0.0854
     24   3.20    65.16  0.9807     0.9815  0.0193     0.0185     0.0869         0.0926
     25   3.21    60.41  0.9816     0.9818  0.0184     0.0182     0.0612         0.0649
     26   3.22    57.03  0.9838     0.9835  0.0162     0.0165     0.0758         0.0799
     27   3.22    51.00  0.9830     0.9834  0.0170     0.0166     0.0943         0.1008
     28   3.20    60.60  0.9816     0.9815  0.0184     0.0185     0.0845         0.0883
     29   3.21    53.73  0.9832     0.9823  0.0168     0.0177     0.0970         0.1026
     30   3.21    54.00  0.9832     0.9831  0.0168     0.0169     0.0873         0.0914
     31   3.21    44.42  0.9846     0.9841  0.0154     0.0159     0.1249         0.1305
     32   3.22    63.34  0.9839     0.9841  0.0161     0.0159     0.0828         0.0838
     33   3.22    48.34  0.9836     0.9836  0.0164     0.0164     0.1070         0.1117
     34   3.22    49.96  0.9845     0.9844  0.0155     0.0156     0.1032         0.1065
     35   3.21    45.80  0.9840     0.9846  0.0160     0.0154     0.1036         0.1084
     36   3.21    48.82  0.9833     0.9834  0.0167     0.0166     0.1017         0.1058
     37   3.21    50.83  0.9832     0.9832  0.0168     0.0168     0.0944         0.0988
     38   3.22    44.56  0.9849     0.9846  0.0151     0.0154     0.0984         0.1015
     39   3.22    38.72  0.9868     0.9868  0.0132     0.0132     0.1342         0.1379
     40   3.21    36.15  0.9859     0.9859  0.0141     0.0141     0.1577         0.1609
     41   3.20    45.59  0.9835     0.9839  0.0165     0.0161     0.0914         0.0948
     42   3.18    45.97  0.9812     0.9820  0.0188     0.0180     0.0924         0.0971
     43   3.20    51.53  0.9829     0.9832  0.0171     0.0168     0.0950         0.1001
     44   3.17    46.30  0.9798     0.9800  0.0202     0.0200     0.0876         0.0903
     45   3.18    45.44  0.9812     0.9815  0.0188     0.0185     0.1048         0.1111
