  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.02    51.77  0.9344     0.9407  0.0656     0.0593     0.0360         0.0369
      2   3.13    40.27  0.9613     0.9642  0.0387     0.0358     0.0311         0.0317
      3   3.14    34.93  0.9633     0.9658  0.0367     0.0342     0.0365         0.0372
      4   3.18    31.37  0.9727     0.9749  0.0273     0.0251     0.0552         0.0572
      5   3.15    28.58  0.9670     0.9692  0.0330     0.0308     0.0840         0.0876
      6   3.18    31.12  0.9752     0.9763  0.0248     0.0237     0.0656         0.0672
      7   3.14    31.14  0.9679     0.9711  0.0321     0.0289     0.0959         0.1005
      8   3.20    24.64  0.9783     0.9811  0.0217     0.0189     0.1527         0.1607
      9   3.18    26.14  0.9755     0.9763  0.0245     0.0237     0.1531         0.1572
     10   3.15    28.60  0.9724     0.9734  0.0276     0.0266     0.1930         0.1982
     11   3.19    25.40  0.9789     0.9799  0.0211     0.0201     0.2021         0.2082
     12   3.18    22.21  0.9773     0.9788  0.0227     0.0212     0.2548         0.2669
     13   3.20    22.38  0.9818     0.9821  0.0182     0.0179     0.3375         0.3505
     14   3.18    23.13  0.9761     0.9779  0.0239     0.0221     0.2668         0.2785
     15   3.18    24.90  0.9756     0.9760  0.0244     0.0240     0.2830         0.2900
     16   3.18    22.17  0.9784     0.9795  0.0216     0.0205     0.3337         0.3458
     17   3.20    19.99  0.9814     0.9820  0.0186     0.0180     0.3966         0.4066
     18   3.16    23.02  0.9753     0.9755  0.0247     0.0245     0.3398         0.3535
     19   3.18    20.37  0.9796     0.9807  0.0204     0.0193     0.3296         0.3383
     20   3.19    19.53  0.9810     0.9809  0.0190     0.0191     0.3613         0.3743
     21   3.18    20.16  0.9779     0.9788  0.0221     0.0212     0.3110         0.3230
     22   3.19    19.70  0.9809     0.9810  0.0191     0.0190     0.3638         0.3768
     23   3.20    18.77  0.9840     0.9834  0.0160     0.0166     0.4131         0.4310
     24   3.08    22.01  0.9699     0.9700  0.0301     0.0300     0.3645         0.3712
     25   3.13    19.78  0.9749     0.9756  0.0251     0.0244     0.3981         0.4084
     26   3.12    20.88  0.9723     0.9733  0.0277     0.0267     0.3772         0.3841
     27   3.19    20.12  0.9821     0.9831  0.0179     0.0169     0.3458         0.3563
     28   3.17    19.51  0.9820     0.9821  0.0180     0.0179     0.3778         0.3909
     29   3.18    19.85  0.9813     0.9818  0.0187     0.0182     0.3222         0.3342
     30   3.17    19.32  0.9792     0.9804  0.0208     0.0196     0.3115         0.3194
     31   3.13    18.65  0.9770     0.9781  0.0230     0.0219     0.3284         0.3389
     32   3.17    18.66  0.9804     0.9817  0.0196     0.0183     0.4195         0.4296
     33   3.19    17.36  0.9830     0.9830  0.0170     0.0170     0.3802         0.3904
     34   3.17    17.94  0.9806     0.9819  0.0194     0.0181     0.3584         0.3770
     35   3.16    17.18  0.9819     0.9822  0.0181     0.0178     0.4253         0.4352
     36   3.08    20.43  0.9723     0.9738  0.0277     0.0262     0.3512         0.3629
     37   3.15    17.67  0.9809     0.9812  0.0191     0.0188     0.3982         0.4100
     38   3.17    16.97  0.9812     0.9815  0.0188     0.0185     0.3684         0.3771
     39   3.18    18.63  0.9838     0.9837  0.0162     0.0163     0.4449         0.4519
     40   3.19    16.13  0.9837     0.9841  0.0163     0.0159     0.4464         0.4567
     41   3.17    16.49  0.9822     0.9822  0.0178     0.0178     0.4272         0.4348
     42   3.18    16.35  0.9836     0.9848  0.0164     0.0152     0.3827         0.3925
     43   3.19    15.88  0.9855     0.9853  0.0145     0.0147     0.4005         0.4081
     44   3.16    16.69  0.9818     0.9824  0.0182     0.0176     0.4077         0.4199
     45   3.17    16.01  0.9830     0.9831  0.0170     0.0169     0.4251         0.4353
     46   3.17    17.26  0.9813     0.9816  0.0187     0.0184     0.3177         0.3232
     47   3.16    15.74  0.9812     0.9814  0.0188     0.0186     0.3874         0.3964
     48   3.19    17.42  0.9846     0.9846  0.0154     0.0154     0.3605         0.3677
     49   3.17    15.47  0.9824     0.9840  0.0176     0.0160     0.4268         0.4327
     50   3.19    14.86  0.9855     0.9859  0.0145     0.0141     0.4791         0.4889
     51   3.19    16.87  0.9845     0.9842  0.0155     0.0158     0.3778         0.3809
     52   3.20    15.47  0.9851     0.9854  0.0149     0.0146     0.3892         0.3980
     53   3.18    15.64  0.9843     0.9848  0.0157     0.0152     0.4230         0.4307
     54   3.10    17.17  0.9743     0.9743  0.0257     0.0257     0.3213         0.3275
     55   3.17    15.94  0.9826     0.9830  0.0174     0.0170     0.4136         0.4220
     56   3.18    15.02  0.9839     0.9848  0.0161     0.0152     0.4559         0.4690
     57   3.18    15.17  0.9848     0.9855  0.0152     0.0145     0.4228         0.4289
     58   3.17    14.85  0.9834     0.9843  0.0166     0.0157     0.4236         0.4348
     59   3.20    14.99  0.9859     0.9862  0.0141     0.0138     0.4834         0.4899
     60   3.20    14.46  0.9858     0.9864  0.0142     0.0136     0.5010         0.5074
     61   3.17    16.38  0.9828     0.9841  0.0172     0.0159     0.3751         0.3831
     62   3.18    20.54  0.9845     0.9852  0.0155     0.0148     0.3980         0.4004
     63   3.18    14.59  0.9840     0.9851  0.0160     0.0149     0.4580         0.4625
     64   3.16    15.27  0.9820     0.9835  0.0180     0.0165     0.3790         0.3881
     65   3.18    15.71  0.9845     0.9848  0.0155     0.0152     0.3915         0.3952
     66   3.17    14.05  0.9838     0.9846  0.0162     0.0154     0.4258         0.4335
     67   3.15    14.93  0.9816     0.9823  0.0184     0.0177     0.3490         0.3497
     68   3.18    16.71  0.9850     0.9847  0.0150     0.0153     0.4771         0.4821
     69   3.17    14.48  0.9843     0.9856  0.0157     0.0144     0.4687         0.4759
     70   3.19    14.65  0.9856     0.9856  0.0144     0.0144     0.4872         0.4940
     71   3.11    14.78  0.9769     0.9780  0.0231     0.0220     0.3498         0.3563
     72   3.16    13.99  0.9833     0.9844  0.0167     0.0156     0.4120         0.4207
     73   3.19    13.89  0.9852     0.9851  0.0148     0.0149     0.4288         0.4350
     74   3.19    13.96  0.9856     0.9859  0.0144     0.0141     0.4085         0.4151
     75   3.18    13.94  0.9852     0.9851  0.0148     0.0149     0.4351         0.4432
     76   3.16    15.18  0.9824     0.9834  0.0176     0.0166     0.3536         0.3570
     77   3.16    13.92  0.9837     0.9848  0.0163     0.0152     0.4247         0.4328
     78   3.18    14.33  0.9845     0.9844  0.0155     0.0156     0.4116         0.4162
     79   3.17    13.73  0.9855     0.9851  0.0145     0.0149     0.4739         0.4787
     80   3.16    14.02  0.9843     0.9839  0.0157     0.0161     0.4358         0.4423
     81   3.15    13.45  0.9832     0.9842  0.0168     0.0158     0.4787         0.4858
     82   3.16    14.47  0.9834     0.9834  0.0166     0.0166     0.4611         0.4678
     83   3.17    13.50  0.9844     0.9853  0.0156     0.0147     0.5134         0.5192
     84   3.18    14.88  0.9857     0.9851  0.0143     0.0149     0.5105         0.5145
     85   3.17    13.80  0.9838     0.9853  0.0162     0.0147     0.4811         0.4874
     86   3.18    14.13  0.9860     0.9861  0.0140     0.0139     0.4602         0.4659
     87   3.19    14.23  0.9857     0.9859  0.0143     0.0141     0.4158         0.4193
     88   3.18    14.60  0.9850     0.9858  0.0150     0.0142     0.3900         0.3930
     89   3.14    15.07  0.9810     0.9823  0.0190     0.0177     0.3536         0.3623
     90   3.16    13.76  0.9845     0.9848  0.0155     0.0152     0.4553         0.4601
     91   3.15    14.17  0.9829     0.9846  0.0171     0.0154     0.4745         0.4811
     92   3.16    15.01  0.9853     0.9852  0.0147     0.0148     0.5236         0.5287
     93   3.17    13.39  0.9845     0.9860  0.0155     0.0140     0.5087         0.5145
     94   3.18    13.98  0.9861     0.9863  0.0139     0.0137     0.5052         0.5088
     95   3.18    13.46  0.9863     0.9870  0.0137     0.0130     0.4937         0.4989
     96   3.18    13.82  0.9855     0.9863  0.0145     0.0137     0.4770         0.4801
     97   3.18    13.57  0.9855     0.9867  0.0145     0.0133     0.4725         0.4733
     98   3.17    13.16  0.9854     0.9855  0.0146     0.0145     0.4858         0.4920
