  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10    70.13  0.9543     0.9574  0.0457     0.0426     0.0279         0.0278
      2   3.16    55.13  0.9652     0.9686  0.0348     0.0314     0.0267         0.0286
      3   3.17    49.80  0.9690     0.9717  0.0310     0.0283     0.0310         0.0312
      4   3.17    41.50  0.9695     0.9709  0.0305     0.0291     0.0475         0.0486
      5   3.21    42.46  0.9777     0.9782  0.0223     0.0218     0.0484         0.0498
      6   3.19    36.68  0.9752     0.9765  0.0248     0.0235     0.0546         0.0564
      7   3.18    35.12  0.9739     0.9760  0.0261     0.0240     0.0649         0.0705
      8   3.21    36.51  0.9798     0.9799  0.0202     0.0201     0.0705         0.0733
      9   3.20    33.31  0.9793     0.9796  0.0207     0.0204     0.1353         0.1419
     10   3.20    32.42  0.9788     0.9798  0.0212     0.0202     0.1377         0.1431
     11   3.21    29.26  0.9804     0.9817  0.0196     0.0183     0.1881         0.1965
     12   3.19    30.92  0.9762     0.9769  0.0238     0.0231     0.1427         0.1474
     13   3.18    44.58  0.9749     0.9749  0.0251     0.0251     0.1538         0.1550
     14   3.20    37.26  0.9797     0.9804  0.0203     0.0196     0.1395         0.1422
     15   3.19    26.25  0.9790     0.9796  0.0210     0.0204     0.3106         0.3195
     16   3.18    26.04  0.9777     0.9787  0.0223     0.0213     0.2686         0.2744
     17   3.13    27.30  0.9727     0.9734  0.0273     0.0266     0.3027         0.3095
     18   3.21    31.92  0.9829     0.9831  0.0171     0.0169     0.3255         0.3388
     19   3.21    25.22  0.9819     0.9827  0.0181     0.0173     0.2270         0.2343
     20   3.18    26.03  0.9787     0.9802  0.0213     0.0198     0.2331         0.2413
     21   3.19    25.91  0.9804     0.9803  0.0196     0.0197     0.2993         0.3050
     22   3.21    24.35  0.9830     0.9835  0.0170     0.0165     0.2530         0.2603
     23   3.15    26.12  0.9753     0.9756  0.0247     0.0244     0.3356         0.3453
     24   3.20    23.60  0.9830     0.9833  0.0170     0.0167     0.3108         0.3240
     25   3.20    23.46  0.9815     0.9820  0.0185     0.0180     0.3210         0.3296
     26   3.20    23.20  0.9818     0.9820  0.0182     0.0180     0.2998         0.3075
     27   3.17    25.03  0.9777     0.9778  0.0223     0.0222     0.3043         0.3117
     28   3.20    21.53  0.9826     0.9827  0.0174     0.0173     0.2822         0.2906
     29   3.19    22.42  0.9820     0.9831  0.0180     0.0169     0.2264         0.2360
     30   3.18    21.93  0.9813     0.9824  0.0187     0.0176     0.2474         0.2565
     31   3.20    21.12  0.9843     0.9846  0.0157     0.0154     0.2637         0.2713
     32   3.16    22.76  0.9781     0.9792  0.0219     0.0208     0.2717         0.2805
     33   3.17    26.58  0.9814     0.9817  0.0186     0.0183     0.2841         0.2925
     34   3.20    20.03  0.9849     0.9854  0.0151     0.0146     0.3728         0.3805
     35   3.20    24.56  0.9836     0.9834  0.0164     0.0166     0.2504         0.2569
     36   3.19    21.01  0.9839     0.9841  0.0161     0.0159     0.2990         0.3050
     37   3.19    20.58  0.9831     0.9834  0.0169     0.0166     0.3088         0.3167
     38   3.17    21.21  0.9801     0.9800  0.0199     0.0200     0.2944         0.2984
     39   3.19    21.50  0.9820     0.9823  0.0180     0.0177     0.2794         0.2891
     40   3.20    19.43  0.9837     0.9841  0.0163     0.0159     0.3466         0.3560
     41   3.17    20.61  0.9798     0.9804  0.0202     0.0196     0.2800         0.2915
     42   3.17    24.67  0.9805     0.9805  0.0195     0.0195     0.2724         0.2802
     43   3.18    19.82  0.9837     0.9831  0.0163     0.0169     0.3551         0.3623
     44   3.19    19.92  0.9842     0.9843  0.0158     0.0157     0.3885         0.3962
     45   3.19    19.58  0.9826     0.9838  0.0174     0.0162     0.3457         0.3542
     46   3.21    18.51  0.9871     0.9862  0.0129     0.0138     0.4213         0.4291
     47   3.17    21.34  0.9813     0.9806  0.0187     0.0194     0.2746         0.2819
     48   3.20    19.95  0.9842     0.9855  0.0158     0.0145     0.2963         0.3034
     49   3.21    18.13  0.9869     0.9875  0.0131     0.0125     0.3435         0.3524
     50   3.20    17.62  0.9864     0.9871  0.0136     0.0129     0.4095         0.4194
     51   3.17    19.36  0.9817     0.9828  0.0183     0.0172     0.2724         0.2800
     52   3.20    19.69  0.9856     0.9854  0.0144     0.0146     0.3071         0.3152
     53   3.20    19.11  0.9861     0.9860  0.0139     0.0140     0.3764         0.3822
     54   3.16    19.84  0.9802     0.9811  0.0198     0.0189     0.3222         0.3294
     55   3.18    19.57  0.9833     0.9833  0.0167     0.0167     0.2687         0.2758
     56   3.20    18.32  0.9868     0.9872  0.0132     0.0128     0.3739         0.3817
     57   3.19    20.35  0.9847     0.9856  0.0153     0.0144     0.3893         0.3922
     58   3.17    19.52  0.9824     0.9832  0.0176     0.0168     0.2795         0.2884
     59   3.19    17.72  0.9846     0.9853  0.0154     0.0147     0.3315         0.3390
     60   3.20    17.35  0.9863     0.9871  0.0137     0.0129     0.3647         0.3727
     61   3.19    18.08  0.9854     0.9851  0.0146     0.0149     0.3053         0.3092
     62   3.17    17.52  0.9836     0.9837  0.0164     0.0163     0.3473         0.3563
     63   3.17    21.07  0.9826     0.9831  0.0174     0.0169     0.3255         0.3320
     64   3.19    17.67  0.9835     0.9830  0.0165     0.0170     0.3293         0.3343
     65   3.20    17.57  0.9853     0.9861  0.0147     0.0139     0.3343         0.3383
     66   3.20    17.93  0.9857     0.9860  0.0143     0.0140     0.3392         0.3439
     67   3.17    18.48  0.9821     0.9820  0.0179     0.0180     0.2294         0.2365
     68   3.19    17.49  0.9858     0.9866  0.0142     0.0134     0.3176         0.3230
     69   3.18    16.93  0.9838     0.9846  0.0162     0.0154     0.3835         0.3879
     70   3.17    17.51  0.9829     0.9823  0.0171     0.0177     0.3277         0.3350
     71   3.19    16.94  0.9860     0.9867  0.0140     0.0133     0.3424         0.3481
     72   3.20    17.48  0.9864     0.9867  0.0136     0.0133     0.3749         0.3801
     73   3.20    18.15  0.9867     0.9870  0.0133     0.0130     0.3898         0.3959
     74   3.20    16.74  0.9867     0.9873  0.0133     0.0127     0.3978         0.3993
     75   3.20    17.11  0.9866     0.9877  0.0134     0.0123     0.3955         0.3986
     76   3.19    15.98  0.9862     0.9873  0.0138     0.0127     0.4113         0.4162
     77   3.16    18.57  0.9799     0.9810  0.0201     0.0190     0.2428         0.2494
     78   3.17    16.30  0.9852     0.9860  0.0148     0.0140     0.3370         0.3403
     79   3.19    16.73  0.9852     0.9863  0.0148     0.0137     0.3538         0.3589
     80   3.19    17.25  0.9858     0.9854  0.0142     0.0146     0.3526         0.3559
     81   3.18    17.68  0.9853     0.9857  0.0147     0.0143     0.4100         0.4125
     82   3.19    24.56  0.9856     0.9855  0.0144     0.0145     0.4409         0.4412
     83   3.19    15.97  0.9847     0.9860  0.0153     0.0140     0.4418         0.4462
     84   3.19    16.25  0.9857     0.9863  0.0143     0.0137     0.4141         0.4207
     85   3.19    15.91  0.9865     0.9856  0.0135     0.0144     0.4131         0.4195
     86   3.19    15.91  0.9855     0.9864  0.0145     0.0136     0.4014         0.4051
     87   3.20    16.93  0.9869     0.9873  0.0131     0.0127     0.3662         0.3691
     88   3.19    17.03  0.9859     0.9861  0.0141     0.0139     0.3346         0.3394
     89   3.19    15.72  0.9864     0.9866  0.0136     0.0134     0.3765         0.3798
     90   3.19    15.79  0.9870     0.9863  0.0130     0.0137     0.4430         0.4481
     91   3.18    15.63  0.9865     0.9864  0.0135     0.0136     0.4272         0.4328
     92   3.18    16.05  0.9862     0.9869  0.0138     0.0131     0.4528         0.4564
     93   3.18    15.80  0.9859     0.9868  0.0141     0.0132     0.4586         0.4611
     94   3.17    15.85  0.9844     0.9849  0.0156     0.0151     0.4378         0.4418
     95   3.18    16.44  0.9850     0.9869  0.0150     0.0131     0.3983         0.4003
     96   3.18    16.64  0.9852     0.9853  0.0148     0.0147     0.4504         0.4566
     97   3.18    15.47  0.9845     0.9849  0.0155     0.0151     0.4405         0.4455
     98   3.17    15.50  0.9846     0.9845  0.0154     0.0155     0.4224         0.4275
     99   3.19    15.29  0.9863     0.9863  0.0137     0.0137     0.4384         0.4438
    100   3.19    15.71  0.9860     0.9860  0.0140     0.0140     0.4360         0.4397
    101   3.18    15.29  0.9858     0.9865  0.0142     0.0135     0.4082         0.4124
    102   3.19    15.16  0.9859     0.9870  0.0141     0.0130     0.4450         0.4504
    103   3.19    15.66  0.9857     0.9867  0.0143     0.0133     0.4249         0.4267
    104   3.19    15.18  0.9865     0.9866  0.0135     0.0134     0.4056         0.4106
    105   3.17    15.11  0.9855     0.9857  0.0145     0.0143     0.3705         0.3765
    106   3.15    15.27  0.9824     0.9835  0.0176     0.0165     0.3861         0.3892
    107   3.19    15.62  0.9849     0.9857  0.0151     0.0143     0.4104         0.4129
    108   3.18    14.90  0.9856     0.9869  0.0144     0.0131     0.4311         0.4384
    109   3.18    16.27  0.9843     0.9848  0.0157     0.0152     0.4488         0.4517
    110   3.19    15.40  0.9859     0.9861  0.0141     0.0139     0.3886         0.3922
    111   3.18    14.87  0.9861     0.9871  0.0139     0.0129     0.4145         0.4201
    112   3.18    15.32  0.9871     0.9868  0.0129     0.0132     0.4052         0.4111
    113   3.18    15.18  0.9858     0.9868  0.0142     0.0132     0.3888         0.3932
    114   3.18    15.01  0.9855     0.9869  0.0145     0.0131     0.3951         0.3965
    115   3.18    14.82  0.9865     0.9870  0.0135     0.0130     0.3838         0.3897
    116   3.19    15.90  0.9859     0.9861  0.0141     0.0139     0.3970         0.4008
    117   3.18    15.52  0.9846     0.9851  0.0154     0.0149     0.3858         0.3921
    118   3.18    15.30  0.9862     0.9861  0.0138     0.0139     0.3836         0.3862
    119   3.19    14.50  0.9861     0.9866  0.0139     0.0134     0.4377         0.4452
    120   3.19    16.44  0.9875     0.9871  0.0125     0.0129     0.3967         0.3997
    121   3.18    14.83  0.9860     0.9864  0.0140     0.0136     0.4221         0.4280
    122   3.19    15.08  0.9861     0.9863  0.0139     0.0137     0.4262         0.4331
    123   3.18    14.84  0.9861     0.9862  0.0139     0.0138     0.4347         0.4428
    124   3.17    15.30  0.9859     0.9863  0.0141     0.0137     0.4448         0.4482
    125   3.18    16.17  0.9868     0.9868  0.0132     0.0132     0.4667         0.4682
    126   3.17    14.81  0.9858     0.9866  0.0142     0.0134     0.4773         0.4814
