  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   2.89    15.82  0.9192     0.9439  0.0808     0.0561     0.0538         0.0541
      2   3.00    13.34  0.9423     0.9619  0.0577     0.0381     0.0455         0.0487
      3   3.10    16.77  0.9654     0.9692  0.0346     0.0308     0.0569         0.0590
      4   3.12    13.54  0.9676     0.9720  0.0324     0.0280     0.1150         0.1191
      5   3.13    15.55  0.9725     0.9775  0.0275     0.0225     0.1635         0.1648
      6   3.08    13.18  0.9640     0.9756  0.0360     0.0244     0.2558         0.2703
      7   3.11    11.55  0.9700     0.9792  0.0300     0.0208     0.3204         0.3372
      8   3.12    10.65  0.9707     0.9775  0.0293     0.0225     0.3148         0.3234
      9   3.15    12.17  0.9759     0.9806  0.0241     0.0194     0.3739         0.3810
     10   3.15    13.97  0.9765     0.9797  0.0235     0.0203     0.4497         0.4551
     11   3.08    11.06  0.9639     0.9730  0.0361     0.0270     0.4198         0.4312
     12   3.11     9.96  0.9700     0.9794  0.0300     0.0206     0.4793         0.4960
     13   3.15    10.92  0.9763     0.9800  0.0237     0.0200     0.5014         0.5081
     14   3.15    10.32  0.9748     0.9795  0.0252     0.0205     0.5103         0.5207
     15   3.04    11.98  0.9615     0.9745  0.0385     0.0255     0.5218         0.5437
     16   3.14    10.54  0.9760     0.9840  0.0240     0.0160     0.5285         0.5509
     17   3.13     9.61  0.9742     0.9836  0.0258     0.0164     0.5642         0.5838
     18   3.13     9.67  0.9739     0.9804  0.0261     0.0196     0.5303         0.5444
     19   3.07     9.98  0.9671     0.9748  0.0329     0.0252     0.5254         0.5403
     20   3.15     9.68  0.9763     0.9819  0.0237     0.0181     0.5820         0.5934
     21   3.14     9.54  0.9771     0.9834  0.0229     0.0166     0.5633         0.5759
     22   3.16    11.05  0.9786     0.9829  0.0214     0.0171     0.5870         0.5942
     23   3.15     9.37  0.9785     0.9838  0.0215     0.0162     0.6353         0.6554
