  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   2.88    24.72  0.9133     0.9301  0.0867     0.0699     0.0602         0.0607
      2   3.09    22.63  0.9579     0.9654  0.0421     0.0346     0.0460         0.0478
      3   3.10    16.79  0.9610     0.9656  0.0390     0.0344     0.1086         0.1133
      4   3.16    16.96  0.9717     0.9766  0.0283     0.0234     0.0978         0.1017
      5   3.11    15.11  0.9642     0.9697  0.0358     0.0303     0.1824         0.1896
      6   3.12    14.86  0.9686     0.9731  0.0314     0.0269     0.2359         0.2413
      7   3.15    14.13  0.9734     0.9769  0.0266     0.0231     0.2808         0.2889
      8   3.15    15.17  0.9738     0.9776  0.0262     0.0224     0.2636         0.2732
      9   3.17    17.22  0.9772     0.9800  0.0228     0.0200     0.3302         0.3362
     10   3.18    13.80  0.9798     0.9825  0.0202     0.0175     0.4010         0.4120
     11   3.18    13.83  0.9807     0.9836  0.0193     0.0164     0.3899         0.4004
     12   3.18    20.05  0.9793     0.9803  0.0207     0.0197     0.4177         0.4237
     13   3.15    13.25  0.9765     0.9795  0.0235     0.0205     0.4175         0.4314
     14   3.13    13.16  0.9737     0.9753  0.0263     0.0247     0.4749         0.4983
     15   3.17    11.94  0.9783     0.9816  0.0217     0.0184     0.5185         0.5387
     16   3.14    13.68  0.9761     0.9808  0.0239     0.0192     0.4617         0.4832
     17   3.17    12.55  0.9803     0.9830  0.0197     0.0170     0.5129         0.5355
     18   3.14    11.94  0.9753     0.9795  0.0247     0.0205     0.4878         0.5067
     19   3.14    13.12  0.9773     0.9796  0.0227     0.0204     0.4513         0.4651
     20   3.18    12.07  0.9823     0.9850  0.0177     0.0150     0.4778         0.4993
     21   3.18    14.45  0.9818     0.9831  0.0182     0.0169     0.4943         0.5042
     22   3.15    11.64  0.9776     0.9813  0.0224     0.0187     0.4923         0.5103
     23   3.16    11.39  0.9803     0.9820  0.0197     0.0180     0.5324         0.5473
     24   3.13    10.92  0.9765     0.9803  0.0235     0.0197     0.5610         0.5875
     25   3.16    10.79  0.9797     0.9841  0.0203     0.0159     0.5063         0.5259
     26   3.15    11.01  0.9787     0.9830  0.0213     0.0170     0.5418         0.5589
     27   3.16    11.05  0.9797     0.9847  0.0203     0.0153     0.4905         0.5091
     28   3.16    12.80  0.9813     0.9834  0.0187     0.0166     0.5639         0.5805
     29   3.14    10.60  0.9774     0.9822  0.0226     0.0178     0.5845         0.6055
     30   3.11    11.53  0.9763     0.9778  0.0237     0.0222     0.5462         0.5609
     31   3.11    11.16  0.9735     0.9787  0.0265     0.0213     0.5127         0.5262
     32   3.15    10.70  0.9779     0.9828  0.0221     0.0172     0.4790         0.4981
     33   3.18    11.72  0.9834     0.9848  0.0166     0.0152     0.5434         0.5527
     34   3.15    11.67  0.9803     0.9833  0.0197     0.0167     0.5438         0.5625
     35   3.17    10.68  0.9816     0.9848  0.0184     0.0152     0.5506         0.5649
     36   3.18    11.40  0.9825     0.9851  0.0175     0.0149     0.5491         0.5676
     37   3.16    12.71  0.9815     0.9837  0.0185     0.0163     0.6390         0.6523
     38   3.15    10.72  0.9808     0.9833  0.0192     0.0167     0.6059         0.6171
     39   3.15    10.88  0.9814     0.9844  0.0186     0.0156     0.5843         0.6002
     40   3.17    11.53  0.9833     0.9849  0.0167     0.0151     0.6016         0.6150
     41   3.17    10.14  0.9830     0.9852  0.0170     0.0148     0.5876         0.6012
     42   3.15    10.79  0.9804     0.9845  0.0196     0.0155     0.5348         0.5490
     43   3.16    11.18  0.9821     0.9846  0.0179     0.0154     0.5482         0.5630
     44   3.18    10.80  0.9836     0.9846  0.0164     0.0154     0.6148         0.6256
     45   3.16    10.15  0.9811     0.9852  0.0189     0.0148     0.6355         0.6528
     46   3.18    10.24  0.9846     0.9867  0.0154     0.0133     0.6475         0.6618
     47   3.17    10.08  0.9822     0.9869  0.0178     0.0131     0.5986         0.6129
     48   3.17    10.65  0.9831     0.9861  0.0169     0.0139     0.5764         0.5872
     49   3.17    10.18  0.9815     0.9861  0.0185     0.0139     0.5667         0.5827
     50   3.14    10.38  0.9809     0.9832  0.0191     0.0168     0.5622         0.5743
     51   3.17    10.66  0.9825     0.9846  0.0175     0.0154     0.6001         0.6082
     52   3.16    10.13  0.9820     0.9856  0.0180     0.0144     0.5982         0.6101
     53   3.17     9.82  0.9823     0.9866  0.0177     0.0134     0.5585         0.5715
     54   3.15     9.92  0.9815     0.9855  0.0185     0.0145     0.5187         0.5336
     55   3.14     9.84  0.9793     0.9839  0.0207     0.0161     0.6239         0.6378
     56   3.14     9.93  0.9800     0.9844  0.0200     0.0156     0.6125         0.6271
     57   3.15    10.18  0.9827     0.9864  0.0173     0.0136     0.6439         0.6533
     58   3.15    10.65  0.9825     0.9845  0.0175     0.0155     0.6334         0.6422
     59   3.17    11.92  0.9831     0.9851  0.0169     0.0149     0.6448         0.6550
     60   3.14    10.28  0.9811     0.9840  0.0189     0.0160     0.5415         0.5508
     61   3.15    10.37  0.9825     0.9845  0.0175     0.0155     0.5772         0.5880
     62   3.16    10.46  0.9828     0.9864  0.0172     0.0136     0.5462         0.5522
     63   3.13    10.19  0.9777     0.9834  0.0223     0.0166     0.5353         0.5455
     64   3.18    10.79  0.9858     0.9875  0.0142     0.0125     0.5874         0.5920
     65   3.16    10.24  0.9812     0.9848  0.0188     0.0152     0.6040         0.6104
     66   3.15    10.39  0.9814     0.9850  0.0186     0.0150     0.5371         0.5434
     67   3.18    10.17  0.9841     0.9865  0.0159     0.0135     0.5508         0.5563
     68   3.15    10.40  0.9830     0.9854  0.0170     0.0146     0.5688         0.5745
     69   3.15    10.34  0.9825     0.9851  0.0175     0.0149     0.6232         0.6289
     70   3.19    11.18  0.9862     0.9879  0.0138     0.0121     0.6320         0.6391
     71   3.18     9.71  0.9831     0.9873  0.0169     0.0127     0.5523         0.5591
     72   3.18    10.89  0.9851     0.9872  0.0149     0.0128     0.5573         0.5654
     73   3.14    10.80  0.9825     0.9832  0.0175     0.0168     0.4842         0.4896
     74   3.14    11.39  0.9809     0.9827  0.0191     0.0173     0.5818         0.5876
     75   3.15     9.95  0.9820     0.9852  0.0180     0.0148     0.6390         0.6461
     76   3.15     9.59  0.9831     0.9855  0.0169     0.0145     0.6273         0.6335
     77   3.13     9.55  0.9817     0.9856  0.0183     0.0144     0.6289         0.6352
     78   3.11     9.68  0.9785     0.9842  0.0215     0.0158     0.5607         0.5675
     79   3.15     9.81  0.9816     0.9864  0.0184     0.0136     0.5395         0.5494
     80   3.16    10.19  0.9829     0.9861  0.0171     0.0139     0.6092         0.6129
     81   3.16     9.65  0.9831     0.9861  0.0169     0.0139     0.6226         0.6307
     82   3.09     9.74  0.9773     0.9819  0.0227     0.0181     0.5504         0.5628
     83   3.15     9.81  0.9813     0.9848  0.0187     0.0152     0.6076         0.6140
     84   3.14     9.93  0.9827     0.9849  0.0173     0.0151     0.6277         0.6325
     85   3.17    11.30  0.9840     0.9868  0.0160     0.0132     0.5914         0.5967
     86   3.14     9.63  0.9797     0.9837  0.0203     0.0163     0.5404         0.5470
     87   3.12     9.54  0.9784     0.9836  0.0216     0.0164     0.5905         0.5977
     88   3.12     9.49  0.9816     0.9839  0.0184     0.0161     0.6131         0.6201
     89   3.13     9.75  0.9812     0.9848  0.0188     0.0152     0.6114         0.6170
     90   3.14     9.49  0.9809     0.9858  0.0191     0.0142     0.5916         0.5983
     91   3.15     9.48  0.9820     0.9860  0.0180     0.0140     0.6297         0.6368
     92   3.13     9.38  0.9813     0.9859  0.0187     0.0141     0.5781         0.5851
     93   3.14     9.98  0.9815     0.9849  0.0185     0.0151     0.5804         0.5867
     94   3.16     9.40  0.9833     0.9877  0.0167     0.0123     0.6234         0.6312
     95   3.18     9.56  0.9857     0.9882  0.0143     0.0118     0.5990         0.6059
     96   3.16     9.47  0.9827     0.9879  0.0173     0.0121     0.6147         0.6209
     97   3.18     9.70  0.9849     0.9880  0.0151     0.0120     0.5940         0.5998
     98   3.15     9.62  0.9824     0.9861  0.0176     0.0139     0.6035         0.6117
     99   3.14     9.58  0.9813     0.9854  0.0187     0.0146     0.6671         0.6730
    100   3.16     9.52  0.9837     0.9873  0.0163     0.0127     0.7093         0.7154
    101   3.17     9.89  0.9847     0.9877  0.0153     0.0123     0.7028         0.7088
    102   3.16     9.41  0.9838     0.9871  0.0162     0.0129     0.6960         0.7022
    103   3.16     9.72  0.9837     0.9867  0.0163     0.0133     0.6250         0.6310
    104   3.17     9.50  0.9836     0.9871  0.0164     0.0129     0.6075         0.6126
    105   3.16     9.69  0.9838     0.9864  0.0162     0.0136     0.6149         0.6199
    106   3.16     9.44  0.9825     0.9868  0.0175     0.0132     0.5782         0.5852
    107   3.17     9.98  0.9840     0.9873  0.0160     0.0127     0.5351         0.5412
    108   3.14    10.11  0.9832     0.9859  0.0168     0.0141     0.5850         0.5896
    109   3.17     9.89  0.9843     0.9866  0.0157     0.0134     0.6393         0.6433
    110   3.15     9.71  0.9836     0.9869  0.0164     0.0131     0.6636         0.6689
    111   3.16     9.75  0.9846     0.9873  0.0154     0.0127     0.6377         0.6431
    112   3.17     9.48  0.9830     0.9870  0.0170     0.0130     0.6288         0.6346
    113   3.15    10.55  0.9827     0.9851  0.0173     0.0149     0.6479         0.6514
    114   3.16     9.43  0.9835     0.9871  0.0165     0.0129     0.6624         0.6676
    115   3.16    10.15  0.9850     0.9873  0.0150     0.0127     0.6408         0.6427
    116   3.17     9.40  0.9829     0.9871  0.0171     0.0129     0.6576         0.6631
    117   3.17     9.55  0.9834     0.9876  0.0166     0.0124     0.6407         0.6460
    118   3.16     9.87  0.9830     0.9854  0.0170     0.0146     0.5907         0.5945
    119   3.15     9.44  0.9836     0.9871  0.0164     0.0129     0.6360         0.6392
    120   3.16     9.44  0.9827     0.9859  0.0173     0.0141     0.6194         0.6261
    121   3.16     9.21  0.9830     0.9874  0.0170     0.0126     0.6307         0.6357
