t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,1.6634947061538696,4.743680953979492,0.633400022983551,0.8866999745368958,0.366599977016449,0.11330002546310425,0.21320000290870667,0.225600004196167
2,2.306933879852295,4.881917953491211,0.8050000071525574,0.941100001335144,0.19499999284744263,0.05889999866485596,0.14640000462532043,0.14949999749660492
3,2.4832842350006104,6.259618759155273,0.8593000173568726,0.953499972820282,0.14069998264312744,0.04650002717971802,0.11150000244379044,0.11320000141859055
4,2.5129079818725586,4.420391082763672,0.8511000275611877,0.9632999897003174,0.14889997243881226,0.03670001029968262,0.14509999752044678,0.15029999613761902
5,2.5116703510284424,4.3830461502075195,0.8406999707221985,0.968999981880188,0.1593000292778015,0.03100001811981201,0.16840000450611115,0.17630000412464142
6,2.720290184020996,6.561375617980957,0.902999997138977,0.9714999794960022,0.09700000286102295,0.028500020503997803,0.12219999730587006,0.12890000641345978
7,2.6792938709259033,4.686321258544922,0.8833000063896179,0.9717000126838684,0.11669999361038208,0.028299987316131592,0.15410000085830688,0.16269999742507935
8,2.672776460647583,4.364434242248535,0.8766000270843506,0.9732999801635742,0.12339997291564941,0.02670001983642578,0.17749999463558197,0.19359999895095825
9,2.754366397857666,6.136235237121582,0.9009000062942505,0.970300018787384,0.09909999370574951,0.029699981212615967,0.20640000700950623,0.21770000457763672
10,2.796257972717285,5.842401027679443,0.9079999923706055,0.975600004196167,0.09200000762939453,0.024399995803833008,0.20990000665187836,0.226500004529953
11,2.681793212890625,4.772483825683594,0.8723000288009644,0.9797000288963318,0.12769997119903564,0.020299971103668213,0.26330000162124634,0.3027999997138977
12,2.8570594787597656,5.583879470825195,0.9192000031471252,0.9804999828338623,0.08079999685287476,0.019500017166137695,0.2694000005722046,0.2858999967575073
13,2.713196039199829,4.351499557495117,0.8792999982833862,0.9742000102996826,0.12070000171661377,0.025799989700317383,0.2892000079154968,0.3221000134944916
14,2.835297107696533,5.055659294128418,0.9139999747276306,0.9797000288963318,0.08600002527236938,0.020299971103668213,0.289900004863739,0.311599999666214
15,2.6447272300720215,4.913431644439697,0.85589998960495,0.9796000123023987,0.14410001039505005,0.02039998769760132,0.36649999022483826,0.4072999954223633
16,2.763076066970825,4.4338202476501465,0.8895000219345093,0.9799000024795532,0.11049997806549072,0.020099997520446777,0.35910001397132874,0.39969998598098755
17,2.688361167907715,4.036959171295166,0.8684999942779541,0.9803000092506409,0.1315000057220459,0.01969999074935913,0.40380001068115234,0.45019999146461487
18,2.777275562286377,4.540382385253906,0.8949000239372253,0.9746000170707703,0.10509997606277466,0.025399982929229736,0.39629998803138733,0.42500001192092896
19,2.874163866043091,5.648096084594727,0.9211999773979187,0.9799000024795532,0.0788000226020813,0.020099997520446777,0.34470000863075256,0.37220001220703125
20,2.8915698528289795,5.538994789123535,0.9239000082015991,0.9825000166893005,0.07609999179840088,0.017499983310699463,0.3962000012397766,0.42239999771118164
21,2.759291172027588,4.360894203186035,0.8853999972343445,0.9793999791145325,0.11460000276565552,0.02060002088546753,0.4390000104904175,0.4796000123023987
