  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   1.66     4.74  0.6334     0.8867  0.3666     0.1133     0.2132         0.2256
      2   2.31     4.88  0.8050     0.9411  0.1950     0.0589     0.1464         0.1495
      3   2.48     6.26  0.8593     0.9535  0.1407     0.0465     0.1115         0.1132
      4   2.51     4.42  0.8511     0.9633  0.1489     0.0367     0.1451         0.1503
      5   2.51     4.38  0.8407     0.9690  0.1593     0.0310     0.1684         0.1763
      6   2.72     6.56  0.9030     0.9715  0.0970     0.0285     0.1222         0.1289
      7   2.68     4.69  0.8833     0.9717  0.1167     0.0283     0.1541         0.1627
      8   2.67     4.36  0.8766     0.9733  0.1234     0.0267     0.1775         0.1936
      9   2.75     6.14  0.9009     0.9703  0.0991     0.0297     0.2064         0.2177
     10   2.80     5.84  0.9080     0.9756  0.0920     0.0244     0.2099         0.2265
     11   2.68     4.77  0.8723     0.9797  0.1277     0.0203     0.2633         0.3028
     12   2.86     5.58  0.9192     0.9805  0.0808     0.0195     0.2694         0.2859
     13   2.71     4.35  0.8793     0.9742  0.1207     0.0258     0.2892         0.3221
     14   2.84     5.06  0.9140     0.9797  0.0860     0.0203     0.2899         0.3116
     15   2.64     4.91  0.8559     0.9796  0.1441     0.0204     0.3665         0.4073
     16   2.76     4.43  0.8895     0.9799  0.1105     0.0201     0.3591         0.3997
     17   2.69     4.04  0.8685     0.9803  0.1315     0.0197     0.4038         0.4502
     18   2.78     4.54  0.8949     0.9746  0.1051     0.0254     0.3963         0.4250
     19   2.87     5.65  0.9212     0.9799  0.0788     0.0201     0.3447         0.3722
     20   2.89     5.54  0.9239     0.9825  0.0761     0.0175     0.3962         0.4224
     21   2.76     4.36  0.8854     0.9794  0.1146     0.0206     0.4390         0.4796
     22   2.75     4.16  0.8832     0.9811  0.1168     0.0189     0.4540         0.5042
     23   2.92     6.08  0.9316     0.9803  0.0684     0.0197     0.3812         0.3994
     24   2.85     4.63  0.9090     0.9840  0.0910     0.0160     0.4875         0.5226
     25   2.68     4.45  0.8651     0.9806  0.1349     0.0194     0.4217         0.4709
     26   2.79     4.41  0.8927     0.9815  0.1073     0.0185     0.4322         0.4777
     27   2.80     4.22  0.8947     0.9844  0.1053     0.0156     0.4679         0.5123
     28   2.84     4.52  0.9079     0.9818  0.0921     0.0182     0.4546         0.4909
     29   2.84     4.41  0.9051     0.9829  0.0949     0.0171     0.4617         0.5036
     30   2.83     4.20  0.9053     0.9838  0.0947     0.0162     0.5210         0.5700
     31   2.74     4.26  0.8780     0.9841  0.1220     0.0159     0.5080         0.5647
     32   2.79     4.15  0.8906     0.9835  0.1094     0.0165     0.5206         0.5689
     33   2.79     4.27  0.8959     0.9826  0.1041     0.0174     0.4593         0.5034
     34   2.81     4.30  0.9010     0.9819  0.0990     0.0181     0.5158         0.5582
     35   2.80     4.49  0.9001     0.9804  0.0999     0.0196     0.5012         0.5446
     36   2.85     4.80  0.9134     0.9822  0.0866     0.0178     0.5598         0.6018
     37   2.85     4.64  0.9136     0.9815  0.0864     0.0185     0.4468         0.4873
     38   2.81     4.20  0.9019     0.9830  0.0981     0.0170     0.5796         0.6317
     39   2.76     4.25  0.8913     0.9797  0.1087     0.0203     0.5156         0.5617
     40   2.79     4.21  0.8978     0.9811  0.1022     0.0189     0.4665         0.5169
     41   2.86     5.05  0.9097     0.9831  0.0903     0.0169     0.4349         0.4705
     42   2.80     4.28  0.8958     0.9825  0.1042     0.0175     0.4449         0.4889
     43   2.72     4.26  0.8795     0.9819  0.1205     0.0181     0.4571         0.5147
     44   2.78     4.20  0.8937     0.9828  0.1063     0.0172     0.4689         0.5195
     45   2.80     4.31  0.9012     0.9806  0.0988     0.0194     0.5065         0.5499
     46   2.83     4.33  0.9059     0.9833  0.0941     0.0167     0.5225         0.5652
     47   2.80     4.30  0.8982     0.9812  0.1018     0.0188     0.4656         0.5092
     48   2.76     4.33  0.8840     0.9846  0.1160     0.0154     0.4544         0.5069
     49   2.76     4.11  0.8868     0.9849  0.1132     0.0151     0.4542         0.5045
     50   2.86     4.39  0.9125     0.9839  0.0875     0.0161     0.4366         0.4749
     51   2.85     4.45  0.9069     0.9845  0.0931     0.0155     0.4884         0.5276
     52   2.83     4.27  0.9030     0.9838  0.0970     0.0162     0.4284         0.4681
     53   2.84     4.31  0.9056     0.9849  0.0944     0.0151     0.4794         0.5268
     54   2.78     4.17  0.8964     0.9840  0.1036     0.0160     0.5276         0.5821
     55   2.82     4.19  0.9044     0.9829  0.0956     0.0171     0.4925         0.5361
     56   2.84     4.35  0.9052     0.9843  0.0948     0.0157     0.5138         0.5562
     57   2.76     4.23  0.8845     0.9837  0.1155     0.0163     0.5094         0.5633
     58   2.85     4.32  0.9092     0.9830  0.0908     0.0170     0.4966         0.5399
     59   2.88     4.83  0.9182     0.9839  0.0818     0.0161     0.5024         0.5372
     60   2.76     4.27  0.8836     0.9850  0.1164     0.0150     0.4452         0.4998
     61   2.86     4.37  0.9103     0.9831  0.0897     0.0169     0.4778         0.5210
     62   2.83     4.32  0.9050     0.9843  0.0950     0.0157     0.4447         0.4859
     63   2.86     4.47  0.9115     0.9846  0.0885     0.0154     0.5162         0.5591
     64   2.81     4.08  0.8927     0.9849  0.1073     0.0151     0.5184         0.5720
     65   2.80     4.27  0.8988     0.9831  0.1012     0.0169     0.4950         0.5399
     66   2.87     4.49  0.9121     0.9827  0.0879     0.0173     0.4606         0.5009
     67   2.79     4.21  0.8984     0.9814  0.1016     0.0186     0.5082         0.5493
     68   2.83     4.23  0.9016     0.9833  0.0984     0.0167     0.4980         0.5458
     69   2.87     4.76  0.9137     0.9829  0.0863     0.0171     0.4976         0.5427
     70   2.88     4.44  0.9128     0.9839  0.0872     0.0161     0.5295         0.5743
     71   2.80     4.31  0.9005     0.9834  0.0995     0.0166     0.5010         0.5478
     72   2.82     4.24  0.9025     0.9813  0.0975     0.0187     0.4609         0.5057
     73   2.78     4.26  0.8953     0.9795  0.1047     0.0205     0.5385         0.5901
     74   2.84     4.34  0.9032     0.9833  0.0968     0.0167     0.4765         0.5175
     75   2.83     4.23  0.9029     0.9851  0.0971     0.0149     0.5125         0.5628
     76   2.84     4.52  0.9135     0.9824  0.0865     0.0176     0.5189         0.5621
     77   2.87     4.43  0.9126     0.9838  0.0874     0.0162     0.5500         0.5886
     78   2.84     4.28  0.9061     0.9845  0.0939     0.0155     0.4792         0.5258
     79   2.83     4.40  0.9037     0.9833  0.0963     0.0167     0.4491         0.4886
     80   2.85     4.32  0.9080     0.9850  0.0920     0.0150     0.4547         0.4968
     81   2.85     4.26  0.9069     0.9846  0.0931     0.0154     0.5264         0.5710
     82   2.88     4.49  0.9126     0.9848  0.0874     0.0152     0.5062         0.5486
     83   2.78     4.19  0.8933     0.9821  0.1067     0.0179     0.4612         0.5031
     84   2.83     4.31  0.9059     0.9844  0.0941     0.0156     0.4735         0.5158
     85   2.85     4.37  0.9118     0.9834  0.0882     0.0166     0.5494         0.5971
     86   2.81     4.16  0.9010     0.9850  0.0990     0.0150     0.4755         0.5198
     87   2.79     4.09  0.8965     0.9841  0.1035     0.0159     0.5210         0.5710
     88   2.87     4.53  0.9077     0.9845  0.0923     0.0155     0.5266         0.5649
     89   2.80     4.11  0.8964     0.9841  0.1036     0.0159     0.4821         0.5298
     90   2.80     4.22  0.8971     0.9828  0.1029     0.0172     0.4934         0.5367
     91   2.84     4.40  0.9110     0.9853  0.0890     0.0147     0.5426         0.5836
     92   2.84     4.32  0.9082     0.9843  0.0918     0.0157     0.4819         0.5208
     93   2.85     4.32  0.9122     0.9854  0.0878     0.0146     0.5210         0.5651
     94   2.84     4.20  0.9052     0.9850  0.0948     0.0150     0.4867         0.5288
     95   2.81     4.27  0.9022     0.9856  0.0978     0.0144     0.4474         0.4864
     96   2.79     4.10  0.8940     0.9834  0.1060     0.0166     0.4769         0.5245
     97   2.86     4.43  0.9104     0.9854  0.0896     0.0146     0.5002         0.5452
     98   2.84     4.35  0.9085     0.9853  0.0915     0.0147     0.4070         0.4433
     99   2.83     4.25  0.9089     0.9828  0.0911     0.0172     0.4962         0.5384
    100   2.86     4.44  0.9104     0.9847  0.0896     0.0153     0.5089         0.5481
