  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   2.43    10.91  0.8459     0.9195  0.1541     0.0805     0.0901         0.0927
      2   2.71     7.22  0.9036     0.9548  0.0964     0.0452     0.0762         0.0783
      3   2.76     6.60  0.9146     0.9627  0.0854     0.0373     0.0746         0.0775
      4   2.79     7.24  0.9078     0.9677  0.0922     0.0323     0.0958         0.1018
      5   2.81     6.20  0.9113     0.9728  0.0887     0.0272     0.1265         0.1421
      6   2.80     7.02  0.9055     0.9701  0.0945     0.0299     0.1500         0.1642
      7   2.88     6.50  0.9315     0.9710  0.0685     0.0290     0.1371         0.1432
      8   3.01     8.98  0.9603     0.9795  0.0397     0.0205     0.1593         0.1643
      9   2.97     6.89  0.9469     0.9758  0.0531     0.0242     0.2521         0.2628
     10   2.97     7.47  0.9466     0.9749  0.0534     0.0251     0.2758         0.2880
     11   2.93     5.99  0.9326     0.9764  0.0674     0.0236     0.2779         0.2952
     12   3.00    10.09  0.9555     0.9757  0.0445     0.0243     0.3096         0.3174
     13   2.91     5.77  0.9300     0.9714  0.0700     0.0286     0.3081         0.3284
     14   2.95     6.07  0.9377     0.9772  0.0623     0.0228     0.3394         0.3597
     15   3.00     7.00  0.9514     0.9814  0.0486     0.0186     0.4429         0.4558
     16   2.96     5.68  0.9409     0.9818  0.0591     0.0182     0.4380         0.4627
     17   2.93     5.66  0.9350     0.9752  0.0650     0.0248     0.3988         0.4224
     18   2.94     5.64  0.9305     0.9815  0.0695     0.0185     0.4358         0.4655
     19   2.94     5.37  0.9294     0.9848  0.0706     0.0152     0.4428         0.4756
     20   2.91     6.87  0.9248     0.9790  0.0752     0.0210     0.4615         0.4989
     21   2.96     5.46  0.9348     0.9819  0.0652     0.0181     0.4208         0.4507
     22   2.98     5.72  0.9398     0.9821  0.0602     0.0179     0.4371         0.4690
     23   2.91     5.46  0.9262     0.9791  0.0738     0.0209     0.4990         0.5317
     24   3.00     5.56  0.9426     0.9832  0.0574     0.0168     0.4698         0.4995
     25   3.00     5.67  0.9450     0.9821  0.0550     0.0179     0.4712         0.4949
     26   2.92     5.58  0.9345     0.9780  0.0655     0.0220     0.4491         0.4821
     27   3.00     5.83  0.9457     0.9826  0.0543     0.0174     0.4977         0.5248
     28   2.96     5.76  0.9389     0.9784  0.0611     0.0216     0.5264         0.5522
     29   2.98     5.44  0.9366     0.9828  0.0634     0.0172     0.5295         0.5615
     30   2.93     5.65  0.9337     0.9760  0.0663     0.0240     0.5274         0.5572
     31   2.99     5.63  0.9432     0.9831  0.0568     0.0169     0.4928         0.5249
     32   2.94     6.15  0.9302     0.9843  0.0698     0.0157     0.5307         0.5646
     33   2.99     5.93  0.9447     0.9833  0.0553     0.0167     0.4969         0.5264
     34   2.99     5.59  0.9463     0.9822  0.0537     0.0178     0.5376         0.5672
     35   2.97     5.49  0.9399     0.9845  0.0601     0.0155     0.5836         0.6201
     36   3.02     6.60  0.9544     0.9814  0.0456     0.0186     0.5450         0.5670
     37   3.01     6.08  0.9504     0.9833  0.0496     0.0167     0.5778         0.6015
     38   3.03     6.66  0.9539     0.9823  0.0461     0.0177     0.4916         0.5133
     39   3.01     5.75  0.9487     0.9846  0.0513     0.0154     0.5765         0.6062
     40   2.98     5.32  0.9413     0.9859  0.0587     0.0141     0.5054         0.5332
     41   2.98     5.39  0.9374     0.9849  0.0626     0.0151     0.4872         0.5226
     42   3.03     5.99  0.9520     0.9847  0.0480     0.0153     0.4786         0.5021
     43   2.95     5.42  0.9346     0.9812  0.0654     0.0188     0.5156         0.5493
     44   2.96     5.39  0.9330     0.9848  0.0670     0.0152     0.5872         0.6279
     45   2.97     5.55  0.9415     0.9805  0.0585     0.0195     0.5467         0.5749
     46   3.02     5.91  0.9502     0.9854  0.0498     0.0146     0.5599         0.5870
     47   3.01     5.74  0.9493     0.9836  0.0507     0.0164     0.5876         0.6187
     48   2.99     5.52  0.9421     0.9832  0.0579     0.0168     0.4893         0.5142
     49   2.98     5.48  0.9408     0.9825  0.0592     0.0175     0.5605         0.5905
     50   3.01     5.74  0.9489     0.9827  0.0511     0.0173     0.5269         0.5505
     51   3.02     5.88  0.9523     0.9848  0.0477     0.0152     0.5506         0.5795
     52   3.02     5.61  0.9480     0.9853  0.0520     0.0147     0.5260         0.5552
     53   2.99     5.41  0.9398     0.9848  0.0602     0.0152     0.6186         0.6561
     54   3.00     5.67  0.9475     0.9839  0.0525     0.0161     0.5807         0.6126
     55   2.99     5.41  0.9476     0.9829  0.0524     0.0171     0.6554         0.6907
     56   2.98     5.53  0.9435     0.9834  0.0565     0.0166     0.6439         0.6783
     57   3.03     7.07  0.9565     0.9832  0.0435     0.0168     0.5232         0.5427
     58   2.96     5.60  0.9378     0.9848  0.0622     0.0152     0.5083         0.5405
     59   2.98     5.49  0.9436     0.9851  0.0564     0.0149     0.5087         0.5351
     60   2.97     5.57  0.9443     0.9838  0.0557     0.0162     0.5577         0.5830
     61   2.95     5.52  0.9357     0.9837  0.0643     0.0163     0.6282         0.6657
     62   2.98     5.45  0.9434     0.9836  0.0566     0.0164     0.6248         0.6601
     63   2.94     5.32  0.9375     0.9822  0.0625     0.0178     0.5815         0.6118
     64   3.01     5.82  0.9513     0.9854  0.0487     0.0146     0.5297         0.5545
     65   2.95     5.36  0.9350     0.9844  0.0650     0.0156     0.5103         0.5385
     66   2.98     5.39  0.9446     0.9830  0.0554     0.0170     0.5661         0.5985
     67   2.95     5.28  0.9376     0.9842  0.0624     0.0158     0.6155         0.6543
     68   2.99     5.38  0.9420     0.9854  0.0580     0.0146     0.5455         0.5786
     69   2.97     5.35  0.9409     0.9828  0.0591     0.0172     0.5564         0.5866
