  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.65     0.37  0.1169     0.1664  0.8831     0.8336     0.1339         0.1764
      2  -0.27     1.94  0.1382     0.2505  0.8618     0.7495     0.1732         0.2442
      3  -0.12     1.86  0.1524     0.3144  0.8476     0.6856     0.1946         0.2736
      4  -0.15     1.30  0.1595     0.3165  0.8405     0.6835     0.1975         0.2863
      5   0.05     1.04  0.1835     0.4172  0.8165     0.5828     0.2331         0.3372
      6   0.00     1.35  0.1764     0.3995  0.8236     0.6005     0.2268         0.3337
      7   0.06     0.84  0.1862     0.4084  0.8138     0.5916     0.2267         0.3218
      8   0.18     1.52  0.2100     0.4894  0.7900     0.5106     0.2504         0.3535
      9   0.19     0.87  0.2076     0.4783  0.7924     0.5217     0.2554         0.3471
     10   0.21     1.62  0.2191     0.4973  0.7809     0.5027     0.2579         0.3576
     11   0.17     0.77  0.2160     0.4545  0.7840     0.5455     0.2457         0.3410
     12   0.24     0.64  0.2300     0.5028  0.7700     0.4972     0.2536         0.3585
     13   0.23     0.41  0.2258     0.4953  0.7742     0.5047     0.2577         0.3427
     14   0.23     0.55  0.2230     0.4521  0.7770     0.5479     0.2521         0.3373
     15   0.29     0.90  0.2471     0.5358  0.7529     0.4642     0.2640         0.3518
     16   0.28     0.38  0.2473     0.5134  0.7527     0.4866     0.2697         0.3661
     17   0.28     0.47  0.2463     0.5657  0.7537     0.4343     0.2709         0.3734
     18   0.33     0.54  0.2575     0.5679  0.7425     0.4321     0.2763         0.3552
     19   0.36     1.57  0.2699     0.6063  0.7301     0.3937     0.2774         0.3695
     20   0.38     1.80  0.2727     0.6144  0.7273     0.3856     0.2780         0.3667
     21   0.36     0.37  0.2589     0.5918  0.7411     0.4082     0.2662         0.3711
     22   0.40     0.45  0.2793     0.6151  0.7207     0.3849     0.2675         0.3647
     23   0.41     0.56  0.2888     0.6372  0.7112     0.3628     0.2738         0.3827
     24   0.43     1.15  0.2930     0.6290  0.7070     0.3710     0.2711         0.3690
     25   0.43     0.49  0.2888     0.6476  0.7112     0.3524     0.2614         0.3656
     26   0.43     0.48  0.2832     0.6307  0.7168     0.3693     0.2694         0.3803
     27   0.47     0.49  0.2972     0.6773  0.7028     0.3227     0.2658         0.3827
     28   0.51     0.57  0.3105     0.6898  0.6895     0.3102     0.2729         0.3757
     29   0.54     1.31  0.3245     0.7184  0.6755     0.2816     0.2790         0.3943
     30   0.51     0.65  0.3028     0.7025  0.6972     0.2975     0.2630         0.3892
     31   0.50     0.45  0.3007     0.7080  0.6993     0.2920     0.2638         0.3883
     32   0.57     0.60  0.3253     0.7316  0.6747     0.2684     0.2636         0.3859
     33   0.53     0.62  0.3106     0.7087  0.6894     0.2913     0.2669         0.3896
     34   0.56     0.53  0.3312     0.7262  0.6688     0.2738     0.2618         0.3902
     35   0.60     0.53  0.3362     0.7407  0.6638     0.2593     0.2676         0.3970
     36   0.56     1.00  0.3268     0.7187  0.6732     0.2813     0.2563         0.3927
     37   0.64     0.65  0.3466     0.7211  0.6534     0.2789     0.2775         0.3994
     38   0.63     0.54  0.3389     0.7613  0.6611     0.2387     0.2588         0.3923
     39   0.69     0.72  0.3641     0.7827  0.6359     0.2173     0.2663         0.3898
     40   0.65     0.56  0.3425     0.7637  0.6575     0.2363     0.2636         0.4027
     41   0.66     0.94  0.3469     0.7725  0.6531     0.2275     0.2731         0.4225
     42   0.68     0.60  0.3497     0.8014  0.6503     0.1986     0.2693         0.4175
     43   0.68     0.91  0.3612     0.7858  0.6388     0.2142     0.2609         0.4172
     44   0.75     0.63  0.3732     0.8110  0.6268     0.1890     0.2649         0.4094
     45   0.75     0.84  0.3786     0.8120  0.6214     0.1880     0.2684         0.4102
     46   0.78     0.66  0.3824     0.8166  0.6176     0.1834     0.2661         0.4174
     47   0.79     0.65  0.3867     0.8217  0.6133     0.1783     0.2701         0.4273
     48   0.80     0.66  0.3843     0.8385  0.6157     0.1615     0.2755         0.4301
     49   0.70     0.93  0.3630     0.8078  0.6370     0.1922     0.2825         0.4469
     50   0.81     0.68  0.3937     0.8263  0.6063     0.1737     0.2717         0.4281
     51   0.80     0.67  0.3881     0.8436  0.6119     0.1564     0.2737         0.4406
     52   0.85     0.89  0.3982     0.8575  0.6018     0.1425     0.2783         0.4207
     53   0.84     0.76  0.3970     0.8639  0.6030     0.1361     0.2708         0.4270
     54   0.85     0.74  0.4029     0.8628  0.5971     0.1372     0.2680         0.4313
     55   0.85     0.77  0.4008     0.8544  0.5992     0.1456     0.2822         0.4398
     56   0.80     0.81  0.3849     0.8401  0.6151     0.1599     0.2844         0.4522
     57   0.85     0.69  0.3939     0.8656  0.6061     0.1344     0.2801         0.4484
     58   0.90     0.77  0.4133     0.8830  0.5867     0.1170     0.2861         0.4656
     59   0.92     0.85  0.4245     0.8794  0.5755     0.1206     0.2802         0.4493
     60   0.89     0.72  0.4142     0.8708  0.5858     0.1292     0.2857         0.4608
     61   0.86     0.72  0.4063     0.8811  0.5937     0.1189     0.2823         0.4576
     62   0.91     0.77  0.4255     0.8797  0.5745     0.1203     0.2911         0.4646
     63   0.89     0.75  0.4156     0.8818  0.5844     0.1182     0.3009         0.4859
     64   0.94     0.79  0.4226     0.8890  0.5774     0.1110     0.2979         0.4884
     65   0.91     0.76  0.4213     0.8845  0.5787     0.1155     0.2766         0.4551
     66   0.94     0.79  0.4284     0.9041  0.5716     0.0959     0.2954         0.4833
     67   0.93     0.83  0.4276     0.9037  0.5724     0.0963     0.3062         0.4924
     68   0.97     0.93  0.4376     0.9077  0.5624     0.0923     0.3051         0.4839
