  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.07   449.14  0.9457     0.9455  0.0543     0.0545     0.0208         0.0211
      2   3.15   368.21  0.9625     0.9619  0.0375     0.0381     0.0204         0.0202
      3   3.20   302.03  0.9738     0.9742  0.0262     0.0258     0.0147         0.0146
      4   3.18   282.98  0.9705     0.9693  0.0295     0.0307     0.0193         0.0192
      5   3.22   250.48  0.9781     0.9782  0.0219     0.0218     0.0175         0.0177
      6   3.21   241.07  0.9770     0.9770  0.0230     0.0230     0.0245         0.0248
      7   3.21   215.29  0.9798     0.9796  0.0202     0.0204     0.0356         0.0358
      8   3.21   210.89  0.9784     0.9787  0.0216     0.0213     0.0474         0.0469
      9   3.18   201.13  0.9727     0.9727  0.0273     0.0273     0.0274         0.0274
     10   3.22   194.87  0.9786     0.9790  0.0214     0.0210     0.0394         0.0400
     11   3.21   176.39  0.9815     0.9818  0.0185     0.0182     0.0679         0.0695
     12   3.21   172.63  0.9799     0.9797  0.0201     0.0203     0.0356         0.0359
     13   3.19   166.64  0.9773     0.9770  0.0227     0.0230     0.0593         0.0596
     14   3.22   156.56  0.9839     0.9842  0.0161     0.0158     0.0990         0.0998
     15   3.21   152.76  0.9822     0.9822  0.0178     0.0178     0.0820         0.0828
     16   3.21   153.54  0.9796     0.9796  0.0204     0.0204     0.0931         0.0951
     17   3.20   156.81  0.9790     0.9792  0.0210     0.0208     0.0773         0.0777
     18   3.21   151.19  0.9817     0.9817  0.0183     0.0183     0.0907         0.0919
     19   3.20   138.33  0.9798     0.9802  0.0202     0.0198     0.0927         0.0931
     20   3.22   133.65  0.9830     0.9836  0.0170     0.0164     0.0816         0.0829
     21   3.22   128.27  0.9833     0.9836  0.0167     0.0164     0.0721         0.0726
     22   3.17   138.85  0.9770     0.9772  0.0230     0.0228     0.1003         0.1026
     23   3.23   126.09  0.9836     0.9844  0.0164     0.0156     0.0708         0.0716
     24   3.20   125.91  0.9807     0.9807  0.0193     0.0193     0.1075         0.1110
     25   3.21   125.51  0.9825     0.9827  0.0175     0.0173     0.0938         0.0959
     26   3.22   114.71  0.9844     0.9841  0.0156     0.0159     0.0671         0.0683
     27   3.21   114.90  0.9827     0.9826  0.0173     0.0174     0.0667         0.0687
     28   3.18   119.04  0.9793     0.9796  0.0207     0.0204     0.0835         0.0861
     29   3.21   111.63  0.9827     0.9826  0.0173     0.0174     0.0883         0.0909
     30   3.21   115.01  0.9811     0.9813  0.0189     0.0187     0.0468         0.0477
     31   3.21   104.73  0.9834     0.9836  0.0166     0.0164     0.1019         0.1037
     32   3.19   110.58  0.9789     0.9790  0.0211     0.0210     0.0851         0.0872
     33   3.16   111.51  0.9762     0.9771  0.0238     0.0229     0.0934         0.0969
     34   3.22    94.99  0.9855     0.9852  0.0145     0.0148     0.0802         0.0818
     35   3.22   104.28  0.9824     0.9823  0.0176     0.0177     0.0501         0.0516
     36   3.21    94.43  0.9833     0.9831  0.0167     0.0169     0.0735         0.0760
     37   3.22    96.32  0.9851     0.9844  0.0149     0.0156     0.0757         0.0800
     38   3.23    92.69  0.9861     0.9860  0.0139     0.0140     0.0533         0.0554
     39   3.23    90.52  0.9850     0.9849  0.0150     0.0151     0.0637         0.0655
     40   3.20    89.99  0.9814     0.9813  0.0186     0.0187     0.0890         0.0904
     41   3.21    90.21  0.9821     0.9818  0.0179     0.0182     0.0642         0.0660
     42   3.22   103.76  0.9835     0.9836  0.0165     0.0164     0.0590         0.0600
     43   3.22    83.46  0.9854     0.9855  0.0146     0.0145     0.0895         0.0923
     44   3.19   101.54  0.9780     0.9782  0.0220     0.0218     0.0517         0.0528
     45   3.22    80.81  0.9848     0.9846  0.0152     0.0154     0.0769         0.0781
     46   3.22    74.97  0.9858     0.9859  0.0142     0.0141     0.0814         0.0838
     47   3.23    66.77  0.9869     0.9867  0.0131     0.0133     0.0821         0.0832
     48   3.22    60.93  0.9865     0.9868  0.0135     0.0132     0.0881         0.0895
     49   3.22    57.63  0.9864     0.9862  0.0136     0.0138     0.0885         0.0894
     50   3.22    53.85  0.9861     0.9862  0.0139     0.0138     0.1003         0.1020
     51   3.21    50.41  0.9865     0.9866  0.0135     0.0134     0.1117         0.1134
     52   3.21    48.19  0.9854     0.9855  0.0146     0.0145     0.1307         0.1315
     53   3.19    80.78  0.9815     0.9815  0.0185     0.0185     0.0687         0.0702
     54   3.22    67.74  0.9858     0.9857  0.0142     0.0143     0.0700         0.0724
     55   3.22    62.71  0.9869     0.9863  0.0131     0.0137     0.0797         0.0808
     56   3.22    57.22  0.9865     0.9868  0.0135     0.0132     0.0856         0.0865
     57   3.22    56.67  0.9868     0.9867  0.0132     0.0133     0.0952         0.0963
     58   3.22    50.97  0.9866     0.9871  0.0134     0.0129     0.1049         0.1070
     59   3.22    48.10  0.9865     0.9867  0.0135     0.0133     0.1157         0.1174
     60   3.22    46.30  0.9869     0.9865  0.0131     0.0135     0.1286         0.1295
     61   3.21    44.57  0.9868     0.9866  0.0132     0.0134     0.1423         0.1437
     62   3.21    42.97  0.9865     0.9867  0.0135     0.0133     0.1614         0.1618
     63   3.21    41.49  0.9866     0.9862  0.0134     0.0138     0.1843         0.1853
     64   3.20    95.63  0.9818     0.9820  0.0182     0.0180     0.0303         0.0307
     65   3.21    64.94  0.9835     0.9839  0.0165     0.0161     0.0891         0.0914
     66   3.18    65.96  0.9817     0.9818  0.0183     0.0182     0.0571         0.0576
     67   3.21    56.62  0.9845     0.9843  0.0155     0.0157     0.0856         0.0878
     68   3.21    52.00  0.9850     0.9854  0.0150     0.0146     0.0966         0.0982
     69   3.21    48.06  0.9857     0.9853  0.0143     0.0147     0.0960         0.0975
     70   3.20    45.43  0.9853     0.9853  0.0147     0.0147     0.1167         0.1175
     71   3.20    43.67  0.9856     0.9853  0.0144     0.0147     0.1267         0.1278
     72   3.20    45.11  0.9860     0.9858  0.0140     0.0142     0.1268         0.1279
     73   3.19    41.55  0.9855     0.9854  0.0145     0.0146     0.1466         0.1475
     74   3.20    40.80  0.9856     0.9861  0.0144     0.0139     0.1630         0.1644
     75   3.19    39.43  0.9855     0.9857  0.0145     0.0143     0.1889         0.1908
     76   3.19    38.52  0.9865     0.9864  0.0135     0.0136     0.2098         0.2119
     77   3.19    37.64  0.9856     0.9857  0.0144     0.0143     0.2138         0.2141
     78   3.19    46.34  0.9856     0.9858  0.0144     0.0142     0.2403         0.2413
     79   3.19    35.71  0.9857     0.9857  0.0143     0.0143     0.2612         0.2631
     80   3.19    36.27  0.9853     0.9853  0.0147     0.0147     0.2621         0.2623
     81   3.18    33.88  0.9862     0.9860  0.0138     0.0140     0.3082         0.3099
     82   3.19    53.08  0.9846     0.9842  0.0154     0.0158     0.1049         0.1086
     83   3.17    61.98  0.9821     0.9825  0.0179     0.0175     0.0829         0.0857
     84   3.18    58.63  0.9823     0.9826  0.0177     0.0174     0.0805         0.0821
     85   3.20    47.43  0.9847     0.9847  0.0153     0.0153     0.1226         0.1264
     86   3.19    44.96  0.9857     0.9855  0.0143     0.0145     0.1339         0.1362
     87   3.19    41.48  0.9858     0.9855  0.0142     0.0145     0.1498         0.1534
     88   3.19    39.25  0.9860     0.9854  0.0140     0.0146     0.1680         0.1716
     89   3.19    37.59  0.9861     0.9858  0.0139     0.0142     0.1833         0.1866
     90   3.19    57.44  0.9853     0.9851  0.0147     0.0149     0.1333         0.1330
     91   3.18    49.22  0.9830     0.9826  0.0170     0.0174     0.1433         0.1471
     92   3.18    45.90  0.9842     0.9840  0.0158     0.0160     0.1261         0.1282
     93   3.19    41.69  0.9846     0.9849  0.0154     0.0151     0.1653         0.1684
     94   3.19    40.16  0.9854     0.9858  0.0146     0.0142     0.1812         0.1845
     95   3.18    38.59  0.9858     0.9861  0.0142     0.0139     0.2010         0.2037
     96   3.19    37.27  0.9858     0.9859  0.0142     0.0141     0.2290         0.2310
     97   3.18    38.64  0.9850     0.9854  0.0150     0.0146     0.2302         0.2343
     98   3.18    37.08  0.9853     0.9853  0.0147     0.0147     0.2497         0.2512
     99   3.18    35.12  0.9847     0.9854  0.0153     0.0146     0.2659         0.2679
    100   3.18    34.56  0.9856     0.9854  0.0144     0.0146     0.2755         0.2766
    101   3.18    33.99  0.9854     0.9859  0.0146     0.0141     0.2925         0.2945
    102   3.18    33.56  0.9858     0.9856  0.0142     0.0144     0.2959         0.2956
    103   3.18    33.18  0.9857     0.9855  0.0143     0.0145     0.3056         0.3075
    104   3.17    33.74  0.9857     0.9858  0.0143     0.0142     0.2985         0.2995
    105   3.17    32.44  0.9862     0.9862  0.0138     0.0138     0.3275         0.3281
    106   3.17    31.85  0.9863     0.9861  0.0137     0.0139     0.3462         0.3487
    107   3.17    33.06  0.9857     0.9863  0.0143     0.0137     0.3398         0.3429
    108   3.16    30.90  0.9854     0.9858  0.0146     0.0142     0.3415         0.3420
    109   3.19    41.14  0.9850     0.9850  0.0150     0.0150     0.1455         0.1490
    110   3.18    44.10  0.9836     0.9836  0.0164     0.0164     0.1634         0.1680
    111   3.18    37.36  0.9848     0.9850  0.0152     0.0150     0.1795         0.1854
    112   3.19    38.82  0.9862     0.9867  0.0138     0.0133     0.1732         0.1758
    113   3.18    39.70  0.9848     0.9849  0.0152     0.0151     0.1736         0.1776
    114   3.17    36.58  0.9849     0.9852  0.0151     0.0148     0.1913         0.1954
    115   3.18    35.51  0.9855     0.9858  0.0145     0.0142     0.2031         0.2056
    116   3.18    33.92  0.9859     0.9857  0.0141     0.0143     0.2156         0.2194
    117   3.18    33.50  0.9856     0.9857  0.0144     0.0143     0.2352         0.2392
    118   3.18    33.66  0.9855     0.9859  0.0145     0.0141     0.2410         0.2428
    119   3.18    32.35  0.9857     0.9858  0.0143     0.0142     0.2595         0.2641
    120   3.18    32.40  0.9856     0.9860  0.0144     0.0140     0.2671         0.2697
    121   3.18    31.83  0.9861     0.9860  0.0139     0.0140     0.2796         0.2827
