  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   648.48  0.9524     0.9520  0.0476     0.0480     0.0196         0.0195
      2   3.18   593.45  0.9690     0.9692  0.0310     0.0308     0.0180         0.0181
      3   3.20   566.56  0.9749     0.9752  0.0251     0.0248     0.0128         0.0128
      4   3.18   531.91  0.9698     0.9701  0.0302     0.0299     0.0175         0.0175
      5   3.19   506.91  0.9715     0.9716  0.0285     0.0284     0.0178         0.0180
      6   3.22   489.40  0.9811     0.9811  0.0189     0.0189     0.0138         0.0138
      7   3.22   478.13  0.9794     0.9793  0.0206     0.0207     0.0266         0.0267
      8   3.22   458.72  0.9790     0.9789  0.0210     0.0211     0.0261         0.0261
      9   3.22   444.22  0.9801     0.9801  0.0199     0.0199     0.0409         0.0404
     10   3.21   427.75  0.9795     0.9795  0.0205     0.0205     0.0916         0.0918
     11   3.22   411.72  0.9804     0.9802  0.0196     0.0198     0.0766         0.0767
     12   3.19   400.56  0.9769     0.9770  0.0231     0.0230     0.0707         0.0702
     13   3.19   384.15  0.9780     0.9781  0.0220     0.0219     0.1231         0.1227
     14   3.21   369.37  0.9824     0.9825  0.0176     0.0175     0.1251         0.1241
     15   3.20   379.28  0.9795     0.9797  0.0205     0.0203     0.1599         0.1601
     16   3.19   362.15  0.9766     0.9765  0.0234     0.0235     0.1302         0.1305
     17   3.21   348.34  0.9810     0.9811  0.0190     0.0189     0.1345         0.1342
     18   3.18   338.67  0.9797     0.9796  0.0203     0.0204     0.1847         0.1855
     19   3.22   328.10  0.9832     0.9832  0.0168     0.0168     0.1798         0.1799
     20   3.20   320.96  0.9802     0.9799  0.0198     0.0201     0.1594         0.1593
     21   3.21   309.26  0.9816     0.9818  0.0184     0.0182     0.1493         0.1501
     22   3.23   308.22  0.9845     0.9845  0.0155     0.0155     0.2233         0.2234
     23   3.21   295.90  0.9824     0.9826  0.0176     0.0174     0.1910         0.1913
     24   3.22   293.70  0.9837     0.9837  0.0163     0.0163     0.2015         0.2020
     25   3.19   285.29  0.9809     0.9811  0.0191     0.0189     0.2282         0.2282
     26   3.18   280.06  0.9795     0.9794  0.0205     0.0206     0.2106         0.2098
     27   3.21   274.68  0.9836     0.9837  0.0164     0.0163     0.1857         0.1858
     28   3.21   267.74  0.9844     0.9845  0.0156     0.0155     0.2516         0.2516
     29   3.22   263.16  0.9832     0.9828  0.0168     0.0172     0.2484         0.2493
     30   3.21   255.57  0.9818     0.9817  0.0182     0.0183     0.2324         0.2325
     31   3.22   250.23  0.9852     0.9851  0.0148     0.0149     0.2374         0.2368
     32   3.19   244.36  0.9798     0.9797  0.0202     0.0203     0.2253         0.2248
     33   3.22   250.24  0.9849     0.9848  0.0151     0.0152     0.3178         0.3190
     34   3.22   246.92  0.9856     0.9854  0.0144     0.0146     0.3642         0.3645
     35   3.17   249.88  0.9790     0.9791  0.0210     0.0209     0.2923         0.2924
     36   3.20   239.42  0.9834     0.9829  0.0166     0.0171     0.2800         0.2812
     37   3.20   234.97  0.9827     0.9828  0.0173     0.0172     0.2599         0.2608
     38   3.19   242.81  0.9802     0.9803  0.0198     0.0197     0.3025         0.3043
     39   3.20   234.44  0.9823     0.9826  0.0177     0.0174     0.2708         0.2718
