  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   669.30  0.9542     0.9541  0.0458     0.0459     0.0211         0.0211
      2   3.18   668.32  0.9705     0.9704  0.0295     0.0296     0.0149         0.0149
      3   3.18   665.78  0.9681     0.9680  0.0319     0.0320     0.0182         0.0181
      4   3.21   650.83  0.9758     0.9759  0.0242     0.0241     0.0136         0.0136
      5   3.22   670.39  0.9789     0.9789  0.0211     0.0211     0.0140         0.0140
      6   3.18   665.60  0.9713     0.9712  0.0287     0.0288     0.0354         0.0354
      7   3.22   645.74  0.9775     0.9774  0.0225     0.0226     0.0301         0.0299
      8   3.21   651.71  0.9792     0.9789  0.0208     0.0211     0.0346         0.0345
      9   3.23   639.93  0.9818     0.9820  0.0182     0.0180     0.0502         0.0498
     10   3.17   637.29  0.9733     0.9732  0.0267     0.0268     0.0910         0.0908
     11   3.22   634.61  0.9819     0.9819  0.0181     0.0181     0.0821         0.0815
     12   3.22   615.89  0.9805     0.9805  0.0195     0.0195     0.0688         0.0692
     13   3.21   625.98  0.9802     0.9802  0.0198     0.0198     0.0929         0.0929
     14   3.19   612.76  0.9784     0.9782  0.0216     0.0218     0.1231         0.1232
     15   3.22   605.31  0.9834     0.9833  0.0166     0.0167     0.1401         0.1404
     16   3.22   606.94  0.9827     0.9826  0.0173     0.0174     0.1269         0.1271
     17   3.23   601.12  0.9849     0.9851  0.0151     0.0149     0.1522         0.1521
     18   3.13   593.43  0.9733     0.9734  0.0267     0.0266     0.1516         0.1520
     19   3.22   577.00  0.9849     0.9848  0.0151     0.0152     0.1928         0.1926
     20   3.18   571.64  0.9773     0.9774  0.0227     0.0226     0.1669         0.1669
     21   3.20   561.37  0.9790     0.9793  0.0210     0.0207     0.1390         0.1392
     22   3.22   556.79  0.9837     0.9839  0.0163     0.0161     0.1960         0.1956
     23   3.21   556.29  0.9814     0.9817  0.0186     0.0183     0.2178         0.2183
     24   3.23   538.60  0.9853     0.9851  0.0147     0.0149     0.2071         0.2068
     25   3.19   538.07  0.9810     0.9811  0.0190     0.0189     0.2197         0.2197
     26   3.21   531.06  0.9840     0.9840  0.0160     0.0160     0.1787         0.1803
     27   3.21   519.52  0.9814     0.9815  0.0186     0.0185     0.1948         0.1950
     28   3.19   523.88  0.9822     0.9825  0.0178     0.0175     0.2890         0.2893
     29   3.21   525.01  0.9841     0.9841  0.0159     0.0159     0.3174         0.3180
     30   3.16   501.05  0.9760     0.9759  0.0240     0.0241     0.1787         0.1786
     31   3.21   493.97  0.9814     0.9815  0.0186     0.0185     0.2099         0.2099
     32   3.22   488.37  0.9843     0.9844  0.0157     0.0156     0.2112         0.2118
     33   3.21   492.43  0.9845     0.9845  0.0155     0.0155     0.2868         0.2869
     34   3.23   485.79  0.9873     0.9872  0.0127     0.0128     0.3009         0.3009
     35   3.18   484.97  0.9819     0.9820  0.0181     0.0180     0.2422         0.2416
     36   3.22   473.90  0.9853     0.9853  0.0147     0.0147     0.2721         0.2724
     37   3.22   481.36  0.9861     0.9861  0.0139     0.0139     0.3031         0.3036
     38   3.21   488.25  0.9877     0.9878  0.0123     0.0122     0.3519         0.3514
     39   3.21   479.74  0.9878     0.9879  0.0122     0.0121     0.3554         0.3560
     40   3.21   464.81  0.9878     0.9880  0.0122     0.0120     0.3660         0.3665
     41   3.21   441.36  0.9877     0.9879  0.0123     0.0121     0.3684         0.3687
     42   3.21   402.70  0.9883     0.9881  0.0117     0.0119     0.4008         0.4006
     43   3.21   365.45  0.9880     0.9879  0.0120     0.0121     0.4443         0.4458
     44   3.21   330.10  0.9882     0.9882  0.0118     0.0118     0.4525         0.4515
     45   3.21   302.84  0.9882     0.9883  0.0118     0.0117     0.4654         0.4652
     46   3.22   277.21  0.9886     0.9884  0.0114     0.0116     0.4544         0.4536
     47   3.22   252.88  0.9886     0.9886  0.0114     0.0114     0.4532         0.4553
     48   3.22   229.51  0.9886     0.9884  0.0114     0.0116     0.4577         0.4577
     49   3.22   209.19  0.9880     0.9884  0.0120     0.0116     0.4388         0.4378
     50   3.22   190.53  0.9882     0.9884  0.0118     0.0116     0.4236         0.4250
     51   3.22   172.37  0.9879     0.9881  0.0121     0.0119     0.4205         0.4233
     52   3.22   155.85  0.9877     0.9880  0.0123     0.0120     0.3985         0.3985
     53   3.22   142.70  0.9878     0.9878  0.0122     0.0122     0.3882         0.3909
     54   3.22   127.71  0.9880     0.9879  0.0120     0.0121     0.3451         0.3474
     55   3.21   115.26  0.9881     0.9880  0.0119     0.0120     0.3100         0.3118
     56   3.22   153.55  0.9854     0.9851  0.0146     0.0149     0.1092         0.1089
     57   3.18   153.45  0.9827     0.9825  0.0173     0.0175     0.2664         0.2672
     58   3.17   157.00  0.9826     0.9825  0.0174     0.0175     0.2465         0.2479
     59   3.20   157.74  0.9846     0.9847  0.0154     0.0153     0.2357         0.2368
     60   3.20   164.97  0.9858     0.9858  0.0142     0.0142     0.3258         0.3278
     61   3.20   172.10  0.9860     0.9862  0.0140     0.0138     0.3814         0.3842
     62   3.20   177.16  0.9861     0.9860  0.0139     0.0140     0.4244         0.4255
     63   3.20   173.39  0.9860     0.9862  0.0140     0.0138     0.4299         0.4317
     64   3.20   173.40  0.9863     0.9864  0.0137     0.0136     0.4451         0.4486
     65   3.20   170.85  0.9863     0.9863  0.0137     0.0137     0.4502         0.4531
