  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   683.21  0.9512     0.9510  0.0488     0.0490     0.0265         0.0264
      2   3.17   684.13  0.9674     0.9675  0.0326     0.0325     0.0174         0.0174
      3   3.18   692.32  0.9688     0.9689  0.0312     0.0311     0.0178         0.0178
      4   3.18   693.93  0.9718     0.9716  0.0282     0.0284     0.0222         0.0222
      5   3.19   700.00  0.9724     0.9727  0.0276     0.0273     0.0171         0.0170
      6   3.20   729.84  0.9750     0.9750  0.0250     0.0250     0.0269         0.0269
      7   3.20   706.24  0.9759     0.9760  0.0241     0.0240     0.0236         0.0234
      8   3.22   697.97  0.9792     0.9794  0.0208     0.0206     0.0296         0.0296
      9   3.20   712.00  0.9783     0.9783  0.0217     0.0217     0.0375         0.0375
     10   3.23   711.09  0.9816     0.9815  0.0184     0.0185     0.0573         0.0574
     11   3.22   734.10  0.9809     0.9809  0.0191     0.0191     0.0709         0.0706
     12   3.21   720.77  0.9806     0.9806  0.0194     0.0194     0.0755         0.0757
     13   3.21   713.89  0.9796     0.9795  0.0204     0.0205     0.0855         0.0853
     14   3.21   724.59  0.9781     0.9782  0.0219     0.0218     0.0681         0.0682
     15   3.20   738.48  0.9800     0.9802  0.0200     0.0198     0.1001         0.0997
     16   3.20   748.82  0.9793     0.9793  0.0207     0.0207     0.1331         0.1335
     17   3.22   746.30  0.9838     0.9839  0.0162     0.0161     0.1603         0.1604
     18   3.20   718.27  0.9803     0.9802  0.0197     0.0198     0.1523         0.1523
     19   3.21   732.20  0.9824     0.9825  0.0176     0.0175     0.1614         0.1617
     20   3.20   713.29  0.9793     0.9793  0.0207     0.0207     0.1377         0.1376
     21   3.19   705.50  0.9770     0.9770  0.0230     0.0230     0.1415         0.1420
     22   3.21   695.10  0.9812     0.9812  0.0188     0.0188     0.1352         0.1354
     23   3.20   724.88  0.9809     0.9810  0.0191     0.0190     0.1569         0.1569
     24   3.15   731.33  0.9765     0.9766  0.0235     0.0234     0.1830         0.1829
     25   3.22   719.46  0.9844     0.9843  0.0156     0.0157     0.1683         0.1686
     26   3.21   733.17  0.9838     0.9838  0.0162     0.0162     0.2009         0.2007
     27   3.20   746.63  0.9833     0.9832  0.0167     0.0168     0.2462         0.2460
     28   3.21   693.18  0.9822     0.9822  0.0178     0.0178     0.1659         0.1661
     29   3.17   725.96  0.9789     0.9789  0.0211     0.0211     0.2745         0.2746
     30   3.21   737.06  0.9838     0.9838  0.0162     0.0162     0.2704         0.2703
     31   3.21   745.30  0.9848     0.9847  0.0152     0.0153     0.3085         0.3092
     32   3.22   709.45  0.9835     0.9834  0.0165     0.0166     0.2199         0.2202
     33   3.20   706.24  0.9814     0.9813  0.0186     0.0187     0.2501         0.2499
     34   3.19   710.91  0.9798     0.9797  0.0202     0.0203     0.2438         0.2438
     35   3.19   703.13  0.9810     0.9809  0.0190     0.0191     0.2551         0.2552
     36   3.18   698.92  0.9793     0.9793  0.0207     0.0207     0.2407         0.2404
     37   3.20   737.04  0.9835     0.9835  0.0165     0.0165     0.3613         0.3610
     38   3.21   735.22  0.9849     0.9851  0.0151     0.0149     0.2809         0.2796
     39   3.17   733.53  0.9787     0.9787  0.0213     0.0213     0.3332         0.3327
     40   3.21   698.75  0.9835     0.9835  0.0165     0.0165     0.2926         0.2927
     41   3.20   693.10  0.9823     0.9821  0.0177     0.0179     0.2609         0.2613
     42   3.21   691.10  0.9828     0.9827  0.0172     0.0173     0.2537         0.2538
     43   3.19   723.53  0.9821     0.9821  0.0179     0.0179     0.3710         0.3706
     44   3.20   718.91  0.9843     0.9843  0.0157     0.0157     0.3079         0.3080
     45   3.21   697.94  0.9845     0.9844  0.0155     0.0156     0.3351         0.3356
     46   3.17   721.70  0.9801     0.9801  0.0199     0.0199     0.3111         0.3110
     47   3.21   727.18  0.9839     0.9839  0.0161     0.0161     0.4130         0.4131
     48   3.19   723.07  0.9838     0.9839  0.0162     0.0161     0.3173         0.3167
     49   3.21   694.30  0.9841     0.9841  0.0159     0.0159     0.2829         0.2833
     50   3.17   722.33  0.9805     0.9803  0.0195     0.0197     0.3060         0.3060
     51   3.20   717.43  0.9831     0.9832  0.0169     0.0168     0.3613         0.3610
     52   3.20   710.49  0.9844     0.9842  0.0156     0.0158     0.3360         0.3363
     53   3.20   741.97  0.9869     0.9869  0.0131     0.0131     0.4026         0.4027
     54   3.20   755.64  0.9867     0.9867  0.0133     0.0133     0.4098         0.4098
     55   3.19   763.03  0.9868     0.9869  0.0132     0.0131     0.4166         0.4177
     56   3.19   766.43  0.9867     0.9868  0.0133     0.0132     0.4189         0.4184
     57   3.19   763.65  0.9866     0.9868  0.0134     0.0132     0.4186         0.4182
     58   3.18   752.37  0.9869     0.9868  0.0131     0.0132     0.4154         0.4156
     59   3.18   729.81  0.9867     0.9867  0.0133     0.0133     0.4087         0.4090
     60   3.18   696.90  0.9867     0.9866  0.0133     0.0134     0.4048         0.4044
     61   3.18   653.47  0.9867     0.9866  0.0133     0.0134     0.4011         0.4012
     62   3.17   603.12  0.9866     0.9866  0.0134     0.0134     0.3964         0.3965
     63   3.17   555.13  0.9867     0.9866  0.0133     0.0134     0.4099         0.4093
     64   3.17   506.88  0.9865     0.9866  0.0135     0.0134     0.4240         0.4235
     65   3.18   466.39  0.9867     0.9867  0.0133     0.0133     0.4347         0.4353
     66   3.18   427.57  0.9866     0.9866  0.0134     0.0134     0.4502         0.4504
     67   3.18   393.60  0.9864     0.9865  0.0136     0.0135     0.4601         0.4604
     68   3.18   362.19  0.9865     0.9864  0.0135     0.0136     0.4711         0.4727
     69   3.18   333.26  0.9864     0.9863  0.0136     0.0137     0.4669         0.4679
     70   3.18   306.83  0.9864     0.9866  0.0136     0.0134     0.4783         0.4767
     71   3.18   278.86  0.9865     0.9864  0.0135     0.0136     0.4760         0.4750
