  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13   679.47  0.9599     0.9600  0.0401     0.0400     0.0169         0.0169
      2   3.18   680.81  0.9668     0.9669  0.0332     0.0331     0.0186         0.0186
      3   3.19   685.67  0.9705     0.9707  0.0295     0.0293     0.0133         0.0133
      4   3.21   696.36  0.9734     0.9734  0.0266     0.0266     0.0166         0.0166
      5   3.21   699.83  0.9752     0.9751  0.0248     0.0249     0.0164         0.0163
      6   3.22   704.02  0.9784     0.9784  0.0216     0.0216     0.0240         0.0239
      7   3.21   725.40  0.9767     0.9768  0.0233     0.0232     0.0570         0.0569
      8   3.18   729.11  0.9723     0.9722  0.0277     0.0278     0.0341         0.0340
      9   3.21   722.66  0.9783     0.9783  0.0217     0.0217     0.0478         0.0476
     10   3.18   733.62  0.9756     0.9757  0.0244     0.0243     0.1052         0.1051
     11   3.22   750.42  0.9812     0.9810  0.0188     0.0190     0.1099         0.1093
     12   3.19   739.45  0.9768     0.9769  0.0232     0.0231     0.0992         0.0985
     13   3.17   750.58  0.9756     0.9757  0.0244     0.0243     0.1166         0.1164
     14   3.21   769.17  0.9822     0.9822  0.0178     0.0178     0.1043         0.1040
     15   3.21   760.73  0.9821     0.9820  0.0179     0.0180     0.1295         0.1297
     16   3.22   757.19  0.9815     0.9815  0.0185     0.0185     0.1110         0.1109
     17   3.21   738.08  0.9807     0.9807  0.0193     0.0193     0.0839         0.0840
     18   3.21   748.46  0.9821     0.9821  0.0179     0.0179     0.1270         0.1275
     19   3.22   747.76  0.9847     0.9847  0.0153     0.0153     0.0945         0.0942
     20   3.20   771.39  0.9802     0.9801  0.0198     0.0199     0.2143         0.2143
     21   3.17   789.47  0.9789     0.9790  0.0211     0.0210     0.2071         0.2068
     22   3.20   758.42  0.9821     0.9822  0.0179     0.0178     0.1843         0.1844
     23   3.21   756.62  0.9826     0.9827  0.0174     0.0173     0.1732         0.1732
     24   3.22   765.35  0.9845     0.9845  0.0155     0.0155     0.2007         0.2009
     25   3.17   751.05  0.9770     0.9769  0.0230     0.0231     0.1579         0.1579
     26   3.21   763.95  0.9812     0.9812  0.0188     0.0188     0.1939         0.1940
     27   3.20   764.44  0.9822     0.9822  0.0178     0.0178     0.1797         0.1799
     28   3.21   795.40  0.9841     0.9841  0.0159     0.0159     0.2037         0.2034
     29   3.22   733.67  0.9825     0.9825  0.0175     0.0175     0.1460         0.1462
     30   3.20   737.08  0.9812     0.9813  0.0188     0.0187     0.1646         0.1645
     31   3.19   796.77  0.9816     0.9816  0.0184     0.0184     0.2840         0.2839
     32   3.18   788.88  0.9798     0.9798  0.0202     0.0202     0.2005         0.2004
     33   3.22   790.25  0.9847     0.9848  0.0153     0.0152     0.2457         0.2461
     34   3.21   757.51  0.9845     0.9845  0.0155     0.0155     0.1833         0.1834
     35   3.19   796.91  0.9832     0.9833  0.0168     0.0167     0.2043         0.2043
     36   3.21   801.18  0.9844     0.9845  0.0156     0.0155     0.2741         0.2741
     37   3.19   843.87  0.9841     0.9842  0.0159     0.0158     0.3251         0.3250
     38   3.21   833.63  0.9844     0.9844  0.0156     0.0156     0.3137         0.3133
     39   3.12   832.64  0.9747     0.9746  0.0253     0.0254     0.2680         0.2680
     40   3.20   793.86  0.9835     0.9835  0.0165     0.0165     0.2488         0.2488
     41   3.19   818.06  0.9825     0.9825  0.0175     0.0175     0.2970         0.2972
     42   3.21   848.05  0.9852     0.9852  0.0148     0.0148     0.3244         0.3249
     43   3.20   799.02  0.9833     0.9833  0.0167     0.0167     0.2741         0.2739
     44   3.21   829.56  0.9848     0.9847  0.0152     0.0153     0.3379         0.3378
     45   3.16   824.20  0.9795     0.9796  0.0205     0.0204     0.3148         0.3149
     46   3.19   849.61  0.9836     0.9836  0.0164     0.0164     0.3230         0.3232
     47   3.16   832.41  0.9782     0.9782  0.0218     0.0218     0.2908         0.2906
     48   3.19   867.89  0.9848     0.9848  0.0152     0.0152     0.2700         0.2703
     49   3.20   851.44  0.9843     0.9843  0.0157     0.0157     0.2751         0.2751
     50   3.18   843.84  0.9832     0.9832  0.0168     0.0168     0.3290         0.3293
     51   3.19   852.18  0.9825     0.9825  0.0175     0.0175     0.3717         0.3721
     52   3.21   867.53  0.9862     0.9861  0.0138     0.0139     0.4061         0.4062
     53   3.21   904.21  0.9868     0.9868  0.0132     0.0132     0.4279         0.4280
     54   3.20   928.71  0.9870     0.9870  0.0130     0.0130     0.4286         0.4287
