t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1184346675872803,501.5566101074219,0.9563999772071838,0.9569000005722046,0.04360002279281616,0.04309999942779541,0.02199999988079071,0.022099999710917473
2,3.1129872798919678,425.3160705566406,0.9541000127792358,0.9545999765396118,0.04589998722076416,0.045400023460388184,0.0203000009059906,0.0203000009059906
3,3.172682285308838,375.5087890625,0.9675999879837036,0.9670000076293945,0.03240001201629639,0.03299999237060547,0.018400000408291817,0.01850000023841858
4,3.220802068710327,354.2179870605469,0.9771000146865845,0.9769999980926514,0.022899985313415527,0.023000001907348633,0.013799999840557575,0.013799999840557575
5,3.192565679550171,311.02020263671875,0.9745000004768372,0.9743000268936157,0.025499999523162842,0.025699973106384277,0.01860000006854534,0.01850000023841858
6,3.1975555419921875,297.83544921875,0.975600004196167,0.975600004196167,0.024399995803833008,0.024399995803833008,0.018799999728798866,0.01889999955892563
7,3.2029988765716553,282.55572509765625,0.9779000282287598,0.9776999950408936,0.022099971771240234,0.022300004959106445,0.04960000142455101,0.05050000175833702
8,3.224730968475342,266.5040588378906,0.9817000031471252,0.9817000031471252,0.018299996852874756,0.018299996852874756,0.02930000051856041,0.02979999966919422
9,3.1769542694091797,250.27523803710938,0.9747999906539917,0.9742000102996826,0.0252000093460083,0.025799989700317383,0.06689999997615814,0.06729999929666519
10,3.213582754135132,241.82589721679688,0.9805999994277954,0.9804999828338623,0.01940000057220459,0.019500017166137695,0.09109999984502792,0.09239999949932098
11,3.2102041244506836,238.1524200439453,0.98089998960495,0.98089998960495,0.01910001039505005,0.01910001039505005,0.08049999922513962,0.08079999685287476
12,3.223134756088257,222.75796508789062,0.9829999804496765,0.9833999872207642,0.017000019550323486,0.01660001277923584,0.06599999964237213,0.06589999794960022
13,3.2108168601989746,212.76922607421875,0.9800999760627747,0.980400025844574,0.019900023937225342,0.019599974155426025,0.1289999932050705,0.12939999997615814
14,3.1943626403808594,212.9563446044922,0.9781000018119812,0.9772999882698059,0.0218999981880188,0.022700011730194092,0.093299999833107,0.094200000166893
15,3.21246337890625,201.0877685546875,0.9822999835014343,0.9825000166893005,0.017700016498565674,0.017499983310699463,0.11349999904632568,0.11540000140666962
16,3.1883678436279297,199.4204559326172,0.9771999716758728,0.9776999950408936,0.022800028324127197,0.022300004959106445,0.10199999809265137,0.1031000018119812
17,3.1978373527526855,193.11953735351562,0.9797000288963318,0.9799000024795532,0.020299971103668213,0.020099997520446777,0.17489999532699585,0.17800000309944153
18,3.196044683456421,188.310791015625,0.9815000295639038,0.9815000295639038,0.01849997043609619,0.01849997043609619,0.16580000519752502,0.1662999987602234
19,3.220935344696045,186.88011169433594,0.9807999730110168,0.9811999797821045,0.019200026988983154,0.018800020217895508,0.0869000032544136,0.0877000018954277
20,3.2125141620635986,172.54171752929688,0.9817000031471252,0.9817000031471252,0.018299996852874756,0.018299996852874756,0.09549999982118607,0.09619999676942825
21,3.2087488174438477,172.947021484375,0.9815999865531921,0.9815000295639038,0.01840001344680786,0.01849997043609619,0.10100000351667404,0.10199999809265137
22,3.2218191623687744,165.3759002685547,0.9836000204086304,0.9837999939918518,0.01639997959136963,0.016200006008148193,0.11810000240802765,0.11940000206232071
23,3.1849026679992676,170.65121459960938,0.9793000221252441,0.979200005531311,0.02069997787475586,0.020799994468688965,0.1712000072002411,0.17339999973773956
24,3.2248497009277344,158.1882781982422,0.9847999811172485,0.9847000241279602,0.015200018882751465,0.015299975872039795,0.1476999968290329,0.14890000224113464
25,3.2005765438079834,160.34451293945312,0.9818999767303467,0.9821000099182129,0.01810002326965332,0.01789999008178711,0.11779999732971191,0.1185000017285347
26,3.208367347717285,161.37794494628906,0.9825999736785889,0.9824000000953674,0.017400026321411133,0.01759999990463257,0.1014999970793724,0.10199999809265137
27,3.20349383354187,162.6979217529297,0.9819999933242798,0.9819999933242798,0.018000006675720215,0.018000006675720215,0.20069999992847443,0.20190000534057617
28,3.2041971683502197,149.68504333496094,0.980400025844574,0.9803000092506409,0.019599974155426025,0.01969999074935913,0.08649999648332596,0.08730000257492065
29,3.1820294857025146,150.51666259765625,0.9789000153541565,0.979200005531311,0.021099984645843506,0.020799994468688965,0.1282999962568283,0.12929999828338623
30,3.2102408409118652,145.51898193359375,0.9828000068664551,0.9828000068664551,0.017199993133544922,0.017199993133544922,0.13910000026226044,0.14010000228881836
31,3.21563982963562,141.08953857421875,0.9840999841690063,0.9842000007629395,0.015900015830993652,0.015799999237060547,0.17829999327659607,0.18070000410079956
32,3.2049126625061035,137.99624633789062,0.9819999933242798,0.9824000000953674,0.018000006675720215,0.01759999990463257,0.1518000066280365,0.1525000035762787
33,3.2010974884033203,138.05027770996094,0.9819999933242798,0.9821000099182129,0.018000006675720215,0.01789999008178711,0.14419999718666077,0.1459999978542328
34,3.210552930831909,140.25082397460938,0.9830999970436096,0.983299970626831,0.01690000295639038,0.016700029373168945,0.13899999856948853,0.14149999618530273
35,3.217690944671631,132.03863525390625,0.9842000007629395,0.9842000007629395,0.015799999237060547,0.015799999237060547,0.11860000342130661,0.11999999731779099
36,3.2239341735839844,123.6140365600586,0.9861999750137329,0.9861999750137329,0.01380002498626709,0.01380002498626709,0.1404999941587448,0.14219999313354492
37,3.224189519882202,114.06198120117188,0.9857000112533569,0.9854999780654907,0.014299988746643066,0.014500021934509277,0.12690000236034393,0.1290999948978424
38,3.225958824157715,101.68651580810547,0.986299991607666,0.9866999983787537,0.013700008392333984,0.013300001621246338,0.10180000215768814,0.10329999774694443
39,3.2248597145080566,91.316650390625,0.9865000247955322,0.9864000082015991,0.013499975204467773,0.013599991798400879,0.08449999988079071,0.08659999817609787
40,3.222628116607666,82.55847930908203,0.9861000180244446,0.9861999750137329,0.01389998197555542,0.01380002498626709,0.07410000264644623,0.07609999924898148
41,3.221088171005249,72.74349975585938,0.9860000014305115,0.986299991607666,0.013999998569488525,0.013700008392333984,0.07609999924898148,0.0771000012755394
42,3.1497440338134766,146.06417846679688,0.972599983215332,0.9725000262260437,0.02740001678466797,0.0274999737739563,0.04349999874830246,0.04470000043511391
43,3.210707187652588,114.61717224121094,0.9830999970436096,0.983299970626831,0.01690000295639038,0.016700029373168945,0.0771000012755394,0.07840000092983246
44,3.2204997539520264,103.46243286132812,0.9860000014305115,0.98580002784729,0.013999998569488525,0.014199972152709961,0.08470000326633453,0.08560000360012054
45,3.2182388305664062,98.75241088867188,0.9850999712944031,0.9850999712944031,0.014900028705596924,0.014900028705596924,0.10050000250339508,0.10249999910593033
46,3.216146469116211,90.1139144897461,0.9861000180244446,0.9858999848365784,0.01389998197555542,0.01410001516342163,0.08820000290870667,0.09080000221729279
