  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12   501.56  0.9564     0.9569  0.0436     0.0431     0.0220         0.0221
      2   3.11   425.32  0.9541     0.9546  0.0459     0.0454     0.0203         0.0203
      3   3.17   375.51  0.9676     0.9670  0.0324     0.0330     0.0184         0.0185
      4   3.22   354.22  0.9771     0.9770  0.0229     0.0230     0.0138         0.0138
      5   3.19   311.02  0.9745     0.9743  0.0255     0.0257     0.0186         0.0185
      6   3.20   297.84  0.9756     0.9756  0.0244     0.0244     0.0188         0.0189
      7   3.20   282.56  0.9779     0.9777  0.0221     0.0223     0.0496         0.0505
      8   3.22   266.50  0.9817     0.9817  0.0183     0.0183     0.0293         0.0298
      9   3.18   250.28  0.9748     0.9742  0.0252     0.0258     0.0669         0.0673
     10   3.21   241.83  0.9806     0.9805  0.0194     0.0195     0.0911         0.0924
     11   3.21   238.15  0.9809     0.9809  0.0191     0.0191     0.0805         0.0808
     12   3.22   222.76  0.9830     0.9834  0.0170     0.0166     0.0660         0.0659
     13   3.21   212.77  0.9801     0.9804  0.0199     0.0196     0.1290         0.1294
     14   3.19   212.96  0.9781     0.9773  0.0219     0.0227     0.0933         0.0942
     15   3.21   201.09  0.9823     0.9825  0.0177     0.0175     0.1135         0.1154
     16   3.19   199.42  0.9772     0.9777  0.0228     0.0223     0.1020         0.1031
     17   3.20   193.12  0.9797     0.9799  0.0203     0.0201     0.1749         0.1780
     18   3.20   188.31  0.9815     0.9815  0.0185     0.0185     0.1658         0.1663
     19   3.22   186.88  0.9808     0.9812  0.0192     0.0188     0.0869         0.0877
     20   3.21   172.54  0.9817     0.9817  0.0183     0.0183     0.0955         0.0962
     21   3.21   172.95  0.9816     0.9815  0.0184     0.0185     0.1010         0.1020
     22   3.22   165.38  0.9836     0.9838  0.0164     0.0162     0.1181         0.1194
     23   3.18   170.65  0.9793     0.9792  0.0207     0.0208     0.1712         0.1734
     24   3.22   158.19  0.9848     0.9847  0.0152     0.0153     0.1477         0.1489
     25   3.20   160.34  0.9819     0.9821  0.0181     0.0179     0.1178         0.1185
     26   3.21   161.38  0.9826     0.9824  0.0174     0.0176     0.1015         0.1020
     27   3.20   162.70  0.9820     0.9820  0.0180     0.0180     0.2007         0.2019
