t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1137869358062744,647.6800537109375,0.9538999795913696,0.9541000127792358,0.04610002040863037,0.04589998722076416,0.02239999920129776,0.022299999371170998
2,3.166285991668701,624.722412109375,0.9674999713897705,0.9674000144004822,0.03250002861022949,0.03259998559951782,0.017000000923871994,0.016899999231100082
3,3.1969096660614014,602.5792236328125,0.9726999998092651,0.9726999998092651,0.027300000190734863,0.027300000190734863,0.01590000092983246,0.015799999237060547
4,3.1737024784088135,589.5341796875,0.9668999910354614,0.9668999910354614,0.033100008964538574,0.033100008964538574,0.021400000900030136,0.02160000056028366
5,3.197871446609497,563.5145263671875,0.9751999974250793,0.9750999808311462,0.024800002574920654,0.02490001916885376,0.015200000256299973,0.015200000256299973
6,3.217284917831421,552.3316650390625,0.9801999926567078,0.9801999926567078,0.019800007343292236,0.019800007343292236,0.02290000021457672,0.02290000021457672
7,3.2308249473571777,539.7869262695312,0.9817000031471252,0.9815999865531921,0.018299996852874756,0.01840001344680786,0.0333000011742115,0.032999999821186066
8,3.187863349914551,516.1192016601562,0.9717000126838684,0.9718000292778015,0.028299987316131592,0.028199970722198486,0.033799998462200165,0.034299999475479126
9,3.184584617614746,502.09722900390625,0.972599983215332,0.9728999733924866,0.02740001678466797,0.027100026607513428,0.04580000042915344,0.04560000076889992
10,3.2067158222198486,485.6527404785156,0.9789999723434448,0.9793000221252441,0.021000027656555176,0.02069997787475586,0.04919999837875366,0.048900000751018524
11,3.1994779109954834,476.69293212890625,0.9790999889373779,0.979200005531311,0.02090001106262207,0.020799994468688965,0.06509999930858612,0.0649000033736229
12,3.201876163482666,464.2239990234375,0.9783999919891357,0.978600025177002,0.021600008010864258,0.021399974822998047,0.09679999947547913,0.09730000048875809
13,3.22395396232605,450.36944580078125,0.9818999767303467,0.9821000099182129,0.01810002326965332,0.01789999008178711,0.06960000097751617,0.0697999969124794
14,3.174978017807007,440.5023193359375,0.9753000140190125,0.9753999710083008,0.02469998598098755,0.02460002899169922,0.09019999951124191,0.09009999781847
15,3.1925289630889893,431.2242431640625,0.9793999791145325,0.9793999791145325,0.02060002088546753,0.02060002088546753,0.08900000154972076,0.08860000222921371
16,3.214048385620117,423.8355712890625,0.9829000234603882,0.9829000234603882,0.017099976539611816,0.017099976539611816,0.12919999659061432,0.12919999659061432
17,3.214658498764038,413.70196533203125,0.9807999730110168,0.98089998960495,0.019200026988983154,0.01910001039505005,0.14239999651908875,0.14159999787807465
18,3.209000587463379,404.8357849121094,0.982200026512146,0.9819999933242798,0.017799973487854004,0.018000006675720215,0.13179999589920044,0.13169999420642853
19,3.201483726501465,396.06402587890625,0.9797000288963318,0.9797000288963318,0.020299971103668213,0.020299971103668213,0.10679999738931656,0.10670000314712524
20,3.19769549369812,384.044921875,0.9797999858856201,0.9800000190734863,0.020200014114379883,0.019999980926513672,0.1136000007390976,0.11379999667406082
