  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   647.68  0.9539     0.9541  0.0461     0.0459     0.0224         0.0223
      2   3.17   624.72  0.9675     0.9674  0.0325     0.0326     0.0170         0.0169
      3   3.20   602.58  0.9727     0.9727  0.0273     0.0273     0.0159         0.0158
      4   3.17   589.53  0.9669     0.9669  0.0331     0.0331     0.0214         0.0216
      5   3.20   563.51  0.9752     0.9751  0.0248     0.0249     0.0152         0.0152
      6   3.22   552.33  0.9802     0.9802  0.0198     0.0198     0.0229         0.0229
      7   3.23   539.79  0.9817     0.9816  0.0183     0.0184     0.0333         0.0330
      8   3.19   516.12  0.9717     0.9718  0.0283     0.0282     0.0338         0.0343
      9   3.18   502.10  0.9726     0.9729  0.0274     0.0271     0.0458         0.0456
     10   3.21   485.65  0.9790     0.9793  0.0210     0.0207     0.0492         0.0489
     11   3.20   476.69  0.9791     0.9792  0.0209     0.0208     0.0651         0.0649
     12   3.20   464.22  0.9784     0.9786  0.0216     0.0214     0.0968         0.0973
     13   3.22   450.37  0.9819     0.9821  0.0181     0.0179     0.0696         0.0698
     14   3.17   440.50  0.9753     0.9754  0.0247     0.0246     0.0902         0.0901
     15   3.19   431.22  0.9794     0.9794  0.0206     0.0206     0.0890         0.0886
     16   3.21   423.84  0.9829     0.9829  0.0171     0.0171     0.1292         0.1292
     17   3.21   413.70  0.9808     0.9809  0.0192     0.0191     0.1424         0.1416
     18   3.21   404.84  0.9822     0.9820  0.0178     0.0180     0.1318         0.1317
     19   3.20   396.06  0.9797     0.9797  0.0203     0.0203     0.1068         0.1067
     20   3.20   384.04  0.9798     0.9800  0.0202     0.0200     0.1136         0.1138
     21   3.19   385.16  0.9800     0.9801  0.0200     0.0199     0.1991         0.1990
     22   3.21   371.41  0.9818     0.9817  0.0182     0.0183     0.1494         0.1491
     23   3.19   360.36  0.9800     0.9798  0.0200     0.0202     0.1445         0.1450
     24   3.18   356.34  0.9814     0.9815  0.0186     0.0185     0.1898         0.1914
     25   3.16   351.40  0.9770     0.9772  0.0230     0.0228     0.2116         0.2109
     26   3.21   341.08  0.9812     0.9811  0.0188     0.0189     0.1785         0.1792
     27   3.18   344.70  0.9798     0.9797  0.0202     0.0203     0.1972         0.1977
     28   3.21   330.76  0.9831     0.9831  0.0169     0.0169     0.1891         0.1885
     29   3.20   325.48  0.9828     0.9829  0.0172     0.0171     0.2097         0.2095
     30   3.11   324.41  0.9677     0.9678  0.0323     0.0322     0.1846         0.1838
     31   3.19   313.48  0.9824     0.9821  0.0176     0.0179     0.2310         0.2316
     32   3.21   301.16  0.9836     0.9836  0.0164     0.0164     0.2159         0.2164
     33   3.12   308.19  0.9734     0.9732  0.0266     0.0268     0.2783         0.2781
     34   3.22   300.71  0.9834     0.9835  0.0166     0.0165     0.2419         0.2421
     35   3.20   293.13  0.9827     0.9829  0.0173     0.0171     0.2832         0.2847
     36   3.20   292.13  0.9827     0.9826  0.0173     0.0174     0.2989         0.3000
     37   3.21   291.77  0.9846     0.9845  0.0154     0.0155     0.2973         0.2973
     38   3.15   295.92  0.9759     0.9760  0.0241     0.0240     0.2297         0.2297
     39   3.21   295.99  0.9851     0.9850  0.0149     0.0150     0.3664         0.3666
     40   3.17   280.93  0.9809     0.9809  0.0191     0.0191     0.2944         0.2948
     41   3.20   275.70  0.9835     0.9836  0.0165     0.0164     0.2761         0.2761
     42   3.20   282.09  0.9820     0.9822  0.0180     0.0178     0.3107         0.3104
     43   3.21   269.88  0.9820     0.9821  0.0180     0.0179     0.2147         0.2142
     44   3.21   282.52  0.9861     0.9861  0.0139     0.0139     0.3875         0.3878
     45   3.19   270.50  0.9830     0.9830  0.0170     0.0170     0.3153         0.3159
     46   3.21   267.76  0.9856     0.9856  0.0144     0.0144     0.3347         0.3343
     47   3.18   281.25  0.9824     0.9826  0.0176     0.0174     0.3813         0.3809
     48   3.21   260.19  0.9839     0.9838  0.0161     0.0162     0.2483         0.2485
     49   3.21   259.76  0.9851     0.9853  0.0149     0.0147     0.3579         0.3591
     50   3.21   266.45  0.9853     0.9854  0.0147     0.0146     0.4258         0.4265
     51   3.21   257.07  0.9857     0.9858  0.0143     0.0142     0.4242         0.4257
     52   3.21   245.45  0.9861     0.9860  0.0139     0.0140     0.4185         0.4204
     53   3.21   232.76  0.9860     0.9858  0.0140     0.0142     0.4076         0.4083
     54   3.21   219.50  0.9857     0.9859  0.0143     0.0141     0.4075         0.4072
     55   3.22   204.16  0.9857     0.9859  0.0143     0.0141     0.3851         0.3863
     56   3.22   186.31  0.9860     0.9858  0.0140     0.0142     0.3625         0.3642
     57   3.22   169.50  0.9860     0.9859  0.0140     0.0141     0.3382         0.3377
     58   3.22   150.45  0.9860     0.9859  0.0140     0.0141     0.2758         0.2769
     59   3.22   133.60  0.9863     0.9866  0.0137     0.0134     0.2310         0.2314
     60   3.21   118.34  0.9859     0.9861  0.0141     0.0139     0.1861         0.1876
     61   3.21   105.86  0.9866     0.9867  0.0134     0.0133     0.1536         0.1545
     62   3.21    96.04  0.9866     0.9862  0.0134     0.0138     0.1447         0.1471
     63   3.19   143.98  0.9804     0.9800  0.0196     0.0200     0.1052         0.1055
     64   3.20   141.09  0.9833     0.9835  0.0167     0.0165     0.0871         0.0876
     65   3.19   134.30  0.9846     0.9845  0.0154     0.0155     0.2222         0.2237
     66   3.20   132.50  0.9859     0.9863  0.0141     0.0137     0.2387         0.2396
     67   3.20   128.71  0.9863     0.9860  0.0137     0.0140     0.2364         0.2387
     68   3.20   125.00  0.9861     0.9858  0.0139     0.0142     0.2444         0.2462
     69   3.20   120.91  0.9860     0.9861  0.0140     0.0139     0.2212         0.2235
     70   3.20   116.44  0.9860     0.9860  0.0140     0.0140     0.2210         0.2220
     71   3.20   111.24  0.9860     0.9860  0.0140     0.0140     0.1995         0.2003
     72   3.20   106.06  0.9858     0.9861  0.0142     0.0139     0.1890         0.1902
     73   3.20   100.15  0.9864     0.9865  0.0136     0.0135     0.1584         0.1599
     74   3.20    95.14  0.9864     0.9866  0.0136     0.0134     0.1540         0.1552
     75   3.20    91.18  0.9860     0.9863  0.0140     0.0137     0.1516         0.1529
     76   3.20   136.66  0.9826     0.9823  0.0174     0.0177     0.0714         0.0716
     77   3.21   122.82  0.9848     0.9851  0.0152     0.0149     0.1598         0.1614
     78   3.20   120.39  0.9857     0.9861  0.0143     0.0139     0.2214         0.2226
     79   3.20   116.21  0.9860     0.9861  0.0140     0.0139     0.2234         0.2258
     80   3.20   112.31  0.9862     0.9862  0.0138     0.0138     0.2134         0.2149
     81   3.20   108.57  0.9865     0.9866  0.0135     0.0134     0.2122         0.2133
     82   3.20   104.25  0.9865     0.9868  0.0135     0.0132     0.1944         0.1953
     83   3.20   100.30  0.9866     0.9867  0.0134     0.0133     0.1933         0.1942
     84   3.20    95.52  0.9866     0.9866  0.0134     0.0134     0.1759         0.1783
     85   3.20    91.26  0.9861     0.9866  0.0139     0.0134     0.1656         0.1661
     86   3.20    87.36  0.9867     0.9865  0.0133     0.0135     0.1690         0.1697
     87   3.19    83.71  0.9863     0.9863  0.0137     0.0137     0.1654         0.1668
     88   3.19    80.01  0.9863     0.9861  0.0137     0.0139     0.1605         0.1603
     89   3.19    76.95  0.9864     0.9863  0.0136     0.0137     0.1753         0.1763
     90   3.19    73.90  0.9861     0.9865  0.0139     0.0135     0.1774         0.1774
     91   3.18   105.84  0.9827     0.9826  0.0173     0.0174     0.0869         0.0868
     92   3.20   103.96  0.9859     0.9860  0.0141     0.0140     0.1024         0.1030
     93   3.19    98.72  0.9849     0.9850  0.0151     0.0150     0.1415         0.1426
     94   3.20    95.31  0.9861     0.9862  0.0139     0.0138     0.1610         0.1620
     95   3.20    93.01  0.9863     0.9863  0.0137     0.0137     0.1709         0.1727
     96   3.19    91.16  0.9863     0.9863  0.0137     0.0137     0.1812         0.1821
     97   3.19    88.94  0.9862     0.9864  0.0138     0.0136     0.1840         0.1859
     98   3.19    86.56  0.9860     0.9862  0.0140     0.0138     0.1805         0.1828
     99   3.19    84.31  0.9863     0.9865  0.0137     0.0135     0.1804         0.1820
    100   3.19    81.81  0.9867     0.9863  0.0133     0.0137     0.1865         0.1875
    101   3.19    79.62  0.9863     0.9867  0.0137     0.0133     0.1867         0.1879
    102   3.19    77.08  0.9867     0.9867  0.0133     0.0133     0.1885         0.1901
    103   3.19    75.16  0.9860     0.9867  0.0140     0.0133     0.1874         0.1897
    104   3.19    73.06  0.9869     0.9866  0.0131     0.0134     0.1959         0.1963
    105   3.19    71.41  0.9863     0.9863  0.0137     0.0137     0.2049         0.2059
    106   3.19    69.08  0.9865     0.9866  0.0135     0.0134     0.2114         0.2120
    107   3.19    67.11  0.9869     0.9866  0.0131     0.0134     0.2136         0.2141
    108   3.18    64.95  0.9864     0.9873  0.0136     0.0127     0.2279         0.2286
    109   3.18    63.10  0.9863     0.9869  0.0137     0.0131     0.2261         0.2277
    110   3.18    62.03  0.9865     0.9862  0.0135     0.0138     0.2355         0.2364
    111   3.19    88.65  0.9854     0.9855  0.0146     0.0145     0.0910         0.0912
    112   3.20    81.30  0.9860     0.9862  0.0140     0.0138     0.1183         0.1198
    113   3.20    82.92  0.9867     0.9866  0.0133     0.0134     0.1169         0.1165
    114   3.20    77.31  0.9868     0.9870  0.0132     0.0130     0.1514         0.1530
    115   3.20    74.95  0.9871     0.9869  0.0129     0.0131     0.1715         0.1722
    116   3.19    73.04  0.9867     0.9868  0.0133     0.0132     0.1799         0.1819
    117   3.19    71.28  0.9869     0.9869  0.0131     0.0131     0.1951         0.1957
    118   3.19    69.56  0.9870     0.9867  0.0130     0.0133     0.1996         0.2018
    119   3.19    67.96  0.9870     0.9871  0.0130     0.0129     0.1995         0.2005
    120   3.19    66.79  0.9872     0.9876  0.0128     0.0124     0.2051         0.2056
    121   3.19    65.28  0.9874     0.9871  0.0126     0.0129     0.2119         0.2124
    122   3.19    63.69  0.9872     0.9871  0.0128     0.0129     0.2243         0.2250
    123   3.18    62.77  0.9869     0.9876  0.0131     0.0124     0.2241         0.2245
    124   3.19    61.90  0.9877     0.9876  0.0123     0.0124     0.2313         0.2318
    125   3.19    60.59  0.9874     0.9877  0.0126     0.0123     0.2545         0.2550
    126   3.19    66.88  0.9870     0.9874  0.0130     0.0126     0.2386         0.2392
    127   3.19    59.67  0.9875     0.9871  0.0125     0.0129     0.2639         0.2636
    128   3.19    57.86  0.9874     0.9876  0.0126     0.0124     0.2782         0.2781
    129   3.19    56.79  0.9873     0.9873  0.0127     0.0127     0.2830         0.2836
    130   3.19    55.62  0.9883     0.9879  0.0117     0.0121     0.2891         0.2898
    131   3.19    55.41  0.9876     0.9876  0.0124     0.0124     0.2976         0.2985
    132   3.18    79.41  0.9855     0.9850  0.0145     0.0150     0.1941         0.1958
    133   3.17    72.34  0.9845     0.9847  0.0155     0.0153     0.1994         0.2007
    134   3.17    68.18  0.9852     0.9853  0.0148     0.0147     0.2196         0.2201
