  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.04   663.17  0.9379     0.9377  0.0621     0.0623     0.0312         0.0311
      2   3.14   672.35  0.9589     0.9587  0.0411     0.0413     0.0212         0.0212
      3   3.20   669.49  0.9742     0.9743  0.0258     0.0257     0.0139         0.0139
      4   3.20   664.19  0.9738     0.9738  0.0262     0.0262     0.0179         0.0179
      5   3.21   680.86  0.9753     0.9751  0.0247     0.0249     0.0185         0.0185
      6   3.22   701.72  0.9808     0.9808  0.0192     0.0192     0.0301         0.0301
      7   3.21   695.61  0.9784     0.9784  0.0216     0.0216     0.0272         0.0274
      8   3.23   694.52  0.9823     0.9822  0.0177     0.0178     0.0423         0.0425
      9   3.21   698.33  0.9798     0.9795  0.0202     0.0205     0.0689         0.0690
     10   3.18   664.97  0.9734     0.9733  0.0266     0.0267     0.0524         0.0523
     11   3.22   693.14  0.9812     0.9812  0.0188     0.0188     0.0642         0.0644
     12   3.19   669.37  0.9760     0.9761  0.0240     0.0239     0.0717         0.0717
     13   3.22   693.31  0.9827     0.9827  0.0173     0.0173     0.0985         0.0986
     14   3.19   672.33  0.9778     0.9778  0.0222     0.0222     0.1178         0.1180
     15   3.16   673.27  0.9753     0.9752  0.0247     0.0248     0.1239         0.1236
     16   3.21   665.51  0.9815     0.9815  0.0185     0.0185     0.1248         0.1250
     17   3.20   652.71  0.9806     0.9806  0.0194     0.0194     0.1259         0.1258
     18   3.23   639.13  0.9843     0.9842  0.0157     0.0158     0.0909         0.0908
     19   3.19   659.39  0.9796     0.9795  0.0204     0.0205     0.0957         0.0960
     20   3.16   632.76  0.9746     0.9745  0.0254     0.0255     0.1458         0.1459
     21   3.21   634.31  0.9816     0.9816  0.0184     0.0184     0.1274         0.1274
     22   3.19   659.37  0.9810     0.9810  0.0190     0.0190     0.1910         0.1910
     23   3.18   654.18  0.9814     0.9813  0.0186     0.0187     0.1605         0.1602
     24   3.17   639.12  0.9792     0.9792  0.0208     0.0208     0.1720         0.1723
     25   3.23   617.42  0.9845     0.9846  0.0155     0.0154     0.1323         0.1323
     26   3.20   622.24  0.9822     0.9822  0.0178     0.0178     0.1678         0.1684
     27   3.21   616.40  0.9831     0.9830  0.0169     0.0170     0.1339         0.1337
     28   3.21   625.44  0.9844     0.9844  0.0156     0.0156     0.1676         0.1680
     29   3.22   614.07  0.9850     0.9850  0.0150     0.0150     0.1623         0.1619
     30   3.21   605.48  0.9833     0.9831  0.0167     0.0169     0.1877         0.1875
     31   3.21   614.63  0.9840     0.9839  0.0160     0.0161     0.1725         0.1725
     32   3.21   605.33  0.9823     0.9823  0.0177     0.0177     0.2081         0.2079
     33   3.20   585.32  0.9812     0.9813  0.0188     0.0187     0.1254         0.1250
     34   3.22   579.54  0.9843     0.9844  0.0157     0.0156     0.1896         0.1896
     35   3.22   612.62  0.9860     0.9859  0.0140     0.0141     0.2019         0.2016
     36   3.22   617.75  0.9861     0.9861  0.0139     0.0139     0.2158         0.2166
     37   3.21   612.96  0.9865     0.9866  0.0135     0.0134     0.2316         0.2317
     38   3.21   604.18  0.9862     0.9864  0.0138     0.0136     0.2381         0.2387
     39   3.21   576.96  0.9864     0.9864  0.0136     0.0136     0.2498         0.2511
     40   3.21   515.65  0.9862     0.9864  0.0138     0.0136     0.2928         0.2922
     41   3.20   447.52  0.9864     0.9866  0.0136     0.0134     0.3648         0.3664
     42   3.21   403.08  0.9868     0.9868  0.0132     0.0132     0.4290         0.4295
     43   3.21   369.84  0.9867     0.9867  0.0133     0.0133     0.4569         0.4586
     44   3.21   341.26  0.9866     0.9866  0.0134     0.0134     0.4763         0.4763
     45   3.21   314.09  0.9869     0.9867  0.0131     0.0133     0.4805         0.4804
     46   3.21   288.34  0.9868     0.9867  0.0132     0.0133     0.4781         0.4795
     47   3.21   266.79  0.9869     0.9870  0.0131     0.0130     0.4911         0.4923
     48   3.21   242.48  0.9874     0.9871  0.0126     0.0129     0.4903         0.4922
     49   3.21   218.94  0.9878     0.9873  0.0122     0.0127     0.4887         0.4883
     50   3.21   196.69  0.9878     0.9876  0.0122     0.0124     0.4850         0.4850
     51   3.21   175.98  0.9878     0.9879  0.0122     0.0121     0.4790         0.4806
     52   3.21   158.43  0.9876     0.9876  0.0124     0.0124     0.4518         0.4506
     53   3.21   139.48  0.9877     0.9873  0.0123     0.0127     0.4050         0.4055
     54   3.21   127.16  0.9880     0.9878  0.0120     0.0122     0.3864         0.3884
     55   3.21   115.68  0.9874     0.9873  0.0126     0.0127     0.3497         0.3495
     56   3.21   171.48  0.9844     0.9843  0.0156     0.0157     0.1399         0.1400
     57   3.19   170.46  0.9839     0.9836  0.0161     0.0164     0.2234         0.2240
     58   3.23   183.98  0.9857     0.9856  0.0143     0.0144     0.0792         0.0792
     59   3.19   169.46  0.9834     0.9837  0.0166     0.0163     0.2047         0.2042
     60   3.21   174.82  0.9854     0.9855  0.0146     0.0145     0.2240         0.2248
     61   3.21   176.37  0.9861     0.9858  0.0139     0.0142     0.1789         0.1788
     62   3.20   169.54  0.9862     0.9863  0.0138     0.0137     0.3151         0.3159
     63   3.20   171.87  0.9863     0.9865  0.0137     0.0135     0.3607         0.3611
     64   3.20   174.54  0.9867     0.9865  0.0133     0.0135     0.3912         0.3944
     65   3.19   176.92  0.9866     0.9868  0.0134     0.0132     0.4253         0.4260
     66   3.19   178.42  0.9866     0.9868  0.0134     0.0132     0.4430         0.4440
     67   3.19   179.16  0.9868     0.9867  0.0132     0.0133     0.4578         0.4577
     68   3.19   178.55  0.9867     0.9868  0.0133     0.0132     0.4717         0.4733
     69   3.19   176.63  0.9869     0.9867  0.0131     0.0133     0.4776         0.4780
     70   3.19   173.76  0.9867     0.9867  0.0133     0.0133     0.4789         0.4796
     71   3.19   170.33  0.9863     0.9864  0.0137     0.0136     0.4753         0.4750
     72   3.19   165.24  0.9864     0.9867  0.0136     0.0133     0.4801         0.4810
     73   3.19   159.42  0.9867     0.9865  0.0133     0.0135     0.4842         0.4857
     74   3.19   152.81  0.9870     0.9869  0.0130     0.0131     0.4779         0.4788
     75   3.19   145.66  0.9870     0.9868  0.0130     0.0132     0.4756         0.4775
     76   3.19   138.21  0.9869     0.9868  0.0131     0.0132     0.4626         0.4651
     77   3.19   131.18  0.9872     0.9869  0.0128     0.0131     0.4473         0.4480
     78   3.19   123.51  0.9872     0.9872  0.0128     0.0128     0.4189         0.4194
     79   3.19   117.24  0.9874     0.9873  0.0126     0.0127     0.4004         0.4022
     80   3.19   110.19  0.9875     0.9873  0.0125     0.0127     0.3700         0.3708
     81   3.19   104.39  0.9870     0.9873  0.0130     0.0127     0.3493         0.3501
     82   3.19    99.70  0.9873     0.9872  0.0127     0.0128     0.3490         0.3506
     83   3.19    94.53  0.9873     0.9877  0.0127     0.0123     0.3341         0.3350
     84   3.18    89.67  0.9875     0.9875  0.0125     0.0125     0.3251         0.3272
     85   3.18    86.99  0.9867     0.9876  0.0133     0.0124     0.3324         0.3333
     86   3.21   147.00  0.9863     0.9861  0.0137     0.0139     0.0802         0.0802
     87   3.20   135.23  0.9861     0.9857  0.0139     0.0143     0.1414         0.1419
     88   3.18   141.45  0.9831     0.9832  0.0169     0.0168     0.1452         0.1452
     89   3.22   145.12  0.9865     0.9866  0.0135     0.0134     0.1156         0.1157
     90   3.19   138.82  0.9843     0.9845  0.0157     0.0155     0.1903         0.1913
     91   3.20   133.53  0.9859     0.9857  0.0141     0.0143     0.2063         0.2064
     92   3.20   128.85  0.9864     0.9864  0.0136     0.0136     0.2674         0.2685
     93   3.19   126.66  0.9868     0.9869  0.0132     0.0131     0.3062         0.3071
     94   3.19   125.42  0.9871     0.9868  0.0129     0.0132     0.3468         0.3480
     95   3.19   124.85  0.9867     0.9868  0.0133     0.0132     0.3781         0.3796
     96   3.19   124.39  0.9867     0.9868  0.0133     0.0132     0.3926         0.3938
     97   3.19   123.54  0.9872     0.9868  0.0128     0.0132     0.4133         0.4146
     98   3.19   122.24  0.9870     0.9869  0.0130     0.0131     0.4224         0.4247
     99   3.18   120.42  0.9873     0.9870  0.0127     0.0130     0.4325         0.4329
    100   3.18   118.35  0.9872     0.9871  0.0128     0.0129     0.4368         0.4379
    101   3.18   115.60  0.9871     0.9871  0.0129     0.0129     0.4379         0.4380
    102   3.18   112.61  0.9869     0.9869  0.0131     0.0131     0.4303         0.4313
    103   3.18   109.35  0.9873     0.9870  0.0127     0.0130     0.4317         0.4333
    104   3.18   105.83  0.9865     0.9869  0.0135     0.0131     0.4237         0.4246
    105   3.18   101.77  0.9867     0.9868  0.0133     0.0132     0.4078         0.4101
    106   3.18    97.93  0.9867     0.9862  0.0133     0.0138     0.3970         0.3985
    107   3.18    94.44  0.9866     0.9867  0.0134     0.0133     0.3830         0.3855
    108   3.19    91.58  0.9865     0.9866  0.0135     0.0134     0.3773         0.3794
    109   3.18    88.47  0.9872     0.9871  0.0128     0.0129     0.3686         0.3699
    110   3.18    85.93  0.9867     0.9868  0.0133     0.0132     0.3662         0.3677
    111   3.18    83.47  0.9876     0.9871  0.0124     0.0129     0.3607         0.3616
    112   3.18    81.65  0.9868     0.9868  0.0132     0.0132     0.3812         0.3822
    113   3.20   136.74  0.9845     0.9848  0.0155     0.0152     0.1343         0.1341
    114   3.21   131.71  0.9868     0.9865  0.0132     0.0135     0.1576         0.1581
    115   3.20   120.55  0.9868     0.9869  0.0132     0.0131     0.2208         0.2211
    116   3.20   112.47  0.9872     0.9873  0.0128     0.0127     0.2676         0.2676
    117   3.20   105.29  0.9868     0.9870  0.0132     0.0130     0.3161         0.3175
    118   3.19   101.34  0.9871     0.9870  0.0129     0.0130     0.3680         0.3678
    119   3.18    99.53  0.9870     0.9868  0.0130     0.0132     0.3925         0.3939
    120   3.18    98.27  0.9869     0.9869  0.0131     0.0131     0.4170         0.4197
    121   3.18    96.86  0.9869     0.9869  0.0131     0.0131     0.4283         0.4297
    122   3.18    95.33  0.9867     0.9868  0.0133     0.0132     0.4253         0.4275
    123   3.18    94.07  0.9870     0.9869  0.0130     0.0131     0.4408         0.4424
    124   3.18    92.36  0.9865     0.9869  0.0135     0.0131     0.4377         0.4390
    125   3.18    92.05  0.9867     0.9867  0.0133     0.0133     0.4174         0.4186
    126   3.18    90.29  0.9866     0.9868  0.0134     0.0132     0.4355         0.4369
    127   3.18    88.24  0.9869     0.9871  0.0131     0.0129     0.4297         0.4313
    128   3.18    86.43  0.9873     0.9869  0.0127     0.0131     0.4337         0.4358
    129   3.18    84.58  0.9871     0.9870  0.0129     0.0130     0.4249         0.4257
    130   3.18    82.76  0.9873     0.9870  0.0127     0.0130     0.4335         0.4342
    131   3.19    81.15  0.9874     0.9868  0.0126     0.0132     0.4272         0.4300
    132   3.18    79.29  0.9870     0.9876  0.0130     0.0124     0.4146         0.4152
    133   3.18    78.00  0.9872     0.9871  0.0128     0.0129     0.4119         0.4116
    134   3.18    76.58  0.9873     0.9875  0.0127     0.0125     0.4236         0.4258
    135   3.18    75.93  0.9872     0.9871  0.0128     0.0129     0.4245         0.4271
    136   3.17    73.80  0.9875     0.9870  0.0125     0.0130     0.4302         0.4318
    137   3.17    72.89  0.9870     0.9871  0.0130     0.0129     0.4375         0.4399
    138   3.17    90.96  0.9857     0.9856  0.0143     0.0144     0.3603         0.3613
    139   3.17    91.57  0.9859     0.9856  0.0141     0.0144     0.3602         0.3624
    140   3.17    89.47  0.9857     0.9859  0.0143     0.0141     0.3849         0.3867
    141   3.17    88.13  0.9864     0.9861  0.0136     0.0139     0.4034         0.4049
    142   3.17    87.22  0.9861     0.9861  0.0139     0.0139     0.4186         0.4207
    143   3.17    86.08  0.9862     0.9861  0.0138     0.0139     0.4196         0.4214
    144   3.17    84.89  0.9862     0.9863  0.0138     0.0137     0.4246         0.4269
    145   3.17    83.49  0.9857     0.9864  0.0143     0.0136     0.4416         0.4441
    146   3.17    82.83  0.9865     0.9862  0.0135     0.0138     0.4281         0.4290
    147   3.16    80.97  0.9861     0.9864  0.0139     0.0136     0.4548         0.4564
    148   3.17    79.30  0.9859     0.9862  0.0141     0.0138     0.4584         0.4614
    149   3.17    77.99  0.9860     0.9863  0.0140     0.0137     0.4574         0.4612
    150   3.17    76.64  0.9862     0.9861  0.0138     0.0139     0.4650         0.4675
    151   3.16    75.81  0.9859     0.9862  0.0141     0.0138     0.4599         0.4612
    152   3.17    74.51  0.9867     0.9865  0.0133     0.0135     0.4572         0.4598
    153   3.16    73.60  0.9862     0.9864  0.0138     0.0136     0.4547         0.4578
    154   3.16    72.57  0.9864     0.9864  0.0136     0.0136     0.4616         0.4625
    155   3.16    71.14  0.9861     0.9861  0.0139     0.0139     0.4666         0.4692
    156   3.16    70.45  0.9867     0.9863  0.0133     0.0137     0.4781         0.4823
    157   3.16    69.63  0.9862     0.9862  0.0138     0.0138     0.4728         0.4739
    158   3.16    68.59  0.9867     0.9863  0.0133     0.0137     0.4803         0.4831
    159   3.16    67.45  0.9866     0.9863  0.0134     0.0137     0.4769         0.4786
    160   3.17    66.64  0.9870     0.9864  0.0130     0.0136     0.4962         0.4978
    161   3.16    65.26  0.9864     0.9864  0.0136     0.0136     0.4958         0.4985
    162   3.16    64.11  0.9867     0.9865  0.0133     0.0135     0.5091         0.5119
    163   3.17    64.51  0.9864     0.9866  0.0136     0.0134     0.4975         0.4990
    164   3.16    62.73  0.9864     0.9863  0.0136     0.0137     0.5097         0.5116
    165   3.16    62.08  0.9867     0.9864  0.0133     0.0136     0.5226         0.5236
    166   3.16    61.01  0.9864     0.9865  0.0136     0.0135     0.5238         0.5250
    167   3.16    61.79  0.9864     0.9863  0.0136     0.0137     0.5406         0.5417
    168   3.16    60.52  0.9867     0.9866  0.0133     0.0134     0.5431         0.5439
    169   3.15    61.48  0.9866     0.9868  0.0134     0.0132     0.5393         0.5413
    170   3.16    60.77  0.9869     0.9866  0.0131     0.0134     0.5340         0.5366
    171   3.16    60.17  0.9867     0.9872  0.0133     0.0128     0.5477         0.5501
    172   3.16    59.86  0.9875     0.9871  0.0125     0.0129     0.5534         0.5540
    173   3.16    59.66  0.9874     0.9875  0.0126     0.0125     0.5361         0.5393
    174   3.16    59.84  0.9875     0.9873  0.0125     0.0127     0.5348         0.5363
    175   3.16    58.62  0.9870     0.9873  0.0130     0.0127     0.5410         0.5423
    176   3.16    58.40  0.9875     0.9875  0.0125     0.0125     0.5585         0.5594
    177   3.16    58.16  0.9871     0.9873  0.0129     0.0127     0.5687         0.5707
    178   3.16    57.78  0.9870     0.9874  0.0130     0.0126     0.5633         0.5652
    179   3.16    57.41  0.9878     0.9874  0.0122     0.0126     0.5708         0.5720
    180   3.16    57.05  0.9873     0.9877  0.0127     0.0123     0.5639         0.5658
    181   3.16    56.98  0.9875     0.9877  0.0125     0.0123     0.5634         0.5646
    182   3.15    56.20  0.9872     0.9875  0.0128     0.0125     0.5681         0.5692
    183   3.16    55.91  0.9874     0.9875  0.0126     0.0125     0.5720         0.5742
    184   3.16    56.10  0.9871     0.9875  0.0129     0.0125     0.5688         0.5695
    185   3.16    55.99  0.9872     0.9875  0.0128     0.0125     0.5626         0.5647
    186   3.15    56.76  0.9868     0.9871  0.0132     0.0129     0.5754         0.5771
    187   3.15    55.99  0.9875     0.9872  0.0125     0.0128     0.5839         0.5858
    188   3.15    55.66  0.9871     0.9873  0.0129     0.0127     0.5894         0.5893
    189   3.15    55.68  0.9871     0.9872  0.0129     0.0128     0.5819         0.5822
    190   3.15    55.34  0.9876     0.9875  0.0124     0.0125     0.5881         0.5907
    191   3.15    55.04  0.9869     0.9872  0.0131     0.0128     0.5879         0.5887
    192   3.15    54.74  0.9874     0.9873  0.0126     0.0127     0.5884         0.5893
    193   3.16    54.65  0.9872     0.9875  0.0128     0.0125     0.5872         0.5899
    194   3.15    54.42  0.9877     0.9875  0.0123     0.0125     0.5920         0.5930
    195   3.15    54.11  0.9874     0.9874  0.0126     0.0126     0.5839         0.5841
    196   3.15    53.99  0.9868     0.9873  0.0132     0.0127     0.5891         0.5908
    197   3.15    53.53  0.9878     0.9875  0.0122     0.0125     0.5926         0.5952
    198   3.15    53.15  0.9867     0.9873  0.0133     0.0127     0.5922         0.5943
    199   3.15    53.10  0.9874     0.9870  0.0126     0.0130     0.6052         0.6056
    200   3.15    53.17  0.9873     0.9874  0.0127     0.0126     0.5946         0.5971
    201   3.15    52.66  0.9875     0.9870  0.0125     0.0130     0.5887         0.5910
    202   3.15    52.36  0.9869     0.9870  0.0131     0.0130     0.5965         0.5997
    203   3.15    52.26  0.9871     0.9870  0.0129     0.0130     0.6025         0.6054
    204   3.15    53.12  0.9874     0.9874  0.0126     0.0126     0.5780         0.5792
    205   3.15    52.53  0.9875     0.9873  0.0125     0.0127     0.6083         0.6092
    206   3.15    51.85  0.9872     0.9873  0.0128     0.0127     0.6166         0.6188
    207   3.14    51.79  0.9870     0.9871  0.0130     0.0129     0.6094         0.6108
    208   3.15    51.22  0.9873     0.9870  0.0127     0.0130     0.6183         0.6212
    209   3.15    50.98  0.9879     0.9873  0.0121     0.0127     0.6094         0.6123
    210   3.15    50.62  0.9870     0.9873  0.0130     0.0127     0.6140         0.6153
    211   3.15    51.31  0.9881     0.9875  0.0119     0.0125     0.6211         0.6230
    212   3.14    51.08  0.9867     0.9870  0.0133     0.0130     0.6157         0.6172
    213   3.14    50.70  0.9864     0.9868  0.0136     0.0132     0.6183         0.6195
    214   3.15    50.03  0.9868     0.9872  0.0132     0.0128     0.6185         0.6200
    215   3.14    50.02  0.9868     0.9871  0.0132     0.0129     0.6214         0.6240
    216   3.14    50.05  0.9869     0.9875  0.0131     0.0125     0.6175         0.6192
    217   3.14    49.84  0.9873     0.9875  0.0127     0.0125     0.6147         0.6186
    218   3.15    49.95  0.9871     0.9868  0.0129     0.0132     0.6319         0.6333
    219   3.15    49.74  0.9874     0.9871  0.0126     0.0129     0.6176         0.6191
    220   3.14    49.33  0.9870     0.9871  0.0130     0.0129     0.6236         0.6259
    221   3.14    49.44  0.9869     0.9872  0.0131     0.0128     0.6174         0.6190
    222   3.14    49.06  0.9873     0.9873  0.0127     0.0127     0.6350         0.6369
    223   3.14    48.63  0.9872     0.9874  0.0128     0.0126     0.6412         0.6425
    224   3.14    48.62  0.9872     0.9871  0.0128     0.0129     0.6267         0.6289
    225   3.14    48.56  0.9873     0.9872  0.0127     0.0128     0.6299         0.6327
    226   3.14    48.70  0.9870     0.9872  0.0130     0.0128     0.6356         0.6370
    227   3.14    48.92  0.9870     0.9872  0.0130     0.0128     0.6295         0.6300
    228   3.14    48.11  0.9873     0.9875  0.0127     0.0125     0.6424         0.6440
    229   3.14    48.04  0.9874     0.9872  0.0126     0.0128     0.6331         0.6363
    230   3.14    48.35  0.9871     0.9879  0.0129     0.0121     0.6339         0.6361
    231   3.14    48.07  0.9869     0.9872  0.0131     0.0128     0.6375         0.6377
