t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1280455589294434,666.682373046875,0.9574999809265137,0.9573000073432922,0.04250001907348633,0.042699992656707764,0.020999999716877937,0.020899999886751175
2,3.1185216903686523,674.4873657226562,0.9553999900817871,0.9555000066757202,0.04460000991821289,0.044499993324279785,0.021299999207258224,0.021299999207258224
3,3.1857638359069824,681.3272705078125,0.9700999855995178,0.9700999855995178,0.029900014400482178,0.029900014400482178,0.017400000244379044,0.017400000244379044
4,3.2076871395111084,684.442138671875,0.9749000072479248,0.9749000072479248,0.025099992752075195,0.025099992752075195,0.014399999752640724,0.014399999752640724
5,3.2097585201263428,689.8067016601562,0.9754999876022339,0.9754999876022339,0.024500012397766113,0.024500012397766113,0.019200000911951065,0.019200000911951065
6,3.210003614425659,694.2615966796875,0.9778000116348267,0.9778000116348267,0.02219998836517334,0.02219998836517334,0.01979999989271164,0.019700000062584877
7,3.2159907817840576,702.2454833984375,0.9787999987602234,0.9787999987602234,0.02120000123977661,0.02120000123977661,0.023499999195337296,0.023600000888109207
8,3.1858386993408203,703.561767578125,0.9739999771118164,0.973800003528595,0.026000022888183594,0.02619999647140503,0.05550000071525574,0.055399999022483826
9,3.210038900375366,712.3607177734375,0.9782999753952026,0.9782000184059143,0.021700024604797363,0.021799981594085693,0.0544000007212162,0.0544000007212162
10,3.2249631881713867,709.4834594726562,0.980400025844574,0.980400025844574,0.019599974155426025,0.019599974155426025,0.07769999653100967,0.07729999721050262
11,3.2264761924743652,706.392822265625,0.9815999865531921,0.9815999865531921,0.01840001344680786,0.01840001344680786,0.07419999688863754,0.07410000264644623
12,3.1901590824127197,719.6292724609375,0.9765999913215637,0.9764000177383423,0.02340000867843628,0.023599982261657715,0.09839999675750732,0.09849999845027924
13,3.2123498916625977,715.8795166015625,0.9810000061988831,0.9807999730110168,0.018999993801116943,0.019200026988983154,0.05620000138878822,0.05620000138878822
14,3.201737403869629,716.8255615234375,0.9771000146865845,0.9771999716758728,0.022899985313415527,0.022800028324127197,0.09640000015497208,0.09690000116825104
15,3.1852433681488037,705.752197265625,0.9767000079154968,0.9768000245094299,0.023299992084503174,0.02319997549057007,0.09480000287294388,0.09489999711513519
16,3.2210052013397217,706.8483276367188,0.9832000136375427,0.9830999970436096,0.016799986362457275,0.01690000295639038,0.12349999696016312,0.12330000102519989
17,3.2138831615448,713.8505859375,0.9815000295639038,0.9815000295639038,0.01849997043609619,0.01849997043609619,0.14740000665187836,0.14740000665187836
18,3.2159812450408936,693.0831298828125,0.982200026512146,0.982200026512146,0.017799973487854004,0.017799973487854004,0.09749999642372131,0.09780000150203705
19,3.2160098552703857,710.2264404296875,0.9822999835014343,0.9824000000953674,0.017700016498565674,0.01759999990463257,0.1298000067472458,0.12970000505447388
20,3.191592216491699,729.4053955078125,0.9782999753952026,0.9782999753952026,0.021700024604797363,0.021700024604797363,0.17010000348091125,0.1703999936580658
21,3.2038447856903076,723.4003295898438,0.9821000099182129,0.982200026512146,0.01789999008178711,0.017799973487854004,0.19089999794960022,0.19130000472068787
22,3.198105573654175,723.416259765625,0.978600025177002,0.978600025177002,0.021399974822998047,0.021399974822998047,0.2117999941110611,0.21240000426769257
23,3.1682076454162598,733.2217407226562,0.9757999777793884,0.9758999943733215,0.024200022220611572,0.024100005626678467,0.19020000100135803,0.19030000269412994
24,3.132462501525879,717.8109130859375,0.972599983215332,0.972599983215332,0.02740001678466797,0.02740001678466797,0.1915999948978424,0.19140000641345978
25,3.1960206031799316,734.9380493164062,0.9817000031471252,0.9817000031471252,0.018299996852874756,0.018299996852874756,0.2184000015258789,0.21879999339580536
26,3.208624839782715,702.7747802734375,0.9815999865531921,0.9815999865531921,0.01840001344680786,0.01840001344680786,0.18320000171661377,0.1834000051021576
27,3.211007833480835,706.5679931640625,0.9821000099182129,0.982200026512146,0.01789999008178711,0.017799973487854004,0.19869999587535858,0.19910000264644623
28,3.2124879360198975,719.4012451171875,0.9839000105857849,0.9839000105857849,0.016099989414215088,0.016099989414215088,0.2590000033378601,0.25850000977516174
29,3.208127498626709,743.8684692382812,0.9828000068664551,0.9828000068664551,0.017199993133544922,0.017199993133544922,0.3107999861240387,0.31150001287460327
