  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13   666.68  0.9575     0.9573  0.0425     0.0427     0.0210         0.0209
      2   3.12   674.49  0.9554     0.9555  0.0446     0.0445     0.0213         0.0213
      3   3.19   681.33  0.9701     0.9701  0.0299     0.0299     0.0174         0.0174
      4   3.21   684.44  0.9749     0.9749  0.0251     0.0251     0.0144         0.0144
      5   3.21   689.81  0.9755     0.9755  0.0245     0.0245     0.0192         0.0192
      6   3.21   694.26  0.9778     0.9778  0.0222     0.0222     0.0198         0.0197
      7   3.22   702.25  0.9788     0.9788  0.0212     0.0212     0.0235         0.0236
      8   3.19   703.56  0.9740     0.9738  0.0260     0.0262     0.0555         0.0554
      9   3.21   712.36  0.9783     0.9782  0.0217     0.0218     0.0544         0.0544
     10   3.22   709.48  0.9804     0.9804  0.0196     0.0196     0.0777         0.0773
     11   3.23   706.39  0.9816     0.9816  0.0184     0.0184     0.0742         0.0741
     12   3.19   719.63  0.9766     0.9764  0.0234     0.0236     0.0984         0.0985
     13   3.21   715.88  0.9810     0.9808  0.0190     0.0192     0.0562         0.0562
     14   3.20   716.83  0.9771     0.9772  0.0229     0.0228     0.0964         0.0969
     15   3.19   705.75  0.9767     0.9768  0.0233     0.0232     0.0948         0.0949
     16   3.22   706.85  0.9832     0.9831  0.0168     0.0169     0.1235         0.1233
     17   3.21   713.85  0.9815     0.9815  0.0185     0.0185     0.1474         0.1474
     18   3.22   693.08  0.9822     0.9822  0.0178     0.0178     0.0975         0.0978
     19   3.22   710.23  0.9823     0.9824  0.0177     0.0176     0.1298         0.1297
     20   3.19   729.41  0.9783     0.9783  0.0217     0.0217     0.1701         0.1704
     21   3.20   723.40  0.9821     0.9822  0.0179     0.0178     0.1909         0.1913
     22   3.20   723.42  0.9786     0.9786  0.0214     0.0214     0.2118         0.2124
     23   3.17   733.22  0.9758     0.9759  0.0242     0.0241     0.1902         0.1903
     24   3.13   717.81  0.9726     0.9726  0.0274     0.0274     0.1916         0.1914
     25   3.20   734.94  0.9817     0.9817  0.0183     0.0183     0.2184         0.2188
     26   3.21   702.77  0.9816     0.9816  0.0184     0.0184     0.1832         0.1834
     27   3.21   706.57  0.9821     0.9822  0.0179     0.0178     0.1987         0.1991
     28   3.21   719.40  0.9839     0.9839  0.0161     0.0161     0.2590         0.2585
     29   3.21   743.87  0.9828     0.9828  0.0172     0.0172     0.3108         0.3115
     30   3.21   702.33  0.9822     0.9822  0.0178     0.0178     0.2236         0.2236
     31   3.21   722.79  0.9838     0.9840  0.0162     0.0160     0.2354         0.2345
     32   3.19   717.05  0.9797     0.9797  0.0203     0.0203     0.2612         0.2610
     33   3.20   713.78  0.9816     0.9816  0.0184     0.0184     0.2861         0.2857
     34   3.22   741.76  0.9843     0.9844  0.0157     0.0156     0.3264         0.3263
     35   3.20   795.08  0.9846     0.9846  0.0154     0.0154     0.3718         0.3716
     36   3.21   735.65  0.9839     0.9840  0.0161     0.0160     0.3371         0.3373
     37   3.22   714.68  0.9835     0.9834  0.0165     0.0166     0.3072         0.3075
     38   3.18   740.15  0.9806     0.9807  0.0194     0.0193     0.2676         0.2678
     39   3.21   730.61  0.9854     0.9855  0.0146     0.0145     0.3089         0.3089
     40   3.21   757.28  0.9856     0.9856  0.0144     0.0144     0.3395         0.3393
     41   3.22   716.15  0.9858     0.9857  0.0142     0.0143     0.2914         0.2914
     42   3.21   761.66  0.9858     0.9858  0.0142     0.0142     0.4257         0.4252
     43   3.21   696.70  0.9848     0.9848  0.0152     0.0152     0.2397         0.2395
     44   3.21   701.39  0.9835     0.9835  0.0165     0.0165     0.2829         0.2828
     45   3.21   741.27  0.9853     0.9853  0.0147     0.0147     0.3334         0.3334
     46   3.21   769.91  0.9859     0.9860  0.0141     0.0140     0.3665         0.3667
     47   3.20   785.46  0.9859     0.9858  0.0141     0.0142     0.3803         0.3802
     48   3.20   797.98  0.9857     0.9859  0.0143     0.0141     0.3878         0.3877
     49   3.19   807.11  0.9859     0.9860  0.0141     0.0140     0.3925         0.3925
     50   3.19   812.04  0.9861     0.9861  0.0139     0.0139     0.3932         0.3931
     51   3.18   810.29  0.9862     0.9862  0.0138     0.0138     0.3935         0.3941
     52   3.18   800.69  0.9863     0.9863  0.0137     0.0137     0.3959         0.3955
     53   3.18   780.72  0.9863     0.9864  0.0137     0.0136     0.3944         0.3952
     54   3.18   748.54  0.9864     0.9864  0.0136     0.0136     0.3975         0.3976
     55   3.17   705.94  0.9864     0.9866  0.0136     0.0134     0.3985         0.3984
     56   3.17   655.62  0.9865     0.9865  0.0135     0.0135     0.3997         0.3992
     57   3.17   603.85  0.9864     0.9864  0.0136     0.0136     0.4151         0.4145
     58   3.17   554.18  0.9865     0.9865  0.0135     0.0135     0.4315         0.4326
     59   3.18   509.99  0.9866     0.9865  0.0134     0.0135     0.4506         0.4499
     60   3.18   469.06  0.9865     0.9867  0.0135     0.0133     0.4717         0.4705
     61   3.18   434.39  0.9866     0.9866  0.0134     0.0134     0.4831         0.4845
     62   3.18   398.34  0.9865     0.9866  0.0135     0.0134     0.4907         0.4915
     63   3.19   365.13  0.9867     0.9868  0.0133     0.0132     0.4884         0.4883
     64   3.18   337.19  0.9867     0.9867  0.0133     0.0133     0.4889         0.4901
     65   3.19   309.68  0.9870     0.9869  0.0130     0.0131     0.4873         0.4873
     66   3.19   286.61  0.9870     0.9867  0.0130     0.0133     0.4979         0.4989
     67   3.19   258.98  0.9872     0.9872  0.0128     0.0128     0.4924         0.4920
     68   3.19   237.07  0.9875     0.9874  0.0125     0.0126     0.4866         0.4870
     69   3.19   215.50  0.9876     0.9870  0.0124     0.0130     0.4986         0.4989
     70   3.19   192.77  0.9875     0.9877  0.0125     0.0123     0.4941         0.4942
     71   3.19   174.93  0.9871     0.9872  0.0129     0.0128     0.5087         0.5093
     72   3.19   157.71  0.9866     0.9868  0.0134     0.0132     0.5084         0.5098
     73   3.22   211.19  0.9862     0.9861  0.0138     0.0139     0.1485         0.1484
     74   3.22   191.81  0.9869     0.9874  0.0131     0.0126     0.2445         0.2444
     75   3.21   185.73  0.9872     0.9872  0.0128     0.0128     0.2969         0.2973
     76   3.21   184.51  0.9876     0.9873  0.0124     0.0127     0.3444         0.3443
     77   3.21   184.56  0.9874     0.9874  0.0126     0.0126     0.3648         0.3651
     78   3.21   185.96  0.9875     0.9876  0.0125     0.0124     0.4057         0.4048
     79   3.20   189.04  0.9876     0.9875  0.0124     0.0125     0.4360         0.4356
     80   3.20   195.49  0.9876     0.9875  0.0124     0.0125     0.4792         0.4789
     81   3.19   202.42  0.9875     0.9875  0.0125     0.0125     0.5037         0.5034
     82   3.19   207.22  0.9874     0.9875  0.0126     0.0125     0.5172         0.5173
     83   3.19   209.51  0.9874     0.9872  0.0126     0.0128     0.5253         0.5269
     84   3.19   210.02  0.9875     0.9873  0.0125     0.0127     0.5297         0.5297
     85   3.19   208.64  0.9870     0.9874  0.0130     0.0126     0.5290         0.5287
     86   3.19   206.79  0.9874     0.9873  0.0126     0.0127     0.5255         0.5271
     87   3.19   203.46  0.9873     0.9873  0.0127     0.0127     0.5168         0.5181
     88   3.19   200.63  0.9874     0.9871  0.0126     0.0129     0.5145         0.5169
     89   3.19   197.29  0.9872     0.9873  0.0128     0.0127     0.5086         0.5102
     90   3.19   193.42  0.9869     0.9874  0.0131     0.0126     0.5069         0.5060
     91   3.19   190.17  0.9875     0.9876  0.0125     0.0124     0.5092         0.5088
     92   3.19   185.02  0.9872     0.9873  0.0128     0.0127     0.4990         0.4999
     93   3.19   180.33  0.9870     0.9874  0.0130     0.0126     0.4993         0.4994
     94   3.19   174.71  0.9873     0.9873  0.0127     0.0127     0.5036         0.5042
     95   3.19   168.61  0.9867     0.9870  0.0133     0.0130     0.5017         0.5026
     96   3.19   162.32  0.9869     0.9871  0.0131     0.0129     0.5129         0.5141
     97   3.19   155.34  0.9871     0.9869  0.0129     0.0131     0.5223         0.5220
     98   3.19   147.79  0.9874     0.9873  0.0126     0.0127     0.5183         0.5193
     99   3.19   141.69  0.9871     0.9872  0.0129     0.0128     0.5298         0.5288
    100   3.19   135.10  0.9867     0.9868  0.0133     0.0132     0.5213         0.5216
    101   3.19   128.40  0.9867     0.9869  0.0133     0.0131     0.5195         0.5205
    102   3.19   122.23  0.9868     0.9871  0.0132     0.0129     0.5162         0.5187
    103   3.18   116.25  0.9875     0.9872  0.0125     0.0128     0.4992         0.4993
