  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12   687.99  0.9551     0.9552  0.0449     0.0448     0.0246         0.0247
      2   3.19   683.08  0.9720     0.9720  0.0280     0.0280     0.0154         0.0154
      3   3.19   683.08  0.9704     0.9703  0.0296     0.0297     0.0167         0.0166
      4   3.21   687.59  0.9750     0.9752  0.0250     0.0248     0.0146         0.0146
      5   3.22   699.73  0.9785     0.9786  0.0215     0.0214     0.0149         0.0149
      6   3.21   715.27  0.9771     0.9771  0.0229     0.0229     0.0191         0.0191
      7   3.22   715.43  0.9799     0.9798  0.0201     0.0202     0.0228         0.0228
      8   3.22   729.40  0.9791     0.9790  0.0209     0.0210     0.0384         0.0382
      9   3.20   742.11  0.9800     0.9799  0.0200     0.0201     0.0665         0.0664
     10   3.22   721.03  0.9803     0.9803  0.0197     0.0197     0.0500         0.0501
     11   3.20   724.10  0.9773     0.9772  0.0227     0.0228     0.0404         0.0404
     12   3.20   756.36  0.9773     0.9775  0.0227     0.0225     0.0988         0.0987
     13   3.21   761.12  0.9808     0.9808  0.0192     0.0192     0.1142         0.1138
     14   3.18   742.32  0.9747     0.9746  0.0253     0.0254     0.1189         0.1187
     15   3.19   737.70  0.9793     0.9794  0.0207     0.0206     0.0795         0.0796
     16   3.16   758.72  0.9717     0.9715  0.0283     0.0285     0.1063         0.1061
     17   3.16   778.67  0.9755     0.9755  0.0245     0.0245     0.1291         0.1289
     18   3.18   771.58  0.9768     0.9768  0.0232     0.0232     0.1169         0.1172
     19   3.21   737.55  0.9820     0.9820  0.0180     0.0180     0.0844         0.0843
     20   3.21   767.28  0.9828     0.9828  0.0172     0.0172     0.1091         0.1091
     21   3.21   804.57  0.9836     0.9836  0.0164     0.0164     0.1518         0.1518
     22   3.17   770.46  0.9760     0.9760  0.0240     0.0240     0.1118         0.1116
     23   3.20   817.52  0.9837     0.9838  0.0163     0.0162     0.1868         0.1873
     24   3.21   776.60  0.9838     0.9838  0.0162     0.0162     0.1526         0.1530
     25   3.20   788.73  0.9826     0.9826  0.0174     0.0174     0.1808         0.1811
     26   3.19   782.93  0.9797     0.9797  0.0203     0.0203     0.1917         0.1916
     27   3.19   795.90  0.9799     0.9799  0.0201     0.0201     0.2070         0.2071
     28   3.20   795.72  0.9821     0.9821  0.0179     0.0179     0.1716         0.1716
     29   3.18   804.51  0.9821     0.9820  0.0179     0.0180     0.1701         0.1700
     30   3.20   802.99  0.9836     0.9836  0.0164     0.0164     0.2176         0.2177
     31   3.20   784.05  0.9824     0.9824  0.0176     0.0176     0.1645         0.1645
     32   3.19   807.49  0.9815     0.9815  0.0185     0.0185     0.2000         0.1997
     33   3.19   766.71  0.9799     0.9798  0.0201     0.0202     0.1697         0.1696
     34   3.21   792.34  0.9848     0.9848  0.0152     0.0152     0.1468         0.1468
     35   3.16   790.83  0.9766     0.9768  0.0234     0.0232     0.1962         0.1962
     36   3.20   826.32  0.9842     0.9841  0.0158     0.0159     0.2285         0.2287
     37   3.20   801.67  0.9822     0.9822  0.0178     0.0178     0.2480         0.2484
     38   3.19   826.68  0.9813     0.9812  0.0187     0.0188     0.2548         0.2547
     39   3.21   782.66  0.9824     0.9824  0.0176     0.0176     0.2277         0.2275
     40   3.21   817.46  0.9841     0.9841  0.0159     0.0159     0.2247         0.2246
     41   3.20   871.12  0.9845     0.9844  0.0155     0.0156     0.2808         0.2810
     42   3.20   824.07  0.9850     0.9850  0.0150     0.0150     0.2149         0.2148
     43   3.20   842.58  0.9840     0.9840  0.0160     0.0160     0.3113         0.3114
     44   3.19   814.93  0.9828     0.9829  0.0172     0.0171     0.2053         0.2055
     45   3.19   786.81  0.9824     0.9823  0.0176     0.0177     0.1816         0.1815
