t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.079890727996826,259.8779296875,135.28707885742188,0.9478999972343445,0.9488000273704529,0.05210000276565552,0.05119997262954712,0.03720000013709068,0.03819999843835831
2,3.1045355796813965,186.66896057128906,102.14090728759766,0.9552000164985657,0.9596999883651733,0.044799983501434326,0.04030001163482666,0.050200000405311584,0.05420000106096268
3,3.1471996307373047,168.12301635742188,108.06057739257812,0.9613999724388123,0.9628999829292297,0.038600027561187744,0.037100017070770264,0.04360000044107437,0.04820000007748604
4,3.172390937805176,155.36862182617188,92.38429260253906,0.9689000248908997,0.9715999960899353,0.031099975109100342,0.028400003910064697,0.05290000140666962,0.061799999326467514
5,3.209679126739502,129.8135528564453,89.22406768798828,0.9778000116348267,0.9779999852180481,0.02219998836517334,0.022000014781951904,0.06030000001192093,0.07919999957084656
6,3.1292290687561035,156.21176147460938,95.8666000366211,0.9617000222206116,0.9624000191688538,0.03829997777938843,0.03759998083114624,0.050999999046325684,0.05849999934434891
7,3.192425012588501,131.3240966796875,80.66742706298828,0.9747999906539917,0.9764999747276306,0.0252000093460083,0.023500025272369385,0.06449999660253525,0.08049999922513962
8,3.194754123687744,117.00363159179688,77.41661834716797,0.9758999943733215,0.9769999980926514,0.024100005626678467,0.023000001907348633,0.06469999998807907,0.08590000122785568
9,3.208015203475952,105.14653015136719,79.54694366455078,0.9800000190734863,0.9807999730110168,0.019999980926513672,0.019200026988983154,0.09139999747276306,0.12210000306367874
10,3.210336208343506,123.69905853271484,77.56965637207031,0.978600025177002,0.978600025177002,0.021399974822998047,0.021399974822998047,0.07259999960660934,0.09589999914169312
11,3.2147321701049805,121.3356704711914,78.02374267578125,0.9807000160217285,0.9811999797821045,0.019299983978271484,0.018800020217895508,0.07270000129938126,0.08910000324249268
12,3.1708009243011475,126.71013641357422,76.58892059326172,0.9735000133514404,0.9732000231742859,0.02649998664855957,0.02679997682571411,0.10740000009536743,0.13379999995231628
13,3.179271697998047,92.1686019897461,68.3839111328125,0.9760000109672546,0.9772999882698059,0.02399998903274536,0.022700011730194092,0.12110000103712082,0.16009999811649323
14,3.2125978469848633,88.9609375,63.523921966552734,0.9818000197410583,0.9825000166893005,0.01819998025894165,0.017499983310699463,0.1615999937057495,0.2021999955177307
15,3.1762044429779053,111.65984344482422,71.60968017578125,0.9753999710083008,0.9757000207901001,0.02460002899169922,0.024299979209899902,0.12849999964237213,0.15389999747276306
16,3.209260940551758,86.76173400878906,63.270599365234375,0.9814000129699707,0.9815999865531921,0.018599987030029297,0.01840001344680786,0.1662999987602234,0.22110000252723694
17,3.2165021896362305,94.84385681152344,60.92735290527344,0.982200026512146,0.9825999736785889,0.017799973487854004,0.017400026321411133,0.16840000450611115,0.2013999968767166
18,3.2090508937835693,77.96448516845703,60.785099029541016,0.9811000227928162,0.9818999767303467,0.018899977207183838,0.01810002326965332,0.15600000321865082,0.1965000033378601
19,3.204754114151001,84.14106750488281,62.06426239013672,0.9805999994277954,0.9818999767303467,0.01940000057220459,0.01810002326965332,0.18809999525547028,0.22509999573230743
20,3.178516387939453,85.05575561523438,57.00712585449219,0.9775999784469604,0.9782000184059143,0.02240002155303955,0.021799981594085693,0.1964000016450882,0.243599995970726
21,3.191124677658081,73.4194107055664,56.515892028808594,0.9810000061988831,0.9811000227928162,0.018999993801116943,0.018899977207183838,0.257999986410141,0.3188999891281128
22,3.1971850395202637,66.79192352294922,54.99140548706055,0.9812999963760376,0.9815000295639038,0.018700003623962402,0.01849997043609619,0.2791000008583069,0.34950000047683716
23,3.200117826461792,71.16159057617188,52.39588165283203,0.9829000234603882,0.9821000099182129,0.017099976539611816,0.01789999008178711,0.2971999943256378,0.3456000089645386
24,3.203263998031616,62.181922912597656,50.32863235473633,0.9819999933242798,0.9824000000953674,0.018000006675720215,0.01759999990463257,0.28279998898506165,0.3537999987602234
25,3.199366569519043,77.71914672851562,54.60162353515625,0.9812999963760376,0.9818999767303467,0.018700003623962402,0.01810002326965332,0.27300000190734863,0.3246000111103058
26,3.197732448577881,77.19734191894531,59.13987731933594,0.9807999730110168,0.9810000061988831,0.019200026988983154,0.018999993801116943,0.3019999861717224,0.3467000126838684
27,3.2150886058807373,62.99936294555664,48.428306579589844,0.9837999939918518,0.9836999773979187,0.016200006008148193,0.0163000226020813,0.3353999853134155,0.40059998631477356
28,3.1819581985473633,64.11347198486328,51.86698532104492,0.9797999858856201,0.9803000092506409,0.020200014114379883,0.01969999074935913,0.33000001311302185,0.4194999933242798
29,3.19309663772583,65.65341186523438,49.54090118408203,0.9821000099182129,0.982200026512146,0.01789999008178711,0.017799973487854004,0.32420000433921814,0.383899986743927
30,3.1989541053771973,65.06451416015625,48.87916564941406,0.982200026512146,0.9825000166893005,0.017799973487854004,0.017499983310699463,0.337799996137619,0.4025999903678894
31,3.187016248703003,60.152164459228516,47.89166259765625,0.9811000227928162,0.9815000295639038,0.018899977207183838,0.01849997043609619,0.37599998712539673,0.44510000944137573
32,3.1791038513183594,71.65509033203125,51.67311477661133,0.9797999858856201,0.980400025844574,0.020200014114379883,0.019599974155426025,0.3587000072002411,0.40959998965263367
33,3.206268787384033,60.611488342285156,48.082603454589844,0.9828000068664551,0.9843999743461609,0.017199993133544922,0.015600025653839111,0.39430001378059387,0.4657999873161316
34,3.1983277797698975,68.06533813476562,50.64008712768555,0.9825000166893005,0.9824000000953674,0.017499983310699463,0.01759999990463257,0.361299991607666,0.4156999886035919
35,3.156989574432373,49.72382736206055,44.668067932128906,0.9800999760627747,0.9807999730110168,0.019900023937225342,0.019200026988983154,0.4277999997138977,0.5159000158309937
36,3.1781158447265625,71.71687316894531,49.126224517822266,0.980400025844574,0.980400025844574,0.019599974155426025,0.019599974155426025,0.31130000948905945,0.36239999532699585
37,3.1597445011138916,56.242164611816406,47.394832611083984,0.9796000123023987,0.9800000190734863,0.02039998769760132,0.019999980926513672,0.3659999966621399,0.45879998803138733
38,3.202252149581909,55.63541030883789,47.25701141357422,0.9835000038146973,0.983299970626831,0.016499996185302734,0.016700029373168945,0.3490000069141388,0.4260999858379364
39,3.1926043033599854,47.56380081176758,42.358123779296875,0.9835000038146973,0.9840999841690063,0.016499996185302734,0.015900015830993652,0.43540000915527344,0.5151000022888184
40,3.183469295501709,49.82073974609375,44.59871292114258,0.9821000099182129,0.9825000166893005,0.01789999008178711,0.017499983310699463,0.3758000135421753,0.4634000062942505
41,3.1991591453552246,54.162315368652344,44.09667205810547,0.984499990940094,0.9846000075340271,0.015500009059906006,0.0153999924659729,0.4041000008583069,0.46889999508857727
42,3.1976940631866455,54.05220413208008,43.640174865722656,0.9843999743461609,0.984499990940094,0.015600025653839111,0.015500009059906006,0.45179998874664307,0.5156999826431274
43,3.180264949798584,49.125247955322266,43.196842193603516,0.9818999767303467,0.982200026512146,0.01810002326965332,0.017799973487854004,0.42500001192092896,0.5152999758720398
44,3.178453207015991,48.63953399658203,43.37285614013672,0.9815000295639038,0.9815000295639038,0.01849997043609619,0.01849997043609619,0.45410001277923584,0.5327000021934509
45,3.1890387535095215,71.6513900756836,52.488563537597656,0.9818000197410583,0.9817000031471252,0.01819998025894165,0.018299996852874756,0.40230000019073486,0.42969998717308044
46,3.1745071411132812,61.2839241027832,46.56670379638672,0.9818999767303467,0.9818000197410583,0.01810002326965332,0.01819998025894165,0.45399999618530273,0.5123000144958496
47,3.19209623336792,54.78310012817383,44.99302673339844,0.9837999939918518,0.9843000173568726,0.016200006008148193,0.01569998264312744,0.5044000148773193,0.5565999746322632
48,3.2031731605529785,49.87486267089844,40.848628997802734,0.9848999977111816,0.9850000143051147,0.01510000228881836,0.014999985694885254,0.5073999762535095,0.580299973487854
49,3.2016191482543945,39.90635299682617,39.59577941894531,0.9843000173568726,0.9837999939918518,0.01569998264312744,0.016200006008148193,0.5199000239372253,0.604200005531311
50,3.164264678955078,52.01525115966797,41.23842239379883,0.9801999926567078,0.9800999760627747,0.019800007343292236,0.019900023937225342,0.45910000801086426,0.517799973487854
51,3.1984426975250244,40.78133773803711,38.40953826904297,0.9836999773979187,0.9839000105857849,0.0163000226020813,0.016099989414215088,0.4943999946117401,0.5938000082969666
52,3.197300672531128,40.19042205810547,40.115013122558594,0.9848999977111816,0.9847000241279602,0.01510000228881836,0.015299975872039795,0.5285999774932861,0.6236000061035156
53,3.1172842979431152,57.087459564208984,47.506919860839844,0.9753999710083008,0.9751999974250793,0.02460002899169922,0.024800002574920654,0.44530001282691956,0.48350000381469727
54,3.192095994949341,44.684654235839844,39.68717956542969,0.9839000105857849,0.9839000105857849,0.016099989414215088,0.016099989414215088,0.46129998564720154,0.5480999946594238
55,3.195279598236084,41.326072692871094,38.18415832519531,0.9839000105857849,0.9840999841690063,0.016099989414215088,0.015900015830993652,0.5145999789237976,0.6069999933242798
56,3.1643519401550293,48.01622009277344,39.649261474609375,0.9810000061988831,0.9807000160217285,0.018999993801116943,0.019299983978271484,0.4016999900341034,0.4790000021457672
57,3.1835174560546875,38.9843864440918,37.20704650878906,0.9828000068664551,0.9836000204086304,0.017199993133544922,0.01639997959136963,0.4941999912261963,0.5922999978065491
58,3.183109998703003,40.47452163696289,39.31780242919922,0.9829000234603882,0.9829000234603882,0.017099976539611816,0.017099976539611816,0.49390000104904175,0.5777999758720398
59,3.19748854637146,38.2442741394043,37.00543212890625,0.9846000075340271,0.9850999712944031,0.0153999924659729,0.014900028705596924,0.5677000284194946,0.6495000123977661
60,3.1899211406707764,57.67267990112305,46.46376037597656,0.9843000173568726,0.9843999743461609,0.01569998264312744,0.015600025653839111,0.5597000122070312,0.6018000245094299
61,3.189913511276245,40.000892639160156,37.17013931274414,0.984000027179718,0.984499990940094,0.015999972820281982,0.015500009059906006,0.5005999803543091,0.5963000059127808
62,3.2037365436553955,42.005950927734375,36.74187469482422,0.9850999712944031,0.9857000112533569,0.014900028705596924,0.014299988746643066,0.5142999887466431,0.5982999801635742
63,3.172254800796509,38.02684020996094,37.91315460205078,0.9822999835014343,0.9815999865531921,0.017700016498565674,0.01840001344680786,0.4781000018119812,0.5723000168800354
64,3.1828408241271973,42.808204650878906,38.282196044921875,0.9837999939918518,0.9836999773979187,0.016200006008148193,0.0163000226020813,0.5047000050544739,0.5674999952316284
65,3.1908743381500244,40.324039459228516,35.79022979736328,0.9851999878883362,0.9854999780654907,0.014800012111663818,0.014500021934509277,0.4966999888420105,0.5900999903678894
66,3.164609432220459,42.37012481689453,36.06151580810547,0.9825000166893005,0.9825999736785889,0.017499983310699463,0.017400026321411133,0.46799999475479126,0.5485000014305115
67,3.175933361053467,41.726505279541016,35.930274963378906,0.9824000000953674,0.9830999970436096,0.01759999990463257,0.01690000295639038,0.4986000061035156,0.5809000134468079
68,3.175293445587158,41.40962219238281,37.86346435546875,0.984000027179718,0.9836000204086304,0.015999972820281982,0.01639997959136963,0.5593000054359436,0.6309999823570251
69,3.1854403018951416,40.80754470825195,36.99128341674805,0.9853000044822693,0.9843999743461609,0.014699995517730713,0.015600025653839111,0.5728999972343445,0.6532999873161316
70,3.1777775287628174,35.99116897583008,34.98897933959961,0.9840999841690063,0.9847000241279602,0.015900015830993652,0.015299975872039795,0.5787000060081482,0.6721000075340271
71,3.1763532161712646,36.29066848754883,34.91041564941406,0.9847999811172485,0.984499990940094,0.015200018882751465,0.015500009059906006,0.5580999851226807,0.6402000188827515
72,3.1683547496795654,36.22930908203125,34.94552993774414,0.9850000143051147,0.984499990940094,0.014999985694885254,0.015500009059906006,0.5611000061035156,0.6324999928474426
73,3.1875810623168945,33.885860443115234,33.81241989135742,0.9850999712944031,0.9847000241279602,0.014900028705596924,0.015299975872039795,0.5720999836921692,0.6549000144004822
74,3.1682865619659424,42.088951110839844,37.15946960449219,0.9836000204086304,0.9836000204086304,0.01639997959136963,0.01639997959136963,0.4796000123023987,0.5697000026702881
75,3.1825692653656006,43.197479248046875,36.35498809814453,0.9854000210762024,0.9851999878883362,0.014599978923797607,0.014800012111663818,0.5562999844551086,0.6123999953269958
76,3.182826519012451,40.46635437011719,35.51967239379883,0.9864000082015991,0.9857000112533569,0.013599991798400879,0.014299988746643066,0.5152999758720398,0.5928000211715698
77,3.183764696121216,32.944610595703125,33.96360778808594,0.9853000044822693,0.986299991607666,0.014699995517730713,0.013700008392333984,0.5533000230789185,0.6406999826431274
78,3.17895770072937,36.36411666870117,33.163185119628906,0.9843000173568726,0.9848999977111816,0.01569998264312744,0.01510000228881836,0.5027999877929688,0.5950000286102295
79,3.1655969619750977,35.61892318725586,33.79361343383789,0.9832000136375427,0.9837999939918518,0.016799986362457275,0.016200006008148193,0.5558000206947327,0.6434000134468079
80,3.1841747760772705,32.89592361450195,32.78473663330078,0.9851999878883362,0.9851999878883362,0.014800012111663818,0.014800012111663818,0.557200014591217,0.6503999829292297
81,3.1743111610412598,34.321746826171875,32.74842834472656,0.984000027179718,0.9830999970436096,0.015999972820281982,0.01690000295639038,0.5565000176429749,0.6384999752044678
82,3.170440196990967,32.092613220214844,33.761016845703125,0.9837999939918518,0.9832000136375427,0.016200006008148193,0.016799986362457275,0.5268999934196472,0.6258999705314636
83,3.1803832054138184,35.881614685058594,34.539283752441406,0.9839000105857849,0.9843999743461609,0.016099989414215088,0.015600025653839111,0.5304999947547913,0.6067000031471252
84,3.19417667388916,31.594921112060547,32.218955993652344,0.9857000112533569,0.9860000014305115,0.014299988746643066,0.013999998569488525,0.5644000172615051,0.6650000214576721
85,3.190765380859375,34.36109161376953,33.10896301269531,0.9858999848365784,0.9855999946594238,0.01410001516342163,0.014400005340576172,0.5584999918937683,0.6338000297546387
86,3.1970102787017822,29.939231872558594,32.01544189453125,0.9861000180244446,0.9857000112533569,0.01389998197555542,0.014299988746643066,0.5640000104904175,0.6617000102996826
87,3.1677656173706055,35.22438430786133,32.487308502197266,0.984499990940094,0.9843000173568726,0.015500009059906006,0.01569998264312744,0.5410000085830688,0.6092000007629395
88,3.176539897918701,33.9685173034668,32.797691345214844,0.984499990940094,0.9854000210762024,0.015500009059906006,0.014599978923797607,0.5540000200271606,0.6309000253677368
89,3.1861534118652344,32.9553108215332,31.436283111572266,0.9860000014305115,0.9861999750137329,0.013999998569488525,0.01380002498626709,0.5623000264167786,0.659500002861023
90,3.195024013519287,35.35124969482422,34.453590393066406,0.9866999983787537,0.9865999817848206,0.013300001621246338,0.013400018215179443,0.5855000019073486,0.6509000062942505
91,3.165966033935547,31.168155670166016,32.02088928222656,0.9843999743461609,0.9847999811172485,0.015600025653839111,0.015200018882751465,0.5726000070571899,0.652999997138977
92,3.18576717376709,33.506778717041016,33.26776885986328,0.9850999712944031,0.98580002784729,0.014900028705596924,0.014199972152709961,0.517799973487854,0.5989999771118164
93,3.1427831649780273,31.845853805541992,31.348087310791016,0.9837999939918518,0.9839000105857849,0.016200006008148193,0.016099989414215088,0.557200014591217,0.6502000093460083
94,3.1877777576446533,30.876707077026367,31.442861557006836,0.9857000112533569,0.9854000210762024,0.014299988746643066,0.014599978923797607,0.49950000643730164,0.5881999731063843
95,3.187211513519287,30.204761505126953,30.959209442138672,0.9864000082015991,0.9866999983787537,0.013599991798400879,0.013300001621246338,0.5569000244140625,0.6488999724388123
96,3.18495512008667,28.989070892333984,30.972394943237305,0.9858999848365784,0.9860000014305115,0.01410001516342163,0.013999998569488525,0.5738000273704529,0.6664999723434448
97,3.195436477661133,31.160091400146484,31.84427261352539,0.9854999780654907,0.9861000180244446,0.014500021934509277,0.01389998197555542,0.5677000284194946,0.6333000063896179
98,3.1744136810302734,31.815149307250977,31.20657730102539,0.9843000173568726,0.9839000105857849,0.01569998264312744,0.016099989414215088,0.5509999990463257,0.6388999819755554
99,3.182079792022705,28.59192657470703,30.19845962524414,0.9850000143051147,0.9851999878883362,0.014999985694885254,0.014800012111663818,0.5967000126838684,0.6800000071525574
100,3.1895627975463867,28.57074737548828,30.209697723388672,0.9854000210762024,0.9851999878883362,0.014599978923797607,0.014800012111663818,0.5972999930381775,0.6807000041007996
101,3.177722454071045,28.617786407470703,30.778921127319336,0.98580002784729,0.9854999780654907,0.014199972152709961,0.014500021934509277,0.623199999332428,0.7017999887466431
102,3.1786532402038574,31.25710678100586,30.74333953857422,0.9843999743461609,0.9843999743461609,0.015600025653839111,0.015600025653839111,0.585099995136261,0.6560999751091003
103,3.1840832233428955,28.512451171875,29.358470916748047,0.9854999780654907,0.9858999848365784,0.014500021934509277,0.01410001516342163,0.5756999850273132,0.6625000238418579
104,3.1878180503845215,31.06991958618164,31.031116485595703,0.9857000112533569,0.9858999848365784,0.014299988746643066,0.01410001516342163,0.5881999731063843,0.645799994468689
105,3.188098192214966,27.648536682128906,29.579113006591797,0.9868999719619751,0.9868000149726868,0.013100028038024902,0.013199985027313232,0.6054999828338623,0.692300021648407
106,3.1745662689208984,32.769508361816406,31.314533233642578,0.9847999811172485,0.9853000044822693,0.015200018882751465,0.014699995517730713,0.6036999821662903,0.6567999720573425
107,3.1922123432159424,28.56157684326172,29.687179565429688,0.9853000044822693,0.9861999750137329,0.014699995517730713,0.01380002498626709,0.6152999997138977,0.6919000148773193
108,3.175590991973877,33.66517639160156,32.48367691040039,0.9854000210762024,0.9857000112533569,0.014599978923797607,0.014299988746643066,0.5932999849319458,0.6425999999046326
109,3.1904842853546143,28.586915969848633,29.898799896240234,0.9855999946594238,0.9858999848365784,0.014400005340576172,0.01410001516342163,0.6168000102043152,0.6883999705314636
110,3.200331211090088,31.48179817199707,31.94241714477539,0.9871000051498413,0.9868000149726868,0.012899994850158691,0.013199985027313232,0.6259999871253967,0.6808000206947327
111,3.1773922443389893,29.233362197875977,29.95907211303711,0.9853000044822693,0.9853000044822693,0.014699995517730713,0.014699995517730713,0.5953999757766724,0.6549999713897705
112,3.180612087249756,42.76259994506836,38.05787658691406,0.9857000112533569,0.9857000112533569,0.014299988746643066,0.014299988746643066,0.6085000038146973,0.6308000087738037
113,3.1705322265625,33.160858154296875,31.597490310668945,0.9840999841690063,0.9848999977111816,0.015900015830993652,0.01510000228881836,0.5590999722480774,0.6195999979972839
114,3.1905651092529297,28.465301513671875,30.098506927490234,0.9865000247955322,0.9869999885559082,0.013499975204467773,0.013000011444091797,0.6140999794006348,0.6869999766349792
115,3.182798385620117,26.555315017700195,29.129531860351562,0.98580002784729,0.9861999750137329,0.014199972152709961,0.01380002498626709,0.6171000003814697,0.7073000073432922
116,3.1822259426116943,26.23824691772461,28.515342712402344,0.98580002784729,0.9865999817848206,0.014199972152709961,0.013400018215179443,0.6159999966621399,0.6970000267028809
117,3.176391363143921,26.32616424560547,28.793365478515625,0.9850000143051147,0.9857000112533569,0.014999985694885254,0.014299988746643066,0.6122999787330627,0.695900022983551
118,3.186872720718384,26.297927856445312,28.398239135742188,0.9854999780654907,0.9861000180244446,0.014500021934509277,0.01389998197555542,0.6118000149726868,0.684499979019165
119,3.185357093811035,26.68743896484375,28.191862106323242,0.9850000143051147,0.9854000210762024,0.014999985694885254,0.014599978923797607,0.618399977684021,0.6897000074386597
120,3.175341844558716,29.66910743713379,29.919544219970703,0.9846000075340271,0.9853000044822693,0.0153999924659729,0.014699995517730713,0.605400025844574,0.652899980545044
121,3.177799940109253,25.4845027923584,28.475122451782227,0.9847999811172485,0.9853000044822693,0.015200018882751465,0.014699995517730713,0.6211000084877014,0.6775000095367432
122,3.182436943054199,28.65696907043457,28.62117576599121,0.9836999773979187,0.9847000241279602,0.0163000226020813,0.015299975872039795,0.6119999885559082,0.675599992275238
123,3.1908092498779297,26.135032653808594,27.886791229248047,0.9861000180244446,0.9861999750137329,0.01389998197555542,0.01380002498626709,0.6302000284194946,0.7056999802589417
124,3.188742160797119,27.062591552734375,28.676734924316406,0.9854999780654907,0.9855999946594238,0.014500021934509277,0.014400005340576172,0.6241000294685364,0.6786999702453613
125,3.1900949478149414,26.67306900024414,28.149860382080078,0.986299991607666,0.9868999719619751,0.013700008392333984,0.013100028038024902,0.6086000204086304,0.6729999780654907
126,3.1967716217041016,25.270483016967773,28.155399322509766,0.9872999787330627,0.987500011920929,0.012700021266937256,0.012499988079071045,0.635699987411499,0.7019000053405762
127,3.1938703060150146,25.713539123535156,28.15650177001953,0.986299991607666,0.9861000180244446,0.013700008392333984,0.01389998197555542,0.6136999726295471,0.6712999939918518
128,3.17671537399292,24.941741943359375,27.279773712158203,0.984499990940094,0.9854000210762024,0.015500009059906006,0.014599978923797607,0.6265000104904175,0.6883000135421753
129,3.189577579498291,26.048866271972656,28.168102264404297,0.98580002784729,0.9855999946594238,0.014199972152709961,0.014400005340576172,0.644599974155426,0.7074999809265137
